QM Energy	FF Energy
     -4.6571e-05    -5.79401e-05
     -0.00143181     -0.00136577
     -2.4247e-05     -3.2814e-05
     -3.8774e-05    -4.61601e-05
    -0.000505145    -0.000503089
     -3.2808e-05    -4.27717e-05
      -7.063e-05     -8.6241e-05
      -7.855e-05    -0.000101244
    -0.000273666    -0.000309064
    -0.000139786    -0.000156991
     -4.3681e-05     -5.5586e-05
     -8.5294e-05    -0.000103915
    -0.000688224    -0.000730547
     -3.7692e-05    -4.92005e-05
     -1.2463e-05    -1.54498e-05
     -0.00022734    -0.000256022
    -0.000510008    -0.000527838
    -0.000199172    -0.000227034
    -0.000594873    -0.000586592
    -0.000161156    -0.000175436
     -2.7208e-05    -3.34654e-05
    -0.000523184    -0.000523987
    -0.000293901    -0.000296896
    -0.000890189    -0.000815872
     -6.2524e-05    -8.27364e-05
     -2.3122e-05    -3.36308e-05
     -1.9097e-05    -2.58568e-05
    -0.000852843    -0.000839596
    -0.000965395    -0.000958487
      -1.505e-05    -2.26328e-05
    -0.000244199    -0.000272037
     -0.00133722     -0.00126597
     -0.00090182    -0.000854009
    -0.000125894    -0.000140519
    -0.000898848    -0.000924457
     -4.7054e-05    -5.60365e-05
     -2.0859e-05    -2.53825e-05
     -6.5577e-05    -7.63243e-05
     -2.3987e-05    -2.84529e-05
    -0.000822356    -0.000792764
    -0.000744636    -0.000750626
     -6.8949e-05    -7.60042e-05
    -0.000327804    -0.000369577
    -0.000228913    -0.000260505
     -1.0428e-05    -1.29951e-05
    -0.000665434    -0.000661986
     -3.8163e-05    -5.48695e-05
    -0.000863242    -0.000835137
    -0.000463322     -0.00049939
    -0.000612116    -0.000592038
    -0.000562828    -0.000535339
     -0.00129933     -0.00130032
     -3.8088e-05    -4.48099e-05
    -0.000644202    -0.000633925
     -0.00117081     -0.00124356
     -0.00169413     -0.00181677
    -0.000629428    -0.000635322
    -0.000148982    -0.000163745
     -2.2072e-05    -2.83232e-05
    -0.000323312    -0.000339133
    -0.000191004    -0.000226314
    -0.000120397    -0.000143034
     -8.0274e-05    -9.96339e-05
     -0.00036321    -0.000395589
    -0.000110073    -0.000121648
     -0.00146837     -0.00144587
      -0.0012197     -0.00122982
    -0.000702838    -0.000653352
    -0.000133076     -0.00014986
    -0.000475696    -0.000504496
     -0.00041087    -0.000410045
     -0.00146035     -0.00142918
      -4.827e-05     -5.8378e-05
    -0.000182346    -0.000196968
    -0.000110572    -0.000123318
      -0.0017943     -0.00176121
    -0.000134465    -0.000150155
     -2.2108e-05      -2.751e-05
     -4.7852e-05    -5.59661e-05
     -4.6011e-05    -5.78514e-05
    -0.000798401    -0.000800818
    -0.000265862    -0.000278217
    -0.000237968    -0.000262249
     -3.1148e-05    -3.79931e-05
    -0.000120063    -0.000131166
    -0.000250218    -0.000283744
     -7.1462e-05    -7.62458e-05
    -0.000111548    -0.000133207
     -6.3058e-05    -7.03563e-05
    -0.000393641     -0.00043418
    -0.000151192     -0.00016644
     -2.5187e-05    -3.15347e-05
     -6.2476e-05     -7.0888e-05
    -0.000229241     -0.00024516
    -0.000276518      -0.0002977
    -0.000150362    -0.000160764
    -0.000331176    -0.000351545
     -2.2871e-05    -2.83766e-05
    -0.000219045    -0.000233147
    -0.000519226    -0.000498718
     -4.2352e-05    -5.10826e-05
     -2.5118e-05    -3.04299e-05
    -0.000303791    -0.000321788
     -4.3938e-05    -5.52784e-05
     -6.1122e-05    -7.60103e-05
     -3.1255e-05    -3.74909e-05
      -1.791e-05    -2.22461e-05
    -0.000493893     -0.00048843
    -0.000530151    -0.000550432
      -4.572e-05    -5.88562e-05
     -1.2214e-05    -1.72655e-05
     -2.2911e-05    -2.80265e-05
      -1.554e-05    -2.06501e-05
     -6.2175e-05    -7.24631e-05
     -2.0605e-05    -2.69162e-05
     -9.3741e-05    -0.000110281
     -6.6832e-05    -9.13319e-05
    -0.000517067    -0.000484953
     -6.3611e-05    -7.28339e-05
    -0.000176891    -0.000188312
     -1.9472e-05    -2.34468e-05
     -3.9253e-05    -5.09975e-05
    -0.000343549    -0.000353428
     -3.0432e-05    -3.78247e-05
    -0.000117389    -0.000141001
    -0.000913625     -0.00090599
     -8.8341e-05     -0.00010549
    -0.000926648     -0.00085862
     -5.0104e-05    -6.30614e-05
    -0.000231758    -0.000245858
     -7.0271e-05    -8.29538e-05
      -8.769e-06    -1.26677e-05
     -6.2942e-05    -7.44588e-05
    -0.000311039    -0.000322707
      -2.797e-05     -4.2494e-05
     -1.9565e-05    -2.50617e-05
     -4.8111e-05    -5.78246e-05
     -0.00039605     -0.00041209
     -8.4564e-05     -9.6003e-05
    -0.000143599    -0.000158878
    -0.000110207    -0.000122913
    -0.000110762    -0.000131155
     -9.3446e-05    -0.000118734
     -3.2342e-05     -3.8761e-05
    -0.000565649    -0.000550382
     -3.2205e-05    -4.16529e-05
     -3.8931e-05    -4.98819e-05
     -1.5381e-05    -2.03914e-05
     -3.8215e-05    -4.87615e-05
     -9.8378e-05     -0.00010956
     -3.4638e-05    -4.41824e-05
    -0.000206497    -0.000225933
    -0.000995951     -0.00103347
     -4.5647e-05    -5.36262e-05
    -0.000565004    -0.000565362
    -0.000106077    -0.000114011
     -1.4906e-05    -2.00135e-05
    -0.000242447    -0.000265893
     -6.3394e-05    -7.33638e-05
     -0.00030729    -0.000315024
     -1.7259e-05    -2.09663e-05
     -5.4443e-05    -6.34142e-05
     -0.00017324    -0.000196705
    -0.000609122    -0.000583857
     -3.6854e-05    -4.78434e-05
    -0.000125611    -0.000135488
     -9.0829e-05    -0.000111143
     -3.5088e-05    -4.47882e-05
    -0.000151676     -0.00016443
     -1.7893e-05     -2.3566e-05
     -2.9605e-05    -4.20336e-05
    -0.000401249    -0.000414274
    -0.000631499    -0.000654843
     -4.6001e-05    -5.35941e-05
    -0.000188716    -0.000205903
    -0.000245255    -0.000270554
      -7.299e-05    -8.41048e-05
    -0.000241925    -0.000260806
     -2.2981e-05    -2.96211e-05
    -0.000508782    -0.000540519
     -4.3634e-05    -5.56734e-05
    -0.000495486    -0.000512149
     -0.00050586    -0.000501883
       -4.66e-05    -5.61273e-05
    -0.000997626    -0.000952966
    -0.000153511     -0.00016355
    -0.000795303    -0.000771301
    -0.000827983    -0.000829035
    -0.000100572    -0.000113682
    -0.000753562     -0.00075786
    -0.000592835    -0.000582519
    -0.000115349    -0.000130735
     -0.00045527    -0.000453823
      -2.877e-05    -3.70238e-05
     -5.9775e-05      -8.138e-05
     -0.00114042     -0.00101839
    -0.000111703    -0.000124639
    -0.000419037    -0.000423466
     -4.1059e-05    -5.15378e-05
     -0.00031565     -0.00032734
    -0.000158432    -0.000171675
     -3.6312e-05     -4.2693e-05
    -0.000410512    -0.000402056
     -4.4004e-05    -5.52476e-05
    -0.000113965    -0.000127095
     -1.7003e-05    -2.37135e-05
     -1.1131e-05    -1.59614e-05
     -0.00120683     -0.00126233
    -0.000868179    -0.000869148
     -2.4392e-05    -2.95402e-05
    -0.000672756    -0.000670991
    -0.000191778    -0.000204629
     -2.7985e-05    -3.93975e-05
    -0.000219675     -0.00023836
     -0.00149163      -0.0014733
    -0.000469196    -0.000494301
     -0.00120832     -0.00106837
    -0.000225356    -0.000264688
      -6.807e-05    -8.26081e-05
     -2.4864e-05    -3.23793e-05
     -9.9352e-05    -0.000110642
     -1.5492e-05    -2.09121e-05
     -0.00114441      -0.0010074
     -1.8841e-05    -2.37442e-05
     -6.2752e-05    -7.35789e-05
      -1.612e-05    -2.12368e-05
    -0.000310686    -0.000303627
    -0.000525495    -0.000522227
     -8.6838e-05    -9.93188e-05
     -4.0237e-05    -5.13843e-05
      -0.0010283    -0.000954493
     -1.3728e-05    -1.78337e-05
     -0.00103414    -0.000996965
    -0.000246966    -0.000258385
     -0.00162431     -0.00165801
    -0.000108576    -0.000124355
    -0.000332504    -0.000342131
    -0.000324013     -0.00031494
     -6.4168e-05    -7.48703e-05
     -5.4722e-05    -6.88713e-05
     -0.00126236     -0.00123603
     -4.1523e-05    -5.31081e-05
      -7.699e-05    -8.73351e-05
     -4.2005e-05    -4.93926e-05
     -1.3111e-05    -1.99944e-05
     -2.0167e-05    -2.48634e-05
     -8.5561e-05    -9.19813e-05
     -7.8645e-05     -8.9497e-05
     -4.9131e-05    -5.76106e-05
    -0.000346491    -0.000394576
    -0.000703286    -0.000688012
    -0.000729434    -0.000674415
    -0.000219201    -0.000230455
     -0.00114256     -0.00101005
    -0.000479922    -0.000473751
     -1.3513e-05    -1.70655e-05
    -0.000213091      -0.0002148
     -5.9843e-05    -6.91854e-05
     -6.1976e-05    -7.01438e-05
     -2.1715e-05    -2.78696e-05
     -5.3174e-05    -6.17245e-05
     -1.4498e-05    -1.98381e-05
    -0.000205682    -0.000224507
     -2.6808e-05    -3.25861e-05
    -0.000121812    -0.000139856
     -4.7064e-05    -6.69148e-05
    -0.000384983    -0.000364221
    -0.000187725    -0.000185915
     -1.5032e-05    -2.05967e-05
    -0.000864882    -0.000819798
    -0.000191652    -0.000208687
     -6.3976e-05    -7.27782e-05
     -3.7124e-05    -4.33046e-05
     -1.7332e-05    -2.17643e-05
     -2.1095e-05    -2.72504e-05
      -4.625e-05    -5.90084e-05
      -8.732e-05    -0.000101289
     -2.0582e-05    -2.59621e-05
     -3.0021e-05    -3.97608e-05
     -4.4328e-05    -5.58255e-05
     -6.0387e-05    -7.50406e-05
     -4.1572e-05    -5.79717e-05
    -0.000176098    -0.000209403
    -0.000897634    -0.000877779
     -3.0078e-05      -3.616e-05
     -4.2582e-05    -4.89804e-05
     -0.00012101    -0.000144481
     -1.9705e-05    -2.40075e-05
    -0.000122157    -0.000136302
    -0.000130924    -0.000159838
    -0.000140146     -0.00014285
    -0.000507567    -0.000502522
    -0.000827874    -0.000871228
     -0.00182185     -0.00187573
     -6.7336e-05    -7.97587e-05
     -1.9887e-05    -2.60138e-05
    -0.000625787    -0.000612505
