QM Energy	FF Energy
     -1.5085e-05    -2.37821e-05
    -0.000646115    -0.000526613
      -9.009e-06    -1.37886e-05
     -1.4734e-05    -1.85295e-05
    -0.000236158    -0.000195985
     -1.1859e-05    -1.71055e-05
     -2.4433e-05    -3.43518e-05
     -2.7387e-05    -3.94952e-05
    -0.000116019    -0.000120332
     -3.2517e-05    -6.14742e-05
     -1.1368e-05     -2.4721e-05
     -2.6975e-05    -4.40242e-05
     -0.00025996     -0.00028429
     -1.1688e-05    -1.94257e-05
       -4.77e-06    -7.17199e-06
     -9.8532e-05    -9.97711e-05
    -0.000229996    -0.000206818
      -5.979e-05    -8.99732e-05
    -0.000296796    -0.000232302
     -3.5544e-05    -6.96849e-05
     -1.5613e-05    -1.46142e-05
    -0.000236341     -0.00020422
    -0.000102265    -0.000117231
    -0.000348336    -0.000332795
     -2.6975e-05     -3.2991e-05
      -9.194e-06    -1.33858e-05
      -6.925e-06    -1.12794e-05
    -0.000392246    -0.000325458
     -0.00044461    -0.000383555
      -5.325e-06    -9.45876e-06
     -7.5451e-05    -0.000108388
    -0.000539507    -0.000503264
    -0.000308419    -0.000340155
     -4.7164e-05    -5.57452e-05
    -0.000299387    -0.000358794
     -1.9061e-05    -2.20866e-05
      -8.432e-06    -1.20539e-05
     -2.7097e-05    -3.05641e-05
      -5.404e-06     -1.4809e-05
    -0.000415422    -0.000312966
    -0.000353816    -0.000301588
     -1.5782e-05    -3.30878e-05
    -0.000119549    -0.000142421
     -9.4621e-05    -0.000103838
      -4.861e-06    -6.39178e-06
    -0.000315161    -0.000259706
      -1.244e-05    -2.19106e-05
    -0.000401294    -0.000328472
    -0.000173456    -0.000195235
    -0.000220609    -0.000232636
    -0.000185823    -0.000208841
    -0.000520506    -0.000500649
     -1.1719e-05    -2.02019e-05
    -0.000180447    -0.000250643
    -0.000430877    -0.000475581
    -0.000674042     -0.00070773
    -0.000280051    -0.000247285
     -6.1725e-05    -6.41118e-05
       -9.89e-06    -1.13998e-05
    -0.000112304    -0.000133949
     -8.4657e-05    -8.96353e-05
     -4.6069e-05    -5.50345e-05
     -3.0003e-05    -3.87153e-05
      -0.0001162     -0.00015359
     -3.4944e-05     -4.8282e-05
    -0.000617622    -0.000573258
    -0.000507773    -0.000485658
    -0.000198104    -0.000270227
     -5.8913e-05    -5.95858e-05
    -0.000179906    -0.000200274
    -0.000150184     -0.00016136
    -0.000737035    -0.000556556
     -2.1757e-05    -2.36599e-05
      -7.734e-05    -7.75543e-05
      -4.313e-05     -4.8906e-05
    -0.000886347    -0.000696088
     -6.8277e-05    -6.12432e-05
      -5.855e-06    -1.19751e-05
     -1.7721e-05    -2.26092e-05
     -1.5585e-05    -2.49572e-05
    -0.000298993    -0.000315212
     -8.3348e-05    -0.000110245
    -0.000100903    -0.000101832
     -1.3191e-05    -1.57677e-05
     -4.3056e-05    -5.24987e-05
     -9.7196e-05    -0.000110171
     -1.2486e-05     -3.7743e-05
     -3.9245e-05    -5.20762e-05
     -2.2032e-05    -3.18041e-05
    -0.000145693    -0.000166815
     -6.6394e-05    -6.55231e-05
     -1.0637e-05    -1.29933e-05
     -1.0799e-05    -3.12465e-05
     -6.5166e-05     -9.5666e-05
     -6.2205e-05    -0.000117765
     -5.7876e-05    -6.56746e-05
    -0.000147901     -0.00013699
      -7.326e-06    -1.18743e-05
     -7.7193e-05    -9.22257e-05
    -0.000184331    -0.000204974
     -1.5448e-05    -2.23991e-05
       -9.44e-06    -1.29531e-05
     -6.5155e-05    -0.000129016
     -1.7385e-05    -2.19155e-05
     -3.0575e-05    -3.13091e-05
     -1.5345e-05    -1.56161e-05
      -7.785e-06    -9.38516e-06
    -0.000175484    -0.000192609
    -0.000158746    -0.000219595
     -1.6952e-05    -2.29114e-05
      -3.617e-06    -7.59609e-06
     -1.2154e-05    -1.18991e-05
      -7.618e-06    -8.92423e-06
     -2.5696e-05    -2.90286e-05
       -6.56e-06    -1.27685e-05
     -4.3506e-05    -4.43951e-05
     -2.1658e-05    -3.53507e-05
    -0.000148166    -0.000199706
      -1.306e-05    -3.14481e-05
     -5.9413e-05    -7.45387e-05
      -8.179e-06    -1.05706e-05
      -1.601e-05    -2.02658e-05
    -0.000133427    -0.000136882
      -7.094e-06     -1.5424e-05
     -3.7237e-05    -5.81099e-05
    -0.000259207    -0.000358028
     -3.0491e-05    -4.18829e-05
    -0.000333038    -0.000337678
      -2.066e-05    -2.59019e-05
    -0.000108017    -9.75875e-05
     -3.1426e-05    -3.32564e-05
      -3.684e-06    -6.25386e-06
     -2.1457e-05    -3.05388e-05
    -0.000148466    -0.000126854
      -9.806e-06    -1.71301e-05
      -5.291e-06    -1.09434e-05
     -1.4971e-05    -2.29745e-05
    -0.000108096    -0.000161452
      -3.615e-05     -3.8493e-05
     -3.8193e-05    -6.46243e-05
     -3.7843e-05    -4.81707e-05
     -3.4932e-05    -5.17394e-05
      -3.792e-05    -4.72085e-05
     -1.3599e-05     -1.6913e-05
    -0.000204082    -0.000213452
     -1.1272e-05    -1.79221e-05
     -1.4566e-05     -1.9677e-05
      -5.391e-06    -9.01336e-06
     -1.3084e-05    -1.95091e-05
     -3.4783e-05    -4.41628e-05
     -1.3288e-05    -1.81831e-05
     -7.2357e-05    -9.37239e-05
    -0.000365101    -0.000397622
     -1.4724e-05    -2.19772e-05
    -0.000172628    -0.000226047
     -2.8782e-05    -4.86054e-05
      -4.647e-06    -8.32165e-06
    -0.000104003    -0.000103296
     -1.8231e-05    -3.31863e-05
     -9.6981e-05    -0.000127273
      -5.445e-06    -9.52412e-06
     -2.4653e-05    -2.58412e-05
     -8.5705e-05     -7.9053e-05
    -0.000235607     -0.00023067
     -1.8031e-05    -1.96302e-05
     -3.6371e-05    -5.52319e-05
     -2.5714e-05    -4.42318e-05
     -1.5809e-05    -1.81897e-05
     -5.8877e-05    -6.47416e-05
      -8.672e-06    -9.90704e-06
      -1.014e-05    -1.76367e-05
    -0.000194256    -0.000164367
    -0.000250263    -0.000253735
     -1.5569e-05    -2.18141e-05
     -4.5805e-05    -8.78952e-05
    -0.000106704    -0.000106531
     -3.8648e-05    -3.49576e-05
    -0.000111206    -0.000103568
      -9.603e-06    -1.23705e-05
    -0.000158221    -0.000212726
     -1.4345e-05    -2.25601e-05
    -0.000176861    -0.000203114
    -0.000165494    -0.000192194
     -1.7123e-05    -2.33733e-05
    -0.000339713    -0.000386787
     -3.8201e-05    -6.75485e-05
    -0.000383714    -0.000298881
    -0.000227213    -0.000331354
      -3.518e-05     -4.5232e-05
    -0.000186097    -0.000298158
    -0.000262923    -0.000226992
     -4.4312e-05    -5.38572e-05
    -0.000198424    -0.000174825
     -1.2365e-05    -1.51696e-05
     -1.9282e-05    -3.23909e-05
    -0.000480448    -0.000416463
     -3.7612e-05    -4.84736e-05
     -0.00016151    -0.000161806
     -1.1835e-05    -2.16301e-05
    -0.000124884    -0.000125215
     -6.3324e-05    -6.83266e-05
     -1.3764e-05    -1.77049e-05
    -0.000122498    -0.000161436
     -1.3527e-05    -2.37351e-05
     -4.2632e-05    -5.00044e-05
      -5.874e-06    -9.66408e-06
      -4.454e-06    -6.85511e-06
    -0.000387258    -0.000498959
    -0.000265621    -0.000348788
      -7.517e-06    -1.46374e-05
    -0.000320115    -0.000264419
     -6.8614e-05    -8.13082e-05
      -9.872e-06    -1.59952e-05
     -6.8875e-05    -9.99706e-05
    -0.000720086    -0.000566268
    -0.000142073    -0.000195262
    -0.000476067    -0.000441622
     -5.7904e-05    -0.000104386
     -2.0819e-05    -3.46529e-05
      -9.148e-06    -1.33988e-05
      -4.033e-05    -4.36296e-05
      -5.823e-06     -9.8033e-06
    -0.000446327    -0.000428385
      -5.427e-06    -1.00611e-05
     -2.2779e-05    -2.94674e-05
      -6.186e-06    -1.03204e-05
     -4.9662e-05    -0.000129994
    -0.000183215    -0.000206354
     -3.2043e-05    -3.97746e-05
     -1.7106e-05    -2.04181e-05
    -0.000380281    -0.000370194
      -4.914e-06    -7.46333e-06
    -0.000384898    -0.000393934
     -9.5262e-05    -9.94279e-05
    -0.000802601    -0.000655064
     -4.1151e-05    -4.81915e-05
    -0.000144206    -0.000133682
     -6.6536e-05    -0.000133645
     -2.0266e-05    -3.00307e-05
     -1.6416e-05    -3.01748e-05
    -0.000548597    -0.000485655
     -1.2864e-05     -2.1328e-05
     -1.3273e-05    -3.73522e-05
     -1.9183e-05    -2.00255e-05
      -5.168e-06     -8.2621e-06
       -7.38e-06    -1.03255e-05
     -1.7722e-05    -4.07352e-05
     -3.7126e-05    -3.61954e-05
     -2.2637e-05    -2.35262e-05
    -0.000156977    -0.000155453
    -0.000324797    -0.000265125
    -0.000225895    -0.000274901
     -7.1812e-05    -8.86472e-05
    -0.000472996    -0.000417767
    -0.000174844    -0.000182528
      -3.848e-06    -8.29386e-06
      -5.193e-05     -9.0706e-05
     -2.1738e-05    -2.79755e-05
     -1.9345e-05    -2.93774e-05
      -6.303e-06    -1.16329e-05
     -1.2484e-05    -2.63168e-05
      -5.614e-06     -7.9891e-06
     -5.6422e-05    -9.03366e-05
     -1.2357e-05    -1.37893e-05
     -2.7421e-05    -5.69349e-05
     -1.6133e-05    -2.65309e-05
    -0.000105906    -0.000153439
     -6.1353e-05    -8.26445e-05
      -6.464e-06    -9.28679e-06
    -0.000381834    -0.000311052
     -4.7721e-05    -8.31278e-05
     -1.6634e-05    -3.07523e-05
       -7.59e-06    -2.13431e-05
       -8.42e-06    -9.34051e-06
      -6.846e-06    -1.14374e-05
     -1.3241e-05    -2.56131e-05
     -3.3919e-05    -4.13878e-05
     -1.0913e-05    -1.10849e-05
     -1.2191e-05    -1.58093e-05
     -1.3612e-05    -2.38504e-05
     -2.1078e-05    -3.12331e-05
     -1.7229e-05    -2.37988e-05
      -5.765e-05    -8.16249e-05
    -0.000296412    -0.000344821
     -1.3947e-05    -1.49675e-05
     -1.7042e-05    -2.16916e-05
     -3.2624e-05      -5.849e-05
      -5.904e-06    -1.07621e-05
     -4.9996e-05    -5.34612e-05
     -5.1018e-05    -6.30841e-05
     -4.6195e-05    -6.39953e-05
    -0.000205941    -0.000191236
    -0.000365519    -0.000338204
     -0.00091797    -0.000740331
     -2.0018e-05    -3.38589e-05
