QM Energy	FF Energy
     -1.5085e-05    -2.32535e-05
    -0.000646115    -0.000535105
      -9.009e-06    -1.32379e-05
     -1.4734e-05    -1.83685e-05
    -0.000236158    -0.000205804
     -1.1859e-05    -1.66078e-05
     -2.4433e-05    -3.37492e-05
     -2.7387e-05    -3.85107e-05
    -0.000116019    -0.000122735
     -3.2517e-05    -6.02999e-05
     -1.1368e-05    -2.34884e-05
     -2.6975e-05    -4.27501e-05
     -0.00025996    -0.000287647
     -1.1688e-05    -1.88333e-05
       -4.77e-06    -6.92331e-06
     -9.8532e-05    -0.000101794
    -0.000229996    -0.000214129
      -5.979e-05    -8.81758e-05
    -0.000296796     -0.00024598
     -3.5544e-05    -6.86614e-05
     -1.5613e-05    -1.47581e-05
    -0.000236341    -0.000214169
    -0.000102265    -0.000118819
    -0.000348336    -0.000340162
     -2.6975e-05    -3.27026e-05
      -9.194e-06    -1.28981e-05
      -6.925e-06    -1.08148e-05
    -0.000392246    -0.000339763
     -0.00044461    -0.000392841
      -5.325e-06    -8.94485e-06
     -7.5451e-05     -0.00010616
    -0.000539507    -0.000497354
    -0.000308419    -0.000341229
     -4.7164e-05     -5.6427e-05
    -0.000299387    -0.000362435
     -1.9061e-05    -2.20706e-05
      -8.432e-06    -1.16489e-05
     -2.7097e-05    -3.06779e-05
      -5.404e-06    -1.40189e-05
    -0.000415422    -0.000332403
    -0.000353816       -0.000313
     -1.5782e-05    -3.21213e-05
    -0.000119549    -0.000141758
     -9.4621e-05      -0.0001049
      -4.861e-06    -6.17881e-06
    -0.000315161    -0.000272917
      -1.244e-05    -2.09451e-05
    -0.000401294    -0.000344618
    -0.000173456    -0.000196263
    -0.000220609    -0.000239144
    -0.000185823    -0.000212456
    -0.000520506    -0.000503785
     -1.1719e-05    -1.94742e-05
    -0.000180447    -0.000251665
    -0.000430877      -0.0004711
    -0.000674042    -0.000708342
    -0.000280051    -0.000257762
     -6.1725e-05    -6.53451e-05
       -9.89e-06    -1.12867e-05
    -0.000112304    -0.000134301
     -8.4657e-05    -9.09492e-05
     -4.6069e-05    -5.51618e-05
     -3.0003e-05    -3.83606e-05
      -0.0001162    -0.000154235
     -3.4944e-05    -4.83059e-05
    -0.000617622    -0.000562646
    -0.000507773    -0.000475107
    -0.000198104    -0.000268996
     -5.8913e-05    -6.06994e-05
    -0.000179906     -0.00020287
    -0.000150184    -0.000164259
    -0.000737035    -0.000552481
     -2.1757e-05    -2.37481e-05
      -7.734e-05    -7.95083e-05
      -4.313e-05    -4.94974e-05
    -0.000886347     -0.00069408
     -6.8277e-05    -6.34084e-05
      -5.855e-06    -1.15095e-05
     -1.7721e-05     -2.2335e-05
     -1.5585e-05    -2.40125e-05
    -0.000298993     -0.00031058
     -8.3348e-05    -0.000108749
    -0.000100903    -0.000104219
     -1.3191e-05    -1.56213e-05
     -4.3056e-05    -5.25745e-05
     -9.7196e-05    -0.000110957
     -1.2486e-05    -3.58083e-05
     -3.9245e-05    -5.13442e-05
     -2.2032e-05    -3.09794e-05
    -0.000145693    -0.000167289
     -6.6394e-05     -6.7238e-05
     -1.0637e-05    -1.27754e-05
     -1.0799e-05    -2.98719e-05
     -6.5166e-05    -9.48709e-05
     -6.2205e-05    -0.000115073
     -5.7876e-05    -6.62603e-05
    -0.000147901    -0.000142065
      -7.326e-06    -1.15126e-05
     -7.7193e-05    -9.21118e-05
    -0.000184331    -0.000206186
     -1.5448e-05       -2.18e-05
       -9.44e-06    -1.26725e-05
     -6.5155e-05    -0.000124637
     -1.7385e-05    -2.17173e-05
     -3.0575e-05    -3.16324e-05
     -1.5345e-05    -1.57163e-05
      -7.785e-06     -9.2604e-06
    -0.000175484     -0.00019228
    -0.000158746    -0.000214031
     -1.6952e-05    -2.25378e-05
      -3.617e-06    -7.16386e-06
     -1.2154e-05    -1.19478e-05
      -7.618e-06    -8.77374e-06
     -2.5696e-05    -2.90713e-05
       -6.56e-06    -1.20987e-05
     -4.3506e-05    -4.51669e-05
     -2.1658e-05    -3.42484e-05
    -0.000148166    -0.000197627
      -1.306e-05    -3.04134e-05
     -5.9413e-05     -7.5471e-05
      -8.179e-06    -1.03662e-05
      -1.601e-05    -1.99513e-05
    -0.000133427     -0.00013991
      -7.094e-06    -1.48468e-05
     -3.7237e-05    -5.68447e-05
    -0.000259207    -0.000356538
     -3.0491e-05    -4.12608e-05
    -0.000333038    -0.000342481
      -2.066e-05    -2.56333e-05
    -0.000108017    -0.000101627
     -3.1426e-05    -3.36205e-05
      -3.684e-06    -5.90504e-06
     -2.1457e-05    -3.00041e-05
    -0.000148466     -0.00013281
      -9.806e-06    -1.61913e-05
      -5.291e-06    -1.04254e-05
     -1.4971e-05    -2.24963e-05
    -0.000108096    -0.000158777
      -3.615e-05     -3.8886e-05
     -3.8193e-05    -6.31771e-05
     -3.7843e-05    -4.79554e-05
     -3.4932e-05    -5.07946e-05
      -3.792e-05    -4.67794e-05
     -1.3599e-05    -1.66239e-05
    -0.000204082    -0.000215259
     -1.1272e-05    -1.73092e-05
     -1.4566e-05    -1.93209e-05
      -5.391e-06    -8.59714e-06
     -1.3084e-05    -1.90243e-05
     -3.4783e-05    -4.43888e-05
     -1.3288e-05    -1.76548e-05
     -7.2357e-05    -9.31961e-05
    -0.000365101     -0.00040077
     -1.4724e-05    -2.16683e-05
    -0.000172628    -0.000220564
     -2.8782e-05    -4.79843e-05
      -4.647e-06    -7.95767e-06
    -0.000104003    -0.000106067
     -1.8231e-05    -3.18035e-05
     -9.6981e-05    -0.000124713
      -5.445e-06    -9.18305e-06
     -2.4653e-05    -2.61339e-05
     -8.5705e-05    -8.16598e-05
    -0.000235607    -0.000236612
     -1.8031e-05    -1.95941e-05
     -3.6371e-05    -5.46315e-05
     -2.5714e-05    -4.29132e-05
     -1.5809e-05    -1.81005e-05
     -5.8877e-05    -6.56587e-05
      -8.672e-06    -9.76748e-06
      -1.014e-05    -1.67717e-05
    -0.000194256     -0.00017249
    -0.000250263    -0.000259843
     -1.5569e-05    -2.16183e-05
     -4.5805e-05    -8.50446e-05
    -0.000106704    -0.000109286
     -3.8648e-05    -3.58811e-05
    -0.000111206    -0.000107316
      -9.603e-06    -1.21381e-05
    -0.000158221    -0.000209901
     -1.4345e-05    -2.18886e-05
    -0.000176861    -0.000201427
    -0.000165494    -0.000196699
     -1.7123e-05    -2.28709e-05
    -0.000339713    -0.000383099
     -3.8201e-05    -6.68783e-05
    -0.000383714     -0.00031545
    -0.000227213    -0.000328642
      -3.518e-05    -4.48267e-05
    -0.000186097     -0.00029386
    -0.000262923    -0.000237945
     -4.4312e-05    -5.37739e-05
    -0.000198424    -0.000183083
     -1.2365e-05    -1.49779e-05
     -1.9282e-05    -3.11562e-05
    -0.000480448    -0.000420826
     -3.7612e-05    -4.83439e-05
     -0.00016151    -0.000165709
     -1.1835e-05    -2.08212e-05
    -0.000124884    -0.000129096
     -6.3324e-05    -6.94719e-05
     -1.3764e-05    -1.74808e-05
    -0.000122498     -0.00016082
     -1.3527e-05    -2.28094e-05
     -4.2632e-05    -5.06993e-05
      -5.874e-06    -9.23321e-06
      -4.454e-06    -6.53011e-06
    -0.000387258     -0.00049307
    -0.000265621    -0.000343601
      -7.517e-06    -1.39057e-05
    -0.000320115    -0.000277566
     -6.8614e-05    -8.21624e-05
      -9.872e-06    -1.52723e-05
     -6.8875e-05    -9.74279e-05
    -0.000720086    -0.000561756
    -0.000142073    -0.000192686
    -0.000476067    -0.000442023
     -5.7904e-05    -0.000101253
     -2.0819e-05    -3.36467e-05
      -9.148e-06    -1.30022e-05
      -4.033e-05    -4.42691e-05
      -5.823e-06    -9.33278e-06
    -0.000446327    -0.000426054
      -5.427e-06    -9.65913e-06
     -2.2779e-05    -2.93938e-05
      -6.186e-06    -9.82908e-06
     -4.9662e-05    -0.000125692
    -0.000183215    -0.000207432
     -3.2043e-05    -3.96526e-05
     -1.7106e-05    -2.02266e-05
    -0.000380281    -0.000377906
      -4.914e-06     -7.1776e-06
    -0.000384898    -0.000399399
     -9.5262e-05    -0.000102108
    -0.000802601    -0.000638961
     -4.1151e-05    -4.83482e-05
    -0.000144206    -0.000138678
     -6.6536e-05    -0.000130984
     -2.0266e-05     -2.9663e-05
     -1.6416e-05    -2.88999e-05
    -0.000548597    -0.000483132
     -1.2864e-05    -2.06211e-05
     -1.3273e-05    -3.59926e-05
     -1.9183e-05    -2.01981e-05
      -5.168e-06    -7.83961e-06
       -7.38e-06     -1.0067e-05
     -1.7722e-05    -3.93883e-05
     -3.7126e-05    -3.70452e-05
     -2.2637e-05    -2.38136e-05
    -0.000156977    -0.000159536
    -0.000324797    -0.000278327
    -0.000225895    -0.000273458
     -7.1812e-05    -8.92895e-05
    -0.000472996    -0.000419653
    -0.000174844    -0.000186459
      -3.848e-06    -7.89071e-06
      -5.193e-05    -8.92116e-05
     -2.1738e-05     -2.7654e-05
     -1.9345e-05     -2.9042e-05
      -6.303e-06    -1.11352e-05
     -1.2484e-05    -2.55187e-05
      -5.614e-06    -7.72396e-06
     -5.6422e-05    -8.79212e-05
     -1.2357e-05    -1.36932e-05
     -2.7421e-05    -5.48863e-05
     -1.6133e-05    -2.53557e-05
    -0.000105906    -0.000152128
     -6.1353e-05    -8.10726e-05
      -6.464e-06    -8.94565e-06
    -0.000381834    -0.000326053
     -4.7721e-05    -8.11537e-05
     -1.6634e-05    -2.99887e-05
       -7.59e-06    -2.02538e-05
       -8.42e-06    -9.23635e-06
      -6.846e-06    -1.10079e-05
     -1.3241e-05    -2.44996e-05
     -3.3919e-05    -4.12693e-05
     -1.0913e-05    -1.10721e-05
     -1.2191e-05    -1.55078e-05
     -1.3612e-05     -2.2813e-05
     -2.1078e-05    -3.03442e-05
     -1.7229e-05    -2.30579e-05
      -5.765e-05    -8.06378e-05
    -0.000296412    -0.000348972
     -1.3947e-05    -1.50127e-05
     -1.7042e-05    -2.13322e-05
     -3.2624e-05    -5.66796e-05
      -5.904e-06    -1.03736e-05
     -4.9996e-05    -5.46043e-05
     -5.1018e-05    -6.26423e-05
     -4.6195e-05    -6.25934e-05
    -0.000205941    -0.000197812
    -0.000365519    -0.000348436
     -0.00091797    -0.000735897
     -2.0018e-05    -3.27352e-05
      -9.995e-06    -1.07791e-05
    -0.000266231    -0.000245463
    -0.000335825     -0.00033353
     -1.8979e-05    -2.51683e-05
     -7.4357e-05    -0.000129221
    -0.000217769    -0.000262515
     -4.7456e-05    -4.93125e-05
     -1.5422e-05     -2.7294e-05
    -0.000102336    -0.000105565
     -6.5018e-05    -6.44147e-05
     -8.8879e-05      -0.0001188
     -3.0188e-05    -4.79664e-05
    -0.000424127     -0.00038265
     -1.6076e-05    -2.08804e-05
    -0.000281958     -0.00035478
     -0.00016691    -0.000153885
     -2.7009e-05    -5.75341e-05
    -0.000177894    -0.000228972
       -8.28e-06    -1.35669e-05
    -0.000273496    -0.000310181
     -0.00012259    -0.000193563
    -0.000563101    -0.000483367
      -7.684e-06     -9.1406e-06
    -0.000366087    -0.000378406
      -5.222e-06    -7.85766e-06
     -5.0082e-05    -4.76549e-05
    -0.000388551    -0.000480401
     -2.5798e-05    -2.57791e-05
     -0.00026681    -0.000241208
     -4.7619e-05    -6.23033e-05
    -0.000166376    -0.000260816
    -0.000350631    -0.000321852
     -8.5111e-05    -0.000124728
     -9.3928e-05    -0.000114612
    -0.000196622    -0.000183293
     -6.8856e-05    -0.000101867
     -5.0519e-05    -5.08197e-05
     -1.9407e-05     -2.4315e-05
     -3.6239e-05    -4.53754e-05
    -0.000369995    -0.000393118
      -9.772e-06    -1.21745e-05
     -1.1545e-05    -2.03052e-05
    -0.000284923    -0.000295129
    -0.000249518    -0.000240393
     -2.6319e-05    -3.23329e-05
     -3.3063e-05    -5.17286e-05
      -5.967e-06     -9.9207e-06
