QM Energy	FF Energy
     -2.5975e-05    -2.93703e-05
     -0.00146537     -0.00139505
      -1.439e-05    -1.66993e-05
    -0.000793975    -0.000794216
     -3.9407e-05    -4.41384e-05
    -0.000282127    -0.000286094
     -5.5284e-05    -5.97425e-05
     -2.4928e-05    -2.77067e-05
     -0.00134514     -0.00136352
     -0.00107918     -0.00101693
      -6.541e-06    -7.97097e-06
    -0.000109078    -0.000108716
    -0.000106702    -0.000114191
      -8.757e-06    -1.00859e-05
        -9.2e-06    -1.10117e-05
     -2.1866e-05    -2.49828e-05
     -1.4111e-05    -1.61462e-05
    -0.000562266    -0.000585553
      -1.251e-05    -1.47229e-05
     -8.0114e-05    -8.68622e-05
     -1.5631e-05    -1.78431e-05
    -0.000283482    -0.000293271
    -0.000295151    -0.000299678
     -7.8844e-05    -8.82002e-05
     -4.1935e-05    -4.66967e-05
     -4.2608e-05    -4.65562e-05
     -1.6361e-05    -1.86068e-05
    -0.000591481    -0.000591549
     -0.00116268     -0.00117081
    -0.000247426    -0.000251556
    -0.000151804    -0.000159021
     -2.8615e-05    -3.21077e-05
     -5.3837e-05    -5.77954e-05
    -0.000424951    -0.000418559
     -1.4549e-05    -1.65935e-05
     -1.0391e-05    -1.18848e-05
     -2.0044e-05    -2.25703e-05
     -6.1859e-05    -6.77364e-05
     -1.2812e-05    -1.46937e-05
      -0.0012687     -0.00144392
    -0.000561451    -0.000534088
     -2.4603e-05    -2.71835e-05
     -5.8601e-05    -6.23654e-05
     -4.7879e-05    -5.03183e-05
    -0.000280493    -0.000276567
    -0.000315783    -0.000317196
    -0.000616291    -0.000613024
    -0.000702432    -0.000668364
    -0.000125342    -0.000132892
    -0.000235063    -0.000244755
     -0.00038898    -0.000395611
     -1.2427e-05    -1.43567e-05
     -7.5507e-05    -8.00872e-05
      -3.135e-05    -3.49403e-05
     -9.4476e-05    -9.78237e-05
    -0.000939616     -0.00100805
     -7.1073e-05    -7.73802e-05
     -1.5222e-05    -1.73972e-05
    -0.000648552    -0.000618253
    -0.000708653    -0.000691637
    -0.000391641    -0.000386676
     -3.8427e-05    -4.24043e-05
     -3.9738e-05    -4.42444e-05
    -0.000130637     -0.00012666
     -5.2225e-05    -5.76143e-05
    -0.000308137     -0.00030295
