QM Energy	FF Energy
    -0.000151134    -0.000146687
     -0.00774815     -0.00803408
    -0.000109292    -0.000109357
     -0.00342726     -0.00327955
     -2.6636e-05    -6.53324e-06
     -0.00107676     -0.00111198
    -0.000321403    -0.000348487
    -0.000143339    -0.000163545
     -0.00739298     -0.00717124
      -0.0043895     -0.00465197
     -2.9841e-05    -2.33542e-05
    -0.000630123    -0.000755239
    -0.000435052    -0.000435553
      -6.144e-05    -7.49447e-05
      -3.677e-05    -1.93166e-05
     -3.7409e-05    -2.09997e-05
           7e-06      2.1741e-05
     -0.00245991     -0.00227033
     -8.6712e-05    -9.07564e-05
    -0.000215386    -0.000199332
     -4.9239e-05      -3.871e-05
    -0.000734855      -0.0007177
     -0.00122428     -0.00122703
    -0.000515233    -0.000581745
    -0.000237947    -0.000243824
    -0.000257279    -0.000306043
      -9.298e-05    -0.000109274
     -0.00208755     -0.00203822
     -0.00664034     -0.00636992
     -0.00152332     -0.00157944
    -0.000695155    -0.000700195
     -7.4303e-05    -6.17509e-05
    -0.000282205    -0.000325822
     -0.00178932     -0.00179268
     -8.4021e-05    -9.75938e-05
     -8.4311e-05    -0.000124994
    -0.000109747    -0.000112077
     -0.00027741    -0.000279614
     -9.8313e-05    -0.000139016
      -0.0085745     -0.00796574
     -0.00298469     -0.00312789
    -0.000141332    -0.000147569
    -0.000304893    -0.000335705
    -0.000305203    -0.000398335
     -0.00142428     -0.00155711
      -0.0013818     -0.00140377
     -0.00277827      -0.0027449
     -0.00445691     -0.00464684
    -0.000538947    -0.000536108
     -0.00125508     -0.00125045
     -0.00174339     -0.00170504
     -5.7629e-05    -5.90223e-05
    -0.000429192    -0.000489323
    -0.000121327    -0.000107386
    -0.000511671    -0.000584373
     -0.00579855      -0.0054892
    -0.000228355    -0.000214456
       3.374e-06     1.80955e-05
      -0.0033728     -0.00351124
     -0.00362919     -0.00363353
     -0.00193497     -0.00205092
    -0.000225547    -0.000246957
    -0.000188215     -0.00018953
    -0.000750324    -0.000953725
    -0.000195706    -0.000194816
     -0.00153996     -0.00160358
     -0.00013983    -0.000143433
    -0.000695386    -0.000702915
    -0.000269048    -0.000246235
    -0.000532971    -0.000521203
    -0.000143743    -0.000139028
     -0.00231025     -0.00235467
     -1.2102e-05    -1.43535e-07
     -0.00253911     -0.00271483
    -0.000248172    -0.000217873
     -0.00142532     -0.00154384
      -7.579e-05    -0.000105085
    -0.000118087    -0.000149084
     -0.00180801     -0.00204122
    -0.000320579    -0.000301894
      -0.0013813      -0.0013707
    -0.000300853    -0.000284781
     -8.8214e-05    -0.000104794
    -0.000509561    -0.000590042
      -0.0017439      -0.0017609
    -0.000365913    -0.000389538
    -0.000158926    -0.000157315
      -0.0046658     -0.00449647
    -0.000141993    -0.000140974
