# Eelst 		 Emultipole 
     -0.00015113      -0.00003684
     -0.00774815      -0.00091815
     -0.00010929      -0.00003674
     -0.00342726      -0.00012678
     -0.00002664       0.00011401
     -0.00107676      -0.00012156
     -0.00032140      -0.00007292
     -0.00014334       0.00002867
     -0.00739298       0.00020944
     -0.00438950      -0.00046382
     -0.00002984       0.00003608
     -0.00063012      -0.00000265
     -0.00043505       0.00012550
     -0.00006144      -0.00002181
     -0.00003677       0.00006391
     -0.00003741       0.00006974
      0.00000700       0.00006592
     -0.00245991       0.00035982
     -0.00008671      -0.00001698
     -0.00021539       0.00013265
     -0.00004924       0.00001843
     -0.00073486       0.00015976
     -0.00122428      -0.00011150
     -0.00051523      -0.00007155
     -0.00023795      -0.00001369
     -0.00025728      -0.00010789
     -0.00009298      -0.00000880
     -0.00208755       0.00005503
     -0.00664034       0.00014275
     -0.00152332       0.00003439
     -0.00069515       0.00016841
     -0.00007430       0.00003905
     -0.00028220      -0.00000749
     -0.00178932       0.00022821
     -0.00008402      -0.00003177
     -0.00008431      -0.00004577
     -0.00010975       0.00007757
     -0.00027741      -0.00004327
     -0.00009831      -0.00004244
     -0.00857450      -0.00000992
     -0.00298469      -0.00011599
     -0.00014133       0.00009332
     -0.00030489       0.00009774
     -0.00030520      -0.00006251
     -0.00142428      -0.00011662
     -0.00138180       0.00012001
     -0.00277827       0.00031173
     -0.00445691       0.00049367
     -0.00053895      -0.00007570
     -0.00125508      -0.00006280
     -0.00174339       0.00003237
     -0.00005763       0.00003042
     -0.00042919      -0.00007396
     -0.00012133       0.00005360
     -0.00051167       0.00003894
     -0.00579855       0.00011527
     -0.00022835       0.00013812
      0.00000337       0.00006568
     -0.00337280      -0.00013747
     -0.00362919      -0.00028690
     -0.00193497      -0.00032498
     -0.00022555      -0.00003912
     -0.00018821      -0.00000033
     -0.00075032      -0.00017439
     -0.00019571      -0.00000819
     -0.00153996      -0.00006145
     -0.00013983       0.00005572
     -0.00069539       0.00003366
     -0.00026905       0.00003665
     -0.00053297       0.00006119
     -0.00014374       0.00001143
     -0.00231025      -0.00002333
     -0.00001210       0.00004700
     -0.00253911      -0.00021129
     -0.00024817       0.00017753
     -0.00142532      -0.00002790
     -0.00007579      -0.00004970
     -0.00011809      -0.00003923
     -0.00180801      -0.00022198
     -0.00032058       0.00003232
     -0.00138130      -0.00015888
     -0.00030085       0.00002990
     -0.00008821      -0.00003544
     -0.00050956      -0.00005774
     -0.00174390       0.00003193
     -0.00036591      -0.00001168
     -0.00015893       0.00006188
     -0.00466580      -0.00039530
     -0.00014199       0.00009004
     -0.00428796       0.00021423
     -0.00353317      -0.00035117
     -0.00016724      -0.00004118
     -0.00022323      -0.00005443
     -0.00146522       0.00037161
     -0.00237454      -0.00015091
     -0.00047903       0.00015586
     -0.00094932       0.00011623
     -0.00014381       0.00004313
     -0.00022947      -0.00002339
     -0.00289343       0.00004824
     -0.00078398       0.00023079
     -0.00532345       0.00035686
     -0.00006485      -0.00004703
     -0.00126225      -0.00012864
     -0.00004394       0.00008716
     -0.00384735      -0.00040771
     -0.00007014       0.00000701
     -0.00003693       0.00006023
     -0.00068297       0.00001710
     -0.00041217      -0.00006636
     -0.00002911       0.00005731
     -0.00460307      -0.00031119
     -0.00097488      -0.00016248
     -0.00283208      -0.00022026
     -0.00061064      -0.00016508
     -0.00137133       0.00023009
     -0.00222705      -0.00004512
     -0.00427783      -0.00006232
     -0.00019953      -0.00004156
     -0.00001200       0.00005418
     -0.00045414      -0.00015301
     -0.00007554       0.00003123
     -0.00024922       0.00002860
     -0.00025847      -0.00003902
     -0.00097862      -0.00015842
     -0.00027642       0.00011089
     -0.00013702      -0.00010199
     -0.00120601       0.00019821
     -0.00652539      -0.00010515
     -0.00193700       0.00016448
     -0.00211119      -0.00015245
     -0.00043068      -0.00000422
     -0.00432174      -0.00049418
     -0.00047127       0.00008281
     -0.00010950       0.00005434
     -0.00010361      -0.00004212
     -0.00121242       0.00009025
     -0.00037349      -0.00006954
     -0.00081263      -0.00001037
     -0.00008122      -0.00002979
     -0.00010721       0.00001966
     -0.00017716       0.00009276
     -0.00049582      -0.00007382
     -0.00325865      -0.00009093
     -0.00015264      -0.00002853
     -0.00090430      -0.00014531
     -0.00334929       0.00001324
     -0.00082725       0.00022750
     -0.00144778       0.00018798
     -0.00230790      -0.00048815
     -0.00005746       0.00000908
     -0.00002992       0.00001126
     -0.00242875       0.00014716
     -0.00309177       0.00028730
     -0.00054385      -0.00009384
     -0.00020938       0.00001178
     -0.00258023      -0.00034025
     -0.00301675      -0.00002766
     -0.00003045       0.00002787
     -0.00319964       0.00054576
     -0.00044606      -0.00016966
     -0.00214405      -0.00032158
     -0.00003336       0.00006769
     -0.00015010      -0.00004584
     -0.00500255       0.00052887
     -0.00048154       0.00011416
     -0.00035828      -0.00011187
     -0.00096436      -0.00009520
     -0.00301216       0.00013869
     -0.00161835      -0.00018052
     -0.00412886      -0.00042706
     -0.00014162       0.00005183
     -0.00020589       0.00007982
     -0.00015384       0.00003257
     -0.00020920      -0.00002997
     -0.00039681      -0.00009788
     -0.00001525       0.00007594
     -0.00067752      -0.00011110
     -0.00117232      -0.00000188
     -0.00477584      -0.00031767
     -0.00097975      -0.00022556
     -0.00004652       0.00007073
     -0.00010322      -0.00002161
     -0.00013676      -0.00006112
     -0.00009143       0.00007010
     -0.00021109      -0.00007803
     -0.00110147      -0.00009522
     -0.00126833       0.00031982
     -0.00112154      -0.00005747
     -0.00120682      -0.00008741
     -0.00525646       0.00033882
     -0.00619968       0.00005550
     -0.00141024       0.00032601
     -0.00027734       0.00004942
     -0.00077557      -0.00003502
     -0.00007892      -0.00004432
     -0.00024154      -0.00007606
     -0.00002162       0.00004313
     -0.00000992       0.00005852
     -0.00043996       0.00010546
     -0.00027994       0.00014848
     -0.00075695      -0.00016582
     -0.00023962      -0.00000269
     -0.00038959       0.00005602
     -0.00376411       0.00007393
     -0.00377586      -0.00058224
     -0.00036933       0.00016000
     -0.00108535       0.00018366
     -0.00316045      -0.00013229
     -0.00269723      -0.00023991
     -0.00099451      -0.00016845
     -0.00010646      -0.00002565
     -0.00022944       0.00013060
     -0.00040409      -0.00001986
     -0.00000072       0.00009618
     -0.00383540      -0.00057768
     -0.00016969       0.00000197
     -0.00010343      -0.00002959
     -0.00036252      -0.00002820
     -0.00075994      -0.00015969
     -0.00001791       0.00006045
     -0.00054486      -0.00013718
     -0.00152231       0.00010021
     -0.00364532      -0.00019019
     -0.00298376       0.00032312
     -0.00021843      -0.00005990
     -0.00049808      -0.00011239
     -0.00159079      -0.00008495
     -0.00007012       0.00008314
     -0.00006296       0.00000256
     -0.00350537       0.00031434
     -0.00812106      -0.00001919
     -0.00017076      -0.00004736
     -0.00012277      -0.00000871
     -0.00033990       0.00014920
     -0.00051588      -0.00009197
     -0.00008744      -0.00002786
     -0.00043778      -0.00008608
     -0.00006961       0.00010675
     -0.00023508      -0.00005464
     -0.00801755       0.00061278
     -0.00146139      -0.00020734
     -0.00014081       0.00004994
     -0.00233935      -0.00007733
     -0.00053891      -0.00013000
     -0.00108894       0.00011865
     -0.00038628       0.00001583
     -0.00117817      -0.00006727
     -0.00221326       0.00010712
     -0.00022764       0.00004716
     -0.00008679       0.00007611
     -0.00280324       0.00011554
     -0.00135505      -0.00018544
     -0.00061192       0.00011849
     -0.00012638       0.00008340
     -0.00090491      -0.00000667
     -0.00014266       0.00000486
     -0.00205445      -0.00013538
     -0.00007457      -0.00003733
     -0.00221379       0.00009960
     -0.00016558       0.00003578
     -0.00123068       0.00015057
     -0.00029210      -0.00000456
     -0.00500696      -0.00047546
     -0.00138158       0.00000636
     -0.00028577       0.00012331
     -0.00088865      -0.00018021
     -0.00427797       0.00025211
     -0.00153769      -0.00004446
     -0.00005928      -0.00001112
     -0.00007912      -0.00000369
     -0.00054296      -0.00012854
     -0.00008533       0.00009754
     -0.00211790       0.00001048
     -0.00074674       0.00017483
     -0.00529246      -0.00015609
     -0.00380258       0.00000679
     -0.00018139       0.00007424
     -0.00186856      -0.00008401
     -0.00014403      -0.00009130
     -0.00117630       0.00016176
     -0.00091240      -0.00011209
     -0.00053597      -0.00005040
     -0.00187269      -0.00012785
     -0.00022413       0.00008808
     -0.00330836       0.00003348
     -0.00009571      -0.00002211
     -0.00053800       0.00003093
     -0.00038542      -0.00002106
     -0.00054891      -0.00006140
     -0.00031083      -0.00014966
     -0.00015184      -0.00007726
     -0.00012359      -0.00002299
     -0.00011039       0.00002356
     -0.00126134      -0.00007782
     -0.00010561      -0.00005340
     -0.00158082      -0.00012969
     -0.00025236      -0.00002555
     -0.00008488       0.00001526
     -0.00099944       0.00004264
     -0.00149810       0.00002154
     -0.00012525       0.00004460
     -0.00017280      -0.00004894
     -0.00106974      -0.00005264
     -0.00110057       0.00001673
     -0.00220955      -0.00040544
     -0.00086487      -0.00006784
     -0.00082286      -0.00023221
     -0.00706401       0.00002317
     -0.00023359      -0.00004588
     -0.00060772       0.00009106
     -0.00635776      -0.00023627
     -0.00011937      -0.00003249
     -0.00284897       0.00019854
     -0.00056291       0.00015817
     -0.00019611      -0.00005284
     -0.00082013      -0.00015878
     -0.00421114      -0.00010738
     -0.00014537       0.00009449
     -0.00120850       0.00013825
     -0.00302983       0.00003506
     -0.00052622       0.00025496
     -0.00058343      -0.00018303
     -0.00366133      -0.00046061
     -0.00022378       0.00014790
     -0.00165094      -0.00016952
     -0.00118161      -0.00021524
     -0.00026052      -0.00013145
     -0.00005568       0.00007117
     -0.00090910      -0.00009821
     -0.00579601      -0.00036423
     -0.00007545       0.00004356
     -0.00016365      -0.00009289
     -0.00158747       0.00004037
     -0.00129598      -0.00016270
     -0.00063441       0.00000022
     -0.00021060       0.00012134
     -0.00085212       0.00010988
     -0.00011984       0.00001487
     -0.00003685       0.00002969
     -0.00026079      -0.00008411
     -0.00009688       0.00000978
     -0.00060350       0.00002689
     -0.00594208       0.00026904
     -0.00208622      -0.00025591
     -0.00005952       0.00008085
     -0.00057817      -0.00001456
     -0.00251588      -0.00025367
     -0.00032374      -0.00003008
     -0.00183631       0.00026497
     -0.00018169       0.00004033
     -0.00895287       0.00004210
     -0.00022969      -0.00006994
     -0.00003690       0.00002461
     -0.00003475       0.00003785
     -0.00010468       0.00003580
     -0.00008984       0.00001709
     -0.00051542      -0.00014974
     -0.00023040      -0.00001454
     -0.00146190      -0.00022574
     -0.00094892      -0.00006626
     -0.00106975       0.00034817
     -0.00102089      -0.00013918
     -0.00049969       0.00003109
     -0.00129044      -0.00020492
     -0.00430617       0.00079449
     -0.00048629       0.00017747
     -0.00083414       0.00000990
     -0.00017639      -0.00004555
     -0.00193720       0.00008098
     -0.00243943      -0.00032476
     -0.00202734      -0.00034159
     -0.00105225      -0.00011823
     -0.00807036       0.00003031
     -0.00182320      -0.00005046
     -0.00128077      -0.00023835
     -0.00149187       0.00033072
     -0.00008512      -0.00005380
     -0.00690366      -0.00015592
     -0.00011585       0.00006523
     -0.00422332      -0.00049447
     -0.00066163      -0.00010620
      0.00001082       0.00006996
     -0.00300446      -0.00021056
     -0.00017922       0.00001463
     -0.00021486      -0.00002367
     -0.00132285       0.00022236
     -0.00160600      -0.00012858
     -0.00094677      -0.00011348
     -0.00026076       0.00009641
     -0.00024094       0.00007573
     -0.00013802      -0.00003084
     -0.00008535       0.00004465
     -0.00016017      -0.00003717
     -0.00156065      -0.00012404
     -0.00050526       0.00007894
     -0.00019465      -0.00006552
     -0.00020970       0.00003413
     -0.00386876      -0.00037403
     -0.00336058      -0.00028744
     -0.00062497      -0.00009853
     -0.00115824      -0.00024213
     -0.00108884      -0.00005397
     -0.00246087      -0.00019405
     -0.00079088      -0.00007051
     -0.00019751       0.00016181
     -0.00005813       0.00002121
     -0.00028076      -0.00001563
     -0.00055817      -0.00013664
     -0.00017872      -0.00010347
     -0.00452119      -0.00039851
     -0.00009742       0.00010427
     -0.00106820       0.00016808
     -0.00199623       0.00034461
     -0.00054415      -0.00021023
     -0.00100089      -0.00011997
     -0.00387298       0.00034915
     -0.00005190       0.00006255
     -0.00567352       0.00018005
     -0.00231484       0.00017492
     -0.00029130       0.00002541
     -0.00046378       0.00013032
     -0.00064759      -0.00001206
     -0.00021488      -0.00007414
     -0.00098700       0.00026618
     -0.00018458       0.00015863
     -0.00421353       0.00060278
     -0.00005930       0.00008748
     -0.00027132      -0.00001577
     -0.00075077      -0.00012414
     -0.00657310      -0.00047989
     -0.00014385      -0.00002456
     -0.00007410       0.00004827
     -0.00243986      -0.00009526
     -0.00012839      -0.00007847
     -0.00058090      -0.00001115
     -0.00083457       0.00020280
     -0.00020436       0.00008044
     -0.00013060      -0.00004124
     -0.00085865       0.00015580
     -0.00066670      -0.00014331
     -0.00114813       0.00037283
     -0.00011793      -0.00006216
     -0.00004281       0.00009651
     -0.00432893      -0.00031750
     -0.00202232       0.00003804
     -0.00040136      -0.00011965
     -0.00033820       0.00004007
     -0.00083081      -0.00005201
     -0.00115422      -0.00014412
     -0.00016398       0.00003731
     -0.00006449       0.00002032
     -0.00017860      -0.00001944
     -0.00211786      -0.00032722
     -0.00061568       0.00003596
     -0.00002892       0.00002879
     -0.00007785       0.00007260
     -0.00065419       0.00007284
     -0.00016799      -0.00002756
     -0.00010870       0.00000110
     -0.00102730      -0.00009872
     -0.00583340      -0.00025545
     -0.00014036       0.00003415
     -0.00141432      -0.00027142
     -0.00017161       0.00000768
     -0.00045829       0.00007843
