QM Energy	FF Energy
    -0.000269052    -0.000233193
    -0.000140581     -0.00012831
     -2.2689e-05    -1.71325e-05
     -0.00039741    -0.000372713
      -0.0011022     -0.00103839
    -0.000148351    -0.000125059
     -2.5645e-05    -1.97388e-05
    -0.000118978    -9.87031e-05
    -0.000303228    -0.000265209
    -0.000102529    -8.42502e-05
     -6.2227e-05    -5.11022e-05
     -1.6462e-05    -1.21228e-05
    -0.000702871    -0.000594516
    -0.000247515    -0.000232131
     -2.6124e-05    -2.05295e-05
    -0.000754325    -0.000764864
     -3.8614e-05    -3.21645e-05
     -0.00119781     -0.00111901
    -0.000341895    -0.000322833
     -0.00111437     -0.00109245
     -4.4558e-05    -3.61655e-05
    -0.000121025    -9.80124e-05
    -0.000729128    -0.000726157
     -2.1912e-05    -1.70587e-05
     -0.00105478     -0.00109427
     -0.00161733     -0.00159141
     -6.1323e-05     -4.9644e-05
    -0.000507431    -0.000479805
      -0.0003582    -0.000310753
    -0.000322559    -0.000300347
     -0.00090094    -0.000902122
     -5.3416e-05    -4.39495e-05
    -0.000968938    -0.000951618
    -0.000363734    -0.000335932
    -0.000623974    -0.000603911
    -0.000136462    -0.000107072
     -3.7734e-05    -3.19177e-05
    -0.000837912    -0.000825963
     -1.3465e-05      -9.634e-06
     -0.00109553     -0.00102607
    -0.000595861    -0.000605758
      -3.557e-05     -2.5123e-05
     -4.7029e-05    -3.35972e-05
     -3.7853e-05    -3.03992e-05
      -8.002e-05    -6.72331e-05
    -0.000815276     -0.00083085
    -0.000178095    -0.000149132
     -7.7466e-05    -5.99644e-05
     -8.6811e-05    -7.29962e-05
     -3.9605e-05     -3.1895e-05
     -0.00134537     -0.00141372
     -2.4355e-05    -1.80472e-05
    -0.000970825     -0.00095951
    -0.000638817    -0.000559126
    -0.000108178    -9.50395e-05
     -0.00185958     -0.00207004
    -0.000336397    -0.000299223
     -4.9037e-05    -3.92457e-05
    -0.000203948    -0.000193303
    -0.000151753    -0.000135515
    -0.000707169    -0.000672557
      -2.313e-05    -1.74383e-05
    -0.000599696     -0.00055856
     -3.7938e-05    -2.81588e-05
    -0.000942663    -0.000931399
     -5.7111e-05    -4.40784e-05
     -3.9675e-05    -3.01752e-05
     -0.00139008     -0.00137978
     -1.6414e-05    -1.14504e-05
     -2.9371e-05    -2.16995e-05
    -0.000165825    -0.000156141
     -5.5536e-05    -4.54007e-05
    -0.000319031    -0.000279091
    -0.000688532     -0.00059046
     -7.8584e-05    -6.40526e-05
     -4.8618e-05    -3.67841e-05
      -0.0001017     -8.2137e-05
     -0.00140735      -0.0014675
    -0.000974728    -0.000944296
     -3.3142e-05    -2.40894e-05
     -5.9536e-05    -4.60613e-05
     -8.0724e-05    -6.31631e-05
    -0.000194689     -0.00017529
    -0.000118901    -9.46351e-05
    -0.000445743    -0.000407568
     -0.00167685     -0.00179388
     -7.6432e-05    -6.29964e-05
     -7.2604e-05    -5.97021e-05
     -0.00050911     -0.00050369
     -7.5425e-05    -6.09922e-05
    -0.000203389    -0.000189305
     -0.00101548      -0.0010652
     -6.1858e-05    -4.87356e-05
    -0.000184389    -0.000161089
    -0.000671911    -0.000649157
     -0.00101933     -0.00103315
      -4.848e-05     -3.9414e-05
     -4.1057e-05    -2.96876e-05
    -0.000140845    -0.000118861
     -5.6897e-05    -4.61707e-05
    -0.000418574    -0.000413205
     -4.0307e-05    -2.93125e-05
     -0.00096977    -0.000943211
      -3.696e-05    -2.98433e-05
    -0.000685843    -0.000652171
    -0.000413703    -0.000412837
    -0.000476721    -0.000436394
     -2.6907e-05     -1.9791e-05
     -4.0344e-05    -3.26518e-05
    -0.000330218     -0.00027816
    -0.000497179     -0.00047166
    -0.000608888    -0.000606607
     -0.00098483    -0.000936669
     -2.2706e-05    -1.79565e-05
    -0.000368765    -0.000343796
    -0.000247264    -0.000227327
     -1.6973e-05    -1.27855e-05
     -0.00024372    -0.000222959
    -0.000299306    -0.000261513
    -0.000822123    -0.000788689
    -0.000192936    -0.000186387
    -0.000462669    -0.000447863
     -3.0368e-05    -2.16852e-05
    -0.000104043    -8.17532e-05
    -0.000431599    -0.000395406
    -0.000514827    -0.000507989
     -5.1821e-05    -4.38781e-05
     -1.9219e-05    -1.21958e-05
     -8.1299e-05    -6.59183e-05
     -7.2923e-05    -5.79429e-05
     -5.3854e-05      -4.531e-05
    -0.000219114     -0.00017578
    -0.000250311    -0.000216865
    -0.000372851    -0.000336601
    -0.000541747    -0.000557266
    -0.000175378    -0.000149483
     -1.2238e-05    -8.51815e-06
    -0.000228725    -0.000209674
     -5.7722e-05    -4.33524e-05
    -0.000206702    -0.000197232
     -4.2669e-05    -3.41299e-05
     -4.3888e-05    -3.69786e-05
      -0.0010146    -0.000956396
     -5.1413e-05    -4.28537e-05
     -2.0108e-05    -1.45051e-05
    -0.000962889     -0.00083348
     -1.2527e-05    -9.24524e-06
     -3.4076e-05    -2.67301e-05
    -0.000685212    -0.000639579
     -0.00105846     -0.00107123
     -0.00197741     -0.00223246
    -0.000990972      -0.0009391
    -0.000215075    -0.000186721
    -0.000429351    -0.000370107
     -1.6781e-05    -1.25276e-05
     -0.00026793    -0.000244022
    -0.000175578    -0.000152302
    -0.000340602    -0.000294038
    -0.000674289    -0.000677834
    -0.000633825    -0.000601421
     -0.00154616     -0.00163259
     -0.00106489     -0.00109828
     -0.00105647     -0.00101725
     -2.4506e-05    -1.85618e-05
    -0.000474138    -0.000402389
     -2.7364e-05    -2.10875e-05
    -0.000492612    -0.000490036
      -4.859e-05    -3.37726e-05
     -2.4325e-05    -1.90076e-05
     -4.7319e-05    -3.84216e-05
      -3.411e-05    -2.49808e-05
    -0.000357627     -0.00031503
     -1.3018e-05    -8.91425e-06
     -5.9396e-05    -4.99779e-05
    -0.000938089    -0.000961071
      -2.767e-05    -2.09221e-05
     -2.4871e-05    -1.91039e-05
      -2.614e-05    -2.00967e-05
      -1.846e-05    -1.34278e-05
    -0.000257432    -0.000217316
     -6.3447e-05    -5.14191e-05
     -0.00140542      -0.0013304
    -0.000281983    -0.000260675
     -4.1509e-05    -3.17692e-05
    -0.000120579     -0.00011058
    -0.000172953    -0.000142181
    -0.000805425    -0.000778143
    -0.000121002    -0.000110901
     -0.00147691     -0.00153793
    -0.000117312    -0.000105603
     -6.2089e-05    -5.27889e-05
     -4.1143e-05    -3.32999e-05
    -0.000134245    -0.000118382
    -0.000770818    -0.000779383
     -4.7669e-05    -3.67144e-05
    -0.000150356    -0.000125603
    -0.000362207    -0.000355773
     -0.00165263     -0.00168416
    -0.000172373    -0.000151596
    -0.000633372    -0.000623453
     -0.00051297    -0.000467725
    -0.000656966    -0.000575105
    -0.000195291      -0.0001545
    -0.000559424    -0.000515566
    -0.000625764    -0.000644125
     -8.3693e-05    -7.07187e-05
     -0.00045853    -0.000424231
     -0.00022952    -0.000188814
    -0.000169418    -0.000147334
      -3.183e-05    -2.37261e-05
      -4.449e-05    -3.51516e-05
     -8.9738e-05    -7.40723e-05
    -0.000220677    -0.000203445
     -1.3139e-05    -9.27984e-06
    -0.000104339    -8.59235e-05
     -5.4787e-05    -4.42272e-05
    -0.000264319    -0.000242633
    -0.000245919    -0.000224756
     -4.0666e-05    -3.37687e-05
     -3.1576e-05    -2.39993e-05
     -1.8952e-05    -1.46526e-05
     -5.1425e-05    -3.96901e-05
     -6.5535e-05    -5.19257e-05
     -3.9796e-05     -2.9455e-05
    -0.000114799    -0.000100509
    -0.000213272    -0.000188662
     -6.8763e-05    -5.74148e-05
    -0.000753589    -0.000772954
    -0.000308726    -0.000278992
     -2.3787e-05    -1.67607e-05
      -2.559e-05     -1.7695e-05
    -0.000171182    -0.000153949
     -0.00026558    -0.000249873
     -1.9385e-05    -1.47106e-05
     -4.7953e-05    -3.86472e-05
     -6.1233e-05    -4.86969e-05
    -0.000409865    -0.000384804
     -8.7005e-05    -7.06542e-05
     -0.00199616     -0.00219734
    -0.000435983    -0.000422463
     -5.2043e-05    -4.04444e-05
    -0.000307052    -0.000305076
     -4.7064e-05    -3.83002e-05
      -2.001e-05    -1.47294e-05
     -9.4501e-05    -7.91781e-05
     -0.00042575    -0.000368881
    -0.000533436      -0.0004996
    -0.000918596    -0.000925065
    -0.000150088    -0.000137557
     -4.5051e-05    -3.44138e-05
    -0.000123072    -0.000108132
    -0.000476247    -0.000458791
    -0.000313786    -0.000276217
    -0.000157513     -0.00014322
    -0.000107212    -9.33769e-05
    -0.000339581     -0.00032392
    -0.000210849    -0.000174956
      -2.859e-05    -2.17934e-05
    -0.000763196    -0.000687034
     -2.8465e-05    -2.13227e-05
     -6.9935e-05    -5.27134e-05
     -2.2953e-05    -1.77505e-05
     -8.7695e-05    -7.43989e-05
    -0.000204175     -0.00017216
        -3.2e-05    -2.62335e-05
     -3.7723e-05    -3.09861e-05
     -3.4263e-05    -2.79728e-05
     -9.9205e-05    -7.80102e-05
    -0.000241123    -0.000213112
    -0.000112086    -0.000103778
     -5.5215e-05    -4.51818e-05
    -0.000858296    -0.000893123
    -0.000892303    -0.000777835
    -0.000858663    -0.000869078
    -0.000500653    -0.000472592
    -0.000157976     -0.00014245
     -5.0786e-05    -4.31469e-05
     -8.8993e-05    -7.89346e-05
      -1.656e-05    -1.25233e-05
    -0.000893219    -0.000916651
    -0.000108792    -9.51369e-05
     -9.4115e-05    -7.68053e-05
     -2.8969e-05    -2.14351e-05
    -0.000151395     -0.00012369
    -0.000172638    -0.000154294
    -0.000484575     -0.00039476
    -0.000142595     -0.00011731
     -8.0862e-05    -6.79915e-05
    -0.000127805    -0.000114846
    -0.000226825    -0.000214502
     -0.00107057    -0.000980002
     -3.0289e-05    -2.31774e-05
     -5.2779e-05    -4.21762e-05
    -0.000322207    -0.000260045
     -0.00156326     -0.00161791
     -7.3717e-05    -5.51382e-05
    -0.000276488    -0.000260713
    -0.000154405    -0.000130977
     -0.00197228     -0.00217808
     -2.4278e-05    -1.84065e-05
     -3.3735e-05    -2.50059e-05
     -7.1144e-05    -5.80299e-05
     -2.9047e-05    -2.31906e-05
     -2.5682e-05     -2.0206e-05
     -1.8021e-05    -1.39596e-05
     -5.7139e-05    -4.74184e-05
     -0.00031391    -0.000288492
     -6.2721e-05    -4.97418e-05
     -5.5412e-05    -4.58834e-05
     -7.8401e-05     -6.2296e-05
    -0.000124561    -0.000105166
    -0.000239105    -0.000224424
      -1.517e-05    -1.06114e-05
    -0.000587763    -0.000590875
    -0.000477733    -0.000445418
      -4.118e-05    -3.37699e-05
    -0.000172369    -0.000155544
     -8.7126e-05    -7.46135e-05
    -0.000152878    -0.000129921
    -0.000423221     -0.00036504
     -2.8239e-05    -2.16865e-05
     -2.7063e-05     -2.1503e-05
     -8.9839e-05    -7.48148e-05
     -5.6165e-05    -4.73368e-05
    -0.000112696    -9.55752e-05
     -0.00016927    -0.000138064
    -0.000296399    -0.000268002
    -0.000515428    -0.000470506
     -3.8209e-05    -3.07782e-05
    -0.000138319    -0.000113268
    -0.000229289    -0.000209807
     -3.7177e-05    -2.70774e-05
     -0.00101719     -0.00099323
    -0.000689273    -0.000626016
    -0.000172575    -0.000152524
     -4.1732e-05    -3.50739e-05
    -0.000680866    -0.000628458
     -1.8327e-05    -1.35869e-05
    -0.000682398    -0.000628914
    -0.000755728    -0.000722541
    -0.000498945     -0.00050156
    -0.000821592    -0.000786258
    -0.000135697    -0.000116895
     -0.00109022     -0.00111419
       -1.93e-05    -1.40686e-05
    -0.000124049    -0.000101793
     -0.00105694     -0.00110632
     -7.8031e-05    -6.09156e-05
    -0.000183635    -0.000156684
     -0.00111457      -0.0010705
    -0.000744035    -0.000674861
    -0.000309103    -0.000306348
     -0.00110556      -0.0010925
    -0.000538133    -0.000491996
    -0.000305312    -0.000275932
     -0.00015984     -0.00014215
    -0.000679195    -0.000614691
    -0.000335358    -0.000279321
    -0.000698126    -0.000691515
     -0.00132419     -0.00137726
    -0.000565058    -0.000522198
    -0.000610655    -0.000568975
      -2.748e-05    -2.21924e-05
     -4.3904e-05    -3.63485e-05
     -2.8378e-05    -2.28506e-05
    -0.000148841    -0.000121887
    -0.000446693    -0.000421261
     -0.00062635    -0.000575276
     -6.1017e-05    -5.28129e-05
    -0.000107765    -8.77719e-05
