QM Energy	FF Energy
     -0.00356303     -0.00387916
     -0.00275423     -0.00297903
     -0.00105857     -0.00104249
     -0.00531878     -0.00593823
     -0.00641376     -0.00733115
     -0.00313406     -0.00330841
     -0.00141465     -0.00143402
     -0.00292911     -0.00307568
     -0.00408585     -0.00447535
     -0.00280193     -0.00294516
     -0.00181816     -0.00185419
     -0.00125235     -0.00122813
     -0.00539225     -0.00610548
     -0.00364086     -0.00401907
     -0.00139636     -0.00139813
     -0.00535273     -0.00608707
     -0.00203791     -0.00213641
      -0.0106108      -0.0123397
     -0.00407341     -0.00448692
      -0.0101677       -0.011684
     -0.00157483     -0.00156663
     -0.00285715     -0.00299673
     -0.00472437     -0.00535124
     -0.00145611     -0.00148618
     -0.00749498     -0.00877236
      -0.0113209      -0.0135852
     -0.00171805     -0.00171574
     -0.00493954     -0.00543377
     -0.00463649     -0.00510945
     -0.00500755     -0.00572629
     -0.00760814     -0.00895596
     -0.00150509     -0.00147565
     -0.00630438     -0.00732234
     -0.00437663     -0.00489905
      -0.0048153     -0.00537648
     -0.00288145     -0.00301461
     -0.00170719     -0.00176303
     -0.00597171     -0.00679143
    -0.000954323     -0.00091244
     -0.00857181     -0.00978693
     -0.00452213     -0.00499146
      -0.0016849     -0.00167164
     -0.00167413     -0.00166609
        -0.00154      -0.0015482
     -0.00240009     -0.00249078
     -0.00535075     -0.00600292
     -0.00316588     -0.00335312
     -0.00221785     -0.00224714
     -0.00177815     -0.00178427
     -0.00166811     -0.00167158
      -0.0104961      -0.0121693
     -0.00132352     -0.00128865
     -0.00640956     -0.00724541
     -0.00519874     -0.00582876
     -0.00245698     -0.00260481
      -0.0143388      -0.0167386
     -0.00418674     -0.00459015
     -0.00194163     -0.00199636
     -0.00260543     -0.00279092
     -0.00346343     -0.00375931
     -0.00590724     -0.00676077
     -0.00112634      -0.0011205
     -0.00501579     -0.00562844
     -0.00202843     -0.00204458
      -0.0088947      -0.0103136
     -0.00180886     -0.00183059
     -0.00143404     -0.00139823
      -0.0089658       -0.010626
     -0.00114358     -0.00113859
     -0.00133591     -0.00129413
     -0.00222521     -0.00234872
     -0.00200132     -0.00205517
     -0.00428899     -0.00460859
     -0.00563565     -0.00641396
     -0.00223341      -0.0023189
     -0.00161321     -0.00163079
     -0.00214919     -0.00218784
     -0.00910034      -0.0107227
     -0.00907346       -0.010258
     -0.00159632     -0.00158222
     -0.00200864     -0.00202179
     -0.00249063      -0.0025159
     -0.00363584     -0.00397906
     -0.00227066     -0.00233171
     -0.00649608     -0.00741479
      -0.0125054      -0.0151314
     -0.00209791     -0.00213797
     -0.00210691     -0.00215272
     -0.00482775     -0.00535973
     -0.00255565     -0.00262295
     -0.00349712     -0.00381078
     -0.00809183     -0.00966043
     -0.00183532     -0.00186383
     -0.00306377     -0.00317119
     -0.00723054     -0.00831361
     -0.00581559       -0.006562
     -0.00181724     -0.00184564
     -0.00173425     -0.00173691
     -0.00316939     -0.00340461
     -0.00180567     -0.00184208
     -0.00393499     -0.00438219
     -0.00209329     -0.00211621
     -0.00859716      -0.0100588
     -0.00138441     -0.00137086
      -0.0071803     -0.00834218
     -0.00350563     -0.00382589
     -0.00567275     -0.00639942
     -0.00149724     -0.00148586
     -0.00193787     -0.00201614
     -0.00485739     -0.00535382
      -0.0041489     -0.00452702
     -0.00527318     -0.00597067
      -0.0075162     -0.00879721
     -0.00137294     -0.00138074
     -0.00406332      -0.0043651
     -0.00381085     -0.00417954
     -0.00123904     -0.00123038
     -0.00284457     -0.00298351
     -0.00367302     -0.00402893
     -0.00554147     -0.00622071
      -0.0022111      -0.0023373
     -0.00542124     -0.00616574
      -0.0014147      -0.0013963
     -0.00231039     -0.00236095
     -0.00450657     -0.00497691
     -0.00449462     -0.00508528
      -0.0017862     -0.00183242
     -0.00140316     -0.00136453
     -0.00271225     -0.00287097
     -0.00198244     -0.00202468
     -0.00169772     -0.00172177
     -0.00331399     -0.00353823
     -0.00339964     -0.00371204
     -0.00506912     -0.00564022
     -0.00356817     -0.00392947
     -0.00328607     -0.00352057
     -0.00117508      -0.0011464
     -0.00288853     -0.00305319
      -0.0020199     -0.00204396
     -0.00245082      -0.0025464
     -0.00216441      -0.0022379
     -0.00232961     -0.00247444
     -0.00697656       -0.007891
      -0.0020334     -0.00209694
     -0.00105017     -0.00100091
     -0.00808304      -0.0092958
     -0.00124993     -0.00125536
     -0.00116987      -0.0011359
     -0.00631329     -0.00717135
     -0.00894228      -0.0104037
      -0.0154387      -0.0183245
     -0.00607884     -0.00692951
     -0.00295312      -0.0031666
     -0.00522525     -0.00577811
     -0.00119332     -0.00121699
     -0.00442894     -0.00493441
     -0.00247379     -0.00257333
     -0.00439347     -0.00474619
     -0.00490073     -0.00552683
     -0.00765236     -0.00889945
      -0.0105025      -0.0124359
     -0.00830424     -0.00982929
     -0.00821428     -0.00967835
     -0.00105896     -0.00100657
     -0.00459891     -0.00514743
     -0.00116433     -0.00112151
     -0.00464291     -0.00522201
     -0.00203015     -0.00204508
     -0.00154629     -0.00155783
     -0.00125856     -0.00123625
     -0.00147211     -0.00140855
     -0.00513775     -0.00580464
     -0.00118753     -0.00115843
     -0.00239559     -0.00252606
     -0.00658738     -0.00761647
      -0.0010545      -0.0010112
     -0.00140741     -0.00140246
     -0.00137924     -0.00138093
     -0.00104509     -0.00100198
     -0.00397361     -0.00420111
     -0.00217776     -0.00223682
      -0.0105789      -0.0124623
      -0.0043886      -0.0048302
     -0.00205118     -0.00213471
     -0.00269568     -0.00290163
     -0.00253791     -0.00266162
     -0.00772825     -0.00898319
     -0.00163236     -0.00164275
     -0.00962009      -0.0114468
     -0.00286469      -0.0030775
     -0.00129627     -0.00126414
     -0.00167648     -0.00170082
     -0.00223028     -0.00230899
     -0.00485177     -0.00546911
     -0.00209608     -0.00214088
     -0.00322935     -0.00347119
      -0.0049633     -0.00557248
      -0.0124094       -0.014666
     -0.00287198     -0.00310082
     -0.00644229     -0.00742884
     -0.00570909     -0.00642854
     -0.00726994     -0.00834471
     -0.00411974     -0.00437768
     -0.00485659      -0.0054635
     -0.00367324      -0.0040459
     -0.00187924      -0.0019064
     -0.00609915     -0.00690188
     -0.00409708     -0.00439799
     -0.00294079     -0.00313798
     -0.00152412     -0.00151016
