Edrude_ind 		 Edrude_dhf
     -0.00001042      -0.00000005
     -0.00000483      -0.00000016
     -0.00000088       0.00000008
     -0.00001474      -0.00000014
     -0.00005782      -0.00000852
     -0.00000782       0.00000002
     -0.00000159      -0.00000005
     -0.00000699      -0.00000023
     -0.00001172      -0.00000145
     -0.00000546      -0.00000000
     -0.00000374      -0.00000008
     -0.00000204      -0.00000001
     -0.00004337      -0.00000671
     -0.00000759      -0.00000064
     -0.00000219       0.00000001
     -0.00001918       0.00000122
     -0.00000176       0.00000009
     -0.00005460      -0.00000313
     -0.00001110       0.00000126
     -0.00005302       0.00000100
     -0.00000276       0.00000005
     -0.00000742      -0.00000021
     -0.00002015      -0.00000258
     -0.00000128       0.00000014
     -0.00004325      -0.00000024
     -0.00008780      -0.00000959
     -0.00000304      -0.00000012
     -0.00001345       0.00000037
     -0.00001644      -0.00000167
     -0.00000654      -0.00000051
     -0.00003011      -0.00000448
     -0.00000351       0.00000022
     -0.00003742      -0.00000737
     -0.00000961      -0.00000105
     -0.00003079      -0.00000136
     -0.00001037       0.00000002
     -0.00000112       0.00000004
     -0.00001677      -0.00000161
     -0.00000092       0.00000004
     -0.00005825       0.00000350
     -0.00002054       0.00000198
     -0.00000192      -0.00000001
     -0.00000746       0.00000004
     -0.00000198      -0.00000005
     -0.00000404      -0.00000012
     -0.00003317       0.00000243
     -0.00000877      -0.00000003
     -0.00000356      -0.00000014
     -0.00000252       0.00000007
     -0.00000152       0.00000001
     -0.00005284       0.00000384
     -0.00000162       0.00000002
     -0.00003947      -0.00000088
     -0.00003854      -0.00000290
     -0.00000345       0.00000004
     -0.00010221       0.00000410
     -0.00001130      -0.00000064
     -0.00000135       0.00000007
     -0.00000939       0.00000091
     -0.00000579      -0.00000013
     -0.00002456      -0.00000353
     -0.00000156       0.00000000
     -0.00002513      -0.00000364
     -0.00000216       0.00000010
     -0.00002709       0.00000018
     -0.00000278       0.00000021
     -0.00000249       0.00000012
     -0.00007097      -0.00000733
     -0.00000225      -0.00000002
     -0.00000158       0.00000007
     -0.00000701       0.00000051
     -0.00000207       0.00000005
     -0.00001515      -0.00000033
     -0.00005106      -0.00000757
     -0.00000472      -0.00000014
     -0.00000312      -0.00000026
     -0.00000652      -0.00000014
     -0.00004586       0.00000271
     -0.00004027       0.00000234
     -0.00000505       0.00000037
     -0.00000345      -0.00000004
     -0.00000308       0.00000003
     -0.00001083       0.00000007
     -0.00000976      -0.00000046
     -0.00001207       0.00000004
     -0.00004853       0.00000084
     -0.00000293       0.00000010
     -0.00000371      -0.00000008
     -0.00002744       0.00000093
     -0.00000330       0.00000008
     -0.00000651      -0.00000000
     -0.00002490      -0.00000184
     -0.00000589      -0.00000052
     -0.00000823       0.00000028
     -0.00002115      -0.00000053
     -0.00004539      -0.00000263
     -0.00000339      -0.00000002
     -0.00000191       0.00000001
     -0.00000403      -0.00000033
     -0.00000183      -0.00000016
     -0.00001356      -0.00000045
     -0.00000294      -0.00000005
     -0.00003563      -0.00000027
     -0.00000266       0.00000024
     -0.00002123      -0.00000061
     -0.00001740       0.00000137
     -0.00001668       0.00000016
     -0.00000193       0.00000001
     -0.00000207       0.00000009
     -0.00001893       0.00000102
     -0.00002064      -0.00000045
     -0.00001630      -0.00000054
     -0.00003689      -0.00000630
     -0.00000131      -0.00000001
     -0.00001426      -0.00000003
     -0.00000725      -0.00000063
     -0.00000205       0.00000006
     -0.00000987       0.00000067
     -0.00001512      -0.00000153
     -0.00002733      -0.00000199
     -0.00001182       0.00000147
     -0.00001443       0.00000028
     -0.00000151      -0.00000007
     -0.00000773      -0.00000021
     -0.00001540       0.00000043
     -0.00001746       0.00000189
     -0.00000233      -0.00000001
     -0.00000241      -0.00000012
     -0.00000436      -0.00000016
     -0.00000387      -0.00000014
     -0.00000359       0.00000024
     -0.00001149      -0.00000034
     -0.00000729      -0.00000085
     -0.00001639      -0.00000054
     -0.00002532       0.00000291
     -0.00000803      -0.00000023
     -0.00000195       0.00000001
     -0.00000673       0.00000031
     -0.00000364      -0.00000018
     -0.00000884       0.00000054
     -0.00000122       0.00000002
     -0.00000180       0.00000001
     -0.00005731      -0.00000009
     -0.00000098       0.00000004
     -0.00000160      -0.00000002
     -0.00006395       0.00000006
     -0.00000188       0.00000001
     -0.00000196       0.00000013
     -0.00003207      -0.00000231
     -0.00003400       0.00000082
     -0.00011984      -0.00000309
     -0.00005760      -0.00000787
     -0.00000803      -0.00000050
     -0.00001478      -0.00000021
     -0.00000098       0.00000007
     -0.00001052      -0.00000074
     -0.00000680      -0.00000013
     -0.00001672      -0.00000036
     -0.00002380       0.00000192
     -0.00001219      -0.00000034
     -0.00005841      -0.00000737
     -0.00002837      -0.00000063
     -0.00004963      -0.00000742
     -0.00000213      -0.00000008
     -0.00003394      -0.00000439
     -0.00000146       0.00000000
     -0.00001436      -0.00000024
     -0.00000274      -0.00000007
     -0.00000094       0.00000004
     -0.00000201       0.00000022
     -0.00000326      -0.00000010
     -0.00001854      -0.00000020
     -0.00000106       0.00000002
     -0.00000232       0.00000008
     -0.00003353      -0.00000152
     -0.00000153       0.00000001
     -0.00000089      -0.00000001
     -0.00000126      -0.00000004
     -0.00000134       0.00000004
     -0.00001790       0.00000027
     -0.00000351       0.00000013
     -0.00006092      -0.00000896
     -0.00000852       0.00000014
