QM Energy	FF Energy
       -0.001458     -0.00123181
    -0.000681707     -0.00062186
    -0.000120555    -8.04179e-05
     -0.00184018     -0.00177534
     -0.00435162     -0.00448369
    -0.000784405    -0.000647563
    -0.000170371    -0.000124358
    -0.000695759    -0.000590137
     -0.00151735     -0.00133033
    -0.000597157    -0.000475003
    -0.000309679    -0.000225472
    -0.000124536    -0.000100805
     -0.00318377     -0.00310798
     -0.00118651     -0.00111114
    -0.000155551    -0.000131406
      -0.0024403     -0.00261192
    -0.000180098    -0.000141782
     -0.00671784      -0.0061014
     -0.00113843     -0.00104118
     -0.00671394     -0.00580023
    -0.000176509    -0.000119311
    -0.000688017    -0.000575205
     -0.00297177     -0.00280973
    -0.000106429    -7.17576e-05
     -0.00420859     -0.00466084
     -0.00830799     -0.00912312
    -0.000320298    -0.000244552
     -0.00236787     -0.00201361
     -0.00186554     -0.00155385
     -0.00156993     -0.00155875
     -0.00453087     -0.00468963
    -0.000164092    -0.000103219
     -0.00449055     -0.00430412
     -0.00171369     -0.00162722
     -0.00247865     -0.00233753
    -0.000717782    -0.000583953
    -0.000193245     -0.00016079
     -0.00363137     -0.00343263
    -0.000107336    -7.54165e-05
     -0.00649362     -0.00599363
     -0.00196232     -0.00193576
    -0.000245514     -0.00015818
    -0.000284587    -0.000226985
    -0.000213528    -0.000164294
    -0.000442271     -0.00034581
     -0.00236679     -0.00255902
    -0.000992407    -0.000765892
    -0.000454025     -0.00032371
    -0.000363142    -0.000265027
    -0.000167712     -0.00011243
     -0.00812123      -0.0076346
     -9.8712e-05     -5.8422e-05
     -0.00460653     -0.00442133
     -0.00320923     -0.00308209
    -0.000400145    -0.000319641
      -0.0116825      -0.0109397
     -0.00162287     -0.00139699
    -0.000258244    -0.000203277
     -0.00058792    -0.000539609
    -0.000764566    -0.000719458
      -0.0034861     -0.00327466
    -0.000129311    -9.52812e-05
     -0.00280155     -0.00249658
    -0.000212002    -0.000135356
      -0.0047717     -0.00449984
    -0.000225173    -0.000139489
    -0.000167114    -9.69637e-05
     -0.00714284     -0.00758968
    -0.000107263    -8.53312e-05
    -0.000116636    -6.15877e-05
    -0.000510045    -0.000453743
    -0.000208963    -0.000138435
     -0.00156164     -0.00126736
     -0.00322085      -0.0033984
    -0.000399659    -0.000306252
    -0.000289953    -0.000214267
    -0.000590645    -0.000446496
      -0.0047587     -0.00520714
     -0.00486881     -0.00429287
    -0.000201261    -0.000111474
    -0.000363457    -0.000250045
    -0.000348685    -0.000218074
    -0.000891927    -0.000812129
    -0.000655655    -0.000542417
     -0.00248717     -0.00244465
     -0.00667673     -0.00751886
    -0.000319774    -0.000232396
    -0.000365858    -0.000273463
     -0.00170753     -0.00175571
    -0.000315778    -0.000201435
     -0.00100079    -0.000914073
     -0.00454027     -0.00501776
    -0.000374266    -0.000305214
    -0.000721108    -0.000553673
     -0.00304259     -0.00308058
     -0.00394918     -0.00392721
    -0.000260854     -0.00021312
    -0.000260376    -0.000172513
    -0.000709947    -0.000580813
    -0.000327925    -0.000244386
     -0.00153886     -0.00146954
     -0.00025059    -0.000164456
     -0.00553418     -0.00531724
    -0.000112313    -6.92721e-05
     -0.00367394     -0.00359053
     -0.00119207     -0.00120087
     -0.00247956     -0.00241999
    -0.000142754    -8.62057e-05
    -0.000168982    -0.000113168
     -0.00199526     -0.00175843
       -0.001967     -0.00179437
     -0.00233592     -0.00231587
     -0.00476809      -0.0049222
    -0.000130396    -0.000103779
     -0.00135058     -0.00111594
     -0.00126659     -0.00115572
     -9.5034e-05    -7.34389e-05
    -0.000882292    -0.000731506
     -0.00151816     -0.00136952
     -0.00400327     -0.00358816
    -0.000447142    -0.000433427
     -0.00178898     -0.00177476
     -0.00019857    -0.000128523
    -0.000576892    -0.000422838
      -0.0023305     -0.00200442
     -0.00157001     -0.00165576
    -0.000247678    -0.000199746
     -0.00014347    -9.25791e-05
    -0.000455806    -0.000377875
     -0.00042702     -0.00034132
    -0.000186912    -0.000124564
     -0.00117741     -0.00100882
     -0.00123735     -0.00103335
     -0.00199964     -0.00183487
      -0.0013916     -0.00152368
    -0.000978026    -0.000816934
     -6.8499e-05    -3.61028e-05
    -0.000781399    -0.000670025
    -0.000364476    -0.000264252
    -0.000627237    -0.000547724
    -0.000282868    -0.000226489
    -0.000258947    -0.000225514
     -0.00489199     -0.00459294
    -0.000264579    -0.000207451
    -0.000126792    -8.02572e-05
     -0.00538576     -0.00524581
     -7.3605e-05    -4.02439e-05
    -0.000112314    -6.74614e-05
     -0.00309953     -0.00297801
     -0.00618536     -0.00606375
      -0.0138375       -0.014557
     -0.00401906     -0.00415386
     -0.00113233    -0.000948186
     -0.00221205     -0.00185534
     -5.1527e-05    -2.63287e-05
     -0.00130499     -0.00123645
    -0.000688931     -0.00056475
      -0.0018311     -0.00152259
     -0.00201337     -0.00215279
       -0.003304     -0.00332457
     -0.00732939     -0.00758153
     -0.00429553     -0.00456478
     -0.00536281     -0.00559463
    -0.000131746    -8.57878e-05
     -0.00223992     -0.00226066
    -0.000144287    -8.86518e-05
     -0.00179294     -0.00183095
    -0.000295958    -0.000192715
     -8.7119e-05    -5.42223e-05
    -0.000169943    -0.000115953
    -0.000164087    -9.53912e-05
     -0.00196473     -0.00190394
     -9.2109e-05    -5.18976e-05
    -0.000238159    -0.000191298
     -0.00343817     -0.00384397
    -0.000113542    -7.11712e-05
    -0.000163128    -0.000117114
    -0.000153541    -0.000109657
     -8.5247e-05    -4.95389e-05
     -0.00113411    -0.000906028
    -0.000267841    -0.000182273
     -0.00670715      -0.0066645
     -0.00150879     -0.00138943
    -0.000268731     -0.00023611
    -0.000489133    -0.000443675
    -0.000865185    -0.000677315
     -0.00415184     -0.00421292
    -0.000333819    -0.000275334
     -0.00755043     -0.00791591
    -0.000527815     -0.00047986
    -0.000231397    -0.000168985
    -0.000149526    -9.71523e-05
    -0.000521114     -0.00040955
     -0.00246715     -0.00255532
    -0.000267366    -0.000203921
    -0.000839166    -0.000759093
     -0.00135704      -0.0013764
