QM Energy	FF Energy
     -0.00356303     -0.00341493
     -0.00275423     -0.00270264
     -0.00105857    -0.000994727
     -0.00531878     -0.00524661
     -0.00641376     -0.00591571
     -0.00313406     -0.00302598
     -0.00141465     -0.00137694
     -0.00292911     -0.00283697
     -0.00408585     -0.00394459
     -0.00280193      -0.0027417
     -0.00181816       -0.001729
     -0.00125235     -0.00118983
     -0.00539225     -0.00512484
     -0.00364086     -0.00355345
     -0.00139636     -0.00133839
     -0.00535273     -0.00504362
     -0.00203791     -0.00204658
      -0.0106108      -0.0104627
     -0.00407341     -0.00390074
      -0.0101677     -0.00983525
     -0.00157483     -0.00147346
     -0.00285715     -0.00276367
     -0.00472437     -0.00430096
     -0.00145611     -0.00143532
     -0.00749498     -0.00726653
      -0.0113209      -0.0112315
     -0.00171805     -0.00159249
     -0.00493954     -0.00459651
     -0.00463649     -0.00451505
     -0.00500755     -0.00512301
     -0.00760814     -0.00752197
     -0.00150509     -0.00136736
     -0.00630438     -0.00593222
     -0.00437663     -0.00428081
      -0.0048153     -0.00444458
     -0.00288145     -0.00276885
     -0.00170719     -0.00167628
     -0.00597171     -0.00560455
    -0.000954323    -0.000882153
     -0.00857181     -0.00814437
     -0.00452213     -0.00409983
      -0.0016849      -0.0015997
     -0.00167413     -0.00157568
        -0.00154     -0.00146556
     -0.00240009     -0.00232127
     -0.00535075     -0.00488262
     -0.00316588     -0.00302279
     -0.00221785     -0.00209425
     -0.00177815     -0.00162158
     -0.00166811     -0.00158475
      -0.0104961      -0.0100606
     -0.00132352     -0.00123529
     -0.00640956     -0.00587902
     -0.00519874     -0.00489149
     -0.00245698     -0.00239762
      -0.0143388      -0.0137225
     -0.00418674     -0.00402161
     -0.00194163     -0.00189144
     -0.00260543     -0.00243441
     -0.00346343     -0.00344527
     -0.00590724     -0.00566822
     -0.00112634     -0.00107151
     -0.00501579      -0.0047079
     -0.00202843     -0.00196242
      -0.0088947     -0.00872418
     -0.00180886     -0.00171393
     -0.00143404     -0.00131412
      -0.0089658     -0.00868448
     -0.00114358     -0.00110386
     -0.00133591     -0.00123439
     -0.00222521     -0.00204846
     -0.00200132     -0.00193751
     -0.00428899      -0.0040372
     -0.00563565     -0.00541878
     -0.00223341     -0.00216599
     -0.00161321     -0.00153493
     -0.00214919     -0.00199321
     -0.00910034     -0.00866448
     -0.00907346     -0.00868597
     -0.00159632     -0.00151471
     -0.00200864     -0.00190084
     -0.00249063     -0.00235478
     -0.00363584     -0.00359538
     -0.00227066     -0.00211471
     -0.00649608     -0.00662169
      -0.0125054      -0.0124906
     -0.00209791     -0.00198965
     -0.00210691     -0.00200572
     -0.00482775     -0.00453723
     -0.00255565     -0.00246797
     -0.00349712     -0.00341394
     -0.00809183     -0.00807064
     -0.00183532     -0.00174081
     -0.00306377     -0.00282512
     -0.00723054     -0.00720717
     -0.00581559     -0.00517076
     -0.00181724     -0.00173936
     -0.00173425     -0.00165517
     -0.00316939     -0.00313653
     -0.00180567     -0.00172448
     -0.00393499     -0.00371019
     -0.00209329     -0.00202949
     -0.00859716     -0.00852986
     -0.00138441     -0.00129213
      -0.0071803      -0.0072137
     -0.00350563     -0.00317287
     -0.00567275     -0.00557723
     -0.00149724       -0.001428
     -0.00193787     -0.00192436
     -0.00485739     -0.00478694
      -0.0041489     -0.00376678
     -0.00527318     -0.00503743
      -0.0075162     -0.00734056
     -0.00137294      -0.0013274
     -0.00406332     -0.00371085
     -0.00381085     -0.00371274
     -0.00123904     -0.00119085
     -0.00284457     -0.00257659
     -0.00367302     -0.00352554
     -0.00554147     -0.00502392
      -0.0022111     -0.00199586
     -0.00542124     -0.00535468
      -0.0014147     -0.00133534
     -0.00231039      -0.0021668
     -0.00450657      -0.0042628
     -0.00449462     -0.00431935
      -0.0017862     -0.00171881
     -0.00140316      -0.0013249
     -0.00271225     -0.00269809
     -0.00198244     -0.00188245
     -0.00169772     -0.00160892
     -0.00331399     -0.00316573
     -0.00339964     -0.00328245
     -0.00506912     -0.00499861
     -0.00356817     -0.00313063
     -0.00328607     -0.00319472
     -0.00117508     -0.00111857
     -0.00288853     -0.00266703
      -0.0020199     -0.00192924
     -0.00245082     -0.00218489
     -0.00216441     -0.00214099
     -0.00232961     -0.00236923
     -0.00697656     -0.00643303
      -0.0020334     -0.00198451
     -0.00105017    -0.000957664
     -0.00808304     -0.00790183
     -0.00124993     -0.00122572
     -0.00116987     -0.00106657
     -0.00631329     -0.00609633
     -0.00894228     -0.00870714
      -0.0154387      -0.0151467
     -0.00607884     -0.00561363
     -0.00295312     -0.00279126
     -0.00522525     -0.00508853
     -0.00119332     -0.00117996
     -0.00442894     -0.00442749
     -0.00247379      -0.0022721
     -0.00439347     -0.00416808
     -0.00490073     -0.00457482
     -0.00765236     -0.00779497
      -0.0105025      -0.0101421
     -0.00830424     -0.00810799
     -0.00821428     -0.00804283
     -0.00105896    -0.000955035
     -0.00459891     -0.00442055
     -0.00116433     -0.00106358
     -0.00464291     -0.00443993
     -0.00203015     -0.00195031
     -0.00154629     -0.00150149
     -0.00125856     -0.00114242
