QM Energy	FF Energy
       -0.001458     -0.00136772
    -0.000681707    -0.000729868
    -0.000120555    -0.000109937
     -0.00184018     -0.00190453
     -0.00435162     -0.00431335
    -0.000784405    -0.000756682
    -0.000170371    -0.000163539
    -0.000695759    -0.000701857
     -0.00151735      -0.0014919
    -0.000597157    -0.000570451
    -0.000309679    -0.000288404
    -0.000124536    -0.000130886
     -0.00318377     -0.00318931
     -0.00118651     -0.00125493
    -0.000155551    -0.000172701
      -0.0024403     -0.00249966
    -0.000180098    -0.000196854
     -0.00671784     -0.00627194
     -0.00113843      -0.0011573
     -0.00671394     -0.00594542
    -0.000176509     -0.00016882
    -0.000688017    -0.000681008
     -0.00297177     -0.00276812
    -0.000106429    -0.000106549
     -0.00420859      -0.0045104
     -0.00830799     -0.00901377
    -0.000320298    -0.000307286
     -0.00236787     -0.00212143
     -0.00186554      -0.0017083
     -0.00156993     -0.00175082
     -0.00453087     -0.00477183
    -0.000164092    -0.000154813
     -0.00449055     -0.00424903
     -0.00171369     -0.00176834
     -0.00247865     -0.00235561
    -0.000717782    -0.000683585
    -0.000193245    -0.000214725
     -0.00363137     -0.00336961
    -0.000107336     -9.9023e-05
     -0.00649362      -0.0060454
     -0.00196232     -0.00189842
    -0.000245514    -0.000206331
    -0.000284587    -0.000281792
    -0.000213528    -0.000215715
    -0.000442271    -0.000432291
     -0.00236679     -0.00242865
    -0.000992407    -0.000888902
    -0.000454025    -0.000408659
    -0.000363142    -0.000328043
    -0.000167712    -0.000162654
     -0.00812123     -0.00754085
     -9.8712e-05    -9.46363e-05
     -0.00460653     -0.00432191
     -0.00320923     -0.00318361
    -0.000400145    -0.000394018
      -0.0116825       -0.010709
     -0.00162287     -0.00152871
    -0.000258244    -0.000265469
     -0.00058792     -0.00061037
    -0.000764566    -0.000855869
      -0.0034861     -0.00336067
    -0.000129311    -0.000127011
     -0.00280155     -0.00258506
    -0.000212002    -0.000188969
      -0.0047717     -0.00468191
    -0.000225173    -0.000204386
