QM Energy	FF Energy
     -6.2501e-05    -0.000104593
     -4.9051e-05    -6.08734e-05
      -9.744e-06    -1.07539e-05
    -0.000123464    -0.000159565
    -0.000422217    -0.000373087
     -4.2046e-05    -6.56851e-05
      -8.505e-06    -1.34045e-05
     -3.3399e-05    -5.54785e-05
     -9.6457e-05    -0.000118953
     -2.5926e-05    -4.70053e-05
     -2.4393e-05    -2.92769e-05
      -5.735e-06     -1.0165e-05
    -0.000217101    -0.000246676
      -8.428e-05    -0.000101894
      -9.096e-06    -1.45661e-05
    -0.000325759    -0.000256608
     -1.4831e-05     -2.0483e-05
    -0.000321142    -0.000444467
    -0.000146971    -0.000134623
    -0.000258377    -0.000440384
      -2.175e-05     -2.2013e-05
     -3.4336e-05    -5.48006e-05
    -0.000285104    -0.000251563
      -7.349e-06    -1.20089e-05
    -0.000454049    -0.000379832
    -0.000659796    -0.000585666
     -1.9126e-05    -2.81975e-05
    -0.000129354    -0.000189181
    -0.000104252    -0.000138241
    -0.000102239    -0.000127985
    -0.000321467    -0.000331176
     -2.7715e-05    -2.58447e-05
     -0.00038241    -0.000337523
    -0.000110855    -0.000136539
    -0.000225579    -0.000232332
     -2.8322e-05     -6.0569e-05
     -1.4161e-05    -1.89314e-05
     -0.00030148    -0.000279099
      -4.596e-06    -7.30105e-06
    -0.000278293     -0.00040468
    -0.000232981    -0.000218979
     -1.0078e-05    -1.68097e-05
     -1.1696e-05    -2.59557e-05
     -1.4777e-05    -1.89878e-05
     -2.4675e-05    -3.86043e-05
    -0.000381346    -0.000290727
     -4.0445e-05    -7.56402e-05
     -2.5855e-05    -3.47554e-05
     -3.3531e-05    -3.59112e-05
     -1.4851e-05    -1.95753e-05
    -0.000461865    -0.000507845
      -1.171e-05    -1.27688e-05
    -0.000317115    -0.000341008
    -0.000169036    -0.000232831
     -4.3155e-05    -4.62836e-05
      -0.0007236    -0.000758796
     -9.3553e-05    -0.000128082
     -1.4538e-05      -2.283e-05
      -9.483e-05    -8.43168e-05
     -5.0065e-05    -6.92122e-05
    -0.000228217    -0.000254023
      -9.423e-06    -1.16688e-05
     -0.00020071    -0.000218221
      -9.974e-06    -1.94198e-05
    -0.000297566    -0.000357618
     -2.6253e-05    -2.66929e-05
     -1.8836e-05    -1.98387e-05
    -0.000587555    -0.000489434
      -6.251e-06    -9.54911e-06
      -9.885e-06    -1.40625e-05
     -7.5778e-05    -6.95722e-05
     -2.4589e-05    -2.63851e-05
     -9.2351e-05    -0.000131537
    -0.000218285    -0.000255892
     -2.6542e-05     -3.6186e-05
     -1.7146e-05    -2.25985e-05
     -2.7019e-05    -4.57681e-05
    -0.000612995    -0.000506743
    -0.000238751     -0.00037589
      -7.292e-06    -1.93855e-05
     -1.4753e-05    -2.81337e-05
     -2.9976e-05    -3.62735e-05
     -6.8786e-05    -8.87022e-05
     -3.2831e-05    -5.33705e-05
    -0.000103681    -0.000173888
    -0.000678311     -0.00062664
     -2.9888e-05    -3.34355e-05
     -2.6143e-05    -3.37329e-05
    -0.000214075    -0.000205409
      -2.786e-05    -3.54127e-05
     -6.5098e-05    -8.69602e-05
    -0.000425906    -0.000366427
     -2.1497e-05    -3.08205e-05
     -7.9932e-05    -7.95786e-05
    -0.000212809    -0.000255072
    -0.000423492    -0.000359646
     -1.6923e-05     -2.5129e-05
     -1.1537e-05    -1.87857e-05
     -4.3954e-05    -5.86451e-05
     -1.8624e-05    -2.57367e-05
    -0.000169036    -0.000158217
     -1.4154e-05    -2.10395e-05
    -0.000293349    -0.000357502
     -1.9537e-05    -1.89508e-05
    -0.000193997    -0.000255147
    -0.000190832    -0.000160036
    -0.000122499    -0.000184127
      -8.031e-06    -1.40327e-05
     -1.6757e-05    -2.11566e-05
     -5.1434e-05     -0.00013496
    -0.000166334    -0.000183737
    -0.000232888    -0.000220545
    -0.000367478     -0.00034314
       -9.59e-06    -1.23926e-05
    -0.000142242    -0.000149936
     -7.5949e-05    -0.000101307
      -6.347e-06    -1.04284e-05
     -8.3116e-05    -9.55446e-05
     -7.9651e-05    -0.000117571
    -0.000264634    -0.000284386
    -0.000101538    -8.39068e-05
    -0.000183573     -0.00018316
       -9.82e-06     -1.4102e-05
     -2.9719e-05    -4.69784e-05
     -9.7127e-05    -0.000162883
    -0.000226208    -0.000186166
     -2.1003e-05     -2.5471e-05
       -7.77e-06    -1.08342e-05
     -2.4359e-05    -3.97335e-05
     -1.9624e-05     -3.2703e-05
     -2.5571e-05    -2.68128e-05
     -4.4032e-05    -8.63926e-05
     -7.3746e-05    -9.46421e-05
      -9.867e-05    -0.000149157
    -0.000264415    -0.000204994
     -4.3823e-05    -7.42214e-05
      -4.608e-06    -8.02906e-06
     -8.6852e-05    -8.79977e-05
     -1.7839e-05    -2.70798e-05
     -9.2559e-05    -8.49734e-05
       -9.63e-06    -2.13046e-05
     -1.5608e-05    -2.35442e-05
    -0.000307438    -0.000370809
     -1.6059e-05    -2.41454e-05
      -7.048e-06    -1.06024e-05
    -0.000230512    -0.000354096
       -4.78e-06    -8.34548e-06
     -1.7385e-05    -1.62328e-05
    -0.000227405    -0.000257862
    -0.000326754    -0.000391932
     -0.00110436    -0.000801553
     -0.00038255    -0.000348246
     -5.9507e-05    -8.44821e-05
     -9.6409e-05    -0.000156886
      -8.592e-06    -8.76747e-06
     -9.2251e-05     -0.00011271
     -5.9867e-05    -6.90063e-05
     -7.8549e-05    -0.000134784
    -0.000297549    -0.000239158
    -0.000170909    -0.000238645
     -0.00063345    -0.000563254
    -0.000422511    -0.000395303
    -0.000381331    -0.000387939
     -1.1555e-05    -1.27962e-05
    -0.000145657    -0.000182228
     -1.0002e-05    -1.34374e-05
    -0.000202625    -0.000182938
     -1.4281e-05    -2.23188e-05
      -9.959e-06    -1.28226e-05
     -2.2509e-05    -2.12627e-05
     -1.4313e-05    -1.80564e-05
     -9.2221e-05    -0.000145951
      -4.874e-06    -7.36764e-06
     -2.3884e-05     -2.9246e-05
    -0.000405308    -0.000333569
     -1.2015e-05    -1.30898e-05
      -7.753e-06    -1.26136e-05
       -9.99e-06    -1.30774e-05
      -6.312e-06    -9.56956e-06
