QM Energy	FF Energy
     -4.6571e-05    -6.13611e-05
     -0.00143181     -0.00134882
     -2.4247e-05    -3.53489e-05
     -3.8774e-05    -4.88471e-05
    -0.000505145    -0.000498158
     -3.2808e-05    -4.59261e-05
      -7.063e-05    -9.10512e-05
      -7.855e-05    -0.000106289
    -0.000273666    -0.000314124
    -0.000139786    -0.000163354
     -4.3681e-05     -5.9506e-05
     -8.5294e-05    -0.000109466
    -0.000688224    -0.000736034
     -3.7692e-05    -5.25411e-05
     -1.2463e-05    -1.67659e-05
     -0.00022734    -0.000260071
    -0.000510008    -0.000524848
    -0.000199172    -0.000234161
    -0.000594873    -0.000577208
    -0.000161156    -0.000182132
     -2.7208e-05    -3.55138e-05
    -0.000523184    -0.000518589
    -0.000293901    -0.000300867
    -0.000890189    -0.000808862
     -6.2524e-05    -8.72414e-05
     -2.3122e-05    -3.62247e-05
     -1.9097e-05    -2.80897e-05
    -0.000852843    -0.000825392
    -0.000965395    -0.000946374
      -1.505e-05    -2.47406e-05
    -0.000244199    -0.000279882
     -0.00133722     -0.00126462
     -0.00090182    -0.000854643
    -0.000125894      -0.0001446
    -0.000898848    -0.000924334
     -4.7054e-05    -5.89642e-05
     -2.0859e-05    -2.73621e-05
     -6.5577e-05    -7.97713e-05
     -2.3987e-05    -3.08205e-05
    -0.000822356    -0.000774121
    -0.000744636    -0.000740619
     -6.8949e-05    -8.01497e-05
    -0.000327804     -0.00037691
    -0.000228913    -0.000265156
     -1.0428e-05    -1.42034e-05
    -0.000665434    -0.000652567
     -3.8163e-05    -5.88639e-05
    -0.000863242    -0.000819844
    -0.000463322    -0.000506987
    -0.000612116    -0.000589922
    -0.000562828    -0.000536269
     -0.00129933     -0.00129064
     -3.8088e-05    -4.78214e-05
    -0.000644202    -0.000638396
     -0.00117081     -0.00124465
     -0.00169413      -0.0018069
    -0.000629428    -0.000629763
    -0.000148982    -0.000167488
     -2.2072e-05    -3.02734e-05
    -0.000323312    -0.000344218
    -0.000191004     -0.00023138
    -0.000120397    -0.000147767
     -8.0274e-05    -0.000104098
     -0.00036321    -0.000403244
    -0.000110073     -0.00012611
     -0.00146837     -0.00144623
      -0.0012197     -0.00123325
    -0.000702838     -0.00065945
    -0.000133076    -0.000153762
    -0.000475696    -0.000507992
     -0.00041087    -0.000412956
     -0.00146035     -0.00141913
      -4.827e-05    -6.14193e-05
    -0.000182346    -0.000200529
    -0.000110572    -0.000127312
      -0.0017943      -0.0017456
    -0.000134465    -0.000153097
     -2.2108e-05    -2.96754e-05
     -4.7852e-05    -5.91841e-05
     -4.6011e-05    -6.16658e-05
    -0.000798401    -0.000806499
    -0.000265862     -0.00028569
    -0.000237968    -0.000266599
     -3.1148e-05    -4.03316e-05
    -0.000120063    -0.000135944
    -0.000250218    -0.000289086
     -7.1462e-05     -8.1086e-05
    -0.000111548    -0.000138576
     -6.3058e-05     -7.4175e-05
    -0.000393641    -0.000439709
    -0.000151192    -0.000169978
     -2.5187e-05    -3.36295e-05
     -6.2476e-05    -7.53223e-05
    -0.000229241    -0.000251338
    -0.000276518    -0.000307048
    -0.000150362    -0.000165085
    -0.000331176    -0.000352439
     -2.2871e-05     -3.0613e-05
    -0.000219045    -0.000238593
    -0.000519226    -0.000502808
     -4.2352e-05    -5.42447e-05
     -2.5118e-05     -3.2648e-05
    -0.000303791    -0.000331944
     -4.3938e-05    -5.84768e-05
     -6.1122e-05    -7.92996e-05
     -3.1255e-05    -3.96755e-05
      -1.791e-05    -2.38855e-05
    -0.000493893     -0.00049423
    -0.000530151    -0.000561908
      -4.572e-05    -6.21876e-05
     -1.2214e-05    -1.89455e-05
     -2.2911e-05    -2.98641e-05
      -1.554e-05    -2.22647e-05
     -6.2175e-05    -7.58362e-05
     -2.0605e-05    -2.92645e-05
     -9.3741e-05    -0.000113866
     -6.6832e-05    -9.65183e-05
    -0.000517067    -0.000491893
     -6.3611e-05     -7.7071e-05
    -0.000176891    -0.000192554
     -1.9472e-05     -2.5218e-05
     -3.9253e-05    -5.41911e-05
    -0.000343549    -0.000355912
     -3.0432e-05    -4.05904e-05
    -0.000117389    -0.000147153
    -0.000913625    -0.000908661
     -8.8341e-05    -0.000110509
    -0.000926648    -0.000854639
     -5.0104e-05    -6.65816e-05
    -0.000231758    -0.000247688
     -7.0271e-05    -8.61558e-05
      -8.769e-06    -1.40062e-05
     -6.2942e-05    -7.84027e-05
    -0.000311039    -0.000322824
      -2.797e-05     -4.5836e-05
     -1.9565e-05    -2.71451e-05
     -4.8111e-05    -6.12519e-05
     -0.00039605    -0.000420097
     -8.4564e-05    -9.97132e-05
    -0.000143599    -0.000165294
    -0.000110207    -0.000127452
    -0.000110762    -0.000137025
     -9.3446e-05    -0.000124434
     -3.2342e-05    -4.13362e-05
    -0.000565649    -0.000553307
     -3.2205e-05    -4.46458e-05
     -3.8931e-05    -5.29202e-05
     -1.5381e-05    -2.21405e-05
     -3.8215e-05    -5.18983e-05
     -9.8378e-05    -0.000113547
     -3.4638e-05    -4.71116e-05
    -0.000206497    -0.000232436
    -0.000995951     -0.00103341
     -4.5647e-05    -5.68272e-05
    -0.000565004    -0.000574508
    -0.000106077    -0.000118529
     -1.4906e-05    -2.17661e-05
    -0.000242447    -0.000269342
     -6.3394e-05    -7.78163e-05
     -0.00030729    -0.000323018
     -1.7259e-05    -2.27615e-05
     -5.4443e-05    -6.63312e-05
     -0.00017324    -0.000199798
    -0.000609122    -0.000582458
     -3.6854e-05    -5.06462e-05
    -0.000125611    -0.000140869
     -9.0829e-05    -0.000117028
     -3.5088e-05    -4.73833e-05
    -0.000151676    -0.000168756
