QM Energy	FF Energy
     -0.00166835     -0.00162975
     -0.00766856     -0.00712096
     -0.00125085     -0.00122515
     -0.00117596     -0.00110176
     -0.00342472     -0.00316782
     -0.00152491     -0.00150809
     -0.00195178     -0.00190253
     -0.00230337     -0.00237627
     -0.00376606     -0.00375518
     -0.00273943     -0.00269467
     -0.00194506     -0.00194077
     -0.00245923     -0.00243766
     -0.00625463     -0.00622714
     -0.00170159     -0.00170551
    -0.000792979    -0.000743049
     -0.00289095     -0.00285258
      -0.0039469     -0.00381623
     -0.00336014     -0.00339312
     -0.00334836     -0.00295536
     -0.00265028      -0.0025075
    -0.000824736    -0.000751673
     -0.00347988     -0.00317336
     -0.00305774     -0.00291093
     -0.00550053     -0.00514592
     -0.00203923     -0.00204137
     -0.00142114     -0.00145696
     -0.00117217     -0.00114785
     -0.00558407     -0.00539926
     -0.00633042     -0.00612521
     -0.00126771     -0.00127722
     -0.00360019      -0.0036242
     -0.00891766     -0.00881711
     -0.00616079     -0.00585083
      -0.0020884     -0.00198239
     -0.00747932     -0.00732065
     -0.00133733     -0.00128144
    -0.000997497    -0.000956391
     -0.00151041     -0.00143817
     -0.00130822     -0.00124292
     -0.00401721     -0.00355194
     -0.00508752     -0.00490877
     -0.00179635     -0.00169558
     -0.00414759     -0.00421259
     -0.00307041     -0.00306302
    -0.000692454     -0.00064013
     -0.00434056     -0.00405563
      -0.0019419     -0.00198162
     -0.00492984     -0.00451347
     -0.00511211     -0.00513326
      -0.0044961     -0.00418851
     -0.00406821     -0.00375066
     -0.00830171     -0.00785456
     -0.00140507     -0.00135832
     -0.00522848     -0.00490916
      -0.0102843      -0.0105932
      -0.0125282      -0.0126027
     -0.00457966     -0.00430126
     -0.00204172     -0.00194415
    -0.000959768    -0.000924176
     -0.00351856     -0.00346273
     -0.00315906     -0.00320771
     -0.00247405     -0.00250006
     -0.00189832      -0.0018756
     -0.00444577     -0.00435131
     -0.00191488     -0.00177165
      -0.0104119      -0.0104377
     -0.00968082     -0.00992968
     -0.00523075     -0.00491865
     -0.00214837      -0.0020987
      -0.0048239     -0.00474421
     -0.00366895     -0.00350153
      -0.0089307     -0.00886147
     -0.00137418     -0.00130134
     -0.00218779      -0.0020516
     -0.00186263     -0.00175668
       -0.010206     -0.00974703
     -0.00172672     -0.00159367
     -0.00110197     -0.00103548
     -0.00127957     -0.00119091
     -0.00173926     -0.00172674
     -0.00676434     -0.00685614
     -0.00360217     -0.00358502
     -0.00310001     -0.00304391
     -0.00113314     -0.00107632
     -0.00188598     -0.00174769
     -0.00352286     -0.00356546
     -0.00219431     -0.00211347
     -0.00228198     -0.00228283
     -0.00160143     -0.00155023
     -0.00475748     -0.00486942
     -0.00212198     -0.00202641
     -0.00103748    -0.000993847
     -0.00197797     -0.00190826
     -0.00314135     -0.00309868
     -0.00417101     -0.00418009
     -0.00213088     -0.00202393
     -0.00320854     -0.00311031
     -0.00106341    -0.000986076
     -0.00284351     -0.00279322
      -0.0043513     -0.00418922
     -0.00151347     -0.00148159
     -0.00100277    -0.000923406
     -0.00440174     -0.00445115
     -0.00153513     -0.00151549
     -0.00158435     -0.00156158
    -0.000901754    -0.000806098
    -0.000841966    -0.000782068
     -0.00462024     -0.00462437
     -0.00605558     -0.00622428
     -0.00159409     -0.00160419
     -0.00105589     -0.00103112
    -0.000759544    -0.000678301
    -0.000879385    -0.000843212
     -0.00145532     -0.00138512
     -0.00136177     -0.00133764
     -0.00184113     -0.00179111
     -0.00237814     -0.00243787
     -0.00457906     -0.00445725
     -0.00183082     -0.00174169
     -0.00254495     -0.00241716
    -0.000860282    -0.000781618
     -0.00153439     -0.00152332
     -0.00320936     -0.00308651
     -0.00134455     -0.00129349
     -0.00280076     -0.00279227
     -0.00731058     -0.00704935
     -0.00220827     -0.00220006
     -0.00551477     -0.00509646
     -0.00162006     -0.00157861
     -0.00226555     -0.00206301
     -0.00153412     -0.00148246
    -0.000983603    -0.000970104
     -0.00171238     -0.00166185
     -0.00250268     -0.00227861
     -0.00179527     -0.00188265
     -0.00113061     -0.00109062
     -0.00151155     -0.00146812
       -0.004735     -0.00478792
     -0.00159127     -0.00149695
     -0.00280863     -0.00276281
     -0.00206426     -0.00200623
     -0.00239177     -0.00236107
     -0.00243976     -0.00244426
      -0.0011389     -0.00107621
     -0.00448624     -0.00435391
     -0.00139952     -0.00137561
        -0.00153     -0.00153812
     -0.00106323     -0.00103863
     -0.00138477      -0.0013477
     -0.00185529      -0.0017402
     -0.00135581     -0.00133988
     -0.00324782     -0.00319198
     -0.00820673     -0.00826003
      -0.0013683      -0.0012569
