QM Energy	FF Energy
    -0.000208142    -0.000210025
     -0.00683648     -0.00638109
    -0.000178424    -0.000180081
    -0.000224688    -0.000194579
     -0.00146016     -0.00155448
    -0.000132982    -0.000135137
    -0.000337446    -0.000334661
    -0.000441495    -0.000505117
    -0.000883495     -0.00100764
    -0.000763168    -0.000731548
    -0.000272761    -0.000276749
    -0.000444024    -0.000459255
      -0.0029793     -0.00307837
    -0.000162175    -0.000175213
     -9.2163e-05    -8.81928e-05
    -0.000819679    -0.000939018
     -0.00166885     -0.00188444
     -0.00104497     -0.00113747
     -0.00149812     -0.00163831
    -0.000882438    -0.000757839
       -4.85e-05    -5.76916e-05
      -0.0015484     -0.00161563
     -0.00126651     -0.00125997
     -0.00332576     -0.00336685
    -0.000262655    -0.000287243
    -0.000132556    -0.000155038
    -0.000122451    -0.000123581
     -0.00267002     -0.00294697
     -0.00356354     -0.00398932
     -9.1207e-05    -0.000103385
     -0.00129164      -0.0014092
      -0.0067524     -0.00696464
     -0.00449431     -0.00416393
    -0.000466008    -0.000454615
     -0.00400117     -0.00412795
    -0.000212956     -0.00020467
    -0.000142621    -0.000153544
    -0.000264511    -0.000255781
    -0.000144083    -0.000133045
     -0.00211845     -0.00232509
     -0.00229776     -0.00264979
     -0.00038553    -0.000367217
     -0.00146631     -0.00170899
      -0.0008639     -0.00100879
     -6.5027e-05    -6.26161e-05
     -0.00184335     -0.00200978
    -0.000234639    -0.000265741
     -0.00263374     -0.00275401
     -0.00207858     -0.00216701
     -0.00223998     -0.00218371
     -0.00250756     -0.00234003
     -0.00731461     -0.00659812
    -0.000223763     -0.00023214
     -0.00319291     -0.00284666
     -0.00609099     -0.00680628
     -0.00882908     -0.00948446
     -0.00191953     -0.00206224
    -0.000590789    -0.000591561
    -0.000108931    -0.000108196
     -0.00147545     -0.00158622
    -0.000585287    -0.000726811
    -0.000503003    -0.000550584
    -0.000375932    -0.000421753
     -0.00159701     -0.00160454
      -0.0005125    -0.000441865
     -0.00794277     -0.00836535
      -0.0063804     -0.00715685
     -0.00350153     -0.00325131
    -0.000451777    -0.000484982
     -0.00190495     -0.00205694
     -0.00171173     -0.00171298
     -0.00697024     -0.00772395
     -0.00014074    -0.000144579
    -0.000673587    -0.000661727
    -0.000417778     -0.00040238
     -0.00964846     -0.00938078
    -0.000308538      -0.0003511
    -0.000152567    -0.000145264
    -0.000284777    -0.000252605
    -0.000282578     -0.00030698
     -0.00388948     -0.00432597
      -0.0013707     -0.00137196
      -0.0008252    -0.000873562
    -0.000134197    -0.000126461
    -0.000589237    -0.000526205
     -0.00101602     -0.00114336
    -0.000389641    -0.000362311
    -0.000560287    -0.000620111
    -0.000360936     -0.00039047
     -0.00171244     -0.00193493
    -0.000504548    -0.000516191
    -0.000136276    -0.000124038
    -0.000365002    -0.000337668
     -0.00111822     -0.00116184
     -0.00141796     -0.00144395
    -0.000617038    -0.000627727
     -0.00104921     -0.00113584
    -0.000124172    -0.000106282
     -0.00100207      -0.0010422
     -0.00216339     -0.00226026
    -0.000237781    -0.000250525
    -0.000126074    -0.000107491
       -0.001684     -0.00177336
    -0.000169112    -0.000173884
    -0.000159529    -0.000192698
     -7.5239e-05    -7.50942e-05
     -4.8142e-05    -4.67212e-05
     -0.00230116     -0.00235487
     -0.00280236     -0.00308284
    -0.000219642    -0.000242794
     -7.3332e-05    -7.67776e-05
     -7.2531e-05    -6.97755e-05
     -5.1627e-05     -5.4581e-05
    -0.000283935    -0.000271278
    -0.000103454    -0.000104726
    -0.000276339    -0.000308574
    -0.000378108     -0.00042428
     -0.00253857     -0.00255715
    -0.000368696    -0.000341499
    -0.000633009    -0.000618883
     -7.1134e-05    -6.07956e-05
    -0.000166845    -0.000183036
      -0.0013789      -0.0013923
    -0.000199801     -0.00018891
    -0.000609755     -0.00062275
     -0.00498643       -0.004651
    -0.000469692    -0.000463548
     -0.00424602     -0.00400654
    -0.000170643    -0.000186699
    -0.000588537    -0.000634709
    -0.000246395    -0.000260517
     -4.9268e-05    -4.42121e-05
    -0.000361507    -0.000332934
    -0.000895393    -0.000941963
    -0.000218676    -0.000263232
    -0.000118289    -0.000117744
    -0.000285687    -0.000264381
     -0.00206886     -0.00218912
     -0.00035577    -0.000339543
    -0.000823702    -0.000766198
    -0.000564609    -0.000537573
    -0.000589214    -0.000591187
    -0.000466215    -0.000488434
    -0.000171904    -0.000164744
      -0.0025644      -0.0025171
    -0.000181785    -0.000206534
    -0.000198246    -0.000202824
    -0.000124596    -0.000113619
    -0.000219669    -0.000228907
    -0.000369834    -0.000352674
    -0.000217009     -0.00022666
    -0.000891016    -0.000950052
     -0.00467177     -0.00493581
    -0.000191678    -0.000172762
     -0.00286314     -0.00313332
    -0.000453305    -0.000414088
     -9.8042e-05    -8.95098e-05
    -0.000794263    -0.000868422
     -0.00037733    -0.000427471
     -0.00160778     -0.00167452
     -6.9544e-05    -6.20808e-05
    -0.000173311    -0.000167616
    -0.000467586    -0.000542071
     -0.00241408     -0.00234589
     -0.00010766    -0.000129932
    -0.000691416    -0.000634247
     -0.00053607    -0.000532043
    -0.000157875    -0.000173787
    -0.000659262    -0.000634014
     -7.5767e-05    -8.17372e-05
    -0.000183317    -0.000211026
     -0.00108116     -0.00120504
      -0.0023327     -0.00252112
    -0.000204046    -0.000189114
     -0.00100214     -0.00104364
     -0.00074758    -0.000824663
    -0.000175168    -0.000191823
    -0.000656601     -0.00072139
    -0.000123207    -0.000131251
     -0.00260866     -0.00276631
    -0.000191189    -0.000196898
     -0.00237022     -0.00261482
     -0.00212541     -0.00193866
    -0.000283713    -0.000274611
      -0.0049171     -0.00512233
    -0.000671185    -0.000598115
      -0.0022685     -0.00247733
     -0.00431857     -0.00422179
    -0.000553269    -0.000511385
     -0.00401572     -0.00397329
     -0.00174721     -0.00179783
       -0.000503    -0.000510964
     -0.00143488     -0.00143776
    -0.000150582    -0.000163451
    -0.000310384    -0.000374716
     -0.00479039     -0.00479851
    -0.000586914    -0.000536802
     -0.00160483     -0.00166489
    -0.000185326    -0.000191412
     -0.00111988      -0.0011269
    -0.000599804    -0.000585284
    -0.000207205    -0.000180966
      -0.0020338     -0.00190662
    -0.000262613    -0.000249817
      -0.0003946    -0.000378874
     -9.2139e-05    -9.94251e-05
     -7.5533e-05    -8.77908e-05
     -0.00699901     -0.00703133
     -0.00466592     -0.00475256
    -0.000152804    -0.000168011
     -0.00191358     -0.00210304
    -0.000760964    -0.000755728
    -0.000158211    -0.000173859
     -0.00117051     -0.00128202
     -0.00735183     -0.00811119
      -0.0023324     -0.00245356
     -0.00548746     -0.00536615
     -0.00123435     -0.00135349
    -0.000365077    -0.000403341
    -0.000106069    -0.000104491
    -0.000421752    -0.000415048
    -0.000108907    -0.000102117
     -0.00504026     -0.00532397
    -0.000120526    -0.000105324
    -0.000232748    -0.000229407
    -0.000109706    -0.000117167
     -0.00174475     -0.00164314
     -0.00245932     -0.00242629
     -0.00039883    -0.000385244
    -0.000175632    -0.000190858
     -0.00460001     -0.00434189
    -0.000100751    -8.90876e-05
     -0.00495998       -0.004473
    -0.000922084    -0.000902952
     -0.00962547      -0.0102565
    -0.000500559    -0.000502347
     -0.00111364     -0.00113205
     -0.00164569     -0.00155421
    -0.000303843    -0.000277861
    -0.000339955    -0.000351553
     -0.00605461      -0.0065347
     -0.00027685    -0.000269676
    -0.000460791    -0.000432862
    -0.000148165    -0.000139657
     -9.9317e-05    -0.000117531
    -0.000137253    -0.000118684
    -0.000437869    -0.000407287
    -0.000200215    -0.000207598
    -0.000126284    -0.000129707
     -0.00103612     -0.00122994
     -0.00213042     -0.00226398
     -0.00351402      -0.0034273
     -0.00107248     -0.00098745
     -0.00489788     -0.00496948
     -0.00210543     -0.00195247
     -9.3254e-05     -9.1187e-05
     -0.00104714    -0.000979561
    -0.000333669    -0.000294446
    -0.000236996    -0.000217494
      -0.0001495     -0.00012976
    -0.000310857    -0.000258226
     -9.2532e-05    -9.79694e-05
     -0.00115319     -0.00117344
    -0.000124714    -0.000115234
    -0.000752367    -0.000777087
    -0.000317489    -0.000380434
     -0.00183112     -0.00180844
    -0.000915398    -0.000984638
     -5.7815e-05    -5.49973e-05
     -0.00303869     -0.00296314
     -0.00109621     -0.00108465
    -0.000379232    -0.000355714
    -0.000217677    -0.000173427
     -7.7511e-05    -7.24511e-05
    -0.000102313    -0.000106729
    -0.000306087    -0.000304027
    -0.000397101    -0.000388974
     -4.4089e-05    -4.80031e-05
    -0.000135618     -0.00014684
    -0.000310921    -0.000325208
    -0.000374021    -0.000409244
    -0.000243203    -0.000285486
    -0.000955909     -0.00096538
     -0.00423868     -0.00385293
     -7.5363e-05    -7.46906e-05
     -0.00022682      -0.0002244
    -0.000740953    -0.000746165
     -9.6925e-05     -8.7612e-05
    -0.000399349    -0.000406682
    -0.000563849    -0.000675543
    -0.000719256    -0.000777374
