QM Energy	FF Energy
     -1.5085e-05    -2.33792e-05
    -0.000646115    -0.000505511
      -9.009e-06    -1.35961e-05
     -1.4734e-05      -1.824e-05
    -0.000236158    -0.000190404
     -1.1859e-05    -1.68744e-05
     -2.4433e-05    -3.37218e-05
     -2.7387e-05    -3.86308e-05
    -0.000116019    -0.000117328
     -3.2517e-05     -5.9945e-05
     -1.1368e-05     -2.4292e-05
     -2.6975e-05    -4.31448e-05
     -0.00025996    -0.000275336
     -1.1688e-05    -1.91213e-05
       -4.77e-06    -7.10897e-06
     -9.8532e-05    -9.72223e-05
    -0.000229996    -0.000200576
      -5.979e-05    -8.74126e-05
    -0.000296796    -0.000225781
     -3.5544e-05    -6.79362e-05
     -1.5613e-05     -1.4457e-05
    -0.000236341    -0.000198307
    -0.000102265    -0.000113951
    -0.000348336    -0.000321556
     -2.6975e-05    -3.24481e-05
      -9.194e-06    -1.32138e-05
      -6.925e-06    -1.11626e-05
    -0.000392246    -0.000314824
     -0.00044461    -0.000370033
      -5.325e-06    -9.35779e-06
     -7.5451e-05     -0.00010514
    -0.000539507    -0.000482283
    -0.000308419    -0.000327682
     -4.7164e-05    -5.45254e-05
    -0.000299387    -0.000346302
     -1.9061e-05    -2.17259e-05
      -8.432e-06    -1.19028e-05
     -2.7097e-05    -3.00222e-05
      -5.404e-06    -1.46128e-05
    -0.000415422    -0.000303533
    -0.000353816    -0.000292087
     -1.5782e-05    -3.24238e-05
    -0.000119549    -0.000138079
     -9.4621e-05    -0.000101097
      -4.861e-06    -6.34501e-06
    -0.000315161    -0.000252017
      -1.244e-05     -2.1556e-05
    -0.000401294    -0.000318106
    -0.000173456    -0.000189443
    -0.000220609    -0.000225324
    -0.000185823    -0.000202009
    -0.000520506    -0.000480233
     -1.1719e-05     -1.9878e-05
    -0.000180447    -0.000242157
    -0.000430877     -0.00045642
    -0.000674042    -0.000679439
    -0.000280051     -0.00023991
     -6.1725e-05    -6.26286e-05
       -9.89e-06    -1.12652e-05
    -0.000112304    -0.000129948
     -8.4657e-05     -8.7547e-05
     -4.6069e-05    -5.37821e-05
     -3.0003e-05     -3.7903e-05
      -0.0001162    -0.000149268
     -3.4944e-05    -4.72204e-05
    -0.000617622    -0.000548438
    -0.000507773    -0.000464914
    -0.000198104     -0.00026101
     -5.8913e-05    -5.83049e-05
    -0.000179906    -0.000194237
    -0.000150184    -0.000156578
    -0.000737035     -0.00053202
     -2.1757e-05    -2.33056e-05
      -7.734e-05    -7.57297e-05
      -4.313e-05    -4.78851e-05
    -0.000886347    -0.000665935
     -6.8277e-05    -6.00315e-05
      -5.855e-06    -1.18185e-05
