QM Energy	FF Energy
    -0.000269052    -0.000282149
    -0.000140581    -0.000165996
     -2.2689e-05    -2.85279e-05
     -0.00039741     -0.00043253
      -0.0011022    -0.000960224
    -0.000148351    -0.000171659
     -2.5645e-05    -3.46423e-05
    -0.000118978    -0.000144124
    -0.000303228    -0.000321488
    -0.000102529    -0.000123116
     -6.2227e-05    -7.49343e-05
     -1.6462e-05    -2.38369e-05
    -0.000702871    -0.000622447
    -0.000247515    -0.000281374
     -2.6124e-05    -3.62296e-05
    -0.000754325    -0.000704297
     -3.8614e-05    -5.47522e-05
     -0.00119781     -0.00118649
    -0.000341895    -0.000361814
     -0.00111437     -0.00117014
     -4.4558e-05    -5.56469e-05
    -0.000121025    -0.000140794
    -0.000729128     -0.00069288
     -2.1912e-05    -3.13168e-05
     -0.00105478     -0.00101591
     -0.00161733     -0.00154201
     -6.1323e-05    -7.39931e-05
    -0.000507431    -0.000524153
      -0.0003582    -0.000365161
    -0.000322559    -0.000364416
     -0.00090094    -0.000918222
     -5.3416e-05    -6.43369e-05
    -0.000968938    -0.000913018
    -0.000363734    -0.000380949
    -0.000623974    -0.000602921
    -0.000136462    -0.000149838
     -3.7734e-05    -5.20973e-05
    -0.000837912    -0.000787739
     -1.3465e-05    -1.85548e-05
     -0.00109553     -0.00105628
    -0.000595861    -0.000586641
      -3.557e-05    -4.35983e-05
     -4.7029e-05    -5.50068e-05
     -3.7853e-05    -4.96221e-05
      -8.002e-05    -0.000102034
    -0.000815276    -0.000759411
    -0.000178095    -0.000199167
     -7.7466e-05      -9.146e-05
     -8.6811e-05     -9.7515e-05
     -3.9605e-05    -5.25905e-05
     -0.00134537     -0.00138392
     -2.4355e-05     -3.2146e-05
    -0.000970825    -0.000912049
    -0.000638817    -0.000592164
    -0.000108178    -0.000125464
     -0.00185958     -0.00199977
    -0.000336397    -0.000348953
     -4.9037e-05      -6.313e-05
    -0.000203948    -0.000218813
    -0.000151753     -0.00018854
    -0.000707169    -0.000694801
      -2.313e-05    -2.94865e-05
    -0.000599696    -0.000581976
     -3.7938e-05    -5.04926e-05
    -0.000942663    -0.000995312
     -5.7111e-05     -6.9049e-05
     -3.9675e-05    -5.00297e-05
     -0.00139008     -0.00129427
     -1.6414e-05    -2.13775e-05
     -2.9371e-05    -3.63221e-05
    -0.000165825    -0.000182664
     -5.5536e-05     -7.0734e-05
    -0.000319031    -0.000345114
    -0.000688532    -0.000630642
     -7.8584e-05     -9.2828e-05
     -4.8618e-05    -5.73116e-05
      -0.0001017    -0.000116258
     -0.00140735     -0.00136979
    -0.000974728     -0.00100498
     -3.3142e-05    -4.20103e-05
     -5.9536e-05    -7.27328e-05
     -8.0724e-05    -9.67159e-05
    -0.000194689    -0.000230418
    -0.000118901    -0.000130021
    -0.000445743    -0.000489168
     -0.00167685     -0.00173314
     -7.6432e-05    -8.91515e-05
     -7.2604e-05    -8.82743e-05
     -0.00050911    -0.000525285
     -7.5425e-05    -9.36847e-05
    -0.000203389    -0.000239185
     -0.00101548     -0.00103578
     -6.1858e-05    -7.39916e-05
    -0.000184389    -0.000207765
    -0.000671911    -0.000702222
     -0.00101933    -0.000944272
      -4.848e-05    -6.38654e-05
     -4.1057e-05     -4.9407e-05
    -0.000140845    -0.000161684
     -5.6897e-05    -7.02901e-05
    -0.000418574    -0.000428104
     -4.0307e-05    -5.29779e-05
     -0.00096977    -0.000979709
      -3.696e-05    -4.68556e-05
    -0.000685843    -0.000709405
    -0.000413703    -0.000418015
    -0.000476721    -0.000505732
     -2.6907e-05    -3.53588e-05
     -4.0344e-05    -5.54708e-05
    -0.000330218    -0.000349559
    -0.000497179    -0.000485934
    -0.000608888    -0.000607695
     -0.00098483    -0.000938904
     -2.2706e-05    -3.22495e-05
    -0.000368765    -0.000399051
    -0.000247264    -0.000281264
     -1.6973e-05    -2.43894e-05
     -0.00024372      -0.0002525
    -0.000299306    -0.000307919
    -0.000822123    -0.000776121
    -0.000192936    -0.000208925
    -0.000462669    -0.000500627
     -3.0368e-05    -3.67756e-05
    -0.000104043    -0.000116409
    -0.000431599     -0.00044255
    -0.000514827    -0.000497778
     -5.1821e-05    -6.76865e-05
     -1.9219e-05    -2.45488e-05
     -8.1299e-05    -0.000104374
     -7.2923e-05    -8.52791e-05
     -5.3854e-05    -6.72168e-05
    -0.000219114     -0.00022474
    -0.000250311    -0.000260848
    -0.000372851    -0.000399272
    -0.000541747    -0.000526186
    -0.000175378    -0.000197368
     -1.2238e-05    -1.77321e-05
    -0.000228725    -0.000238811
     -5.7722e-05    -6.90966e-05
    -0.000206702    -0.000222438
     -4.2669e-05    -5.92503e-05
     -4.3888e-05    -6.38438e-05
      -0.0010146    -0.000949007
     -5.1413e-05     -6.7882e-05
     -2.0108e-05     -2.6227e-05
    -0.000962889    -0.000889937
     -1.2527e-05     -1.8911e-05
     -3.4076e-05    -4.11162e-05
    -0.000685212    -0.000679728
     -0.00105846     -0.00109138
     -0.00197741     -0.00212499
    -0.000990972     -0.00088543
    -0.000215075    -0.000227713
    -0.000429351    -0.000426193
     -1.6781e-05    -2.24367e-05
     -0.00026793    -0.000305384
    -0.000175578    -0.000183551
    -0.000340602    -0.000353177
    -0.000674289    -0.000636249
    -0.000633825    -0.000683913
     -0.00154616     -0.00153479
     -0.00106489     -0.00109986
     -0.00105647     -0.00103988
     -2.4506e-05    -3.09471e-05
    -0.000474138    -0.000452264
     -2.7364e-05     -3.4862e-05
    -0.000492612    -0.000500621
      -4.859e-05    -5.72452e-05
     -2.4325e-05    -3.44944e-05
     -4.7319e-05    -5.56681e-05
      -3.411e-05    -4.29829e-05
    -0.000357627    -0.000385227
     -1.3018e-05    -1.83185e-05
     -5.9396e-05    -7.87273e-05
    -0.000938089    -0.000901129
      -2.767e-05    -3.35196e-05
     -2.4871e-05    -3.42692e-05
      -2.614e-05     -3.4449e-05
      -1.846e-05    -2.39511e-05
    -0.000257432    -0.000275592
     -6.3447e-05    -8.02849e-05
     -0.00140542     -0.00130309
    -0.000281983    -0.000320781
     -4.1509e-05     -5.4665e-05
    -0.000120579    -0.000144797
    -0.000172953    -0.000180705
    -0.000805425    -0.000815863
    -0.000121002    -0.000134564
     -0.00147691     -0.00142514
    -0.000117312    -0.000144826
     -6.2089e-05    -7.26841e-05
     -4.1143e-05     -5.3285e-05
    -0.000134245    -0.000147138
    -0.000770818    -0.000710793
     -4.7669e-05    -6.19201e-05
    -0.000150356    -0.000172573
    -0.000362207    -0.000407167
     -0.00165263     -0.00163493
    -0.000172373    -0.000192115
    -0.000633372    -0.000664023
     -0.00051297    -0.000537533
    -0.000656966    -0.000654474
    -0.000195291    -0.000218523
    -0.000559424    -0.000556835
    -0.000625764    -0.000596321
     -8.3693e-05    -9.86974e-05
     -0.00045853    -0.000504139
     -0.00022952    -0.000251855
    -0.000169418    -0.000187856
      -3.183e-05    -4.08408e-05
      -4.449e-05     -5.5645e-05
     -8.9738e-05    -0.000113205
    -0.000220677    -0.000252814
     -1.3139e-05    -1.88962e-05
    -0.000104339    -0.000127545
     -5.4787e-05     -7.0634e-05
    -0.000264319    -0.000295808
    -0.000245919    -0.000260915
     -4.0666e-05    -5.31789e-05
     -3.1576e-05    -4.16809e-05
     -1.8952e-05    -2.47731e-05
     -5.1425e-05    -6.13665e-05
     -6.5535e-05    -7.89634e-05
     -3.9796e-05    -4.90977e-05
    -0.000114799     -0.00013904
    -0.000213272    -0.000251283
     -6.8763e-05    -8.88432e-05
    -0.000753589    -0.000802367
    -0.000308726    -0.000326156
     -2.3787e-05    -3.04744e-05
      -2.559e-05    -3.46656e-05
    -0.000171182     -0.00019557
     -0.00026558    -0.000282836
     -1.9385e-05    -2.87204e-05
     -4.7953e-05     -6.5163e-05
     -6.1233e-05    -7.38049e-05
    -0.000409865    -0.000425242
     -8.7005e-05    -0.000101286
     -0.00199616     -0.00210613
    -0.000435983    -0.000454039
     -5.2043e-05    -6.38244e-05
    -0.000307052     -0.00031819
     -4.7064e-05    -5.79115e-05
      -2.001e-05    -2.74525e-05
     -9.4501e-05     -0.00011658
     -0.00042575    -0.000428581
    -0.000533436    -0.000571417
    -0.000918596     -0.00092237
    -0.000150088    -0.000183706
     -4.5051e-05    -5.29073e-05
    -0.000123072    -0.000148705
    -0.000476247    -0.000500822
    -0.000313786    -0.000333822
    -0.000157513    -0.000185015
    -0.000107212    -0.000125345
    -0.000339581    -0.000349816
    -0.000210849    -0.000225006
      -2.859e-05     -3.7149e-05
    -0.000763196    -0.000734499
     -2.8465e-05    -3.76733e-05
     -6.9935e-05    -8.17659e-05
     -2.2953e-05    -3.02562e-05
     -8.7695e-05    -0.000100347
    -0.000204175    -0.000219557
        -3.2e-05    -4.50075e-05
     -3.7723e-05    -4.71391e-05
     -3.4263e-05    -4.37935e-05
     -9.9205e-05    -0.000115134
    -0.000241123    -0.000267145
    -0.000112086    -0.000134525
     -5.5215e-05    -6.77987e-05
    -0.000858296    -0.000783892
    -0.000892303    -0.000782433
    -0.000858663    -0.000778698
    -0.000500653    -0.000533541
    -0.000157976    -0.000168735
     -5.0786e-05    -6.06756e-05
     -8.8993e-05    -0.000106561
      -1.656e-05    -2.18957e-05
    -0.000893219    -0.000828509
    -0.000108792    -0.000129256
     -9.4115e-05    -0.000112784
     -2.8969e-05     -3.5355e-05
    -0.000151395    -0.000167592
    -0.000172638    -0.000209716
    -0.000484575    -0.000505809
    -0.000142595    -0.000158376
     -8.0862e-05     -9.2205e-05
    -0.000127805    -0.000142163
    -0.000226825    -0.000272041
     -0.00107057      -0.0010346
     -3.0289e-05    -4.12021e-05
     -5.2779e-05    -6.48125e-05
    -0.000322207    -0.000315398
     -0.00156326     -0.00156893
     -7.3717e-05    -8.29415e-05
    -0.000276488    -0.000296787
    -0.000154405    -0.000170279
     -0.00197228     -0.00197278
     -2.4278e-05    -3.31214e-05
     -3.3735e-05    -4.48209e-05
