QM Energy	FF Energy
     -0.00356303     -0.00343785
     -0.00275423     -0.00271559
     -0.00105857    -0.000996922
     -0.00531878     -0.00528055
     -0.00641376     -0.00597729
     -0.00313406      -0.0030406
     -0.00141465     -0.00138001
     -0.00292911     -0.00284977
     -0.00408585     -0.00396959
     -0.00280193     -0.00275259
     -0.00181816      -0.0017349
     -0.00125235     -0.00119212
     -0.00539225     -0.00517148
     -0.00364086     -0.00357515
     -0.00139636     -0.00134163
     -0.00535273     -0.00508365
     -0.00203791     -0.00205141
      -0.0106108      -0.0105578
     -0.00407341     -0.00392386
      -0.0101677     -0.00992872
     -0.00157483     -0.00147748
     -0.00285715     -0.00277597
     -0.00472437     -0.00434278
     -0.00145611     -0.00143818
     -0.00749498     -0.00733408
      -0.0113209       -0.011354
     -0.00171805     -0.00159851
     -0.00493954     -0.00463466
     -0.00463649     -0.00454292
     -0.00500755     -0.00515283
     -0.00760814     -0.00759165
     -0.00150509      -0.0013718
     -0.00630438     -0.00599274
     -0.00437663     -0.00430966
      -0.0048153      -0.0044836
     -0.00288145     -0.00278249
     -0.00170719     -0.00168066
     -0.00597171     -0.00565491
    -0.000954323    -0.000883816
     -0.00857181     -0.00823271
     -0.00452213     -0.00413491
      -0.0016849     -0.00160349
     -0.00167413     -0.00158104
        -0.00154     -0.00146958
     -0.00240009     -0.00233008
     -0.00535075     -0.00492302
     -0.00316588     -0.00303968
     -0.00221785      -0.0021016
     -0.00177815     -0.00162851
     -0.00166811      -0.0015891
      -0.0104961      -0.0101681
     -0.00132352     -0.00123781
     -0.00640956     -0.00594173
     -0.00519874     -0.00493768
     -0.00245698     -0.00240677
      -0.0143388      -0.0138779
     -0.00418674     -0.00404813
     -0.00194163     -0.00189695
     -0.00260543     -0.00244817
     -0.00346343     -0.00346145
     -0.00590724     -0.00571852
     -0.00112634      -0.0010739
     -0.00501579     -0.00474792
     -0.00202843     -0.00196709
      -0.0088947     -0.00880001
     -0.00180886     -0.00171904
     -0.00143404     -0.00131788
      -0.0089658     -0.00878199
     -0.00114358      -0.0011058
     -0.00133591     -0.00123741
     -0.00222521     -0.00206008
     -0.00200132     -0.00194301
     -0.00428899     -0.00406321
     -0.00563565     -0.00546857
     -0.00223341      -0.0021737
     -0.00161321     -0.00153959
     -0.00214919     -0.00200286
     -0.00910034     -0.00874505
     -0.00907346     -0.00876198
     -0.00159632     -0.00151894
     -0.00200864     -0.00190719
     -0.00249063     -0.00236225
     -0.00363584      -0.0036137
     -0.00227066     -0.00212561
     -0.00649608     -0.00666521
      -0.0125054       -0.012606
     -0.00209791     -0.00199628
     -0.00210691     -0.00201289
     -0.00482775     -0.00457037
     -0.00255565      -0.0024755
     -0.00349712     -0.00343302
     -0.00809183     -0.00814485
     -0.00183532       -0.001747
     -0.00306377      -0.0028391
     -0.00723054     -0.00726026
     -0.00581559     -0.00522733
     -0.00181724     -0.00174488
     -0.00173425     -0.00165942
     -0.00316939     -0.00314953
     -0.00180567     -0.00173023
     -0.00393499     -0.00373656
     -0.00209329     -0.00203424
     -0.00859716     -0.00860896
     -0.00138441      -0.0012955
      -0.0071803     -0.00727194
     -0.00350563     -0.00319656
     -0.00567275     -0.00562005
     -0.00149724     -0.00143117
     -0.00193787     -0.00192899
     -0.00485739     -0.00481929
      -0.0041489     -0.00379876
     -0.00527318     -0.00507598
      -0.0075162     -0.00741137
     -0.00137294     -0.00133013
     -0.00406332     -0.00373713
     -0.00381085     -0.00373519
     -0.00123904     -0.00119312
     -0.00284457     -0.00259381
     -0.00367302     -0.00354944
     -0.00554147       -0.005077
      -0.0022111     -0.00200803
     -0.00542124     -0.00538973
      -0.0014147     -0.00133842
     -0.00231039     -0.00217655
     -0.00450657     -0.00429734
     -0.00449462     -0.00434905
      -0.0017862     -0.00172421
     -0.00140316     -0.00132708
     -0.00271225     -0.00270731
     -0.00198244     -0.00188968
     -0.00169772     -0.00161384
     -0.00331399     -0.00318477
     -0.00339964     -0.00330235
     -0.00506912     -0.00503189
     -0.00356817     -0.00315815
     -0.00328607     -0.00321139
     -0.00117508     -0.00112029
     -0.00288853     -0.00268275
      -0.0020199     -0.00193519
     -0.00245082     -0.00219851
     -0.00216441     -0.00214663
     -0.00232961     -0.00237502
     -0.00697656     -0.00650255
      -0.0020334      -0.0019903
     -0.00105017    -0.000959934
     -0.00808304     -0.00797999
     -0.00124993     -0.00122758
     -0.00116987     -0.00106947
     -0.00631329       -0.006146
     -0.00894228     -0.00879533
      -0.0154387      -0.0153287
     -0.00607884     -0.00567218
     -0.00295312     -0.00280876
     -0.00522525     -0.00512222
     -0.00119332     -0.00118174
     -0.00442894     -0.00445196
     -0.00247379       -0.002285
     -0.00439347     -0.00419603
     -0.00490073     -0.00461092
     -0.00765236     -0.00785188
      -0.0105025      -0.0102469
     -0.00830424     -0.00818218
     -0.00821428     -0.00812414
     -0.00105896    -0.000957418
     -0.00459891     -0.00445645
     -0.00116433     -0.00106638
     -0.00464291     -0.00447172
     -0.00203015     -0.00195527
     -0.00154629     -0.00150446
     -0.00125856     -0.00114629
     -0.00147211     -0.00134086
     -0.00513775     -0.00520829
     -0.00118753     -0.00113073
     -0.00239559     -0.00240271
     -0.00658738     -0.00633129
      -0.0010545    -0.000957547
     -0.00140741     -0.00134917
     -0.00137924     -0.00132675
     -0.00104509    -0.000964784
     -0.00397361     -0.00376883
     -0.00217776      -0.0021087
      -0.0105789      -0.0105729
      -0.0043886     -0.00433433
     -0.00205118     -0.00205046
     -0.00269568     -0.00267289
     -0.00253791     -0.00237412
     -0.00772825     -0.00777729
     -0.00163236     -0.00142709
     -0.00962009     -0.00942288
     -0.00286469     -0.00284782
     -0.00129627     -0.00114679
     -0.00167648     -0.00161549
     -0.00223028     -0.00207622
     -0.00485177     -0.00445752
     -0.00209608     -0.00204489
     -0.00322935     -0.00320057
      -0.0049633     -0.00494574
      -0.0124094      -0.0123643
     -0.00287198     -0.00279763
     -0.00644229     -0.00642321
     -0.00570909     -0.00559708
     -0.00726994     -0.00733996
     -0.00411974     -0.00403456
     -0.00485659     -0.00460903
     -0.00367324     -0.00318387
     -0.00187924     -0.00174732
     -0.00609915     -0.00612893
     -0.00409708     -0.00400184
     -0.00294079     -0.00284044
     -0.00152412     -0.00144587
      -0.0015471     -0.00147021
     -0.00267276     -0.00261123
     -0.00368788     -0.00368303
      -0.0011844       -0.001134
     -0.00294443     -0.00285984
     -0.00191528     -0.00184108
     -0.00383224      -0.0037818
      -0.0031413     -0.00297706
     -0.00156016     -0.00150199
     -0.00146446     -0.00136655
    -0.000867589    -0.000783635
     -0.00168499     -0.00158216
     -0.00187268       -0.001747
     -0.00166067     -0.00160313
     -0.00269854     -0.00264133
     -0.00400226     -0.00392787
     -0.00238455     -0.00233177
     -0.00707573     -0.00705258
     -0.00443005     -0.00449774
     -0.00132818     -0.00124636
     -0.00176359     -0.00169984
     -0.00288156     -0.00275835
     -0.00364104     -0.00358794
     -0.00151984     -0.00150665
     -0.00214437     -0.00212183
     -0.00185065     -0.00175769
     -0.00451933     -0.00432646
     -0.00213944     -0.00201763
      -0.0150793      -0.0149971
     -0.00462687     -0.00447386
     -0.00186587     -0.00178724
     -0.00276668     -0.00248135
     -0.00159955     -0.00152483
     -0.00133028     -0.00127419
     -0.00277303     -0.00274045
      -0.0047942     -0.00462714
     -0.00636748      -0.0064006
      -0.0073373     -0.00718168
     -0.00320926     -0.00323738
     -0.00155177     -0.00147825
     -0.00266971     -0.00262293
      -0.0047901     -0.00468796
     -0.00429607      -0.0040769
     -0.00316165     -0.00311775
     -0.00241116     -0.00236584
     -0.00370363     -0.00344171
     -0.00335287     -0.00327337
       -0.001269     -0.00119097
      -0.0068549     -0.00655678
     -0.00160337     -0.00156976
     -0.00225302     -0.00217326
     -0.00112568     -0.00106358
     -0.00169044      -0.0015431
     -0.00313716     -0.00296292
     -0.00172397     -0.00172448
     -0.00135708     -0.00129275
     -0.00145454     -0.00141769
     -0.00242788     -0.00226509
     -0.00376298     -0.00362091
     -0.00222654     -0.00212817
     -0.00155548     -0.00144101
     -0.00489369     -0.00441263
     -0.00624732     -0.00602808
     -0.00492997     -0.00448845
     -0.00567058     -0.00560173
     -0.00210531     -0.00191005
     -0.00111245    -0.000968271
     -0.00209158     -0.00202373
    -0.000844168    -0.000768205
     -0.00574754     -0.00538613
     -0.00247024     -0.00242584
     -0.00261167     -0.00255929
     -0.00122698     -0.00114394
     -0.00285053     -0.00268624
     -0.00367211     -0.00366577
     -0.00717313     -0.00729605
     -0.00278632     -0.00263986
      -0.0016942     -0.00153083
     -0.00219739     -0.00207187
     -0.00408165     -0.00410263
     -0.00898127     -0.00881804
     -0.00160824     -0.00155149
     -0.00155053      -0.0014304
     -0.00422037     -0.00419301
      -0.0114042      -0.0113405
     -0.00191444     -0.00181289
     -0.00379971     -0.00374534
     -0.00260218     -0.00246215
      -0.0123664      -0.0119272
     -0.00149976     -0.00147729
      -0.0018231     -0.00175392
     -0.00194638     -0.00182997
     -0.00123449     -0.00116879
     -0.00159505       -0.001561
    -0.000944652    -0.000879867
     -0.00216441     -0.00214065
     -0.00324701     -0.00302164
     -0.00180924     -0.00168268
      -0.0014548     -0.00136095
     -0.00265869     -0.00258494
     -0.00231171     -0.00216058
     -0.00242543     -0.00217256
     -0.00110422     -0.00103216
     -0.00563985     -0.00548344
     -0.00462844     -0.00439441
     -0.00215694     -0.00215019
     -0.00224094     -0.00204209
     -0.00182752     -0.00167019
     -0.00305517     -0.00294982
     -0.00484319     -0.00467948
     -0.00137325     -0.00130367
     -0.00153076     -0.00149269
     -0.00178664     -0.00164859
     -0.00190123     -0.00187136
     -0.00217395     -0.00200933
     -0.00401293     -0.00393575
     -0.00489856     -0.00487489
     -0.00625441     -0.00605222
     -0.00208571     -0.00210215
     -0.00347599     -0.00345217
     -0.00299269     -0.00279723
     -0.00158008     -0.00146281
     -0.00698186     -0.00652785
      -0.0052783     -0.00488768
     -0.00321996     -0.00319243
     -0.00138257     -0.00130342
     -0.00697346     -0.00699374
    -0.000912726    -0.000814228
     -0.00540591     -0.00518945
     -0.00810961     -0.00821212
     -0.00426013     -0.00397079
     -0.00773558     -0.00746773
     -0.00239208     -0.00225863
     -0.00661273       -0.006142
     -0.00131869     -0.00125852
     -0.00327625     -0.00326804
     -0.00933204     -0.00932421
     -0.00193079     -0.00181619
     -0.00366572     -0.00360433
     -0.00986272     -0.00982818
     -0.00516719     -0.00484743
     -0.00317198     -0.00293827
      -0.0072381      -0.0068077
     -0.00604945     -0.00605095
     -0.00340835     -0.00318793
     -0.00244839     -0.00226801
     -0.00580194     -0.00567456
     -0.00450949     -0.00432824
     -0.00455403     -0.00417076
      -0.0116152      -0.0117415
     -0.00620955     -0.00621175
     -0.00623496     -0.00610378
     -0.00146276     -0.00140702
     -0.00112222    -0.000979048
     -0.00134955     -0.00129428
     -0.00261766     -0.00252146
      -0.0041531     -0.00383002
     -0.00858146     -0.00870209
     -0.00125955     -0.00111248
     -0.00234759     -0.00217986
     -0.00104193    -0.000982141
     -0.00333174     -0.00331202
     -0.00403453     -0.00370136
     -0.00563018     -0.00538444
       -0.008171      -0.0079684
      -0.0028664     -0.00280311
     -0.00193991     -0.00185958
      -0.0025355     -0.00240719
     -0.00383701     -0.00377002
     -0.00167687     -0.00161215
     -0.00474233     -0.00456286
     -0.00162294     -0.00160899
     -0.00309816     -0.00288414
      -0.0045487      -0.0044815
     -0.00819402      -0.0080985
     -0.00205046     -0.00194674
     -0.00878137     -0.00874334
     -0.00201097     -0.00192835
     -0.00276226     -0.00261253
     -0.00622335     -0.00604804
     -0.00279754     -0.00275072
      -0.0029128     -0.00271414
     -0.00371637      -0.0037339
     -0.00230585     -0.00221071
     -0.00249996     -0.00253184
       -0.001466     -0.00140318
      -0.0038021     -0.00370425
      -0.0020739     -0.00202413
     -0.00170184      -0.0016303
     -0.00228384     -0.00218457
     -0.00139244     -0.00137535
     -0.00400723     -0.00398964
      -0.0130318      -0.0134289
     -0.00212337     -0.00201011
     -0.00218497     -0.00203163
     -0.00682278     -0.00685525
     -0.00125373     -0.00116485
      -0.0012539     -0.00119678
     -0.00653973     -0.00609118
     -0.00340104     -0.00311256
     -0.00123732     -0.00115051
     -0.00192773     -0.00179381
        -0.00379     -0.00364505
     -0.00247584     -0.00229357
     -0.00536279     -0.00537391
     -0.00298281     -0.00293221
      -0.0029387     -0.00287573
      -0.0057831     -0.00572347
     -0.00128924     -0.00119524
     -0.00244886     -0.00236007
     -0.00353831     -0.00349093
    -0.000904796     -0.00081863
     -0.00366046     -0.00360143
     -0.00108264    -0.000991436
     -0.00245032      -0.0022813
     -0.00129686     -0.00125182
     -0.00493357     -0.00482391
     -0.00305861     -0.00286692
     -0.00351356      -0.0034903
     -0.00104172    -0.000950784
     -0.00165258     -0.00158573
      -0.0012647     -0.00114464
     -0.00496609     -0.00495588
     -0.00317349     -0.00309768
     -0.00577938      -0.0058755
     -0.00190157     -0.00176457
     -0.00205247      -0.0019978
     -0.00210565     -0.00201117
     -0.00551005     -0.00547133
     -0.00108022    -0.000955636
      -0.0149599      -0.0152595
     -0.00163433     -0.00150687
     -0.00126337     -0.00117795
     -0.00384115     -0.00380414
     -0.00250934     -0.00253563
     -0.00243954     -0.00227025
     -0.00645264     -0.00609382
     -0.00216392     -0.00208976
     -0.00642697     -0.00598364
     -0.00321648     -0.00313445
     -0.00551411     -0.00548363
     -0.00133566     -0.00125816
     -0.00119058     -0.00115089
     -0.00664317     -0.00624112
     -0.00182816     -0.00178568
     -0.00606942     -0.00586075
     -0.00337099     -0.00328118
     -0.00196995     -0.00183227
     -0.00460707      -0.0044292
     -0.00459507     -0.00454165
     -0.00224045     -0.00214581
     -0.00297892     -0.00279391
     -0.00141485     -0.00133263
     -0.00381373     -0.00378095
     -0.00247867     -0.00232409
     -0.00299036     -0.00287885
     -0.00179803     -0.00166957
     -0.00104748     -0.00101428
     -0.00164041     -0.00151681
     -0.00604913     -0.00593567
      -0.0012224     -0.00111336
     -0.00241412     -0.00234675
     -0.00463273     -0.00442584
     -0.00165931     -0.00165015
     -0.00237282     -0.00220115
     -0.00111141     -0.00103269
     -0.00170641     -0.00160825
     -0.00111701     -0.00107914
    -0.000996695    -0.000916682
     -0.00262866     -0.00242499
      -0.0037574     -0.00364563
     -0.00381231      -0.0037579
     -0.00165478     -0.00160026
     -0.00576075     -0.00563778
     -0.00210483     -0.00196142
     -0.00649069     -0.00623712
     -0.00165371     -0.00148096
     -0.00537721     -0.00506095
      -0.0016841      -0.0015823
     -0.00515927     -0.00479553
     -0.00143436     -0.00139417
     -0.00622191     -0.00607978
     -0.00135808      -0.0012786
        -0.00641     -0.00642271
     -0.00156442     -0.00152689
     -0.00161166     -0.00149799
     -0.00145467      -0.0014078
     -0.00814966     -0.00793031
     -0.00434611       -0.004038
     -0.00387276     -0.00375184
     -0.00841389     -0.00841299
     -0.00194975     -0.00193257
     -0.00182066      -0.0017644
     -0.00744808     -0.00742127
     -0.00611584     -0.00598294
     -0.00152241     -0.00148147
     -0.00404342     -0.00406145
     -0.00446614     -0.00448276
