QM Energy	FF Energy
       -0.001458     -0.00133192
    -0.000681707    -0.000708905
    -0.000120555     -0.00010626
     -0.00184018     -0.00184819
     -0.00435162     -0.00423787
    -0.000784405    -0.000730664
    -0.000170371    -0.000157698
    -0.000695759    -0.000678614
     -0.00151735     -0.00145414
    -0.000597157    -0.000550323
    -0.000309679    -0.000278573
    -0.000124536     -0.00012604
     -0.00318377     -0.00312697
     -0.00118651     -0.00122132
    -0.000155551    -0.000166426
      -0.0024403     -0.00244725
    -0.000180098    -0.000187317
     -0.00671784     -0.00613212
     -0.00113843     -0.00112448
     -0.00671394     -0.00580655
    -0.000176509    -0.000162458
    -0.000688017    -0.000658875
     -0.00297177      -0.0027165
    -0.000106429    -0.000100667
     -0.00420859     -0.00441961
     -0.00830799     -0.00885056
    -0.000320298    -0.000296947
     -0.00236787     -0.00206531
     -0.00186554     -0.00166578
     -0.00156993     -0.00170238
     -0.00453087     -0.00467455
    -0.000164092    -0.000148213
     -0.00449055     -0.00417474
     -0.00171369      -0.0017253
     -0.00247865     -0.00230407
    -0.000717782    -0.000658972
    -0.000193245    -0.000206656
     -0.00363137     -0.00330314
    -0.000107336    -9.57553e-05
     -0.00649362     -0.00592251
     -0.00196232     -0.00185182
    -0.000245514    -0.000199171
    -0.000284587    -0.000271427
    -0.000213528    -0.000208614
    -0.000442271    -0.000416252
     -0.00236679     -0.00237894
    -0.000992407    -0.000860441
    -0.000454025     -0.00039606
    -0.000363142    -0.000317372
    -0.000167712    -0.000154607
     -0.00812123      -0.0073946
     -9.8712e-05    -9.02714e-05
     -0.00460653     -0.00424012
     -0.00320923     -0.00311995
    -0.000400145    -0.000379036
      -0.0116825      -0.0104942
     -0.00162287     -0.00148817
    -0.000258244    -0.000255195
     -0.00058792    -0.000591169
    -0.000764566    -0.000827373
      -0.0034861     -0.00329114
    -0.000129311    -0.000122771
     -0.00280155     -0.00253213
    -0.000212002    -0.000179489
      -0.0047717      -0.0045702
    -0.000225173    -0.000196192
    -0.000167114    -0.000141747
     -0.00714284     -0.00730602
    -0.000107263    -0.000107173
    -0.000116636    -9.07763e-05
    -0.000510045    -0.000510531
    -0.000208963     -0.00019015
     -0.00156164     -0.00140328
     -0.00322085      -0.0034388
    -0.000399659    -0.000360868
    -0.000289953    -0.000261235
    -0.000590645    -0.000521076
      -0.0047587     -0.00495756
     -0.00486881     -0.00427615
    -0.000201261    -0.000142054
    -0.000363457    -0.000308068
    -0.000348685    -0.000287781
    -0.000891927    -0.000929329
    -0.000655655    -0.000620253
     -0.00248717     -0.00256116
     -0.00667673     -0.00721045
    -0.000319774    -0.000288101
    -0.000365858    -0.000335073
     -0.00170753     -0.00177576
    -0.000315778    -0.000266485
     -0.00100079     -0.00101981
     -0.00454027     -0.00491619
    -0.000374266    -0.000361628
    -0.000721108     -0.00065816
     -0.00304259     -0.00312215
     -0.00394918     -0.00367417
    -0.000260854    -0.000266605
    -0.000260376    -0.000215657
    -0.000709947    -0.000667039
    -0.000327925    -0.000298205
     -0.00153886     -0.00149017
     -0.00025059     -0.00021458
     -0.00553418     -0.00526964
    -0.000112313    -0.000106851
     -0.00367394     -0.00363906
     -0.00119207     -0.00119973
     -0.00247956     -0.00253191
    -0.000142754    -0.000119183
    -0.000168982    -0.000161312
     -0.00199526      -0.0018577
       -0.001967     -0.00179931
     -0.00233592      -0.0022808
     -0.00476809     -0.00486224
    -0.000130396    -0.000136844
     -0.00135058     -0.00122697
     -0.00126659     -0.00127741
     -9.5034e-05    -9.80689e-05
    -0.000882292    -0.000778949
     -0.00151816     -0.00146436
     -0.00400327     -0.00351953
    -0.000447142    -0.000478917
     -0.00178898     -0.00188663
     -0.00019857    -0.000162789
    -0.000576892    -0.000497532
      -0.0023305     -0.00208037
     -0.00157001     -0.00161538
    -0.000247678    -0.000254701
     -0.00014347    -0.000121105
    -0.000455806    -0.000456484
     -0.00042702    -0.000402457
    -0.000186912     -0.00017352
     -0.00117741     -0.00111061
     -0.00123735     -0.00112468
     -0.00199964     -0.00191344
      -0.0013916     -0.00143862
    -0.000978026    -0.000907836
     -6.8499e-05    -5.35567e-05
    -0.000781399    -0.000720638
    -0.000364476    -0.000322369
    -0.000627237    -0.000598155
    -0.000282868    -0.000277916
    -0.000258947    -0.000283504
     -0.00489199     -0.00448142
    -0.000264579    -0.000260171
    -0.000126792    -0.000106541
     -0.00538576     -0.00523488
     -7.3605e-05    -5.80259e-05
    -0.000112314     -9.9443e-05
     -0.00309953     -0.00301788
     -0.00618536     -0.00597816
      -0.0138375      -0.0140019
     -0.00401906      -0.0039619
     -0.00113233     -0.00103607
     -0.00221205     -0.00196038
     -5.1527e-05    -4.76461e-05
     -0.00130499     -0.00137625
    -0.000688931    -0.000627754
      -0.0018311     -0.00163731
     -0.00201337     -0.00201979
       -0.003304      -0.0034445
     -0.00732939      -0.0072543
     -0.00429553     -0.00454458
     -0.00536281     -0.00559074
    -0.000131746    -0.000113893
     -0.00223992     -0.00234754
    -0.000144287    -0.000118535
     -0.00179294     -0.00184665
    -0.000295958    -0.000244669
     -8.7119e-05    -8.61487e-05
    -0.000169943    -0.000153628
    -0.000164087    -0.000135044
     -0.00196473     -0.00202502
     -9.2109e-05    -7.22772e-05
    -0.000238159    -0.000248752
     -0.00343817     -0.00366032
    -0.000113542    -9.93221e-05
    -0.000163128    -0.000150534
    -0.000153541    -0.000142251
     -8.5247e-05    -7.19567e-05
     -0.00113411     -0.00101797
    -0.000267841    -0.000247101
     -0.00670715     -0.00652053
     -0.00150879     -0.00148849
    -0.000268731    -0.000284165
    -0.000489133    -0.000515167
    -0.000865185    -0.000763125
     -0.00415184     -0.00419127
    -0.000333819    -0.000326428
     -0.00755043     -0.00756515
    -0.000527815    -0.000566401
    -0.000231397    -0.000213454
    -0.000149526    -0.000142116
    -0.000521114    -0.000468393
     -0.00246715     -0.00238426
    -0.000267366     -0.00025533
    -0.000839166     -0.00085594
     -0.00135704     -0.00146331
      -0.0100415      -0.0100533
    -0.000888616    -0.000892495
     -0.00294038     -0.00298982
     -0.00254561     -0.00248143
     -0.00342269     -0.00340617
     -0.00109419    -0.000923038
     -0.00289286     -0.00251251
     -0.00175395     -0.00175424
    -0.000308775     -0.00028337
     -0.00258753      -0.0024414
     -0.00137378     -0.00120462
    -0.000827543    -0.000792954
     -0.00020437    -0.000173678
    -0.000280356    -0.000241547
    -0.000526036    -0.000512045
     -0.00105829     -0.00113681
     -5.8643e-05    -4.73187e-05
    -0.000483064    -0.000438786
    -0.000286628    -0.000275599
     -0.00130401     -0.00136653
     -0.00113375     -0.00101814
    -0.000199016    -0.000206731
    -0.000138024    -0.000112936
     -8.0395e-05    -7.82018e-05
    -0.000271292    -0.000231905
    -0.000301534    -0.000248101
    -0.000232952    -0.000224505
    -0.000535655    -0.000540983
     -0.00110955     -0.00109134
    -0.000401976    -0.000396753
     -0.00318316     -0.00329837
      -0.0014913     -0.00149654
    -0.000173125    -0.000150968
    -0.000181247    -0.000151821
    -0.000798258    -0.000759814
    -0.000952536     -0.00100096
    -0.000114423    -0.000111991
    -0.000260999    -0.000264062
    -0.000363588    -0.000314095
     -0.00153667     -0.00150432
    -0.000391644    -0.000350933
      -0.0105978      -0.0101542
     -0.00147761     -0.00148322
    -0.000238379    -0.000203772
    -0.000911647    -0.000917344
    -0.000227693    -0.000209532
    -0.000141916    -0.000132094
    -0.000497492      -0.0004759
      -0.0021127     -0.00191718
     -0.00305642     -0.00293031
     -0.00457269     -0.00465649
    -0.000741757    -0.000811492
    -0.000220549    -0.000195507
     -0.00064552    -0.000696498
     -0.00219327     -0.00231043
     -0.00135821      -0.0011933
    -0.000643445    -0.000669139
    -0.000489764    -0.000471635
     -0.00124071     -0.00112314
     -0.00118244     -0.00110737
    -0.000194743    -0.000160146
     -0.00411496     -0.00376615
    -0.000173965    -0.000150841
    -0.000440865    -0.000373147
    -0.000112548    -9.61065e-05
    -0.000397665    -0.000385453
     -0.00107057    -0.000904155
    -0.000166285    -0.000170302
    -0.000113521    -0.000108167
    -0.000113448    -0.000106334
    -0.000482392    -0.000380834
      -0.0011625     -0.00107989
    -0.000467544    -0.000490001
    -0.000201182    -0.000177175
     -0.00224043      -0.0023164
     -0.00397463     -0.00396896
     -0.00274077     -0.00274307
     -0.00236475     -0.00228809
    -0.000585607    -0.000540312
    -0.000116256    -0.000110235
    -0.000375555    -0.000374707
     -8.5596e-05    -7.52763e-05
     -0.00309399     -0.00303532
    -0.000494065    -0.000504007
    -0.000539535    -0.000487676
    -0.000152427    -0.000129084
    -0.000746389    -0.000629348
    -0.000826395    -0.000846559
     -0.00278408     -0.00266705
    -0.000697071    -0.000589674
    -0.000282942    -0.000227934
    -0.000401103    -0.000393862
     -0.00114954     -0.00122459
     -0.00663893     -0.00619512
    -0.000173249    -0.000162695
    -0.000311396    -0.000250495
     -0.00161411     -0.00165136
     -0.00799578     -0.00816845
    -0.000429368    -0.000434486
       -0.001022     -0.00106029
    -0.000800431    -0.000750929
