QM Energy	FF Energy
     -6.2501e-05    -0.000107373
     -4.9051e-05    -6.19092e-05
      -9.744e-06    -1.07418e-05
    -0.000123464    -0.000163442
    -0.000422217    -0.000385046
     -4.2046e-05     -6.6871e-05
      -8.505e-06    -1.34928e-05
     -3.3399e-05    -5.64753e-05
     -9.6457e-05    -0.000121786
     -2.5926e-05     -4.7794e-05
     -2.4393e-05    -2.95219e-05
      -5.735e-06    -1.02247e-05
    -0.000217101    -0.000254876
      -8.428e-05    -0.000104184
      -9.096e-06    -1.46585e-05
    -0.000325759    -0.000262324
     -1.4831e-05    -2.06345e-05
    -0.000321142    -0.000460827
    -0.000146971    -0.000136309
    -0.000258377    -0.000455335
      -2.175e-05    -2.19859e-05
     -3.4336e-05    -5.57548e-05
    -0.000285104    -0.000257876
      -7.349e-06     -1.2075e-05
    -0.000454049    -0.000392451
    -0.000659796    -0.000613078
     -1.9126e-05    -2.84768e-05
    -0.000129354    -0.000193948
    -0.000104252    -0.000141478
    -0.000102239    -0.000131604
    -0.000321467    -0.000343865
     -2.7715e-05    -2.58136e-05
     -0.00038241    -0.000348771
    -0.000110855    -0.000140247
    -0.000225579    -0.000237888
     -2.8322e-05    -6.18779e-05
     -1.4161e-05    -1.90629e-05
     -0.00030148    -0.000287312
      -4.596e-06    -7.30928e-06
    -0.000278293    -0.000421791
    -0.000232981    -0.000223397
     -1.0078e-05    -1.69221e-05
     -1.1696e-05     -2.6352e-05
     -1.4777e-05    -1.90585e-05
     -2.4675e-05    -3.91132e-05
    -0.000381346    -0.000295915
     -4.0445e-05    -7.72484e-05
     -2.5855e-05     -3.5018e-05
     -3.3531e-05    -3.61686e-05
     -1.4851e-05    -1.96539e-05
    -0.000461865    -0.000529116
      -1.171e-05    -1.27279e-05
    -0.000317115    -0.000352641
    -0.000169036     -0.00024088
     -4.3155e-05    -4.67119e-05
      -0.0007236    -0.000789985
     -9.3553e-05    -0.000131123
     -1.4538e-05    -2.30846e-05
      -9.483e-05    -8.51865e-05
     -5.0065e-05    -7.05711e-05
    -0.000228217    -0.000262172
      -9.423e-06    -1.16999e-05
     -0.00020071    -0.000224084
      -9.974e-06    -1.95651e-05
    -0.000297566    -0.000369226
     -2.6253e-05    -2.66929e-05
     -1.8836e-05    -1.97936e-05
    -0.000587555    -0.000512201
      -6.251e-06    -9.58816e-06
      -9.885e-06    -1.40971e-05
     -7.5778e-05    -7.02023e-05
     -2.4589e-05    -2.64654e-05
     -9.2351e-05    -0.000133846
    -0.000218285    -0.000264883
     -2.6542e-05    -3.66208e-05
     -1.7146e-05    -2.27704e-05
     -2.7019e-05    -4.64683e-05
    -0.000612995    -0.000518696
    -0.000238751    -0.000386566
      -7.292e-06    -1.96429e-05
     -1.4753e-05    -2.84666e-05
     -2.9976e-05    -3.64248e-05
     -6.8786e-05    -9.01606e-05
     -3.2831e-05    -5.43196e-05
    -0.000103681    -0.000179983
    -0.000678311    -0.000645141
     -2.9888e-05    -3.36485e-05
     -2.6143e-05    -3.40762e-05
    -0.000214075    -0.000208797
      -2.786e-05    -3.56144e-05
     -6.5098e-05    -8.88017e-05
    -0.000425906    -0.000380162
     -2.1497e-05    -3.11626e-05
     -7.9932e-05    -8.00316e-05
    -0.000212809    -0.000262425
    -0.000423492     -0.00036954
     -1.6923e-05    -2.53587e-05
     -1.1537e-05    -1.89272e-05
     -4.3954e-05    -5.95718e-05
     -1.8624e-05    -2.59899e-05
    -0.000169036    -0.000160967
     -1.4154e-05    -2.11532e-05
    -0.000293349    -0.000371732
     -1.9537e-05    -1.89005e-05
    -0.000193997    -0.000264582
    -0.000190832      -0.0001621
    -0.000122499    -0.000190389
      -8.031e-06    -1.41124e-05
     -1.6757e-05    -2.12216e-05
     -5.1434e-05    -0.000139245
    -0.000166334    -0.000187816
    -0.000232888    -0.000225443
    -0.000367478    -0.000356966
       -9.59e-06    -1.24083e-05
    -0.000142242     -0.00015182
     -7.5949e-05    -0.000103762
      -6.347e-06    -1.04692e-05
     -8.3116e-05     -9.7052e-05
     -7.9651e-05     -0.00012047
    -0.000264634    -0.000293497
    -0.000101538    -8.44358e-05
