QM Energy	FF Energy
     -3.6432e-05    -3.32527e-05
     -5.5568e-05    -5.08063e-05
     -8.6554e-05    -7.57251e-05
     -4.4831e-05    -4.03932e-05
    -0.000396425    -0.000363023
    -0.000774445    -0.000707977
     -3.5858e-05    -3.43504e-05
    -0.000260222     -0.00024552
    -0.000136277    -0.000140026
    -0.000193526    -0.000170192
     -3.8198e-05    -3.25777e-05
     -6.4406e-05    -6.12366e-05
      -0.0011081     -0.00113533
    -0.000311006    -0.000282614
    -0.000301064     -0.00030436
     -2.6735e-05    -2.38087e-05
    -0.000152811    -0.000133168
    -0.000140203    -0.000120812
    -0.000147531    -0.000134017
     -3.9771e-05    -3.72044e-05
    -0.000108922    -9.92294e-05
     -0.00055798    -0.000543139
     -0.00109147     -0.00105796
    -0.000384148    -0.000369383
     -0.00130691     -0.00124793
     -8.8684e-05    -7.85137e-05
    -0.000392816    -0.000389003
    -0.000921777    -0.000870367
     -6.5222e-05    -5.87197e-05
     -0.00117195     -0.00113988
     -0.00127817     -0.00126188
        -5.5e-05    -5.15055e-05
    -0.000171905     -0.00016105
     -7.2317e-05    -6.97219e-05
    -0.000667528    -0.000683651
    -0.000562428    -0.000511913
     -3.4902e-05    -3.27365e-05
     -0.00104182    -0.000993925
    -0.000566105    -0.000524232
      -0.0003602    -0.000332741
     -0.00127877     -0.00131488
     -3.7768e-05    -3.20689e-05
    -0.000624678    -0.000586307
     -3.8812e-05    -3.71171e-05
    -0.000284798    -0.000273392
     -3.0597e-05    -2.59725e-05
     -1.5476e-05    -1.25843e-05
    -0.000206423    -0.000187799
    -0.000739386    -0.000708342
     -8.0876e-05    -7.69452e-05
     -3.7098e-05    -3.32215e-05
     -3.4779e-05    -2.98467e-05
     -4.1275e-05    -3.74111e-05
    -0.000320695    -0.000318638
     -0.00113825     -0.00110545
      -1.975e-05    -1.63988e-05
    -0.000500783    -0.000482459
    -0.000951583    -0.000906558
     -1.9135e-05    -1.62809e-05
    -0.000652557    -0.000630605
     -0.00118198     -0.00111681
     -6.9576e-05    -5.99253e-05
     -8.9834e-05    -8.52981e-05
    -0.000140703    -0.000126661
     -1.8709e-05    -1.65171e-05
