QM Energy	FF Energy
      -1.239e-05    -1.40169e-05
     -2.4624e-05    -2.01252e-05
     -3.0537e-05    -3.15358e-05
     -1.5957e-05    -1.65679e-05
    -0.000151678    -0.000141306
    -0.000157504    -0.000275357
     -1.5731e-05    -1.39384e-05
     -9.1992e-05    -9.34116e-05
     -6.0418e-05    -5.63623e-05
     -5.3697e-05    -6.84247e-05
     -1.1173e-05    -1.32418e-05
     -2.2587e-05    -2.41481e-05
    -0.000388095    -0.000418101
     -8.2057e-05     -0.00010817
    -0.000104039    -0.000111631
      -8.078e-06    -9.29703e-06
     -3.0257e-05    -5.35928e-05
     -4.0285e-05    -4.85588e-05
      -6.743e-05    -5.44501e-05
     -2.0776e-05    -1.61833e-05
       -3.73e-05    -3.94615e-05
    -0.000160475    -0.000200003
    -0.000377819    -0.000409844
    -0.000143036    -0.000143924
    -0.000447726    -0.000447836
     -2.2322e-05    -3.15731e-05
    -0.000143153    -0.000145502
    -0.000332105     -0.00033058
     -1.5981e-05    -2.22438e-05
    -0.000472659    -0.000434495
    -0.000561794    -0.000471997
     -2.7601e-05    -2.19968e-05
     -5.5997e-05    -6.48489e-05
     -2.3859e-05    -2.67007e-05
    -0.000255535    -0.000257873
    -0.000158811    -0.000194279
      -1.468e-05    -1.35205e-05
    -0.000361349    -0.000368537
    -0.000193424    -0.000200371
    -0.000119387    -0.000128502
    -0.000481294    -0.000482639
      -8.643e-06    -1.41819e-05
    -0.000191019    -0.000222116
     -1.3459e-05    -1.42047e-05
    -0.000117665    -0.000109238
     -1.3411e-05    -1.09747e-05
      -5.944e-06    -5.33857e-06
     -5.5905e-05    -7.11399e-05
    -0.000251897    -0.000267979
     -3.5823e-05    -3.19748e-05
     -2.0578e-05      -1.491e-05
       -1.36e-05    -1.27057e-05
     -1.8958e-05    -1.50243e-05
    -0.000122841    -0.000122148
    -0.000470475    -0.000419753
      -7.593e-06    -8.15714e-06
    -0.000153533    -0.000184815
    -0.000308057    -0.000343505
     -1.0353e-05    -7.55437e-06
      -0.0001548    -0.000221877
    -0.000468682    -0.000430964
     -3.2963e-05    -2.44409e-05
     -2.8466e-05    -3.20424e-05
     -4.7471e-05    -5.04569e-05
      -6.454e-06    -6.85547e-06
     -1.7137e-05    -2.44352e-05
     -1.6658e-05    -1.74253e-05
    -0.000385239    -0.000424531
      -5.257e-06    -6.57743e-06
     -1.0978e-05    -8.57611e-06
