QM Energy	FF Energy
     -4.6571e-05    -4.51068e-05
     -0.00143181     -0.00144911
     -2.4247e-05    -2.38172e-05
     -3.8774e-05     -3.6274e-05
    -0.000505145    -0.000509949
     -3.2808e-05    -3.15848e-05
      -7.063e-05    -6.82325e-05
      -7.855e-05    -8.17689e-05
    -0.000273666    -0.000283109
    -0.000139786    -0.000132167
     -4.3681e-05    -4.13621e-05
     -8.5294e-05    -8.27395e-05
    -0.000688224    -0.000701554
     -3.7692e-05    -3.70395e-05
     -1.2463e-05    -1.09241e-05
     -0.00022734    -0.000235796
    -0.000510008    -0.000529079
    -0.000199172    -0.000198469
    -0.000594873     -0.00060725
    -0.000161156    -0.000149415
     -2.7208e-05     -2.6119e-05
    -0.000523184    -0.000532133
    -0.000293901    -0.000278164
    -0.000890189    -0.000842214
     -6.2524e-05    -6.56202e-05
     -2.3122e-05    -2.43471e-05
     -1.9097e-05    -1.84105e-05
    -0.000852843    -0.000879607
    -0.000965395     -0.00100062
      -1.505e-05    -1.54135e-05
    -0.000244199    -0.000241668
     -0.00133722     -0.00130015
     -0.00090182    -0.000859523
    -0.000125894    -0.000122948
    -0.000898848    -0.000915667
     -4.7054e-05    -4.50247e-05
     -2.0859e-05    -1.85907e-05
     -6.5577e-05    -6.28601e-05
     -2.3987e-05    -2.02227e-05
    -0.000822356    -0.000845748
    -0.000744636      -0.0007765
     -6.8949e-05    -6.06712e-05
    -0.000327804    -0.000338326
    -0.000228913    -0.000238436
     -1.0428e-05    -9.01695e-06
    -0.000665434     -0.00068358
     -3.8163e-05    -4.03763e-05
    -0.000863242    -0.000879423
    -0.000463322    -0.000465475
    -0.000612116    -0.000592841
    -0.000562828    -0.000529228
     -0.00129933     -0.00135716
     -3.8088e-05    -3.39988e-05
    -0.000644202    -0.000616334
     -0.00117081     -0.00124545
     -0.00169413     -0.00186468
    -0.000629428    -0.000643035
    -0.000148982    -0.000146781
     -2.2072e-05    -2.13334e-05
    -0.000323312     -0.00031673
    -0.000191004    -0.000202258
    -0.000120397    -0.000123021
     -8.0274e-05    -8.20783e-05
     -0.00036321    -0.000360267
    -0.000110073    -0.000103826
     -0.00146837     -0.00148455
      -0.0012197     -0.00124536
    -0.000702838    -0.000635994
    -0.000133076    -0.000132629
    -0.000475696    -0.000483258
     -0.00041087    -0.000394179
     -0.00146035     -0.00150765
      -4.827e-05    -4.67808e-05
    -0.000182346    -0.000179748
    -0.000110572    -0.000106582
      -0.0017943     -0.00187234
    -0.000134465    -0.000135593
     -2.2108e-05    -1.98709e-05
     -4.7852e-05    -4.41887e-05
     -4.6011e-05    -4.39902e-05
    -0.000798401    -0.000788996
    -0.000265862    -0.000248663
    -0.000237968    -0.000240602
     -3.1148e-05    -2.93951e-05
    -0.000120063    -0.000112348
    -0.000250218    -0.000258689
     -7.1462e-05    -5.87771e-05
    -0.000111548    -0.000112221
     -6.3058e-05    -5.65585e-05
    -0.000393641     -0.00040723
    -0.000151192     -0.00014976
     -2.5187e-05    -2.37393e-05
     -6.2476e-05    -5.46616e-05
    -0.000229241    -0.000220275
    -0.000276518    -0.000261004
    -0.000150362    -0.000142483
    -0.000331176    -0.000339806
     -2.2871e-05    -2.06286e-05
    -0.000219045    -0.000210742
    -0.000519226    -0.000482685
     -4.2352e-05    -3.95821e-05
     -2.5118e-05    -2.26892e-05
    -0.000303791    -0.000284665
     -4.3938e-05    -4.34435e-05
     -6.1122e-05    -6.28482e-05
     -3.1255e-05    -2.94172e-05
      -1.791e-05    -1.64792e-05
    -0.000493893     -0.00046612
    -0.000530151    -0.000508749
      -4.572e-05    -4.63079e-05
     -1.2214e-05     -1.1645e-05
     -2.2911e-05    -2.14506e-05
      -1.554e-05    -1.50471e-05
     -6.2175e-05    -5.94344e-05
     -2.0605e-05    -1.88016e-05
     -9.3741e-05    -9.49489e-05
     -6.6832e-05    -7.15489e-05
    -0.000517067    -0.000462707
     -6.3611e-05     -5.7165e-05
    -0.000176891    -0.000169155
     -1.9472e-05    -1.73713e-05
     -3.9253e-05    -3.94199e-05
    -0.000343549    -0.000338433
     -3.0432e-05    -2.80527e-05
    -0.000117389    -0.000116613
    -0.000913625    -0.000901067
     -8.8341e-05    -8.62034e-05
    -0.000926648    -0.000879692
     -5.0104e-05     -4.9783e-05
    -0.000231758    -0.000232598
     -7.0271e-05    -6.96868e-05
      -8.769e-06    -8.32183e-06
     -6.2942e-05     -5.9677e-05
    -0.000311039    -0.000314019
      -2.797e-05    -3.05237e-05
     -1.9565e-05    -1.79405e-05
     -4.8111e-05    -4.52287e-05
     -0.00039605    -0.000380643
     -8.4564e-05    -8.12014e-05
    -0.000143599    -0.000134088
    -0.000110207    -0.000104768
    -0.000110762    -0.000108262
     -9.3446e-05    -9.65446e-05
     -3.2342e-05    -2.97316e-05
    -0.000565649    -0.000538037
     -3.2205e-05    -3.11035e-05
     -3.8931e-05    -3.86168e-05
     -1.5381e-05    -1.42807e-05
     -3.8215e-05    -3.74177e-05
     -9.8378e-05    -9.33434e-05
     -3.4638e-05    -3.36527e-05
    -0.000206497    -0.000199123
    -0.000995951     -0.00102925
     -4.5647e-05    -4.18619e-05
    -0.000565004    -0.000537375
    -0.000106077    -9.57875e-05
     -1.4906e-05    -1.39992e-05
    -0.000242447    -0.000246776
     -6.3394e-05    -5.73715e-05
     -0.00030729    -0.000286014
     -1.7259e-05    -1.49561e-05
     -5.4443e-05    -5.21243e-05
     -0.00017324    -0.000180292
    -0.000609122    -0.000584626
     -3.6854e-05    -3.74119e-05
    -0.000125611    -0.000114962
     -9.0829e-05    -8.88428e-05
     -3.5088e-05    -3.50937e-05
    -0.000151676     -0.00014582
     -1.7893e-05    -1.73993e-05
     -2.9605e-05    -3.03865e-05
    -0.000401249    -0.000413157
    -0.000631499    -0.000650632
     -4.6001e-05    -4.26589e-05
    -0.000188716    -0.000172595
    -0.000245255     -0.00025008
      -7.299e-05    -7.18103e-05
    -0.000241925    -0.000245479
     -2.2981e-05    -2.22161e-05
    -0.000508782    -0.000510979
     -4.3634e-05    -4.20213e-05
    -0.000495486    -0.000489074
     -0.00050586    -0.000493856
       -4.66e-05    -4.36308e-05
    -0.000997626    -0.000945133
    -0.000153511     -0.00014069
    -0.000795303    -0.000816053
    -0.000827983    -0.000805108
    -0.000100572    -9.50817e-05
    -0.000753562    -0.000724884
    -0.000592835    -0.000596323
    -0.000115349    -0.000110998
     -0.00045527     -0.00045438
      -2.877e-05    -2.83624e-05
     -5.9775e-05    -6.25181e-05
     -0.00114042     -0.00105898
    -0.000111703    -0.000106021
    -0.000419037     -0.00041269
     -4.1059e-05    -3.85274e-05
     -0.00031565    -0.000312915
    -0.000158432    -0.000153705
     -3.6312e-05    -3.32587e-05
    -0.000410512    -0.000376822
     -4.4004e-05    -4.13769e-05
    -0.000113965    -0.000110192
     -1.7003e-05    -1.65828e-05
     -1.1131e-05    -1.09556e-05
     -0.00120683     -0.00126089
    -0.000868179    -0.000840317
     -2.4392e-05    -2.13383e-05
    -0.000672756    -0.000695739
    -0.000191778    -0.000184914
     -2.7985e-05    -2.83873e-05
    -0.000219675    -0.000206935
     -0.00149163     -0.00155151
    -0.000469196    -0.000457003
     -0.00120832     -0.00110886
    -0.000225356    -0.000226129
      -6.807e-05    -6.54402e-05
     -2.4864e-05    -2.35852e-05
     -9.9352e-05    -9.57636e-05
     -1.5492e-05     -1.4503e-05
     -0.00114441     -0.00103363
     -1.8841e-05    -1.70428e-05
     -6.2752e-05    -6.00592e-05
      -1.612e-05    -1.47502e-05
    -0.000310686    -0.000267041
    -0.000525495    -0.000501988
     -8.6838e-05    -8.30182e-05
     -4.0237e-05    -4.01867e-05
      -0.0010283     -0.00099632
     -1.3728e-05    -1.24996e-05
     -0.00103414     -0.00101768
    -0.000246966    -0.000242008
     -0.00162431     -0.00173421
    -0.000108576    -0.000106509
    -0.000332504    -0.000330407
    -0.000324013    -0.000282413
     -6.4168e-05    -6.02561e-05
     -5.4722e-05    -5.24713e-05
     -0.00126236     -0.00127929
     -4.1523e-05    -4.03242e-05
      -7.699e-05    -6.92013e-05
     -4.2005e-05    -3.97852e-05
     -1.3111e-05    -1.37724e-05
     -2.0167e-05    -1.82015e-05
     -8.5561e-05    -7.34359e-05
     -7.8645e-05    -7.65237e-05
     -4.9131e-05    -4.71379e-05
    -0.000346491    -0.000366647
    -0.000703286    -0.000713987
    -0.000729434    -0.000662674
    -0.000219201    -0.000209355
     -0.00114256     -0.00104505
    -0.000479922    -0.000461623
     -1.3513e-05    -1.17652e-05
    -0.000213091    -0.000189008
     -5.9843e-05    -5.54568e-05
     -6.1976e-05    -5.66927e-05
     -2.1715e-05    -1.99748e-05
     -5.3174e-05    -4.80499e-05
     -1.4498e-05    -1.41896e-05
    -0.000205682    -0.000192428
     -2.6808e-05    -2.48922e-05
    -0.000121812    -0.000114386
     -4.7064e-05    -5.06017e-05
    -0.000384983    -0.000340983
    -0.000187725    -0.000163422
     -1.5032e-05    -1.44261e-05
    -0.000864882    -0.000863194
    -0.000191652    -0.000179885
     -6.3976e-05    -5.77473e-05
     -3.7124e-05    -3.20309e-05
     -1.7332e-05    -1.60956e-05
     -2.1095e-05    -1.97692e-05
      -4.625e-05    -4.44808e-05
      -8.732e-05     -8.4268e-05
     -2.0582e-05    -1.95888e-05
     -3.0021e-05    -3.01492e-05
     -4.4328e-05    -4.21338e-05
     -6.0387e-05    -5.93581e-05
     -4.1572e-05    -4.39423e-05
    -0.000176098    -0.000177848
    -0.000897634    -0.000879023
     -3.0078e-05    -2.82096e-05
     -4.2582e-05     -3.8479e-05
     -0.00012101    -0.000118379
     -1.9705e-05    -1.72338e-05
    -0.000122157    -0.000120331
    -0.000130924    -0.000136853
    -0.000140146    -0.000122503
    -0.000507567    -0.000499877
    -0.000827874    -0.000874054
     -0.00182185       -0.001977
     -6.7336e-05     -6.3064e-05
     -1.9887e-05    -1.95358e-05
    -0.000625787    -0.000617779
    -0.000880842      -0.0008404
     -5.2822e-05    -4.86572e-05
    -0.000309364     -0.00029905
    -0.000705992    -0.000681771
     -9.9785e-05    -0.000102733
     -5.4044e-05    -5.15372e-05
    -0.000232933    -0.000239627
    -0.000140017    -0.000142051
    -0.000291474    -0.000281316
    -0.000108459      -0.0001036
     -0.00103152     -0.00094657
     -4.0145e-05    -4.18896e-05
    -0.000903448    -0.000909488
    -0.000360447    -0.000365831
    -0.000121874    -0.000114459
    -0.000577264    -0.000550898
     -2.7807e-05    -2.57199e-05
    -0.000818033    -0.000774761
    -0.000498268    -0.000463615
     -0.00124348     -0.00127763
     -1.6774e-05    -1.53634e-05
    -0.000978387    -0.000996258
     -1.4314e-05    -1.24836e-05
    -0.000100884    -9.99684e-05
     -0.00114447     -0.00122984
     -5.3691e-05     -5.1335e-05
    -0.000552012    -0.000585061
    -0.000142173    -0.000130973
     -0.00065163    -0.000588445
    -0.000866671    -0.000854476
    -0.000300279    -0.000292485
    -0.000281665    -0.000265734
    -0.000448178    -0.000444677
    -0.000232293    -0.000239432
    -0.000106609    -0.000107218
     -5.0157e-05    -4.56199e-05
    -0.000103118    -9.66817e-05
     -0.00101822     -0.00102019
     -2.3186e-05    -2.08623e-05
     -3.9345e-05    -3.62686e-05
    -0.000766828    -0.000775342
    -0.000626272    -0.000620965
     -7.1641e-05    -6.90019e-05
    -0.000115099    -0.000111691
     -1.8335e-05    -1.74728e-05
     -5.2152e-05    -5.33922e-05
    -0.000612929    -0.000587979
    -0.000110037    -0.000101128
      -3.654e-05    -3.50365e-05
     -1.2561e-05    -1.12145e-05
    -0.000102968    -0.000101916
    -0.000317852    -0.000277584
     -2.1697e-05    -2.23957e-05
     -1.5142e-05    -1.35808e-05
     -4.7534e-05    -4.40321e-05
     -3.9077e-05    -3.67991e-05
    -0.000456836    -0.000439165
    -0.000457787    -0.000461929
    -0.000849411    -0.000846362
    -0.000571337    -0.000569689
    -0.000621986    -0.000567836
    -0.000457183    -0.000440876
     -1.2315e-05    -1.10618e-05
    -0.000212208    -0.000223066
     -9.4909e-05     -9.7511e-05
    -0.000199331     -0.00019669
    -0.000271668    -0.000281126
    -0.000309815    -0.000301061
     -0.00112205      -0.0011018
     -4.2032e-05    -4.12422e-05
     -2.2983e-05    -2.15479e-05
    -0.000128658    -0.000119159
     -6.0372e-05    -5.74725e-05
     -3.0562e-05    -3.06047e-05
