QM Energy	FF Energy
     -0.00166835     -0.00169312
     -0.00766856     -0.00822461
     -0.00125085     -0.00126261
     -0.00117596     -0.00115507
     -0.00342472     -0.00363367
     -0.00152491     -0.00155666
     -0.00195178     -0.00199914
     -0.00230337     -0.00248589
     -0.00376606      -0.0040654
     -0.00273943       -0.002859
     -0.00194506      -0.0019978
     -0.00245923     -0.00254615
     -0.00625463     -0.00691902
     -0.00170159     -0.00175972
    -0.000792979    -0.000761007
     -0.00289095      -0.0031155
      -0.0039469     -0.00430437
     -0.00336014     -0.00362322
     -0.00334836     -0.00348682
     -0.00265028     -0.00269271
    -0.000824736    -0.000792434
     -0.00347988     -0.00365594
     -0.00305774     -0.00320516
     -0.00550053     -0.00583325
     -0.00203923     -0.00213428
     -0.00142114     -0.00149518
     -0.00117217      -0.0011771
     -0.00558407     -0.00610505
     -0.00633042     -0.00692322
     -0.00126771     -0.00130263
     -0.00360019     -0.00389843
     -0.00891766     -0.00985728
     -0.00616079     -0.00659502
      -0.0020884     -0.00213245
     -0.00747932     -0.00811334
     -0.00133733     -0.00134562
    -0.000997497    -0.000985363
     -0.00151041     -0.00152458
     -0.00130822     -0.00127229
     -0.00401721     -0.00422755
     -0.00508752     -0.00555937
     -0.00179635     -0.00177684
     -0.00414759      -0.0045821
     -0.00307041      -0.0033282
    -0.000692454    -0.000655454
     -0.00434056     -0.00464314
      -0.0019419     -0.00204145
     -0.00492984     -0.00522059
     -0.00511211      -0.0056204
      -0.0044961     -0.00472073
     -0.00406821     -0.00424585
     -0.00830171     -0.00890767
     -0.00140507     -0.00140777
     -0.00522848     -0.00548932
      -0.0102843      -0.0116028
      -0.0125282      -0.0140549
     -0.00457966     -0.00487507
     -0.00204172      -0.0021189
    -0.000959768    -0.000957912
     -0.00351856     -0.00379671
     -0.00315906      -0.0034416
     -0.00247405     -0.00265204
     -0.00189832     -0.00198637
     -0.00444577     -0.00474334
     -0.00191488     -0.00190344
      -0.0104119      -0.0115962
     -0.00968082      -0.0109317
     -0.00523075     -0.00552136
     -0.00214837     -0.00225957
      -0.0048239     -0.00521784
     -0.00366895     -0.00389586
      -0.0089307      -0.0100051
     -0.00137418     -0.00136861
     -0.00218779     -0.00225894
     -0.00186263     -0.00189148
       -0.010206      -0.0111305
     -0.00172672     -0.00175735
     -0.00110197     -0.00106657
     -0.00127957     -0.00125539
     -0.00173926     -0.00179015
     -0.00676434      -0.0075667
     -0.00360217     -0.00386498
     -0.00310001     -0.00331258
     -0.00113314     -0.00112038
     -0.00188598     -0.00189148
     -0.00352286     -0.00385064
     -0.00219431     -0.00218729
     -0.00228198     -0.00242705
     -0.00160143     -0.00162721
     -0.00475748     -0.00528373
     -0.00212198     -0.00220389
     -0.00103748     -0.00103085
     -0.00197797      -0.0019819
     -0.00314135     -0.00334654
     -0.00417101     -0.00447451
     -0.00213088      -0.0021944
     -0.00320854     -0.00345444
     -0.00106341     -0.00101894
     -0.00284351     -0.00303218
      -0.0043513     -0.00465474
     -0.00151347     -0.00153786
     -0.00100277    -0.000958942
     -0.00440174      -0.0047647
     -0.00153513     -0.00157839
     -0.00158435     -0.00164796
    -0.000901754    -0.000850961
    -0.000841966    -0.000808587
     -0.00462024     -0.00508893
     -0.00605558     -0.00674033
     -0.00159409     -0.00167053
     -0.00105589     -0.00105018
    -0.000759544    -0.000712495
    -0.000879385    -0.000867814
     -0.00145532      -0.0014674
     -0.00136177     -0.00136609
     -0.00184113     -0.00191264
     -0.00237814      -0.0025364
     -0.00457906     -0.00491118
     -0.00183082     -0.00181972
     -0.00254495     -0.00260998
    -0.000860282    -0.000809104
     -0.00153439     -0.00158134
     -0.00320936     -0.00343286
     -0.00134455     -0.00133568
     -0.00280076     -0.00293689
     -0.00731058     -0.00781802
     -0.00220827     -0.00231495
     -0.00551477     -0.00584263
     -0.00162006     -0.00164956
     -0.00226555     -0.00231544
     -0.00153412     -0.00157581
    -0.000983603    -0.000983734
     -0.00171238     -0.00174423
     -0.00250268     -0.00260009
     -0.00179527     -0.00192877
     -0.00113061     -0.00111853
     -0.00151155     -0.00153329
       -0.004735     -0.00517972
     -0.00159127      -0.0016046
     -0.00280863     -0.00292633
     -0.00206426     -0.00213892
     -0.00239177     -0.00250347
     -0.00243976     -0.00257558
      -0.0011389     -0.00112097
     -0.00448624     -0.00486914
     -0.00139952     -0.00142255
        -0.00153      -0.0015944
     -0.00106323     -0.00106152
     -0.00138477     -0.00140335
     -0.00185529     -0.00185924
     -0.00135581     -0.00139031
     -0.00324782      -0.0034196
     -0.00820673     -0.00916058
      -0.0013683     -0.00131776
     -0.00556641     -0.00618151
     -0.00214033     -0.00213034
     -0.00102681     -0.00101884
     -0.00305111     -0.00325532
     -0.00196727     -0.00203854
     -0.00377426     -0.00408321
     -0.00097108    -0.000919375
     -0.00118528     -0.00114616
     -0.00234518        -0.00248
     -0.00404782     -0.00423416
     -0.00131511     -0.00134561
     -0.00209684      -0.0021028
     -0.00257134     -0.00272299
     -0.00116506     -0.00117531
     -0.00212326     -0.00217882
    -0.000867152      -0.0008583
     -0.00167839     -0.00174882
     -0.00292505     -0.00309723
     -0.00541005      -0.0058851
     -0.00129357     -0.00126129
     -0.00357937     -0.00376461
     -0.00304377     -0.00322375
     -0.00124549     -0.00122547
     -0.00261601     -0.00271523
     -0.00103358     -0.00103224
     -0.00554181     -0.00605636
     -0.00173764     -0.00177424
     -0.00478345     -0.00527714
      -0.0040644      -0.0042295
     -0.00146779     -0.00148302
       -0.007363     -0.00809765
     -0.00262901     -0.00264156
      -0.0042884     -0.00459289
     -0.00728222     -0.00784465
     -0.00202132      -0.0021007
     -0.00705925     -0.00767831
     -0.00378465     -0.00396475
     -0.00223266     -0.00229497
     -0.00308825     -0.00316491
     -0.00109443     -0.00109589
     -0.00226199     -0.00239524
      -0.0060049     -0.00642979
     -0.00209506     -0.00217662
     -0.00368994     -0.00398514
     -0.00169596     -0.00172023
     -0.00308048     -0.00325405
     -0.00215662     -0.00221044
     -0.00109531     -0.00105247
     -0.00398489     -0.00422741
     -0.00179655     -0.00182267
     -0.00191086     -0.00191483
     -0.00119767     -0.00121417
     -0.00087496    -0.000876926
     -0.00986072        -0.01075
     -0.00767198     -0.00840942
     -0.00128774     -0.00129151
     -0.00437944     -0.00466067
     -0.00255865      -0.0026542
     -0.00161057     -0.00167545
     -0.00343196     -0.00367476
     -0.00976153      -0.0109899
     -0.00534298     -0.00585014
     -0.00681322     -0.00722712
     -0.00415627     -0.00451738
      -0.0019489     -0.00200727
     -0.00125706     -0.00125629
     -0.00164932     -0.00166664
     -0.00114059     -0.00114409
     -0.00704393     -0.00761653
     -0.00101214     -0.00098171
     -0.00164651     -0.00165705
     -0.00111217     -0.00111134
     -0.00418824     -0.00436723
     -0.00443214       -0.004789
     -0.00184902     -0.00190414
     -0.00141269     -0.00145141
     -0.00583316     -0.00614602
     -0.00087602    -0.000856324
     -0.00638568     -0.00677506
     -0.00255422     -0.00264712
      -0.0115279      -0.0127869
     -0.00209899     -0.00219725
     -0.00291838      -0.0030549
      -0.0039335     -0.00407277
      -0.0016659     -0.00167173
     -0.00204716      -0.0021106
     -0.00827248     -0.00920326
     -0.00159942     -0.00163434
     -0.00209049      -0.0021033
     -0.00105958     -0.00101858
     -0.00112095     -0.00117228
     -0.00091223    -0.000868922
     -0.00211062     -0.00209605
     -0.00132918     -0.00129085
     -0.00115147     -0.00112011
     -0.00413131     -0.00450296
     -0.00445853     -0.00479551
     -0.00539932     -0.00583292
     -0.00276103     -0.00288824
     -0.00622459     -0.00667857
     -0.00366612     -0.00384341
    -0.000941148    -0.000903204
     -0.00303077     -0.00310662
     -0.00143607     -0.00142353
     -0.00160996     -0.00157989
     -0.00121849     -0.00121059
      -0.0016179     -0.00158909
    -0.000928502    -0.000937516
     -0.00353359     -0.00377074
    -0.000912345    -0.000870724
      -0.0028542     -0.00301795
      -0.0021443     -0.00231706
     -0.00370086     -0.00385733
     -0.00252937     -0.00263089
     -0.00108921     -0.00108706
     -0.00447353     -0.00467794
     -0.00333006     -0.00356089
     -0.00166304     -0.00164492
     -0.00162833     -0.00160535
    -0.000782839    -0.000750744
     -0.00115686     -0.00115928
     -0.00189419     -0.00194754
     -0.00192335     -0.00196211
    -0.000875895    -0.000859111
       -0.001375     -0.00142526
     -0.00176214      -0.0018159
     -0.00179595      -0.0018597
     -0.00174449     -0.00182777
     -0.00337688     -0.00362464
     -0.00625435     -0.00665783
    -0.000932798    -0.000886972
     -0.00120836     -0.00118457
      -0.0028187     -0.00296147
     -0.00103126    -0.000980693
     -0.00187904     -0.00191654
     -0.00260407     -0.00281793
     -0.00222139     -0.00229472
     -0.00369306     -0.00393886
      -0.0067185     -0.00747998
      -0.0118029      -0.0131505
     -0.00199857     -0.00208147
    -0.000911271    -0.000915452
     -0.00446553     -0.00483891
     -0.00574597     -0.00620583
       -0.001376       -0.001358
     -0.00481498     -0.00528229
     -0.00528501     -0.00568072
     -0.00189191      -0.0019728
     -0.00193405     -0.00199245
      -0.0029307     -0.00309816
     -0.00190876     -0.00199435
     -0.00353619     -0.00381675
     -0.00242117     -0.00258028
     -0.00564237     -0.00603616
     -0.00159245     -0.00167438
      -0.0073686     -0.00793939
     -0.00292661     -0.00304284
     -0.00299531     -0.00314104
     -0.00583314     -0.00644113
     -0.00117529     -0.00116272
     -0.00566347     -0.00609972
     -0.00488721     -0.00525432
     -0.00842762     -0.00947872
    -0.000814891    -0.000788432
     -0.00698107     -0.00757346
    -0.000802594     -0.00075352
     -0.00151367     -0.00150806
     -0.00981572      -0.0106954
     -0.00109803     -0.00104468
     -0.00456358     -0.00494718
     -0.00213388     -0.00215117
     -0.00685314     -0.00752456
     -0.00491357     -0.00521017
     -0.00393812     -0.00420009
     -0.00297109     -0.00308553
     -0.00318656     -0.00332174
     -0.00390065     -0.00426436
     -0.00187966     -0.00193546
     -0.00129954     -0.00127553
     -0.00178583     -0.00178557
     -0.00687998     -0.00725835
    -0.000923172    -0.000877097
     -0.00151563     -0.00153331
     -0.00618579     -0.00687448
     -0.00402568     -0.00422352
     -0.00152079     -0.00153244
     -0.00241263     -0.00254352
      -0.0011031     -0.00109886
     -0.00162691     -0.00168041
     -0.00525093     -0.00555495
     -0.00282487     -0.00294651
     -0.00145165     -0.00148605
    -0.000858552    -0.000833896
     -0.00277286     -0.00295936
     -0.00395012     -0.00408103
