QM Energy	FF Energy
    -0.000208142    -0.000192382
     -0.00683648     -0.00654317
    -0.000178424    -0.000160462
    -0.000224688    -0.000170144
     -0.00146016     -0.00156043
    -0.000132982    -0.000116627
    -0.000337446    -0.000299137
    -0.000441495    -0.000470446
    -0.000883495    -0.000986597
    -0.000763168    -0.000694881
    -0.000272761    -0.000269605
    -0.000444024    -0.000442112
      -0.0029793     -0.00306969
    -0.000162175    -0.000159197
     -9.2163e-05    -7.81918e-05
    -0.000819679    -0.000888589
     -0.00166885     -0.00187578
     -0.00104497     -0.00109369
     -0.00149812     -0.00166522
    -0.000882438    -0.000711411
       -4.85e-05    -3.66339e-05
      -0.0015484     -0.00162219
     -0.00126651     -0.00121722
     -0.00332576     -0.00345717
    -0.000262655    -0.000256953
    -0.000132556    -0.000138201
    -0.000122451    -0.000110392
     -0.00267002     -0.00307779
     -0.00356354     -0.00410919
     -9.1207e-05    -9.18128e-05
     -0.00129164     -0.00135203
      -0.0067524     -0.00708943
     -0.00449431     -0.00420262
    -0.000466008    -0.000420216
     -0.00400117     -0.00427135
    -0.000212956    -0.000178703
    -0.000142621    -0.000137896
    -0.000264511    -0.000222971
    -0.000144083    -0.000126858
     -0.00211845     -0.00242063
     -0.00229776     -0.00272333
     -0.00038553    -0.000343064
     -0.00146631     -0.00164456
      -0.0008639    -0.000960473
     -6.5027e-05    -5.29529e-05
     -0.00184335     -0.00206336
    -0.000234639    -0.000247607
     -0.00263374     -0.00286806
     -0.00207858      -0.0021324
     -0.00223998     -0.00221254
     -0.00250756     -0.00231289
     -0.00731461     -0.00676852
    -0.000223763     -0.00021116
     -0.00319291     -0.00284663
     -0.00609099     -0.00706664
     -0.00882908     -0.00988188
     -0.00191953     -0.00210256
    -0.000590789    -0.000544276
    -0.000108931    -9.02037e-05
     -0.00147545     -0.00152857
    -0.000585287    -0.000695577
    -0.000503003    -0.000516381
    -0.000375932    -0.000378984
     -0.00159701     -0.00157631
      -0.0005125    -0.000403578
     -0.00794277     -0.00855614
      -0.0063804     -0.00731927
     -0.00350153     -0.00321326
    -0.000451777    -0.000445094
     -0.00190495     -0.00205616
     -0.00171173     -0.00167674
     -0.00697024     -0.00786603
     -0.00014074    -0.000118516
    -0.000673587    -0.000614388
    -0.000417778    -0.000362567
     -0.00964846     -0.00960922
    -0.000308538    -0.000309276
    -0.000152567    -0.000130912
    -0.000284777    -0.000221945
    -0.000282578    -0.000282899
     -0.00388948      -0.0043256
      -0.0013707     -0.00132166
      -0.0008252    -0.000835116
    -0.000134197    -0.000107156
    -0.000589237    -0.000476568
     -0.00101602     -0.00110582
    -0.000389641    -0.000361671
    -0.000560287    -0.000570289
    -0.000360936    -0.000358531
     -0.00171244     -0.00191971
    -0.000504548     -0.00047642
    -0.000136276    -0.000105098
    -0.000365002     -0.00032224
     -0.00111822     -0.00111138
     -0.00141796     -0.00141354
    -0.000617038    -0.000582291
     -0.00104921     -0.00110836
    -0.000124172    -8.99717e-05
     -0.00100207    -0.000985281
     -0.00216339     -0.00223479
    -0.000237781    -0.000229962
    -0.000126074    -8.94198e-05
       -0.001684     -0.00173112
    -0.000169112    -0.000150239
    -0.000159529    -0.000162339
     -7.5239e-05    -5.30516e-05
     -4.8142e-05    -3.31594e-05
     -0.00230116     -0.00231017
     -0.00280236      -0.0030589
    -0.000219642    -0.000216579
     -7.3332e-05    -6.89613e-05
     -7.2531e-05    -5.10566e-05
     -5.1627e-05    -4.17848e-05
    -0.000283935    -0.000238345
    -0.000103454    -9.82792e-05
    -0.000276339    -0.000274674
    -0.000378108    -0.000397801
     -0.00253857      -0.0025155
    -0.000368696    -0.000318918
    -0.000633009    -0.000593385
     -7.1134e-05    -4.69979e-05
    -0.000166845    -0.000160644
      -0.0013789     -0.00134566
    -0.000199801    -0.000172187
    -0.000609755    -0.000606358
     -0.00498643      -0.0047403
    -0.000469692    -0.000429011
     -0.00424602     -0.00402547
    -0.000170643    -0.000162127
    -0.000588537    -0.000597584
    -0.000246395    -0.000227415
     -4.9268e-05    -4.05434e-05
    -0.000361507    -0.000304134
    -0.000895393    -0.000905375
    -0.000218676     -0.00024749
    -0.000118289    -0.000105271
    -0.000285687    -0.000237861
     -0.00206886     -0.00216161
     -0.00035577    -0.000300763
    -0.000823702    -0.000737661
    -0.000564609    -0.000495958
    -0.000589214    -0.000544913
    -0.000466215    -0.000447081
    -0.000171904    -0.000143404
      -0.0025644     -0.00247539
    -0.000181785    -0.000185502
    -0.000198246    -0.000181378
    -0.000124596    -0.000103224
    -0.000219669    -0.000202388
    -0.000369834    -0.000320545
    -0.000217009    -0.000201229
    -0.000891016    -0.000924504
     -0.00467177     -0.00504024
    -0.000191678    -0.000148647
     -0.00286314     -0.00308845
    -0.000453305    -0.000394353
     -9.8042e-05    -7.89819e-05
    -0.000794263    -0.000837696
     -0.00037733    -0.000403048
     -0.00160778     -0.00161349
     -6.9544e-05    -5.21535e-05
    -0.000173311    -0.000137142
    -0.000467586    -0.000502259
     -0.00241408     -0.00232779
     -0.00010766    -0.000104947
    -0.000691416    -0.000585641
     -0.00053607    -0.000503544
    -0.000157875    -0.000148359
    -0.000659262    -0.000586136
     -7.5767e-05    -6.54871e-05
    -0.000183317    -0.000193086
     -0.00108116     -0.00118414
      -0.0023327      -0.0025694
    -0.000204046    -0.000165064
     -0.00100214      -0.0010235
     -0.00074758    -0.000789467
    -0.000175168      -0.0001562
    -0.000656601    -0.000687744
    -0.000123207     -0.00011357
     -0.00260866     -0.00276979
    -0.000191189    -0.000177574
     -0.00237022     -0.00255793
     -0.00212541     -0.00193613
    -0.000283713    -0.000245833
      -0.0049171     -0.00514472
    -0.000671185    -0.000579214
