QM Energy	FF Energy
     -1.5085e-05    -1.76683e-05
    -0.000646115    -0.000542406
      -9.009e-06    -9.33193e-06
     -1.4734e-05    -1.43217e-05
    -0.000236158    -0.000208589
     -1.1859e-05     -1.1882e-05
     -2.4433e-05     -2.5948e-05
     -2.7387e-05    -2.95175e-05
    -0.000116019    -0.000111161
     -3.2517e-05     -4.8267e-05
     -1.1368e-05    -1.67855e-05
     -2.6975e-05    -3.28542e-05
     -0.00025996    -0.000267243
     -1.1688e-05     -1.3588e-05
       -4.77e-06    -5.00652e-06
     -9.8532e-05    -9.26479e-05
    -0.000229996    -0.000211857
      -5.979e-05    -7.28041e-05
    -0.000296796    -0.000255659
     -3.5544e-05    -5.60331e-05
     -1.5613e-05    -1.20581e-05
    -0.000236341    -0.000217076
    -0.000102265    -0.000108805
    -0.000348336    -0.000339875
     -2.6975e-05    -2.55979e-05
      -9.194e-06    -8.95726e-06
      -6.925e-06    -7.58282e-06
    -0.000392246    -0.000351032
     -0.00044461    -0.000396547
      -5.325e-06     -5.8326e-06
     -7.5451e-05    -8.87911e-05
    -0.000539507    -0.000474721
    -0.000308419     -0.00032643
     -4.7164e-05    -4.90087e-05
    -0.000299387    -0.000344425
     -1.9061e-05     -1.7638e-05
      -8.432e-06    -8.67742e-06
     -2.7097e-05    -2.52283e-05
      -5.404e-06    -1.01444e-05
    -0.000415422    -0.000354432
    -0.000353816    -0.000318349
     -1.5782e-05    -2.49223e-05
    -0.000119549    -0.000123805
     -9.4621e-05    -9.39949e-05
      -4.861e-06    -4.52888e-06
    -0.000315161    -0.000280871
      -1.244e-05    -1.44776e-05
    -0.000401294    -0.000359343
    -0.000173456    -0.000176668
    -0.000220609    -0.000234481
    -0.000185823    -0.000203661
    -0.000520506    -0.000497999
     -1.1719e-05    -1.45786e-05
    -0.000180447    -0.000234135
    -0.000430877    -0.000440407
    -0.000674042    -0.000685592
    -0.000280051    -0.000258836
     -6.1725e-05    -5.82261e-05
       -9.89e-06    -8.53406e-06
    -0.000112304    -0.000120888
     -8.4657e-05    -8.04635e-05
     -4.6069e-05    -4.63477e-05
     -3.0003e-05    -3.06647e-05
      -0.0001162     -0.00013593
     -3.4944e-05    -4.04736e-05
    -0.000617622    -0.000532513
    -0.000507773    -0.000442153
    -0.000198104    -0.000248635
     -5.8913e-05    -5.36527e-05
    -0.000179906    -0.000188792
    -0.000150184    -0.000154226
    -0.000737035    -0.000542311
     -2.1757e-05    -1.92013e-05
      -7.734e-05    -7.24215e-05
      -4.313e-05    -4.25921e-05
    -0.000886347    -0.000689643
     -6.8277e-05    -5.83196e-05
      -5.855e-06    -8.20362e-06
     -1.7721e-05    -1.73956e-05
     -1.5585e-05    -1.76815e-05
    -0.000298993    -0.000285004
     -8.3348e-05    -9.23464e-05
    -0.000100903    -9.49207e-05
     -1.3191e-05    -1.21411e-05
     -4.3056e-05    -4.43133e-05
     -9.7196e-05    -9.83494e-05
     -1.2486e-05    -2.68556e-05
     -3.9245e-05    -4.14718e-05
     -2.2032e-05    -2.45242e-05
    -0.000145693    -0.000150583
     -6.6394e-05    -6.06813e-05
     -1.0637e-05    -9.59768e-06
     -1.0799e-05    -2.20606e-05
     -6.5166e-05    -8.13588e-05
     -6.2205e-05    -9.46859e-05
     -5.7876e-05    -5.81023e-05
    -0.000147901    -0.000136949
      -7.326e-06    -8.26977e-06
     -7.7193e-05    -8.03783e-05
    -0.000184331    -0.000192378
     -1.5448e-05     -1.6696e-05
       -9.44e-06    -9.47477e-06
     -6.5155e-05    -0.000101719
     -1.7385e-05    -1.68697e-05
     -3.0575e-05    -2.65074e-05
     -1.5345e-05    -1.26752e-05
      -7.785e-06    -6.98105e-06
    -0.000175484    -0.000174962
    -0.000158746    -0.000183462
     -1.6952e-05       -1.72e-05
      -3.617e-06    -4.70973e-06
     -1.2154e-05    -9.49334e-06
      -7.618e-06    -6.54677e-06
     -2.5696e-05    -2.37519e-05
       -6.56e-06    -8.43451e-06
     -4.3506e-05    -3.91526e-05
     -2.1658e-05    -2.52689e-05
    -0.000148166    -0.000178412
      -1.306e-05    -2.31037e-05
     -5.9413e-05    -6.67987e-05
      -8.179e-06    -7.88321e-06
      -1.601e-05    -1.51363e-05
    -0.000133427    -0.000131447
      -7.094e-06    -1.05585e-05
     -3.7237e-05    -4.51871e-05
    -0.000259207    -0.000334432
     -3.0491e-05     -3.2639e-05
    -0.000333038    -0.000336768
      -2.066e-05    -2.00993e-05
    -0.000108017    -9.70358e-05
     -3.1426e-05    -2.83566e-05
      -3.684e-06    -4.00863e-06
     -2.1457e-05    -2.34718e-05
    -0.000148466    -0.000130166
      -9.806e-06    -1.07682e-05
      -5.291e-06    -7.25415e-06
     -1.4971e-05    -1.70487e-05
    -0.000108096    -0.000137558
      -3.615e-05     -3.2913e-05
     -3.8193e-05    -5.08125e-05
     -3.7843e-05     -3.9743e-05
     -3.4932e-05    -4.01661e-05
