QM Energy	FF Energy
    -0.000783513    -0.000787226
     -0.00756382     -0.00817248
    -0.000665496    -0.000662108
     -0.00464979     -0.00506234
    -0.000767183    -0.000763681
     -0.00231986     -0.00250384
     -0.00125623     -0.00130064
     -0.00110324     -0.00113315
     -0.00816018     -0.00879027
     -0.00527211     -0.00575632
    -0.000638598    -0.000646491
      -0.0022144     -0.00233581
     -0.00189466     -0.00198476
    -0.000569338    -0.000571199
    -0.000745778    -0.000758409
    -0.000734953    -0.000730853
    -0.000482026    -0.000460809
     -0.00454092     -0.00488713
    -0.000691487    -0.000689026
     -0.00138666     -0.00143864
    -0.000562009    -0.000551127
     -0.00213895     -0.00229196
     -0.00251949     -0.00272866
     -0.00183508     -0.00191984
     -0.00119191     -0.00122143
     -0.00104479     -0.00107687
    -0.000788974    -0.000800612
     -0.00360328     -0.00390597
     -0.00737608     -0.00794705
     -0.00340757     -0.00364622
     -0.00246377     -0.00259067
    -0.000725717    -0.000724952
     -0.00140126     -0.00144934
     -0.00374433     -0.00402677
    -0.000616671    -0.000615258
     -0.00069757     -0.00070939
     -0.00110271     -0.00113618
     -0.00112029     -0.00115608
    -0.000781468    -0.000794312
     -0.00861057     -0.00921288
     -0.00471871     -0.00510743
     -0.00123848     -0.00128148
     -0.00168469     -0.00175138
     -0.00143668     -0.00149479
     -0.00305654     -0.00329305
     -0.00322952     -0.00345959
     -0.00479507     -0.00516454
     -0.00660758     -0.00712793
     -0.00156305     -0.00164892
      -0.0027935     -0.00299816
      -0.0034516     -0.00372153
    -0.000757375    -0.000768128
     -0.00159039     -0.00166049
    -0.000974897    -0.000995917
     -0.00202857     -0.00212393
      -0.0070202     -0.00757663
      -0.0014701     -0.00152581
    -0.000498037    -0.000477479
     -0.00505567     -0.00549839
     -0.00496751     -0.00541852
     -0.00328718     -0.00358512
     -0.00110523     -0.00113866
       -0.001053     -0.00107503
     -0.00216017       -0.002302
    -0.000981474     -0.00100378
     -0.00318211     -0.00342903
     -0.00112827     -0.00115567
      -0.0021345      -0.0022653
     -0.00119452     -0.00123747
     -0.00178134     -0.00188932
    -0.000870907    -0.000882653
     -0.00414086     -0.00447402
    -0.000512198    -0.000496818
     -0.00384326     -0.00420201
     -0.00148337     -0.00154419
     -0.00324944     -0.00348329
    -0.000584904     -0.00058868
    -0.000829855    -0.000840575
     -0.00352459     -0.00380756
     -0.00133655     -0.00139589
     -0.00276014     -0.00297592
     -0.00128426     -0.00133455
    -0.000659178    -0.000659124
     -0.00183697     -0.00192561
     -0.00346955     -0.00373312
     -0.00154734     -0.00160638
     -0.00120984     -0.00122896
     -0.00535264     -0.00585661
     -0.00122358     -0.00125065
     -0.00619238      -0.0066998
     -0.00465842     -0.00507809
    -0.000900427    -0.000919787
    -0.000970215    -0.000989004
     -0.00346268     -0.00371474
     -0.00426041     -0.00459066
     -0.00204555     -0.00212827
     -0.00277482     -0.00294683
     -0.00100081     -0.00102278
     -0.00118854     -0.00122941
     -0.00452896     -0.00491678
     -0.00228212      -0.0024527
     -0.00708903     -0.00766487
    -0.000530151    -0.000529825
     -0.00253774      -0.0027391
     -0.00075375     -0.00075267
     -0.00490453     -0.00539373
     -0.00080496    -0.000822444
    -0.000733744    -0.000740026
     -0.00200457     -0.00212541
     -0.00137154     -0.00143812
     -0.00062736    -0.000618646
       -0.005498     -0.00600172
     -0.00231187     -0.00246923
     -0.00412192     -0.00449478
     -0.00177778     -0.00189235
     -0.00336673     -0.00360091
      -0.0039137     -0.00425482
     -0.00585891     -0.00635932
    -0.000953717    -0.000969655
    -0.000632936    -0.000644207
     -0.00157924     -0.00165976
