QM Energy	FF Energy
     -1.2241e-05    -1.19812e-05
    -0.000720213    -0.000614519
      -6.374e-06    -6.49839e-06
    -0.000347521    -0.000332178
     -2.4085e-05    -2.32966e-05
     -0.00012452    -0.000124331
     -2.1719e-05    -2.43672e-05
       -6.75e-06    -1.10822e-05
     -0.00057081    -0.000583654
    -0.000529671    -0.000461745
      -2.071e-06     -3.2829e-06
     -2.3677e-05    -4.49517e-05
     -3.3536e-05    -4.58556e-05
      -4.302e-06     -4.9457e-06
       -2.71e-06    -4.42475e-06
     -1.0524e-05    -1.08549e-05
      -9.532e-06    -9.15424e-06
    -0.000177015    -0.000231458
       -4.93e-06    -5.66993e-06
     -3.3677e-05    -3.75199e-05
      -8.627e-06     -8.3193e-06
    -0.000144169    -0.000140965
    -0.000129342    -0.000127789
     -1.6713e-05    -3.02764e-05
      -1.443e-05    -1.80629e-05
     -1.7017e-05    -1.87931e-05
      -5.783e-06    -7.38452e-06
    -0.000266087    -0.000262273
    -0.000508771    -0.000476206
     -4.7689e-05    -9.10305e-05
     -3.5958e-05    -5.84591e-05
     -1.5566e-05     -1.5147e-05
     -1.6923e-05    -2.34908e-05
    -0.000138798    -0.000172953
      -6.852e-06    -7.04764e-06
      -4.191e-06    -6.07266e-06
      -4.729e-06    -9.40105e-06
     -2.7749e-05    -2.80905e-05
      -4.301e-06    -6.65346e-06
    -0.000609021    -0.000559589
    -0.000161794    -0.000215473
      -5.378e-06     -1.1477e-05
     -1.2807e-05    -2.38799e-05
     -1.2648e-05    -2.19271e-05
     -8.4378e-05     -0.00011212
     -9.9734e-05     -0.00012947
    -0.000206705    -0.000254361
    -0.000161483    -0.000267679
     -5.5289e-05    -5.55839e-05
     -6.9824e-05    -9.07434e-05
    -0.000135953    -0.000162128
      -4.375e-06    -6.02529e-06
     -2.3903e-05    -3.19388e-05
     -1.2798e-05    -1.47309e-05
     -2.1654e-05    -3.81761e-05
    -0.000316105    -0.000384883
     -2.5722e-05    -3.21291e-05
     -1.0182e-05    -9.76463e-06
    -0.000201789    -0.000258809
    -0.000251261    -0.000283925
    -0.000143931     -0.00015547
     -1.3532e-05    -1.64692e-05
     -1.6695e-05    -1.82365e-05
     -3.8759e-05    -5.60749e-05
     -2.5544e-05    -2.52431e-05
       -9.44e-05      -0.0001198
      -9.282e-06    -1.35747e-05
     -4.6551e-05    -5.89317e-05
      -4.254e-05    -4.16997e-05
     -7.1767e-05    -7.36479e-05
     -2.3046e-05    -2.24472e-05
    -0.000118208    -0.000170423
       -8.06e-06     -7.8078e-06
    -0.000343207    -0.000316474
     -5.1234e-05    -5.38522e-05
     -6.6572e-05    -0.000105701
        -3.8e-06    -4.66495e-06
      -5.964e-06    -8.01876e-06
      -8.575e-05    -0.000129098
     -3.9319e-05    -4.07409e-05
     -9.6344e-05    -0.000108501
     -4.3159e-05    -4.27387e-05
      -4.958e-06    -5.65672e-06
     -2.1533e-05    -3.46208e-05
    -0.000142385    -0.000168094
     -2.1033e-05    -2.86296e-05
     -1.0134e-05    -1.46139e-05
     -0.00049633    -0.000423073
     -1.1879e-05    -1.63774e-05
    -0.000200283    -0.000289573
     -0.00030967    -0.000304338
     -1.5867e-05     -1.6519e-05
     -1.5846e-05    -1.64344e-05
    -0.000192111    -0.000212236
     -7.0639e-05    -0.000138867
     -3.1406e-05    -4.57171e-05
       -4.94e-05    -7.90145e-05
     -1.9713e-05     -2.0767e-05
     -1.4041e-05    -1.83168e-05
    -0.000192498    -0.000231127
    -0.000207461    -0.000197977
    -0.000226751    -0.000318832
      -3.451e-06     -4.0382e-06
    -0.000116501    -0.000120202
     -1.8627e-05    -1.81942e-05
    -0.000411347    -0.000367028
      -3.102e-06    -5.80594e-06
      -5.724e-06    -6.89703e-06
     -6.3843e-05    -6.96424e-05
     -4.5707e-05    -4.59454e-05
     -1.1175e-05    -1.09785e-05
    -0.000379184     -0.00036867
     -5.6119e-05    -6.96948e-05
    -0.000208456    -0.000221823
     -4.8391e-05    -5.39856e-05
    -0.000105279    -0.000140555
    -0.000166952    -0.000189689
     -0.00025533    -0.000323963
     -1.2812e-05    -1.36539e-05
      -1.998e-06    -3.48681e-06
     -2.5101e-05     -3.3359e-05
      -5.163e-06    -7.20712e-06
     -1.8664e-05     -2.3363e-05
      -2.689e-05    -2.80105e-05
     -7.0742e-05    -7.71287e-05
     -6.1385e-05    -6.00672e-05
       -7.51e-06    -9.02105e-06
     -7.0234e-05    -0.000103789
    -0.000562178    -0.000537035
      -8.684e-05    -0.000136741
    -0.000252165    -0.000235018
      -3.213e-05    -3.98282e-05
    -0.000464687    -0.000416424
     -3.0786e-05    -4.11454e-05
     -1.3307e-05    -1.53622e-05
      -8.435e-06    -8.44157e-06
    -0.000213305    -0.000203716
      -2.793e-05    -2.92614e-05
     -2.8747e-05    -5.04373e-05
      -7.129e-06    -6.99907e-06
     -1.1383e-05    -1.28242e-05
     -1.5008e-05    -2.00675e-05
     -2.6105e-05    -3.31278e-05
