QM Energy	FF Energy
    -0.000269052    -0.000247581
    -0.000140581    -0.000139005
     -2.2689e-05    -2.00966e-05
     -0.00039741    -0.000390297
      -0.0011022     -0.00101003
    -0.000148351    -0.000138289
     -2.5645e-05    -2.35521e-05
    -0.000118978    -0.000111451
    -0.000303228    -0.000281546
    -0.000102529    -9.50337e-05
     -6.2227e-05    -5.74937e-05
     -1.6462e-05    -1.50213e-05
    -0.000702871    -0.000602454
    -0.000247515    -0.000246592
     -2.6124e-05    -2.45667e-05
    -0.000754325    -0.000742516
     -3.8614e-05    -3.80457e-05
     -0.00119781     -0.00114114
    -0.000341895    -0.000333236
     -0.00111437     -0.00111739
     -4.4558e-05     -4.1168e-05
    -0.000121025    -0.000109963
    -0.000729128    -0.000712997
     -2.1912e-05    -2.07736e-05
     -0.00105478     -0.00106602
     -0.00161733      -0.0015767
     -6.1323e-05    -5.61729e-05
    -0.000507431    -0.000492858
      -0.0003582    -0.000326353
    -0.000322559    -0.000319718
     -0.00090094    -0.000906557
     -5.3416e-05    -4.92138e-05
    -0.000968938    -0.000937416
    -0.000363734      -0.0003489
    -0.000623974    -0.000601792
    -0.000136462    -0.000119209
     -3.7734e-05    -3.72498e-05
    -0.000837912    -0.000811118
     -1.3465e-05    -1.18731e-05
     -0.00109553      -0.0010362
    -0.000595861    -0.000597327
      -3.557e-05    -2.98939e-05
     -4.7029e-05    -3.93566e-05
     -3.7853e-05    -3.53928e-05
      -8.002e-05     -7.6751e-05
    -0.000815276    -0.000803727
    -0.000178095    -0.000163545
     -7.7466e-05     -6.8322e-05
     -8.6811e-05     -7.9623e-05
     -3.9605e-05    -3.72905e-05
     -0.00134537     -0.00140427
     -2.4355e-05    -2.14716e-05
    -0.000970825    -0.000941696
    -0.000638817    -0.000568644
    -0.000108178    -0.000103357
     -0.00185958     -0.00204859
    -0.000336397    -0.000313777
     -4.9037e-05    -4.56885e-05
    -0.000203948    -0.000200185
    -0.000151753    -0.000150689
    -0.000707169    -0.000678665
      -2.313e-05    -2.05771e-05
    -0.000599696     -0.00056466
     -3.7938e-05    -3.38593e-05
    -0.000942663    -0.000951374
     -5.7111e-05    -5.06053e-05
     -3.9675e-05    -3.52603e-05
     -0.00139008     -0.00135032
     -1.6414e-05    -1.39584e-05
     -2.9371e-05    -2.54759e-05
    -0.000165825    -0.000163367
     -5.5536e-05    -5.20776e-05
    -0.000319031    -0.000298112
    -0.000688532    -0.000602208
     -7.8584e-05     -7.1852e-05
     -4.8618e-05      -4.225e-05
      -0.0001017    -9.16336e-05
     -0.00140735     -0.00143149
    -0.000974728    -0.000962517
     -3.3142e-05    -2.87942e-05
     -5.9536e-05    -5.32041e-05
     -8.0724e-05    -7.20524e-05
    -0.000194689    -0.000191037
    -0.000118901    -0.000104561
    -0.000445743    -0.000432928
     -0.00167685     -0.00177312
     -7.6432e-05    -7.01207e-05
     -7.2604e-05    -6.74186e-05
     -0.00050911    -0.000507995
     -7.5425e-05    -6.96058e-05
    -0.000203389    -0.000203776
     -0.00101548     -0.00105471
     -6.1858e-05    -5.55232e-05
    -0.000184389    -0.000173643
    -0.000671911    -0.000664476
     -0.00101933     -0.00100098
      -4.848e-05    -4.59214e-05
     -4.1057e-05    -3.48631e-05
    -0.000140845    -0.000130886
     -5.6897e-05    -5.26775e-05
