QM Energy	FF Energy
       -0.001458     -0.00127769
    -0.000681707    -0.000656857
    -0.000120555    -8.87285e-05
     -0.00184018     -0.00184939
     -0.00435162     -0.00432736
    -0.000784405    -0.000701114
    -0.000170371    -0.000139093
    -0.000695759    -0.000642102
     -0.00151735     -0.00137537
    -0.000597157    -0.000520692
    -0.000309679    -0.000245588
    -0.000124536    -0.000114073
     -0.00318377     -0.00309423
     -0.00118651     -0.00115531
    -0.000155551    -0.000147496
      -0.0024403     -0.00251774
    -0.000180098    -0.000166623
     -0.00671784     -0.00615943
     -0.00113843     -0.00105801
     -0.00671394     -0.00587078
    -0.000176509    -0.000132147
    -0.000688017    -0.000623537
     -0.00297177     -0.00272317
    -0.000106429    -8.75812e-05
     -0.00420859       -0.004541
     -0.00830799     -0.00899807
    -0.000320298    -0.000266763
     -0.00236787      -0.0020453
     -0.00186554     -0.00159908
     -0.00156993     -0.00163073
     -0.00453087     -0.00467536
    -0.000164092    -0.000114931
     -0.00449055     -0.00418878
     -0.00171369      -0.0016625
     -0.00247865     -0.00229948
    -0.000717782    -0.000635315
    -0.000193245    -0.000180361
     -0.00363137     -0.00335292
    -0.000107336    -8.39172e-05
     -0.00649362     -0.00598674
     -0.00196232     -0.00188455
    -0.000245514    -0.000176098
    -0.000284587    -0.000252305
    -0.000213528    -0.000180839
    -0.000442271    -0.000383086
     -0.00236679     -0.00243389
    -0.000992407     -0.00081875
    -0.000454025    -0.000351194
    -0.000363142    -0.000282488
    -0.000167712    -0.000132231
     -0.00812123      -0.0075515
     -9.8712e-05    -6.88118e-05
     -0.00460653       -0.004319
     -0.00320923     -0.00308336
    -0.000400145    -0.000346063
      -0.0116825      -0.0108179
     -0.00162287     -0.00144031
    -0.000258244    -0.000228266
     -0.00058792    -0.000549437
    -0.000764566    -0.000779142
      -0.0034861     -0.00326678
    -0.000129311    -0.000105351
     -0.00280155     -0.00248049
    -0.000212002    -0.000160632
      -0.0047717     -0.00455274
    -0.000225173    -0.000156916
    -0.000167114    -0.000110556
     -0.00714284     -0.00739433
    -0.000107263    -9.55746e-05
    -0.000116636    -7.56495e-05
    -0.000510045    -0.000464279
    -0.000208963     -0.00016072
     -0.00156164     -0.00132171
     -0.00322085     -0.00340177
    -0.000399659    -0.000337275
    -0.000289953     -0.00023178
    -0.000590645    -0.000477935
      -0.0047587     -0.00503471
     -0.00486881     -0.00435672
    -0.000201261    -0.000135445
    -0.000363457    -0.000277041
    -0.000348685    -0.000246581
    -0.000891927    -0.000866817
    -0.000655655    -0.000575228
     -0.00248717     -0.00256094
     -0.00667673     -0.00743257
    -0.000319774    -0.000253313
    -0.000365858    -0.000300194
     -0.00170753      -0.0017525
    -0.000315778    -0.000233082
     -0.00100079    -0.000963585
     -0.00454027     -0.00496284
    -0.000374266    -0.000328319
    -0.000721108    -0.000580257
     -0.00304259     -0.00313805
     -0.00394918     -0.00376365
    -0.000260854    -0.000237605
    -0.000260376    -0.000191754
    -0.000709947    -0.000624545
    -0.000327925    -0.000266418
     -0.00153886     -0.00145624
     -0.00025059    -0.000189005
     -0.00553418     -0.00534489
    -0.000112313    -7.99437e-05
     -0.00367394     -0.00366256
     -0.00119207     -0.00117155
     -0.00247956     -0.00249987
    -0.000142754    -0.000102279
    -0.000168982    -0.000134986
     -0.00199526     -0.00185144
       -0.001967     -0.00178219
     -0.00233592     -0.00229171
     -0.00476809     -0.00487151
    -0.000130396    -0.000116399
     -0.00135058     -0.00114204
     -0.00126659     -0.00120542
     -9.5034e-05    -8.61803e-05
    -0.000882292    -0.000750225
     -0.00151816     -0.00140575
     -0.00400327     -0.00352281
    -0.000447142    -0.000432673
     -0.00178898     -0.00181062
     -0.00019857    -0.000141974
    -0.000576892    -0.000455352
      -0.0023305     -0.00204376
     -0.00157001     -0.00162519
    -0.000247678    -0.000220058
     -0.00014347    -0.000103933
    -0.000455806    -0.000420388
     -0.00042702    -0.000368401
    -0.000186912    -0.000140078
     -0.00117741     -0.00105768
     -0.00123735     -0.00107113
     -0.00199964     -0.00191343
      -0.0013916     -0.00144497
    -0.000978026    -0.000869904
     -6.8499e-05    -4.71549e-05
    -0.000781399    -0.000686511
    -0.000364476    -0.000289747
    -0.000627237    -0.000552298
    -0.000282868    -0.000257193
    -0.000258947    -0.000255725
     -0.00489199      -0.0045333
    -0.000264579    -0.000233704
    -0.000126792    -9.08688e-05
     -0.00538576     -0.00528587
     -7.3605e-05    -5.23964e-05
    -0.000112314     -7.5909e-05
     -0.00309953     -0.00300201
     -0.00618536     -0.00606827
      -0.0138375      -0.0143223
     -0.00401906     -0.00403447
     -0.00113233    -0.000982096
     -0.00221205     -0.00191194
     -5.1527e-05    -3.45176e-05
     -0.00130499     -0.00129513
    -0.000688931    -0.000586183
      -0.0018311     -0.00157465
     -0.00201337     -0.00207826
       -0.003304     -0.00343196
