QM Energy	FF Energy
     -0.00177576     -0.00170816
     -0.00270356      -0.0027292
     -0.00242655     -0.00223422
     -0.00180327      -0.0017292
     -0.00466261     -0.00447331
     -0.00799922     -0.00774646
     -0.00166569     -0.00161978
     -0.00476781     -0.00474758
     -0.00300029     -0.00292901
     -0.00370635     -0.00346637
     -0.00155631     -0.00143883
     -0.00210272      -0.0020052
      -0.0104966      -0.0106122
     -0.00411443     -0.00402166
     -0.00587888     -0.00603455
     -0.00194262     -0.00189515
     -0.00355587     -0.00352646
     -0.00313042     -0.00297361
     -0.00289384     -0.00280983
     -0.00112049    -0.000987918
     -0.00267595     -0.00257784
     -0.00758596     -0.00762867
     -0.00762215     -0.00720429
     -0.00447055     -0.00423243
      -0.0103362      -0.0102176
     -0.00240796     -0.00224918
     -0.00426204     -0.00415261
      -0.0070289     -0.00669406
     -0.00239074     -0.00232973
     -0.00827024     -0.00784551
     -0.00870133     -0.00852267
     -0.00161082     -0.00152464
     -0.00256181     -0.00234177
     -0.00269419      -0.0026951
     -0.00632437     -0.00626389
     -0.00715994     -0.00699248
     -0.00149057     -0.00140162
     -0.00840132      -0.0082527
     -0.00520241     -0.00489715
     -0.00441672     -0.00424533
     -0.00968542     -0.00948064
     -0.00175572     -0.00163836
     -0.00604167     -0.00582906
     -0.00215547      -0.0021236
     -0.00329461     -0.00307186
      -0.0015241     -0.00141377
     -0.00107429    -0.000990692
      -0.0036536     -0.00360797
     -0.00762985     -0.00740568
     -0.00159233     -0.00143068
     -0.00124557      -0.0011421
     -0.00171253     -0.00158506
     -0.00218972     -0.00220404
     -0.00383756     -0.00374432
     -0.00848319     -0.00829858
     -0.00117397     -0.00105967
     -0.00658575     -0.00655063
     -0.00654469      -0.0060681
     -0.00101824    -0.000894526
     -0.00922017     -0.00945783
     -0.00698014     -0.00650984
     -0.00189253     -0.00175103
     -0.00312324     -0.00312628
     -0.00283434     -0.00268123
     -0.00104124    -0.000941854
     -0.00203232     -0.00192179
     -0.00199806     -0.00194982
      -0.0086072     -0.00822689
     -0.00163138     -0.00161561
     -0.00143234     -0.00137062
     -0.00199865     -0.00189899
     -0.00114946     -0.00109624
     -0.00657283     -0.00616697
     -0.00740424     -0.00750994
      -0.0055931     -0.00567299
     -0.00866587     -0.00888713
     -0.00365888     -0.00359307
     -0.00258001     -0.00240779
     -0.00161542     -0.00154358
     -0.00446217     -0.00411762
     -0.00718172     -0.00732809
     -0.00272423     -0.00250799
     -0.00296504     -0.00292025
     -0.00209953     -0.00193479
     -0.00172721     -0.00165656
     -0.00494444     -0.00475417
     -0.00829496     -0.00830111
     -0.00162105     -0.00149223
     -0.00220548     -0.00203916
      -0.0052923     -0.00517141
     -0.00236907     -0.00222892
     -0.00155247     -0.00140182
      -0.0011704     -0.00110477
     -0.00388961     -0.00373229
     -0.00406201     -0.00392489
     -0.00311517     -0.00302333
     -0.00461161     -0.00470364
     -0.00453281     -0.00419451
     -0.00152612     -0.00144322
     -0.00144975     -0.00132066
     -0.00219313     -0.00212597
     -0.00306376     -0.00299672
     -0.00758024     -0.00747027
     -0.00518116     -0.00490877
     -0.00322347     -0.00311582
      -0.0078265     -0.00800856
     -0.00223565     -0.00210466
     -0.00645956     -0.00665585
     -0.00275464     -0.00271117
     -0.00562688     -0.00572889
      -0.0037873     -0.00381033
     -0.00482932      -0.0045098
     -0.00232032     -0.00210068
     -0.00898393      -0.0088013
     -0.00171957     -0.00163816
     -0.00152558     -0.00138877
     -0.00439914     -0.00440619
      -0.0020801     -0.00190838
     -0.00165851     -0.00152776
     -0.00114456     -0.00103786
      -0.0100817     -0.00980266
     -0.00239247     -0.00218393
     -0.00166497     -0.00156689
     -0.00224126     -0.00213001
     -0.00182868     -0.00180513
     -0.00310137     -0.00281595
     -0.00298567     -0.00297064
     -0.00451527      -0.0044444
     -0.00167364     -0.00157221
     -0.00166742     -0.00156972
