QM Energy	FF Energy
     -0.00024087    -0.000228356
    -0.000256357      -0.0002404
    -0.000382054    -0.000283593
    -0.000266743    -0.000239502
     -0.00146303     -0.00127992
     -0.00433226     -0.00385193
    -0.000152826     -0.00014339
     -0.00116507     -0.00111793
    -0.000504127    -0.000528503
    -0.000880643    -0.000722717
    -0.000237365    -0.000199492
    -0.000376917    -0.000361701
     -0.00560855     -0.00595263
     -0.00158808     -0.00157154
     -0.00144935     -0.00153703
    -0.000162286    -0.000139833
    -0.000899148    -0.000906138
    -0.000674233    -0.000542517
     -0.00046456    -0.000426993
     -0.00012536    -0.000114565
    -0.000559906    -0.000497513
     -0.00289072     -0.00293253
     -0.00471144     -0.00453516
     -0.00160286     -0.00144485
     -0.00722672     -0.00708404
     -0.00052951    -0.000418635
     -0.00167261     -0.00167877
     -0.00382251     -0.00348426
    -0.000386952    -0.000347515
     -0.00429656     -0.00410656
     -0.00595874     -0.00629519
    -0.000184892    -0.000170207
    -0.000645166    -0.000558382
    -0.000453933    -0.000461274
      -0.0027063     -0.00283259
     -0.00269223     -0.00233868
     -0.00016266    -0.000145942
     -0.00473736     -0.00460685
     -0.00244492     -0.00212565
     -0.00154867     -0.00140574
      -0.0065242     -0.00645528
    -0.000224185    -0.000165992
     -0.00287366     -0.00259474
    -0.000282874    -0.000267568
     -0.00105682    -0.000976986
    -0.000164748     -0.00012973
     -9.9014e-05    -6.76325e-05
     -0.00104846     -0.00100773
     -0.00313655     -0.00280063
    -0.000266238    -0.000236792
     -0.00010469    -9.37512e-05
    -0.000171741     -0.00013126
    -0.000167927    -0.000157176
     -0.00131541     -0.00135103
     -0.00430432     -0.00440379
     -0.00014722    -0.000132538
     -0.00230929     -0.00233969
     -0.00483865     -0.00432573
     -5.0184e-05    -3.32493e-05
     -0.00371864     -0.00378534
     -0.00535398     -0.00537515
    -0.000238287    -0.000203472
    -0.000515734    -0.000497644
    -0.000730975    -0.000605874
    -0.000111785    -7.97309e-05
    -0.000343324    -0.000304463
    -0.000305834    -0.000292209
     -0.00557372      -0.0054101
    -0.000119954    -0.000110856
     -9.2529e-05    -7.61555e-05
    -0.000263255    -0.000215321
     -6.6337e-05    -5.69227e-05
     -0.00371769     -0.00359771
     -0.00274472     -0.00266283
     -0.00188805     -0.00191714
     -0.00393199     -0.00416896
     -0.00102681    -0.000947873
    -0.000838867    -0.000721148
    -0.000184321    -0.000163111
     -0.00256825     -0.00223886
     -0.00226944     -0.00219387
    -0.000864029    -0.000770756
    -0.000350939    -0.000336492
    -0.000440747    -0.000378155
     -0.00029161    -0.000252663
     -0.00215788     -0.00208409
      -0.0036645     -0.00372176
    -0.000150223    -0.000109914
      -0.0002448    -0.000187417
     -0.00160806     -0.00152837
    -0.000445857    -0.000398604
    -0.000231781    -0.000199977
     -0.00011409    -0.000101284
    -0.000766433    -0.000683906
     -0.00146601     -0.00131821
    -0.000820623    -0.000758654
     -0.00106628      -0.0010804
     -0.00215674     -0.00190752
     -0.00012895     -0.00010577
    -0.000139869    -0.000114336
     -0.00030034    -0.000267294
    -0.000538714    -0.000469022
     -0.00375821     -0.00385977
     -0.00130943     -0.00103793
    -0.000639006    -0.000537912
     -0.00247199     -0.00261614
    -0.000355184    -0.000326255
     -0.00163665     -0.00173802
     -0.00043878    -0.000445764
     -0.00182429     -0.00188549
    -0.000669886    -0.000655426
     -0.00305311     -0.00276316
    -0.000584894    -0.000610641
     -0.00477809     -0.00421199
    -0.000232364    -0.000211215
    -0.000216366    -0.000175773
     -0.00108761     -0.00108802
    -0.000295153    -0.000216038
    -0.000379233    -0.000317903
    -0.000173585    -0.000174318
     -0.00658314     -0.00591979
    -0.000433765    -0.000341863
    -0.000194643    -0.000166063
    -0.000380998    -0.000304946
    -0.000167522    -0.000154402
     -0.00120231     -0.00117825
    -0.000643111    -0.000646297
      -0.0013858      -0.0012022
    -0.000186177    -0.000131212
    -0.000179388    -0.000137587
    -0.000647422    -0.000556822
     -0.00019948    -0.000158032
    -0.000340128    -0.000317485
     -0.00178896     -0.00154742
     -0.00363037     -0.00362028
    -0.000313911    -0.000286356
     -0.00129255     -0.00124495
     -0.00150836     -0.00159067
    -0.000781566    -0.000702525
     -0.00013862    -0.000129127
     -0.00150473     -0.00133825
     -0.00497499     -0.00440403
    -0.000431199    -0.000414716
     -0.00259394     -0.00233048
     -0.00206583     -0.00207133
     -0.00210396     -0.00186734
    -0.000289638    -0.000254587
      -0.0013168     -0.00129859
     -0.00156372     -0.00159105
    -0.000189608    -0.000156719
     -0.00480446     -0.00502186
     -0.00055372    -0.000528287
     -0.00043049    -0.000431071
    -0.000702686    -0.000639153
    -0.000202784    -0.000192084
     -0.00019251    -0.000168824
     -0.00268536     -0.00236195
      -0.0018786     -0.00163944
     -0.00401571     -0.00435224
      -0.0026532      -0.0022937
    -0.000829247    -0.000757724
    -0.000231256    -0.000199917
      -0.0021247      -0.0019239
     -0.00017515    -0.000156645
     -0.00105593    -0.000913921
     -0.00040701    -0.000378976
     -0.00148328     -0.00150138
      -0.0019433     -0.00188522
     -7.6954e-05    -6.39298e-05
     -0.00372451      -0.0034875
    -0.000440786    -0.000400672
     -0.00281694     -0.00243156
     -0.00492831     -0.00486047
