QM Energy	FF Energy
     -1.2241e-05    -1.52121e-05
    -0.000720213    -0.000593376
      -6.374e-06    -8.89838e-06
    -0.000347521    -0.000316458
     -2.4085e-05    -2.65112e-05
     -0.00012452    -0.000125688
     -2.1719e-05     -3.0076e-05
       -6.75e-06    -1.49578e-05
     -0.00057081    -0.000570713
    -0.000529671    -0.000435447
      -2.071e-06    -4.76744e-06
     -2.3677e-05    -5.52368e-05
     -3.3536e-05    -5.31631e-05
      -4.302e-06    -6.59721e-06
       -2.71e-06    -6.34266e-06
     -1.0524e-05    -1.36184e-05
      -9.532e-06     -1.1098e-05
    -0.000177015    -0.000235606
       -4.93e-06    -7.97945e-06
     -3.3677e-05    -4.23929e-05
      -8.627e-06     -1.0466e-05
    -0.000144169    -0.000138831
    -0.000129342    -0.000132487
     -1.6713e-05    -3.85515e-05
      -1.443e-05    -2.32021e-05
     -1.7017e-05    -2.30811e-05
      -5.783e-06    -9.93494e-06
    -0.000266087    -0.000248078
    -0.000508771    -0.000463854
     -4.7689e-05     -0.00010701
     -3.5958e-05    -6.92053e-05
     -1.5566e-05    -1.81157e-05
     -1.6923e-05    -2.95152e-05
    -0.000138798    -0.000176501
      -6.852e-06    -9.20558e-06
      -4.191e-06    -8.05705e-06
      -4.729e-06    -1.28504e-05
     -2.7749e-05    -3.25889e-05
      -4.301e-06    -9.02085e-06
    -0.000609021    -0.000540069
    -0.000161794    -0.000227566
      -5.378e-06    -1.55136e-05
     -1.2807e-05    -3.07884e-05
     -1.2648e-05    -2.78956e-05
     -8.4378e-05     -0.00012238
     -9.9734e-05    -0.000138546
    -0.000206705    -0.000253456
    -0.000161483    -0.000294727
     -5.5289e-05    -6.07135e-05
     -6.9824e-05    -0.000101071
    -0.000135953    -0.000169271
      -4.375e-06    -8.25147e-06
     -2.3903e-05     -3.9158e-05
     -1.2798e-05    -1.84714e-05
     -2.1654e-05    -4.75904e-05
    -0.000316105    -0.000386591
     -2.5722e-05    -3.76029e-05
     -1.0182e-05    -1.17974e-05
    -0.000201789    -0.000273341
    -0.000251261    -0.000289802
    -0.000143931    -0.000163769
     -1.3532e-05    -2.08959e-05
     -1.6695e-05    -2.26966e-05
     -3.8759e-05    -6.65097e-05
     -2.5544e-05    -2.91978e-05
       -9.44e-05    -0.000129691
      -9.282e-06    -1.77422e-05
     -4.6551e-05    -6.72189e-05
      -4.254e-05     -4.5933e-05
     -7.1767e-05    -7.84757e-05
     -2.3046e-05    -2.60251e-05
    -0.000118208    -0.000184224
       -8.06e-06    -9.73643e-06
    -0.000343207    -0.000298681
     -5.1234e-05    -5.82309e-05
     -6.6572e-05    -0.000120225
        -3.8e-06    -6.31951e-06
      -5.964e-06    -1.08715e-05
      -8.575e-05    -0.000144853
     -3.9319e-05     -4.5504e-05
     -9.6344e-05    -0.000118242
     -4.3159e-05    -4.75957e-05
      -4.958e-06    -7.80662e-06
     -2.1533e-05    -4.29031e-05
    -0.000142385    -0.000170888
     -2.1033e-05    -3.54029e-05
     -1.0134e-05    -1.96098e-05
     -0.00049633    -0.000400086
     -1.1879e-05    -2.11073e-05
    -0.000200283    -0.000307633
     -0.00030967    -0.000295584
     -1.5867e-05    -2.02316e-05
     -1.5846e-05    -2.05306e-05
    -0.000192111    -0.000205604
     -7.0639e-05    -0.000157855
     -3.1406e-05    -5.47089e-05
       -4.94e-05    -9.02327e-05
     -1.9713e-05    -2.46515e-05
     -1.4041e-05     -2.2966e-05
    -0.000192498    -0.000238629
    -0.000207461    -0.000187838
    -0.000226751    -0.000343564
      -3.451e-06    -5.49505e-06
    -0.000116501    -0.000123939
     -1.8627e-05    -2.12927e-05
    -0.000411347     -0.00036008
      -3.102e-06     -7.9672e-06
      -5.724e-06        -9.2e-06
     -6.3843e-05    -7.70357e-05
     -4.5707e-05    -5.07239e-05
     -1.1175e-05    -1.34474e-05
    -0.000379184     -0.00036151
     -5.6119e-05    -7.87194e-05
    -0.000208456    -0.000226698
     -4.8391e-05    -6.22301e-05
    -0.000105279    -0.000147401
    -0.000166952    -0.000198695
     -0.00025533    -0.000333833
     -1.2812e-05    -1.77034e-05
      -1.998e-06    -4.79588e-06
     -2.5101e-05    -4.07193e-05
      -5.163e-06    -1.01669e-05
     -1.8664e-05    -2.86119e-05
      -2.689e-05    -3.28903e-05
     -7.0742e-05    -8.56061e-05
     -6.1385e-05    -6.37266e-05
       -7.51e-06    -1.16367e-05
     -7.0234e-05    -0.000115529
    -0.000562178    -0.000517416
      -8.684e-05    -0.000151956
    -0.000252165    -0.000227166
      -3.213e-05    -4.65399e-05
    -0.000464687    -0.000387233
     -3.0786e-05    -4.88261e-05
     -1.3307e-05    -1.91514e-05
      -8.435e-06    -1.08889e-05
    -0.000213305    -0.000195086
      -2.793e-05    -3.47286e-05
     -2.8747e-05    -6.15705e-05
      -7.129e-06     -9.0701e-06
     -1.1383e-05    -1.62077e-05
     -1.5008e-05    -2.52953e-05
     -2.6105e-05    -4.07183e-05
    -0.000256118    -0.000279352
     -1.5954e-05    -1.92687e-05
     -4.2309e-05    -7.65431e-05
    -0.000281743    -0.000285961
     -0.00022225    -0.000198395
      -6.065e-05     -0.00011703
    -0.000191233    -0.000212821
      -3.911e-06    -6.87631e-06
      -1.952e-06    -4.57046e-06
    -0.000162186    -0.000217929
    -0.000181774    -0.000260853
      -3.324e-05    -4.78162e-05
      -8.309e-06    -2.05709e-05
    -0.000277756    -0.000255449
    -0.000413352    -0.000347471
      -3.595e-06    -6.24185e-06
    -0.000256072     -0.00031461
     -2.3953e-05    -3.67984e-05
    -0.000147304    -0.000180601
       -6.79e-06    -1.06839e-05
      -1.199e-05    -1.55075e-05
    -0.000182988    -0.000306073
     -2.8425e-05    -5.10893e-05
     -1.4881e-05    -3.06835e-05
     -9.8662e-05     -0.00010348
    -0.000107866    -0.000214188
    -0.000124444    -0.000138419
    -0.000391986    -0.000357168
      -8.995e-06    -1.73737e-05
      -7.751e-06    -1.87672e-05
       -7.94e-06    -1.74705e-05
     -1.9474e-05    -2.32572e-05
     -1.8381e-05    -3.49042e-05
     -1.0322e-05     -1.2941e-05
     -5.5831e-05    -6.46273e-05
     -7.5249e-05     -0.00010118
    -0.000290715    -0.000355728
     -5.3311e-05    -8.02287e-05
      -2.983e-06    -7.31744e-06
      -9.182e-06     -1.1399e-05
      -8.386e-06    -1.22491e-05
      -7.307e-06     -1.4272e-05
     -1.0848e-05     -1.7205e-05
    -0.000114293    -0.000116813
     -3.3302e-05    -9.43453e-05
     -6.3439e-05    -9.60923e-05
     -6.2208e-05     -0.00010297
    -0.000286326    -0.000370697
    -0.000568417    -0.000498183
     -0.00020363     -0.00020509
      -1.108e-05    -2.60988e-05
      -4.925e-05    -6.81907e-05
      -3.697e-06    -7.49121e-06
     -1.1521e-05    -2.06205e-05
      -1.901e-06    -4.68938e-06
      -9.582e-06    -1.14243e-05
     -2.4611e-05     -4.4728e-05
      -6.777e-05    -7.06929e-05
     -3.5831e-05     -5.9996e-05
       -8.56e-06    -2.16387e-05
     -1.7265e-05    -3.63408e-05
    -0.000185178    -0.000275002
    -0.000387987    -0.000352673
     -7.9331e-05    -8.28935e-05
    -0.000257723    -0.000225225
    -0.000213675    -0.000251187
    -0.000206513    -0.000227195
     -4.9898e-05    -7.99836e-05
      -5.166e-06    -8.97827e-06
      -6.902e-06    -2.16709e-05
     -2.4985e-05    -3.96799e-05
     -1.7435e-05    -1.94494e-05
    -0.000340747    -0.000325871
     -2.5539e-05    -2.86847e-05
      -5.027e-06    -1.02949e-05
     -2.0158e-05    -3.13627e-05
     -4.0378e-05    -6.41381e-05
       -3.22e-06    -6.18167e-06
     -2.6434e-05    -4.36189e-05
      -5.554e-05    -0.000120755
     -0.00026716    -0.000287955
     -0.00019766    -0.000268099
      -1.002e-05    -1.96104e-05
     -3.3089e-05    -4.63997e-05
    -0.000119889    -0.000146753
      -3.599e-06    -9.73288e-06
       -8.68e-06    -1.08074e-05
    -0.000172672    -0.000268569
    -0.000473494    -0.000514518
     -1.4624e-05    -1.94619e-05
     -1.4133e-05    -1.67397e-05
     -8.4274e-05    -8.46811e-05
     -5.0278e-05    -6.01227e-05
      -7.908e-06    -9.92142e-06
     -4.4153e-05    -5.07978e-05
     -1.4656e-05    -1.98999e-05
     -1.7638e-05    -2.18111e-05
     -0.00058386    -0.000579014
     -8.9921e-05    -0.000120631
     -1.5005e-05    -2.06994e-05
    -0.000178475     -0.00019713
      -2.762e-05    -4.42786e-05
     -4.1287e-05    -8.93735e-05
     -1.9904e-05    -3.73618e-05
    -0.000114851    -0.000131387
     -7.5451e-05    -0.000163344
     -3.2281e-05    -3.82609e-05
      -6.779e-06    -1.36659e-05
    -0.000165609    -0.000218992
    -0.000106501    -0.000120911
     -7.0305e-05    -8.31894e-05
      -6.201e-06    -1.59586e-05
     -7.4384e-05    -9.30821e-05
     -1.9313e-05    -2.21481e-05
    -0.000194263    -0.000196566
      -3.232e-06    -6.62341e-06
    -0.000221774    -0.000230446
     -1.6195e-05    -2.28285e-05
     -7.0995e-05    -0.000116675
      -8.996e-06    -2.43924e-05
    -0.000370205    -0.000403784
    -0.000101738    -0.000125698
     -2.2981e-05    -3.86317e-05
     -7.5078e-05    -8.73697e-05
    -0.000191727    -0.000301709
    -0.000156645    -0.000164551
      -4.418e-06    -6.35273e-06
       -5.52e-06    -8.84449e-06
     -3.4722e-05    -4.80648e-05
     -1.1529e-05    -1.78337e-05
    -0.000344981    -0.000294334
     -3.5726e-05    -7.24707e-05
    -0.000430905    -0.000401105
    -0.000287153    -0.000323739
     -1.6428e-05    -2.61368e-05
    -0.000224119    -0.000208151
      -7.917e-06    -1.16443e-05
    -0.000112408    -0.000137675
