QM Energy	FF Energy
       -0.001458     -0.00133626
    -0.000681707    -0.000705787
    -0.000120555    -0.000104269
     -0.00184018     -0.00186286
     -0.00435162     -0.00427271
    -0.000784405    -0.000732707
    -0.000170371    -0.000156112
    -0.000695759    -0.000679353
     -0.00151735     -0.00145384
    -0.000597157    -0.000550689
    -0.000309679    -0.000275598
    -0.000124536    -0.000125078
     -0.00318377     -0.00315007
     -0.00118651     -0.00122019
    -0.000155551    -0.000164842
      -0.0024403     -0.00245104
    -0.000180098    -0.000185628
     -0.00671784     -0.00620297
     -0.00113843      -0.0011153
     -0.00671394       -0.005885
    -0.000176509    -0.000158776
    -0.000688017    -0.000659237
     -0.00297177     -0.00272125
    -0.000106429    -9.95768e-05
     -0.00420859     -0.00445882
     -0.00830799     -0.00897432
    -0.000320298    -0.000294638
     -0.00236787     -0.00207906
     -0.00186554     -0.00166735
     -0.00156993     -0.00170529
     -0.00453087     -0.00471475
    -0.000164092    -0.000143975
     -0.00449055     -0.00420101
     -0.00171369     -0.00172821
     -0.00247865     -0.00231255
    -0.000717782    -0.000663581
    -0.000193245    -0.000204198
     -0.00363137     -0.00332054
    -0.000107336    -9.46113e-05
     -0.00649362     -0.00602487
     -0.00196232     -0.00185688
    -0.000245514    -0.000197136
    -0.000284587    -0.000271547
    -0.000213528     -0.00020579
    -0.000442271    -0.000414842
     -0.00236679     -0.00237442
    -0.000992407    -0.000863108
    -0.000454025    -0.000391942
    -0.000363142    -0.000313511
    -0.000167712    -0.000152458
     -0.00812123      -0.0075127
     -9.8712e-05    -8.77689e-05
     -0.00460653     -0.00428382
     -0.00320923     -0.00314611
    -0.000400145    -0.000375634
      -0.0116825      -0.0106804
     -0.00162287     -0.00149205
    -0.000258244    -0.000253285
     -0.00058792    -0.000585043
    -0.000764566    -0.000827398
      -0.0034861     -0.00331081
    -0.000129311    -0.000120948
     -0.00280155     -0.00253914
    -0.000212002    -0.000178305
      -0.0047717     -0.00460605
    -0.000225173    -0.000191611
    -0.000167114    -0.000138117
     -0.00714284     -0.00739457
    -0.000107263    -0.000106112
    -0.000116636    -8.93105e-05
    -0.000510045    -0.000504287
    -0.000208963    -0.000186882
     -0.00156164     -0.00140071
     -0.00322085     -0.00346853
    -0.000399659    -0.000359809
    -0.000289953    -0.000258613
    -0.000590645    -0.000519145
      -0.0047587     -0.00496502
     -0.00486881     -0.00433146
    -0.000201261    -0.000143047
    -0.000363457    -0.000306174
    -0.000348685    -0.000283358
    -0.000891927    -0.000926766
    -0.000655655    -0.000619105
     -0.00248717     -0.00259013
     -0.00667673     -0.00726957
    -0.000319774    -0.000284358
    -0.000365858    -0.000332367
     -0.00170753     -0.00177335
    -0.000315778    -0.000263303
     -0.00100079     -0.00101943
     -0.00454027     -0.00495358
    -0.000374266    -0.000359284
    -0.000721108    -0.000648517
     -0.00304259      -0.0031483
