QM Energy	FF Energy
    -0.000541996    -0.000738919
     -0.00139631     -0.00130749
    -0.000829262    -0.000799932
     -0.00113519     -0.00102599
      0.00226518      0.00292185
     -0.00136945     -0.00136827
     -0.00106691     -0.00109263
     -0.00152226     -0.00147144
     -0.00122766     -0.00109132
     -0.00152342     -0.00155949
     -0.00113531     -0.00112263
     -0.00103524     -0.00098899
      0.00053394     0.000886615
     -0.00124241      -0.0010722
     -0.00106361     -0.00103791
     -6.7343e-05     0.000642844
     -0.00153938     -0.00152639
       0.0027455      0.00196762
     -0.00130425     -0.00108824
      0.00401591      0.00248649
      -0.0011146     -0.00107543
     -0.00147759     -0.00145398
      0.00125495      0.00133472
     -0.00112808     -0.00112275
      0.00144568       0.0024378
      0.00406612       0.0059393
    -0.000978935    -0.000979046
      0.00092931       0.0003668
    -0.000959037     -0.00130014
     -0.00210445     -0.00164772
     0.000979349      0.00164009
    -0.000965737    -0.000892518
       0.0024125      0.00235918
     -0.00100952     -0.00082813
     0.000936548     0.000815793
     -0.00111043     -0.00116107
     -0.00129797     -0.00124485
      0.00120112      0.00128677
    -0.000776919    -0.000747431
      0.00507203      0.00401589
     0.000920669     0.000902709
     -0.00121991     -0.00125389
     -0.00104058     -0.00101445
     -0.00113898      -0.0011022
     -0.00139339     -0.00138052
     0.000239218     0.000909219
    -0.000896613     -0.00107537
     -0.00134059     -0.00140506
    -0.000942892    -0.000876426
     -0.00115496     -0.00111098
       0.0060941      0.00506218
     -0.00104115    -0.000990828
      0.00327147       0.0029172
       0.0011808     0.000985462
     -0.00138406     -0.00134006
       0.0108722      0.00857886
    -0.000721691    -0.000834444
     -0.00134789      -0.0013216
    -0.000949149    -0.000712736
     -0.00180743     -0.00165384
     0.000807443     0.000785702
    -0.000888826    -0.000859952
     0.000617481     0.000356158
     -0.00143293     -0.00145779
      0.00106235      0.00109914
     -0.00122689     -0.00119868
    -0.000995718    -0.000946728
      0.00442198      0.00517898
     -0.00095478    -0.000936491
    -0.000923873    -0.000890343
    -0.000793534    -0.000654759
     -0.00139086     -0.00133202
     -0.00079917     -0.00109423
     0.000436734     0.000877417
     -0.00136276     -0.00132339
     -0.00111275     -0.00111269
    -0.000928628    -0.000993787
      0.00146923      0.00260422
      0.00273746        0.001558
     -0.00103632     -0.00100078
     -0.00116247     -0.00124975
     -0.00155363      -0.0015567
     -0.00165775      -0.0015528
    -0.000957203    -0.000975877
     -0.00152706     -0.00127822
       0.0020763      0.00346642
     -0.00131477     -0.00128056
     -0.00130377     -0.00125043
    -0.000530982    -0.000270926
     -0.00159342     -0.00161875
     -0.00136153     -0.00123673
     0.000614699      0.00202091
     -0.00116878     -0.00116674
     -0.00132685     -0.00133886
    -0.000474561    -0.000372845
      0.00288873      0.00305243
     -0.00122854     -0.00118849
     -0.00120491     -0.00125048
     -0.00173579     -0.00172015
     -0.00119172      -0.0011615
    -0.000476937    -0.000372031
     -0.00155262     -0.00156368
      0.00241889      0.00200545
    -0.000992083    -0.000939559
      8.1104e-05     0.000294202
    -0.000361982    -3.99875e-05
     -0.00052339    -0.000247104
     -0.00107878     -0.00109042
     -0.00143734     -0.00142896
    -0.000444847    -0.000828345
     0.000548524     0.000455446
     -9.8627e-05      4.8538e-05
      0.00137411       0.0022072
     -0.00111257     -0.00108754
     -0.00058762    -0.000531745
     -0.00134015     -0.00116691
    -0.000995513    -0.000966292
     -0.00038308    -0.000360396
    -0.000623185    -0.000776772
      0.00245182      0.00211119
    -0.000687679     -0.00046435
     -0.00153148      -0.0010588
     -0.00104496     -0.00106107
     -0.00109348     -0.00112475
     0.000536709     1.84576e-05
    -0.000942825    -0.000255123
       -0.001236      -0.0011838
     -0.00112944     -0.00115205
     -0.00171546     -0.00175295
     -0.00118739     -0.00116628
     -0.00111364     -0.00107692
    -0.000948712     -0.00102669
    -0.000991661    -0.000987057
    -0.000928309    -0.000915826
     0.000315068     0.000784208
     -0.00130774     -0.00132111
    -0.000973881    -0.000927819
    -0.000785726    -0.000703343
     -0.00130512     -0.00136638
    -0.000631062    -0.000499911
     -0.00158975     -0.00156875
     -0.00180358     -0.00180167
       0.0037001      0.00322475
     -0.00142922     -0.00137961
    -0.000773285    -0.000746976
      0.00301095      0.00262769
     -0.00104303     -0.00101712
    -0.000833695    -0.000768445
     0.000143229     0.000250467
      0.00311437      0.00317108
       0.0104839       0.0111211
      0.00213237       0.0026699
    -0.000742247    -0.000852165
    -0.000518351    -0.000992001
     -0.00100133    -0.000987801
     -0.00185735     -0.00167114
    -0.000801824    -0.000756387
    -0.000527173    -0.000923355
      9.4645e-05     0.000599698
     -0.00112064    -0.000723071
