Edrude_ind 		 Edrude_dhf
     -0.00000223       0.00000007
     -0.00004524      -0.00000929
     -0.00000144      -0.00000006
     -0.00000142      -0.00000005
     -0.00001815       0.00000131
     -0.00000105       0.00000004
     -0.00000240      -0.00000006
     -0.00000210      -0.00000009
     -0.00000889       0.00000058
     -0.00000377      -0.00000001
     -0.00000382       0.00000008
     -0.00000550      -0.00000001
     -0.00002264      -0.00000150
     -0.00000102       0.00000005
     -0.00000132      -0.00000000
     -0.00000755       0.00000022
     -0.00001940       0.00000107
     -0.00000698      -0.00000010
     -0.00002570       0.00000267
     -0.00000526       0.00000009
     -0.00000214       0.00000018
     -0.00001894       0.00000154
     -0.00001068      -0.00000098
     -0.00004455      -0.00000357
     -0.00000236       0.00000009
     -0.00000074      -0.00000002
     -0.00000150       0.00000004
     -0.00002968       0.00000234
     -0.00004379       0.00000216
     -0.00000084       0.00000001
     -0.00000915      -0.00000044
     -0.00005073      -0.00000636
     -0.00003538      -0.00000380
     -0.00000466       0.00000009
     -0.00002783       0.00000193
     -0.00000139       0.00000002
     -0.00000254      -0.00000014
     -0.00000253      -0.00000004
     -0.00000397       0.00000018
     -0.00003533       0.00000330
     -0.00003596       0.00000306
     -0.00000484       0.00000006
     -0.00000870      -0.00000058
     -0.00000971       0.00000027
     -0.00000147      -0.00000006
     -0.00002626       0.00000218
     -0.00000131       0.00000000
     -0.00003535       0.00000060
     -0.00001562      -0.00000168
     -0.00002223      -0.00000001
     -0.00001798      -0.00000140
     -0.00003775      -0.00000207
     -0.00000346      -0.00000011
     -0.00002272       0.00000008
     -0.00002909       0.00000074
     -0.00005945      -0.00000098
     -0.00002208       0.00000230
     -0.00000491      -0.00000004
     -0.00000082       0.00000001
     -0.00001192      -0.00000117
     -0.00000762       0.00000060
     -0.00000285       0.00000010
     -0.00000208      -0.00000009
     -0.00001036       0.00000041
     -0.00000377       0.00000003
     -0.00005372      -0.00000286
     -0.00004348      -0.00000373
     -0.00003508      -0.00000164
     -0.00000526       0.00000011
     -0.00001892       0.00000147
     -0.00001496      -0.00000160
     -0.00004905      -0.00001057
     -0.00000208       0.00000011
     -0.00000661      -0.00000005
     -0.00000400      -0.00000003
     -0.00006983      -0.00000790
     -0.00000694       0.00000071
     -0.00000159       0.00000002
     -0.00000187      -0.00000010
     -0.00000336      -0.00000011
     -0.00002728      -0.00000303
     -0.00000906      -0.00000079
     -0.00000740       0.00000013
     -0.00000163       0.00000004
     -0.00000465      -0.00000038
     -0.00000761       0.00000015
     -0.00000898       0.00000056
     -0.00000324      -0.00000028
     -0.00000586      -0.00000050
     -0.00001041      -0.00000007
     -0.00000539       0.00000023
     -0.00000121      -0.00000004
     -0.00000467       0.00000023
     -0.00000656      -0.00000021
     -0.00000876       0.00000017
     -0.00000749      -0.00000058
     -0.00001158       0.00000071
     -0.00000119      -0.00000001
     -0.00000784      -0.00000073
     -0.00002686      -0.00000345
     -0.00000343      -0.00000019
     -0.00000155      -0.00000002
     -0.00001091       0.00000012
     -0.00000140       0.00000005
     -0.00000336       0.00000024
     -0.00000170       0.00000008
     -0.00000102       0.00000005
     -0.00001739      -0.00000292
     -0.00001961      -0.00000132
     -0.00000109      -0.00000001
     -0.00000099       0.00000006
     -0.00000144       0.00000007
     -0.00000114       0.00000005
     -0.00000239      -0.00000007
     -0.00000255       0.00000005
     -0.00000416       0.00000035
     -0.00000143       0.00000002
     -0.00002501      -0.00000259
     -0.00000428       0.00000017
     -0.00000627       0.00000039
     -0.00000176       0.00000002
     -0.00000126       0.00000010
     -0.00001057      -0.00000069
     -0.00000121       0.00000004
     -0.00000622      -0.00000010
     -0.00003169       0.00000260
     -0.00000306      -0.00000023
     -0.00003317      -0.00000454
     -0.00000251       0.00000012
     -0.00000951       0.00000092
     -0.00000288       0.00000010
     -0.00000139       0.00000004
     -0.00000303      -0.00000017
     -0.00001194       0.00000099
     -0.00000110       0.00000003
     -0.00000144       0.00000007
     -0.00000150      -0.00000007
     -0.00001196      -0.00000048
     -0.00000341      -0.00000008
     -0.00000621      -0.00000007
     -0.00000325      -0.00000021
     -0.00000347      -0.00000020
     -0.00000345      -0.00000001
     -0.00000249      -0.00000012
     -0.00001707      -0.00000312
     -0.00000231      -0.00000000
     -0.00000114      -0.00000001
     -0.00000129      -0.00000001
     -0.00000133      -0.00000003
     -0.00000409       0.00000013
     -0.00000170      -0.00000011
     -0.00001161      -0.00000056
     -0.00002845      -0.00000067
     -0.00000205       0.00000001
     -0.00002113      -0.00000151
     -0.00000663       0.00000030
     -0.00000073       0.00000001
     -0.00000769       0.00000052
     -0.00000589      -0.00000029
     -0.00001281      -0.00000135
     -0.00000157       0.00000009
     -0.00000251       0.00000009
     -0.00000813       0.00000080
     -0.00002384      -0.00000293
     -0.00000186       0.00000009
     -0.00000560      -0.00000038
     -0.00000304      -0.00000004
     -0.00000158       0.00000000
     -0.00000522      -0.00000036
     -0.00000105       0.00000004
     -0.00000174       0.00000010
     -0.00001732       0.00000193
     -0.00002023       0.00000170
     -0.00000197       0.00000004
     -0.00001182       0.00000028
     -0.00000908       0.00000079
     -0.00000421       0.00000035
     -0.00000999       0.00000100
     -0.00000130      -0.00000004
     -0.00001705       0.00000029
     -0.00000174       0.00000005
     -0.00001885      -0.00000220
     -0.00001296       0.00000055
     -0.00000254      -0.00000018
     -0.00004530      -0.00000516
     -0.00000755       0.00000048
     -0.00002820       0.00000233
     -0.00003172       0.00000232
     -0.00000357      -0.00000036
     -0.00002351       0.00000162
     -0.00002121       0.00000164
     -0.00000610      -0.00000024
     -0.00001415       0.00000055
     -0.00000139      -0.00000003
     -0.00000204      -0.00000002
     -0.00005762      -0.00001237
     -0.00000292      -0.00000024
     -0.00001081      -0.00000056
     -0.00000230       0.00000007
     -0.00000819       0.00000021
     -0.00000621      -0.00000005
     -0.00000182      -0.00000001
     -0.00001631      -0.00000114
     -0.00000303      -0.00000000
     -0.00000371       0.00000015
     -0.00000068       0.00000001
     -0.00000077       0.00000001
     -0.00004395       0.00000235
     -0.00003511      -0.00000134
     -0.00000349      -0.00000006
     -0.00002769       0.00000309
     -0.00000725       0.00000001
     -0.00000116      -0.00000003
     -0.00001274      -0.00000077
     -0.00004231      -0.00000804
     -0.00001614      -0.00000057
     -0.00006225      -0.00000839
     -0.00000708       0.00000005
     -0.00000397      -0.00000001
     -0.00000123      -0.00000002
     -0.00000340      -0.00000011
     -0.00000187      -0.00000002
     -0.00007044      -0.00001067
     -0.00000108       0.00000004
     -0.00000236       0.00000008
     -0.00000227      -0.00000004
     -0.00001815       0.00000080
     -0.00001953      -0.00000320
     -0.00000337      -0.00000016
     -0.00000135       0.00000002
     -0.00003271      -0.00000345
     -0.00000071      -0.00000002
     -0.00003986      -0.00000421
     -0.00000671       0.00000002
     -0.00005906      -0.00000224
     -0.00000282      -0.00000011
     -0.00001179       0.00000002
     -0.00001847       0.00000030
     -0.00000236      -0.00000002
     -0.00000444      -0.00000007
     -0.00004486      -0.00000474
     -0.00000149      -0.00000003
     -0.00000478       0.00000024
     -0.00000178       0.00000009
     -0.00000068      -0.00000003
     -0.00000099      -0.00000004
     -0.00000649       0.00000021
     -0.00000351       0.00000027
     -0.00000231       0.00000014
     -0.00001354       0.00000114
     -0.00002294       0.00000114
     -0.00003319      -0.00000383
     -0.00000531      -0.00000026
     -0.00006104      -0.00001272
     -0.00001375      -0.00000197
     -0.00000178       0.00000006
     -0.00001216      -0.00000008
     -0.00000240      -0.00000015
     -0.00000342       0.00000015
     -0.00000110       0.00000003
     -0.00000327       0.00000015
     -0.00000051      -0.00000001
     -0.00000795      -0.00000033
     -0.00000165      -0.00000004
     -0.00000515       0.00000005
     -0.00000153      -0.00000003
     -0.00002176      -0.00000123
     -0.00001502      -0.00000168
     -0.00000148       0.00000003
     -0.00002369      -0.00000176
     -0.00000659      -0.00000012
     -0.00000373      -0.00000005
     -0.00000495       0.00000031
     -0.00000117       0.00000001
     -0.00000116       0.00000005
     -0.00000351      -0.00000001
     -0.00000425      -0.00000014
     -0.00000137       0.00000009
     -0.00000097       0.00000004
     -0.00000295      -0.00000006
     -0.00000341      -0.00000018
     -0.00000210       0.00000003
     -0.00000491      -0.00000010
     -0.00003175      -0.00000182
     -0.00000153       0.00000007
     -0.00000356      -0.00000025
     -0.00000508      -0.00000001
     -0.00000168       0.00000006
