QM Energy	FF Energy
     -6.2501e-05    -8.74343e-05
     -4.9051e-05    -4.84674e-05
      -9.744e-06    -6.95996e-06
    -0.000123464     -0.00014045
    -0.000422217    -0.000410189
     -4.2046e-05    -4.92119e-05
      -8.505e-06    -8.04948e-06
     -3.3399e-05    -3.89426e-05
     -9.6457e-05    -0.000100024
     -2.5926e-05    -3.29593e-05
     -2.4393e-05    -2.12817e-05
      -5.735e-06    -5.83825e-06
    -0.000217101    -0.000236651
      -8.428e-05    -8.58705e-05
      -9.096e-06    -8.92087e-06
    -0.000325759    -0.000293767
     -1.4831e-05    -1.24622e-05
    -0.000321142    -0.000418463
    -0.000146971    -0.000127524
    -0.000258377    -0.000412762
      -2.175e-05    -1.57768e-05
     -3.4336e-05    -3.93789e-05
    -0.000285104    -0.000275162
      -7.349e-06    -6.88426e-06
    -0.000454049    -0.000417978
    -0.000659796    -0.000592609
     -1.9126e-05    -1.98446e-05
    -0.000129354    -0.000177908
    -0.000104252    -0.000120616
    -0.000102239     -0.00010553
    -0.000321467    -0.000326063
     -2.7715e-05    -1.95827e-05
     -0.00038241    -0.000358533
    -0.000110855    -0.000122352
    -0.000225579    -0.000240952
     -2.8322e-05    -4.45655e-05
     -1.4161e-05    -1.19083e-05
     -0.00030148    -0.000303344
      -4.596e-06    -4.09759e-06
    -0.000278293    -0.000387261
    -0.000232981    -0.000237607
     -1.0078e-05    -1.02585e-05
     -1.1696e-05    -1.78036e-05
     -1.4777e-05    -1.24077e-05
     -2.4675e-05    -2.62446e-05
    -0.000381346    -0.000335798
     -4.0445e-05    -5.77986e-05
     -2.5855e-05    -2.40345e-05
     -3.3531e-05    -2.84822e-05
     -1.4851e-05    -1.24209e-05
    -0.000461865    -0.000516987
      -1.171e-05    -7.99527e-06
    -0.000317115    -0.000364724
    -0.000169036     -0.00022006
     -4.3155e-05    -3.69278e-05
      -0.0007236    -0.000782451
     -9.3553e-05    -0.000112374
     -1.4538e-05    -1.43396e-05
      -9.483e-05    -7.95776e-05
     -5.0065e-05    -5.02994e-05
    -0.000228217    -0.000249679
      -9.423e-06    -7.56105e-06
     -0.00020071    -0.000215041
      -9.974e-06    -1.12929e-05
    -0.000297566    -0.000338478
     -2.6253e-05    -1.85982e-05
     -1.8836e-05     -1.3296e-05
    -0.000587555    -0.000514002
      -6.251e-06    -5.96347e-06
      -9.885e-06    -9.00333e-06
     -7.5778e-05    -6.36183e-05
     -2.4589e-05    -1.79605e-05
     -9.2351e-05     -0.00011068
    -0.000218285    -0.000238903
     -2.6542e-05     -2.6216e-05
     -1.7146e-05    -1.55219e-05
     -2.7019e-05    -3.38288e-05
    -0.000612995    -0.000568731
    -0.000238751    -0.000360401
      -7.292e-06    -1.25591e-05
     -1.4753e-05    -1.85829e-05
     -2.9976e-05    -2.51839e-05
     -6.8786e-05    -7.02779e-05
     -3.2831e-05    -4.07512e-05
    -0.000103681    -0.000142146
    -0.000678311    -0.000669856
     -2.9888e-05    -2.51147e-05
     -2.6143e-05    -2.39429e-05
    -0.000214075    -0.000207268
      -2.786e-05    -2.43499e-05
     -6.5098e-05    -7.01679e-05
    -0.000425906    -0.000382437
     -2.1497e-05    -2.19294e-05
     -7.9932e-05    -6.63729e-05
    -0.000212809    -0.000239988
    -0.000423492    -0.000406439
     -1.6923e-05    -1.64639e-05
     -1.1537e-05    -1.18136e-05
     -4.3954e-05    -4.41071e-05
     -1.8624e-05    -1.74173e-05
    -0.000169036    -0.000160914
     -1.4154e-05    -1.25205e-05
    -0.000293349    -0.000342018
     -1.9537e-05    -1.35399e-05
    -0.000193997    -0.000233436
    -0.000190832    -0.000168249
    -0.000122499    -0.000157887
      -8.031e-06    -8.41793e-06
     -1.6757e-05    -1.32569e-05
     -5.1434e-05    -0.000106714
    -0.000166334    -0.000185404
    -0.000232888    -0.000230137
    -0.000367478    -0.000341352
       -9.59e-06    -7.38948e-06
    -0.000142242    -0.000136821
     -7.5949e-05    -8.28362e-05
      -6.347e-06    -6.19069e-06
     -8.3116e-05    -8.87113e-05
     -7.9651e-05    -0.000101954
    -0.000264634    -0.000295162
    -0.000101538    -8.09613e-05
    -0.000183573    -0.000170214
       -9.82e-06    -8.83023e-06
     -2.9719e-05    -3.47461e-05
     -9.7127e-05    -0.000147368
    -0.000226208    -0.000200223
     -2.1003e-05     -1.7417e-05
       -7.77e-06    -6.39416e-06
     -2.4359e-05     -2.5924e-05
     -1.9624e-05    -2.30459e-05
     -2.5571e-05    -1.98274e-05
     -4.4032e-05    -6.85495e-05
     -7.3746e-05    -8.04587e-05
      -9.867e-05    -0.000126758
    -0.000264415    -0.000230519
     -4.3823e-05    -5.71827e-05
      -4.608e-06    -4.62148e-06
     -8.6852e-05    -8.16315e-05
     -1.7839e-05    -1.79432e-05
     -9.2559e-05    -8.06456e-05
       -9.63e-06    -1.20099e-05
     -1.5608e-05    -1.38305e-05
    -0.000307438     -0.00037691
     -1.6059e-05    -1.53629e-05
      -7.048e-06    -6.43359e-06
    -0.000230512    -0.000324694
       -4.78e-06     -4.7652e-06
     -1.7385e-05      -1.171e-05
    -0.000227405    -0.000247954
    -0.000326754    -0.000381256
     -0.00110436    -0.000809575
     -0.00038255    -0.000374683
     -5.9507e-05    -7.10949e-05
     -9.6409e-05    -0.000138071
      -8.592e-06    -5.40721e-06
     -9.2251e-05    -9.16543e-05
     -5.9867e-05    -6.01971e-05
     -7.8549e-05    -0.000114706
    -0.000297549    -0.000268492
    -0.000170909    -0.000208331
     -0.00063345    -0.000609535
    -0.000422511    -0.000407491
    -0.000381331    -0.000376054
     -1.1555e-05    -8.64262e-06
    -0.000145657    -0.000163646
     -1.0002e-05    -8.74283e-06
    -0.000202625    -0.000187567
     -1.4281e-05    -1.39662e-05
      -9.959e-06    -7.37287e-06
     -2.2509e-05    -1.59946e-05
     -1.4313e-05    -1.19054e-05
     -9.2221e-05    -0.000118559
      -4.874e-06    -3.97297e-06
     -2.3884e-05    -1.92722e-05
    -0.000405308    -0.000367777
     -1.2015e-05    -8.95442e-06
      -7.753e-06    -7.19359e-06
       -9.99e-06    -8.10608e-06
      -6.312e-06    -5.86719e-06
     -7.8707e-05    -9.22282e-05
     -2.6872e-05     -2.1556e-05
    -0.000524032    -0.000500082
      -7.589e-05    -9.46245e-05
     -1.2632e-05     -1.3987e-05
     -4.8554e-05    -4.32331e-05
      -5.337e-05    -5.60513e-05
    -0.000236331    -0.000281929
     -6.1081e-05    -4.70399e-05
    -0.000654541    -0.000554399
      -4.704e-05    -4.14915e-05
      -2.837e-05    -2.15172e-05
     -2.0569e-05    -1.50293e-05
     -5.3382e-05    -4.63608e-05
    -0.000334984    -0.000304582
     -1.3339e-05    -1.51281e-05
     -3.9121e-05    -4.87062e-05
    -0.000148768     -0.00013677
    -0.000634471    -0.000628402
     -5.0413e-05    -5.72211e-05
    -0.000219403     -0.00022689
    -0.000156019    -0.000175179
    -0.000204024    -0.000219311
     -3.9513e-05    -6.21933e-05
    -0.000159074    -0.000193532
    -0.000287279    -0.000260338
     -3.7995e-05    -2.92745e-05
    -0.000100578    -0.000152543
     -4.6498e-05    -7.29428e-05
     -5.8007e-05    -5.69855e-05
     -1.1647e-05    -9.96298e-06
     -1.4584e-05    -1.35478e-05
          -3e-05    -2.91307e-05
     -7.6657e-05    -7.87376e-05
      -5.189e-06     -4.8329e-06
     -3.2774e-05    -3.35369e-05
     -2.1928e-05    -1.86318e-05
     -8.0894e-05    -9.16004e-05
     -7.2427e-05    -8.58381e-05
     -1.6614e-05    -1.34911e-05
     -1.1799e-05    -9.36402e-06
      -9.305e-06    -6.53326e-06
     -2.0688e-05    -1.61178e-05
     -1.7156e-05    -2.11491e-05
     -1.0496e-05     -1.4168e-05
     -3.7206e-05     -3.6275e-05
     -6.5855e-05    -7.02768e-05
     -1.9883e-05    -2.22363e-05
    -0.000290281    -0.000282044
      -9.871e-05    -0.000103393
      -7.033e-06    -7.25046e-06
          -7e-06    -7.70203e-06
     -6.1785e-05    -5.94592e-05
    -0.000112273    -9.75761e-05
      -5.769e-06    -5.86823e-06
     -1.6566e-05    -1.49686e-05
       -1.82e-05    -1.97609e-05
    -0.000150101    -0.000146142
     -2.9121e-05    -2.84146e-05
    -0.000770271    -0.000799462
    -0.000184071    -0.000168313
     -1.3922e-05    -1.51115e-05
    -0.000144433     -0.00012476
     -1.8176e-05    -1.48147e-05
      -8.068e-06    -6.51243e-06
     -2.8983e-05    -3.18501e-05
     -9.1938e-05    -0.000141297
     -0.00012466    -0.000182062
    -0.000343888    -0.000337187
     -5.2335e-05    -5.01749e-05
     -1.7482e-05    -1.50386e-05
      -4.035e-05    -4.16169e-05
    -0.000164946    -0.000167496
    -0.000102222    -0.000106709
     -6.3561e-05     -5.5693e-05
     -4.1975e-05    -3.76151e-05
    -0.000132242     -0.00013058
     -4.7633e-05    -6.77385e-05
      -9.142e-06    -8.75609e-06
     -0.00016643    -0.000269473
      -9.479e-06     -8.0616e-06
     -1.3953e-05    -2.04561e-05
      -9.611e-06    -7.59624e-06
     -3.4084e-05    -3.11058e-05
     -4.6849e-05    -6.86285e-05
     -1.3167e-05    -1.05814e-05
      -1.944e-05     -1.3832e-05
     -1.7118e-05    -1.19347e-05
     -3.0567e-05    -3.21795e-05
     -8.0072e-05    -8.53031e-05
     -4.3612e-05    -3.95293e-05
      -2.645e-05    -1.93815e-05
    -0.000413549    -0.000364402
    -0.000297425    -0.000306692
    -0.000370364    -0.000341252
    -0.000143971    -0.000175379
     -6.6701e-05     -5.6129e-05
     -2.7597e-05    -1.93278e-05
     -3.6847e-05    -3.10443e-05
      -7.823e-06    -5.44129e-06
    -0.000378157    -0.000353788
     -3.9213e-05    -3.52274e-05
     -2.3536e-05    -3.00975e-05
     -1.0751e-05    -9.41732e-06
      -3.093e-05    -4.97726e-05
     -5.5466e-05    -5.63608e-05
     -9.8853e-05    -0.000151853
     -3.2581e-05      -4.615e-05
     -2.9972e-05     -2.8595e-05
     -5.7793e-05    -4.69761e-05
     -6.8249e-05    -7.60315e-05
    -0.000270764    -0.000374458
      -9.673e-06     -1.0374e-05
     -1.6548e-05      -1.683e-05
     -8.5866e-05    -0.000105298
    -0.000686983    -0.000591423
     -2.0077e-05    -2.66013e-05
     -0.00011306    -0.000100979
       -5.18e-05    -5.32228e-05
    -0.000961857    -0.000804065
      -8.249e-06    -8.82123e-06
      -8.902e-06    -9.92921e-06
     -2.8759e-05     -2.3592e-05
     -1.5386e-05    -1.05533e-05
      -9.186e-06    -7.49721e-06
      -7.959e-06    -6.01388e-06
     -2.0922e-05    -1.83377e-05
    -0.000116357    -0.000114536
     -2.7581e-05    -2.15999e-05
      -2.874e-05    -2.01996e-05
     -2.8041e-05    -2.52162e-05
     -3.5639e-05    -4.10524e-05
    -0.000109434    -9.13824e-05
      -5.464e-06    -5.01089e-06
     -0.00023402    -0.000223099
     -0.00014716    -0.000169419
     -1.3788e-05    -1.24978e-05
     -6.9593e-05    -6.05933e-05
     -3.0501e-05    -3.05693e-05
