QM Energy	FF Energy
     -1.5085e-05    -2.21714e-05
    -0.000646115    -0.000507965
      -9.009e-06    -1.25786e-05
     -1.4734e-05    -1.76703e-05
    -0.000236158     -0.00019947
     -1.1859e-05    -1.58507e-05
     -2.4433e-05    -3.22302e-05
     -2.7387e-05    -3.64492e-05
    -0.000116019    -0.000118022
     -3.2517e-05    -5.71273e-05
     -1.1368e-05    -2.21367e-05
     -2.6975e-05    -4.05595e-05
     -0.00025996    -0.000274411
     -1.1688e-05    -1.79016e-05
       -4.77e-06    -6.64297e-06
     -9.8532e-05    -9.78806e-05
    -0.000229996    -0.000206083
      -5.979e-05    -8.32014e-05
    -0.000296796    -0.000239265
     -3.5544e-05    -6.52394e-05
     -1.5613e-05    -1.44224e-05
    -0.000236341    -0.000207355
    -0.000102265    -0.000113819
    -0.000348336    -0.000325532
     -2.6975e-05    -3.13789e-05
      -9.194e-06    -1.22589e-05
      -6.925e-06    -1.03008e-05
    -0.000392246     -0.00032703
     -0.00044461    -0.000375079
      -5.325e-06    -8.45928e-06
     -7.5451e-05    -0.000100056
    -0.000539507    -0.000466745
    -0.000308419     -0.00032356
     -4.7164e-05    -5.43361e-05
    -0.000299387    -0.000344298
     -1.9061e-05    -2.12736e-05
      -8.432e-06    -1.11504e-05
     -2.7097e-05    -2.95931e-05
      -5.404e-06     -1.3274e-05
    -0.000415422    -0.000322921
    -0.000353816    -0.000301222
     -1.5782e-05    -3.05175e-05
    -0.000119549    -0.000134319
     -9.4621e-05    -0.000100425
      -4.861e-06    -5.95176e-06
    -0.000315161    -0.000264264
      -1.244e-05    -1.97635e-05
    -0.000401294    -0.000332957
    -0.000173456    -0.000187058
    -0.000220609    -0.000229512
    -0.000185823    -0.000202946
    -0.000520506    -0.000476093
     -1.1719e-05    -1.85225e-05
    -0.000180447     -0.00023914
    -0.000430877    -0.000441693
    -0.000674042    -0.000667941
    -0.000280051    -0.000248742
     -6.1725e-05    -6.30018e-05
       -9.89e-06    -1.08981e-05
    -0.000112304     -0.00012781
     -8.4657e-05    -8.74328e-05
     -4.6069e-05    -5.27732e-05
     -3.0003e-05     -3.6628e-05
      -0.0001162    -0.000147058
     -3.4944e-05    -4.63201e-05
    -0.000617622    -0.000525844
    -0.000507773    -0.000443259
    -0.000198104    -0.000255085
     -5.8913e-05    -5.86162e-05
    -0.000179906    -0.000193705
    -0.000150184    -0.000157369
    -0.000737035    -0.000517957
     -2.1757e-05      -2.298e-05
      -7.734e-05    -7.68255e-05
      -4.313e-05    -4.77335e-05
    -0.000886347    -0.000653022
     -6.8277e-05    -6.17804e-05
      -5.855e-06    -1.09574e-05
     -1.7721e-05    -2.14381e-05
     -1.5585e-05    -2.27573e-05
    -0.000298993    -0.000291506
     -8.3348e-05    -0.000102945
    -0.000100903    -0.000100441
     -1.3191e-05    -1.50566e-05
     -4.3056e-05    -5.04715e-05
     -9.7196e-05    -0.000105912
     -1.2486e-05    -3.37155e-05
     -3.9245e-05     -4.8791e-05
     -2.2032e-05    -2.95392e-05
    -0.000145693    -0.000158785
     -6.6394e-05    -6.50812e-05
     -1.0637e-05    -1.22837e-05
     -1.0799e-05    -2.81748e-05
     -6.5166e-05    -8.99358e-05
     -6.2205e-05    -0.000108407
     -5.7876e-05    -6.37285e-05
    -0.000147901    -0.000137285
      -7.326e-06    -1.10188e-05
     -7.7193e-05    -8.77396e-05
    -0.000184331    -0.000196679
     -1.5448e-05    -2.07934e-05
       -9.44e-06    -1.21799e-05
     -6.5155e-05    -0.000116612
     -1.7385e-05    -2.08638e-05
     -3.0575e-05    -3.06372e-05
     -1.5345e-05    -1.52926e-05
      -7.785e-06    -8.95648e-06
    -0.000175484     -0.00018234
    -0.000158746    -0.000200596
     -1.6952e-05    -2.15216e-05
      -3.617e-06    -6.77816e-06
     -1.2154e-05    -1.16506e-05
      -7.618e-06    -8.47744e-06
     -2.5696e-05    -2.80195e-05
       -6.56e-06    -1.14559e-05
     -4.3506e-05     -4.3713e-05
     -2.1658e-05    -3.23595e-05
    -0.000148166    -0.000187013
      -1.306e-05    -2.88446e-05
     -5.9413e-05     -7.2483e-05
      -8.179e-06    -1.00013e-05
      -1.601e-05    -1.91269e-05
    -0.000133427    -0.000134216
      -7.094e-06    -1.40884e-05
     -3.7237e-05    -5.39383e-05
    -0.000259207    -0.000336439
     -3.0491e-05    -3.93358e-05
    -0.000333038    -0.000326014
      -2.066e-05    -2.46159e-05
    -0.000108017    -9.87689e-05
     -3.1426e-05    -3.24971e-05
      -3.684e-06    -5.61797e-06
     -2.1457e-05    -2.86536e-05
    -0.000148466    -0.000129068
      -9.806e-06     -1.5192e-05
      -5.291e-06    -9.87534e-06
     -1.4971e-05    -2.14671e-05
    -0.000108096    -0.000149422
      -3.615e-05    -3.75679e-05
     -3.8193e-05    -5.98233e-05
     -3.7843e-05    -4.57991e-05
     -3.4932e-05    -4.82524e-05
      -3.792e-05    -4.47702e-05
     -1.3599e-05    -1.59953e-05
    -0.000204082    -0.000204728
     -1.1272e-05     -1.6478e-05
     -1.4566e-05    -1.84683e-05
      -5.391e-06    -8.17193e-06
     -1.3084e-05    -1.81379e-05
     -3.4783e-05    -4.27087e-05
     -1.3288e-05    -1.68202e-05
     -7.2357e-05     -8.8923e-05
    -0.000365101    -0.000379867
     -1.4724e-05    -2.07938e-05
    -0.000172628    -0.000206544
     -2.8782e-05    -4.58127e-05
      -4.647e-06    -7.56736e-06
    -0.000104003    -0.000102276
     -1.8231e-05    -3.00564e-05
     -9.6981e-05    -0.000117568
      -5.445e-06    -8.78645e-06
     -2.4653e-05    -2.53581e-05
