QM Energy	FF Energy
     -2.5975e-05    -3.46655e-05
     -0.00146537     -0.00136404
      -1.439e-05    -2.00448e-05
    -0.000793975    -0.000806045
     -3.9407e-05    -5.19948e-05
    -0.000282127    -0.000303426
     -5.5284e-05    -6.74516e-05
     -2.4928e-05    -3.11711e-05
     -0.00134514     -0.00134933
     -0.00107918     -0.00101342
      -6.541e-06    -9.38589e-06
    -0.000109078    -0.000116232
    -0.000106702    -0.000125207
      -8.757e-06    -1.20462e-05
        -9.2e-06    -1.28072e-05
     -2.1866e-05    -2.98008e-05
     -1.4111e-05     -1.9993e-05
    -0.000562266    -0.000608303
      -1.251e-05    -1.76328e-05
     -8.0114e-05    -9.72976e-05
     -1.5631e-05    -2.17249e-05
    -0.000283482    -0.000313049
    -0.000295151    -0.000318462
     -7.8844e-05    -9.71306e-05
     -4.1935e-05    -5.33433e-05
     -4.2608e-05    -5.29924e-05
     -1.6361e-05    -2.16916e-05
    -0.000591481    -0.000607733
     -0.00116268     -0.00115403
    -0.000247426    -0.000263942
    -0.000151804    -0.000172425
     -2.8615e-05    -3.80463e-05
     -5.3837e-05    -6.45812e-05
    -0.000424951    -0.000432129
     -1.4549e-05    -1.98988e-05
     -1.0391e-05    -1.37132e-05
     -2.0044e-05    -2.51387e-05
     -6.1859e-05    -7.69774e-05
     -1.2812e-05    -1.69672e-05
      -0.0012687     -0.00142097
    -0.000561451    -0.000542929
     -2.4603e-05    -2.98527e-05
     -5.8601e-05    -6.84569e-05
     -4.7879e-05    -5.53187e-05
    -0.000280493    -0.000289091
    -0.000315783    -0.000333659
    -0.000616291    -0.000623695
    -0.000702432    -0.000668053
    -0.000125342    -0.000146428
    -0.000235063    -0.000260416
     -0.00038898    -0.000415016
     -1.2427e-05    -1.67607e-05
     -7.5507e-05    -8.86741e-05
      -3.135e-05    -4.03344e-05
     -9.4476e-05     -0.00010636
    -0.000939616     -0.00100966
     -7.1073e-05    -8.64312e-05
     -1.5222e-05    -2.14589e-05
    -0.000648552     -0.00063034
    -0.000708653    -0.000704417
    -0.000391641    -0.000403138
     -3.8427e-05     -4.8185e-05
     -3.9738e-05    -5.09788e-05
    -0.000130637    -0.000134663
     -5.2225e-05    -6.62268e-05
    -0.000308137    -0.000316402
     -3.1004e-05     -4.0167e-05
    -0.000144761    -0.000162345
     -8.4512e-05    -0.000103655
    -0.000157526    -0.000180306
     -4.4006e-05    -5.66643e-05
     -0.00043722    -0.000447816
      -1.353e-05    -1.90678e-05
    -0.000717133    -0.000698107
    -0.000109827    -0.000131933
    -0.000269026    -0.000277597
      -8.664e-06    -1.19463e-05
     -1.6924e-05    -2.25648e-05
    -0.000328128    -0.000322889
     -8.8215e-05    -0.000106186
    -0.000272119     -0.00029377
     -8.7864e-05    -0.000107135
     -1.1845e-05    -1.64755e-05
     -8.5937e-05    -9.80148e-05
     -0.00041105    -0.000426719
     -6.9223e-05      -8.567e-05
     -3.5935e-05     -4.6855e-05
     -0.00103378     -0.00102763
     -3.9271e-05    -4.97637e-05
     -0.00074385    -0.000705856
    -0.000757526    -0.000754643
     -3.3213e-05    -4.20951e-05
      -3.758e-05    -4.84326e-05
    -0.000466131    -0.000485735
    -0.000370852    -0.000387637
    -0.000115419    -0.000139424
    -0.000195651    -0.000213082
     -4.4333e-05    -5.63293e-05
     -4.2036e-05     -5.1436e-05
    -0.000576255    -0.000605671
    -0.000376354    -0.000406575
    -0.000836544    -0.000781629
      -7.222e-06    -1.01632e-05
    -0.000289311    -0.000311824
     -3.2869e-05    -4.35111e-05
    -0.000889314    -0.000834628
     -1.0734e-05    -1.42583e-05
     -1.4527e-05    -1.98352e-05
    -0.000159982    -0.000182893
    -0.000100388    -0.000119165
     -2.0024e-05    -2.74756e-05
    -0.000913739    -0.000923647
    -0.000178953    -0.000201845
    -0.000564259    -0.000583538
    -0.000119495    -0.000129845
    -0.000333198    -0.000354004
    -0.000473563    -0.000461066
    -0.000801136    -0.000797219
     -3.1583e-05     -4.1379e-05
      -5.681e-06     -7.8948e-06
     -7.4747e-05    -8.36824e-05
     -1.6772e-05    -2.29729e-05
     -5.2031e-05    -6.23645e-05
     -5.8071e-05    -7.05383e-05
    -0.000190911    -0.000211905
    -0.000115801    -0.000139038
     -1.5923e-05    -2.04705e-05
    -0.000262755    -0.000298894
     -0.00125104     -0.00129243
    -0.000358227    -0.000364733
