QM Energy	FF Energy
    -0.000151134    -0.000153321
     -0.00774815     -0.00822706
    -0.000109292    -0.000110778
     -0.00342726     -0.00337798
     -2.6636e-05    -2.40905e-05
     -0.00107676     -0.00116597
    -0.000321403    -0.000350694
    -0.000143339    -0.000141768
     -0.00739298     -0.00719476
      -0.0043895     -0.00482147
     -2.9841e-05    -1.38253e-05
    -0.000630123    -0.000695946
    -0.000435052      -0.0004142
      -6.144e-05    -7.27628e-05
      -3.677e-05    -5.86024e-06
     -3.7409e-05    -2.53156e-05
           7e-06     1.38518e-05
     -0.00245991     -0.00226856
     -8.6712e-05    -8.87216e-05
    -0.000215386    -0.000204107
     -4.9239e-05    -4.49733e-05
    -0.000734855    -0.000783441
     -0.00122428      -0.0012829
    -0.000515233     -0.00055282
    -0.000237947    -0.000239179
    -0.000257279    -0.000309818
      -9.298e-05    -0.000102881
     -0.00208755     -0.00211582
     -0.00664034     -0.00633379
     -0.00152332     -0.00149421
    -0.000695155     -0.00065819
     -7.4303e-05    -7.22031e-05
    -0.000282205     -0.00031147
     -0.00178932     -0.00174704
     -8.4021e-05    -0.000100012
     -8.4311e-05      -0.0001172
    -0.000109747    -8.11306e-05
     -0.00027741    -0.000294772
     -9.8313e-05    -0.000129392
      -0.0085745     -0.00796914
     -0.00298469     -0.00307947
    -0.000141332    -0.000107311
    -0.000304893    -0.000289662
    -0.000305203    -0.000370911
     -0.00142428     -0.00153097
      -0.0013818     -0.00138488
     -0.00277827      -0.0026811
     -0.00445691     -0.00440302
    -0.000538947    -0.000564814
     -0.00125508     -0.00123858
     -0.00174339     -0.00172289
     -5.7629e-05    -4.96324e-05
    -0.000429192    -0.000479443
    -0.000121327    -0.000104096
    -0.000511671    -0.000541101
     -0.00579855      -0.0054319
    -0.000228355     -0.00020358
       3.374e-06     9.69742e-06
      -0.0033728     -0.00350484
     -0.00362919     -0.00368371
     -0.00193497     -0.00209376
    -0.000225547    -0.000241845
    -0.000188215    -0.000192135
    -0.000750324     -0.00092361
    -0.000195706    -0.000210804
     -0.00153996     -0.00158087
     -0.00013983    -0.000127874
    -0.000695386    -0.000686157
    -0.000269048    -0.000272357
    -0.000532971     -0.00054952
    -0.000143743    -0.000154748
     -0.00231025     -0.00231793
     -1.2102e-05    -6.25907e-06
     -0.00253911      -0.0028324
