QM Energy	FF Energy
     -1.2241e-05     -1.4795e-05
    -0.000720213    -0.000595427
      -6.374e-06    -8.53451e-06
    -0.000347521    -0.000320909
     -2.4085e-05    -2.62962e-05
     -0.00012452    -0.000126659
     -2.1719e-05    -2.92613e-05
       -6.75e-06    -1.42725e-05
     -0.00057081    -0.000573005
    -0.000529671    -0.000440838
      -2.071e-06    -4.49422e-06
     -2.3677e-05    -5.34236e-05
     -3.3536e-05    -5.22865e-05
      -4.302e-06    -6.31841e-06
       -2.71e-06    -5.99473e-06
     -1.0524e-05    -1.32813e-05
      -9.532e-06    -1.08841e-05
    -0.000177015    -0.000236609
       -4.93e-06     -7.6055e-06
     -3.3677e-05    -4.20111e-05
      -8.627e-06    -1.02063e-05
    -0.000144169    -0.000140792
    -0.000129342    -0.000132808
     -1.6713e-05    -3.72693e-05
      -1.443e-05    -2.24401e-05
     -1.7017e-05    -2.25086e-05
      -5.783e-06    -9.52662e-06
    -0.000266087    -0.000252506
    -0.000508771    -0.000465711
     -4.7689e-05    -0.000104395
     -3.5958e-05    -6.77565e-05
     -1.5566e-05    -1.78143e-05
     -1.6923e-05     -2.8568e-05
    -0.000138798    -0.000176859
      -6.852e-06    -8.90204e-06
      -4.191e-06    -7.69043e-06
      -4.729e-06    -1.22071e-05
     -2.7749e-05    -3.21817e-05
      -4.301e-06     -8.5943e-06
    -0.000609021    -0.000543247
    -0.000161794    -0.000225657
      -5.378e-06    -1.47484e-05
     -1.2807e-05    -2.96186e-05
     -1.2648e-05    -2.68375e-05
     -8.4378e-05    -0.000121014
     -9.9734e-05    -0.000137775
    -0.000206705    -0.000254706
    -0.000161483    -0.000289371
     -5.5289e-05    -6.04993e-05
     -6.9824e-05    -9.99174e-05
    -0.000135953    -0.000169169
      -4.375e-06    -7.87085e-06
     -2.3903e-05    -3.80743e-05
     -1.2798e-05    -1.79522e-05
     -2.1654e-05    -4.60283e-05
    -0.000316105    -0.000386881
     -2.5722e-05    -3.69821e-05
     -1.0182e-05    -1.15778e-05
    -0.000201789     -0.00027114
    -0.000251261    -0.000289551
    -0.000143931    -0.000163137
     -1.3532e-05    -2.02446e-05
     -1.6695e-05    -2.21006e-05
     -3.8759e-05    -6.46677e-05
     -2.5544e-05    -2.88695e-05
       -9.44e-05    -0.000128496
      -9.282e-06     -1.7097e-05
     -4.6551e-05    -6.62084e-05
      -4.254e-05    -4.57854e-05
     -7.1767e-05     -7.8466e-05
     -2.3046e-05    -2.57281e-05
    -0.000118208    -0.000182411
       -8.06e-06    -9.50706e-06
    -0.000343207    -0.000303388
     -5.1234e-05    -5.81838e-05
     -6.6572e-05    -0.000118007
        -3.8e-06    -6.03485e-06
      -5.964e-06    -1.03922e-05
      -8.575e-05    -0.000142203
     -3.9319e-05    -4.51974e-05
     -9.6344e-05    -0.000117328
     -4.3159e-05    -4.73103e-05
      -4.958e-06    -7.45581e-06
     -2.1533e-05    -4.15611e-05
    -0.000142385      -0.0001715
     -2.1033e-05    -3.44633e-05
     -1.0134e-05    -1.88423e-05
     -0.00049633    -0.000405648
     -1.1879e-05     -2.0415e-05
    -0.000200283    -0.000304186
     -0.00030967    -0.000298278
     -1.5867e-05    -1.97307e-05
     -1.5846e-05    -2.00033e-05
    -0.000192111    -0.000208438
     -7.0639e-05    -0.000154642
     -3.1406e-05     -5.3611e-05
       -4.94e-05    -8.86908e-05
     -1.9713e-05    -2.42484e-05
     -1.4041e-05    -2.22669e-05
    -0.000192498    -0.000238566
    -0.000207461    -0.000191728
    -0.000226751    -0.000338225
      -3.451e-06    -5.24534e-06
    -0.000116501    -0.000124386
     -1.8627e-05    -2.10177e-05
    -0.000411347     -0.00036197
      -3.102e-06    -7.55736e-06
      -5.724e-06    -8.85067e-06
     -6.3843e-05    -7.64322e-05
     -4.5707e-05    -5.04716e-05
     -1.1175e-05    -1.31719e-05
    -0.000379184    -0.000363992
     -5.6119e-05    -7.76982e-05
    -0.000208456    -0.000227078
     -4.8391e-05    -6.10157e-05
    -0.000105279    -0.000147164
    -0.000166952    -0.000197614
     -0.00025533    -0.000332624
     -1.2812e-05    -1.71302e-05
      -1.998e-06    -4.54445e-06
     -2.5101e-05    -3.94887e-05
      -5.163e-06    -9.67871e-06
     -1.8664e-05    -2.78414e-05
      -2.689e-05    -3.23076e-05
     -7.0742e-05    -8.47819e-05
     -6.1385e-05    -6.39132e-05
       -7.51e-06    -1.11788e-05
     -7.0234e-05    -0.000114412
    -0.000562178    -0.000522074
      -8.684e-05    -0.000149611
    -0.000252165    -0.000230311
      -3.213e-05     -4.5767e-05
    -0.000464687    -0.000393534
     -3.0786e-05    -4.78496e-05
     -1.3307e-05    -1.86758e-05
      -8.435e-06    -1.05388e-05
    -0.000213305    -0.000198499
      -2.793e-05    -3.41222e-05
     -2.8747e-05    -5.98245e-05
      -7.129e-06    -8.79126e-06
     -1.1383e-05     -1.5726e-05
     -1.5008e-05    -2.45675e-05
     -2.6105e-05    -3.96599e-05
    -0.000256118    -0.000278514
     -1.5954e-05    -1.88941e-05
     -4.2309e-05    -7.45666e-05
    -0.000281743    -0.000288634
     -0.00022225     -0.00020269
      -6.065e-05    -0.000114928
    -0.000191233    -0.000210436
      -3.911e-06    -6.55547e-06
      -1.952e-06    -4.32613e-06
    -0.000162186    -0.000216944
    -0.000181774    -0.000260594
      -3.324e-05    -4.67689e-05
      -8.309e-06    -1.96978e-05
    -0.000277756    -0.000258562
    -0.000413352    -0.000355595
      -3.595e-06    -5.97019e-06
    -0.000256072    -0.000318096
     -2.3953e-05    -3.58621e-05
    -0.000147304    -0.000179321
       -6.79e-06    -1.03144e-05
      -1.199e-05    -1.50758e-05
    -0.000182988    -0.000301328
     -2.8425e-05     -4.9873e-05
     -1.4881e-05    -2.95698e-05
     -9.8662e-05    -0.000103566
    -0.000107866    -0.000209382
    -0.000124444    -0.000138324
    -0.000391986    -0.000359417
      -8.995e-06    -1.66633e-05
      -7.751e-06    -1.79219e-05
       -7.94e-06    -1.67207e-05
     -1.9474e-05    -2.28337e-05
     -1.8381e-05    -3.37273e-05
     -1.0322e-05    -1.26515e-05
     -5.5831e-05    -6.38985e-05
     -7.5249e-05    -0.000100108
    -0.000290715    -0.000352778
     -5.3311e-05    -7.87524e-05
      -2.983e-06     -6.9172e-06
      -9.182e-06    -1.10687e-05
      -8.386e-06    -1.17889e-05
      -7.307e-06    -1.36831e-05
     -1.0848e-05    -1.65893e-05
    -0.000114293    -0.000117486
     -3.3302e-05    -9.13408e-05
     -6.3439e-05    -9.45928e-05
     -6.2208e-05    -0.000100854
    -0.000286326    -0.000369208
    -0.000568417    -0.000502865
     -0.00020363    -0.000208425
      -1.108e-05     -2.5045e-05
      -4.925e-05    -6.70843e-05
      -3.697e-06    -7.14649e-06
