QM Energy	FF Energy
       -0.001458     -0.00131207
    -0.000681707    -0.000686146
    -0.000120555    -9.90017e-05
     -0.00184018     -0.00185813
     -0.00435162     -0.00416756
    -0.000784405    -0.000729152
    -0.000170371    -0.000152426
    -0.000695759    -0.000674969
     -0.00151735     -0.00141539
    -0.000597157    -0.000547752
    -0.000309679    -0.000265308
    -0.000124536    -0.000124052
     -0.00318377      -0.0030834
     -0.00118651     -0.00118895
    -0.000155551    -0.000161443
      -0.0024403     -0.00237465
    -0.000180098    -0.000183136
     -0.00671784     -0.00615156
     -0.00113843     -0.00106438
     -0.00671394      -0.0058624
    -0.000176509     -0.00014838
    -0.000688017    -0.000653859
     -0.00297177     -0.00262874
    -0.000106429     -9.8419e-05
     -0.00420859      -0.0043733
     -0.00830799     -0.00887453
    -0.000320298     -0.00028636
     -0.00236787     -0.00204387
     -0.00186554     -0.00162951
     -0.00156993     -0.00167466
     -0.00453087     -0.00463628
    -0.000164092    -0.000131293
     -0.00449055     -0.00408551
     -0.00171369     -0.00168635
     -0.00247865     -0.00224521
    -0.000717782    -0.000664483
    -0.000193245    -0.000198033
     -0.00363137        -0.00324
    -0.000107336    -9.23022e-05
     -0.00649362     -0.00599857
     -0.00196232     -0.00179811
    -0.000245514    -0.000192398
    -0.000284587    -0.000270442
    -0.000213528    -0.000198325
    -0.000442271    -0.000409004
     -0.00236679     -0.00227517
    -0.000992407    -0.000853218
    -0.000454025    -0.000379069
    -0.000363142    -0.000299241
    -0.000167712    -0.000147735
     -0.00812123     -0.00746204
     -9.8712e-05    -8.17118e-05
     -0.00460653     -0.00420731
     -0.00320923        -0.00309
    -0.000400145    -0.000362637
      -0.0116825      -0.0106474
     -0.00162287     -0.00146223
    -0.000258244    -0.000248077
     -0.00058792    -0.000553599
    -0.000764566     -0.00081728
      -0.0034861     -0.00324147
    -0.000129311    -0.000116306
     -0.00280155     -0.00246449
    -0.000212002    -0.000177288
      -0.0047717     -0.00453981
    -0.000225173     -0.00017873
    -0.000167114    -0.000128374
     -0.00714284     -0.00725962
    -0.000107263    -0.000104209
    -0.000116636    -8.63266e-05
    -0.000510045    -0.000475182
    -0.000208963    -0.000178755
     -0.00156164     -0.00136315
     -0.00322085     -0.00340946
    -0.000399659    -0.000355338
    -0.000289953    -0.000250191
    -0.000590645    -0.000506526
      -0.0047587     -0.00480025
     -0.00486881     -0.00431856
    -0.000201261    -0.000146972
    -0.000363457    -0.000299707
    -0.000348685    -0.000271344
    -0.000891927    -0.000905611
    -0.000655655    -0.000605229
     -0.00248717     -0.00259995
     -0.00667673     -0.00716647
    -0.000319774    -0.000272203
    -0.000365858    -0.000322834
     -0.00170753     -0.00171629
    -0.000315778    -0.000255471
     -0.00100079    -0.000998046
     -0.00454027     -0.00486016
    -0.000374266    -0.000350267
    -0.000721108    -0.000612785
     -0.00304259     -0.00312084
     -0.00394918     -0.00358672
    -0.000260854    -0.000258363
    -0.000260376    -0.000208588
    -0.000709947    -0.000652456
    -0.000327925    -0.000286854
     -0.00153886     -0.00142914
     -0.00025059    -0.000208413
     -0.00553418     -0.00531905
    -0.000112313    -9.42444e-05
     -0.00367394     -0.00366598
     -0.00119207     -0.00113102
     -0.00247956     -0.00253795
    -0.000142754    -0.000115183
    -0.000168982    -0.000152939
     -0.00199526     -0.00189758
       -0.001967     -0.00175216
     -0.00233592     -0.00222657
     -0.00476809      -0.0048197
    -0.000130396    -0.000129851
     -0.00135058     -0.00116164
     -0.00126659     -0.00124619
     -9.5034e-05    -9.57643e-05
    -0.000882292    -0.000753523
     -0.00151816     -0.00143485
     -0.00400327     -0.00345708
    -0.000447142    -0.000434472
     -0.00178898     -0.00182418
     -0.00019857     -0.00015567
    -0.000576892    -0.000483963
      -0.0023305     -0.00206334
     -0.00157001     -0.00155843
    -0.000247678    -0.000241279
     -0.00014347    -0.000115843
    -0.000455806    -0.000449515
     -0.00042702    -0.000391736
    -0.000186912    -0.000158049
     -0.00117741     -0.00109554
     -0.00123735     -0.00109711
     -0.00199964     -0.00193409
      -0.0013916     -0.00135298
    -0.000978026    -0.000901154
     -6.8499e-05    -5.34699e-05
    -0.000781399    -0.000689703
    -0.000364476    -0.000312468
    -0.000627237    -0.000556209
    -0.000282868    -0.000276649
    -0.000258947    -0.000277592
     -0.00489199      -0.0044705
    -0.000264579    -0.000253019
    -0.000126792    -0.000101598
     -0.00538576     -0.00532335
     -7.3605e-05    -5.86359e-05
    -0.000112314    -8.80956e-05
     -0.00309953     -0.00298449
     -0.00618536     -0.00602774
      -0.0138375      -0.0142144
