QM Energy	FF Energy
     -6.2501e-05    -0.000103629
     -4.9051e-05    -6.03633e-05
      -9.744e-06     -1.0418e-05
    -0.000123464    -0.000160182
    -0.000422217    -0.000388355
     -4.2046e-05    -6.40242e-05
      -8.505e-06    -1.25837e-05
     -3.3399e-05    -5.32938e-05
     -9.6457e-05    -0.000118493
     -2.5926e-05    -4.51887e-05
     -2.4393e-05    -2.86468e-05
      -5.735e-06    -9.35027e-06
    -0.000217101    -0.000248809
      -8.428e-05    -0.000101832
      -9.096e-06    -1.36991e-05
    -0.000325759    -0.000273905
     -1.4831e-05    -1.93486e-05
    -0.000321142    -0.000446184
    -0.000146971    -0.000139485
    -0.000258377    -0.000443453
      -2.175e-05    -2.17217e-05
     -3.4336e-05    -5.28916e-05
    -0.000285104    -0.000265178
      -7.349e-06    -1.11749e-05
    -0.000454049    -0.000395411
    -0.000659796    -0.000588832
     -1.9126e-05    -2.73903e-05
    -0.000129354    -0.000193203
    -0.000104252    -0.000138464
    -0.000102239    -0.000126522
    -0.000321467    -0.000335423
     -2.7715e-05    -2.58268e-05
     -0.00038241    -0.000349598
    -0.000110855      -0.0001374
    -0.000225579    -0.000241543
     -2.8322e-05    -5.83221e-05
     -1.4161e-05    -1.80625e-05
     -0.00030148    -0.000292377
      -4.596e-06     -6.7748e-06
    -0.000278293    -0.000404802
    -0.000232981    -0.000231415
     -1.0078e-05    -1.58747e-05
     -1.1696e-05    -2.44708e-05
     -1.4777e-05    -1.82663e-05
     -2.4675e-05    -3.71052e-05
    -0.000381346    -0.000311742
     -4.0445e-05     -7.3939e-05
     -2.5855e-05     -3.3729e-05
     -3.3531e-05    -3.60784e-05
     -1.4851e-05    -1.87541e-05
    -0.000461865     -0.00051614
      -1.171e-05    -1.22642e-05
    -0.000317115    -0.000352783
    -0.000169036    -0.000233634
     -4.3155e-05    -4.63604e-05
      -0.0007236    -0.000772428
     -9.3553e-05    -0.000128813
     -1.4538e-05    -2.16852e-05
      -9.483e-05    -8.74228e-05
     -5.0065e-05    -6.71248e-05
    -0.000228217    -0.000259145
      -9.423e-06    -1.12042e-05
     -0.00020071    -0.000223984
      -9.974e-06       -1.81e-05
    -0.000297566    -0.000362366
     -2.6253e-05    -2.62519e-05
     -1.8836e-05    -1.93433e-05
    -0.000587555     -0.00049588
      -6.251e-06    -8.94671e-06
      -9.885e-06    -1.34543e-05
     -7.5778e-05    -7.18226e-05
     -2.4589e-05    -2.57166e-05
     -9.2351e-05    -0.000131891
    -0.000218285    -0.000255405
     -2.6542e-05     -3.5184e-05
     -1.7146e-05    -2.18587e-05
     -2.7019e-05    -4.45992e-05
    -0.000612995    -0.000537447
    -0.000238751    -0.000382798
      -7.292e-06    -1.81147e-05
     -1.4753e-05    -2.68454e-05
     -2.9976e-05     -3.5483e-05
     -6.8786e-05    -8.77267e-05
     -3.2831e-05    -5.20444e-05
    -0.000103681        -0.00017
    -0.000678311    -0.000654074
     -2.9888e-05    -3.31231e-05
     -2.6143e-05    -3.27976e-05
    -0.000214075    -0.000213855
      -2.786e-05    -3.43951e-05
     -6.5098e-05    -8.61904e-05
    -0.000425906    -0.000376519
     -2.1497e-05    -2.97729e-05
     -7.9932e-05    -8.07809e-05
    -0.000212809    -0.000258613
    -0.000423492    -0.000379523
     -1.6923e-05    -2.39853e-05
     -1.1537e-05    -1.78531e-05
     -4.3954e-05    -5.75913e-05
     -1.8624e-05    -2.48897e-05
    -0.000169036    -0.000165494
     -1.4154e-05    -1.97161e-05
    -0.000293349    -0.000359268
     -1.9537e-05     -1.8706e-05
    -0.000193997    -0.000254934
    -0.000190832    -0.000169347
    -0.000122499    -0.000182017
      -8.031e-06    -1.31596e-05
     -1.6757e-05    -2.02042e-05
     -5.1434e-05    -0.000130904
    -0.000166334    -0.000190486
    -0.000232888    -0.000230603
    -0.000367478    -0.000347305
       -9.59e-06      -1.171e-05
    -0.000142242    -0.000154254
     -7.5949e-05    -0.000100372
      -6.347e-06    -9.69252e-06
     -8.3116e-05    -9.80611e-05
     -7.9651e-05    -0.000117442
    -0.000264634    -0.000293736
    -0.000101538    -8.77706e-05
    -0.000183573    -0.000187232
       -9.82e-06    -1.34293e-05
     -2.9719e-05    -4.56729e-05
     -9.7127e-05    -0.000163761
    -0.000226208    -0.000196559
     -2.1003e-05    -2.47259e-05
       -7.77e-06    -1.00946e-05
     -2.4359e-05    -3.78572e-05
     -1.9624e-05    -3.15763e-05
     -2.5571e-05    -2.65292e-05
     -4.4032e-05    -8.45457e-05
     -7.3746e-05    -9.47943e-05
      -9.867e-05    -0.000147838
    -0.000264415    -0.000219771
     -4.3823e-05    -7.25793e-05
      -4.608e-06    -7.37792e-06
     -8.6852e-05    -9.07402e-05
     -1.7839e-05    -2.58632e-05
     -9.2559e-05    -8.83873e-05
       -9.63e-06    -1.97189e-05
     -1.5608e-05    -2.20289e-05
    -0.000307438     -0.00037906
     -1.6059e-05    -2.30603e-05
      -7.048e-06    -1.00037e-05
    -0.000230512    -0.000349858
       -4.78e-06    -7.65544e-06
     -1.7385e-05     -1.6102e-05
    -0.000227405    -0.000262604
    -0.000326754    -0.000394311
