QM Energy	FF Energy
    -0.000783513    -0.000811883
     -0.00756382     -0.00906327
    -0.000665496    -0.000672673
     -0.00464979     -0.00575015
    -0.000767183    -0.000814757
     -0.00231986     -0.00278563
     -0.00125623     -0.00133991
     -0.00110324     -0.00113502
     -0.00816018     -0.00966315
     -0.00527211     -0.00657222
    -0.000638598    -0.000645003
      -0.0022144     -0.00235818
     -0.00189466     -0.00206016
    -0.000569338      -0.0005748
    -0.000745778    -0.000756574
    -0.000734953    -0.000752707
    -0.000482026     -0.00047858
     -0.00454092     -0.00535782
    -0.000691487    -0.000695664
     -0.00138666       -0.001517
    -0.000562009    -0.000568373
     -0.00213895     -0.00261609
     -0.00251949     -0.00300758
     -0.00183508     -0.00195813
     -0.00119191     -0.00124809
     -0.00104479     -0.00111129
    -0.000788974    -0.000808052
     -0.00360328     -0.00447105
     -0.00737608     -0.00865042
     -0.00340757     -0.00374463
     -0.00246377     -0.00267911
    -0.000725717    -0.000757742
     -0.00140126     -0.00147543
     -0.00374433      -0.0043281
    -0.000616671    -0.000627698
     -0.00069757    -0.000709663
     -0.00110271     -0.00113008
     -0.00112029     -0.00122093
    -0.000781468    -0.000795413
     -0.00861057       -0.010116
     -0.00471871     -0.00540836
     -0.00123848     -0.00127213
     -0.00168469     -0.00176142
     -0.00143668     -0.00150365
     -0.00305654     -0.00346462
     -0.00322952     -0.00368635
     -0.00479507     -0.00559168
     -0.00660758     -0.00730456
     -0.00156305     -0.00177948
      -0.0027935     -0.00316948
      -0.0034516     -0.00403987
    -0.000757375    -0.000770604
     -0.00159039     -0.00170442
    -0.000974897      -0.0010185
     -0.00202857     -0.00215429
      -0.0070202     -0.00820365
      -0.0014701     -0.00158194
    -0.000498037    -0.000496707
     -0.00505567     -0.00587453
     -0.00496751     -0.00591629
     -0.00328718      -0.0038851
     -0.00110523     -0.00116321
       -0.001053     -0.00110734
     -0.00216017      -0.0023476
    -0.000981474     -0.00106248
     -0.00318211      -0.0036259
     -0.00112827     -0.00116971
      -0.0021345     -0.00236565
     -0.00119452      -0.0013366
     -0.00178134     -0.00205109
