QM Energy	FF Energy
     -1.2241e-05      -8.742e-06
    -0.000720213    -0.000625344
      -6.374e-06     -4.4332e-06
    -0.000347521    -0.000335292
     -2.4085e-05    -1.91078e-05
     -0.00012452    -0.000116517
     -2.1719e-05    -1.85259e-05
       -6.75e-06    -7.98961e-06
     -0.00057081    -0.000578411
    -0.000529671    -0.000477397
      -2.071e-06    -2.27646e-06
     -2.3677e-05    -3.52192e-05
     -3.3536e-05    -3.72218e-05
      -4.302e-06    -3.67744e-06
       -2.71e-06    -3.06782e-06
     -1.0524e-05    -8.04591e-06
      -9.532e-06    -7.14366e-06
    -0.000177015     -0.00021521
       -4.93e-06    -3.81139e-06
     -3.3677e-05    -3.10186e-05
      -8.627e-06    -6.17548e-06
    -0.000144169    -0.000135379
    -0.000129342    -0.000116322
     -1.6713e-05    -2.20481e-05
      -1.443e-05    -1.31339e-05
     -1.7017e-05    -1.43273e-05
      -5.783e-06    -5.23629e-06
    -0.000266087    -0.000266097
    -0.000508771     -0.00047641
     -4.7689e-05    -7.29444e-05
     -3.5958e-05    -4.60428e-05
     -1.5566e-05    -1.17911e-05
     -1.6923e-05      -1.777e-05
    -0.000138798    -0.000162786
      -6.852e-06    -5.06786e-06
      -4.191e-06    -4.65295e-06
      -4.729e-06    -6.86076e-06
     -2.7749e-05    -2.24399e-05
      -4.301e-06    -4.90038e-06
    -0.000609021    -0.000562751
    -0.000161794    -0.000196566
      -5.378e-06    -8.49762e-06
     -1.2807e-05    -1.77012e-05
     -1.2648e-05       -1.68e-05
     -8.4378e-05    -9.81541e-05
     -9.9734e-05    -0.000115019
    -0.000206705    -0.000246614
    -0.000161483    -0.000233442
     -5.5289e-05    -4.75106e-05
     -6.9824e-05    -7.63003e-05
    -0.000135953    -0.000147155
      -4.375e-06    -4.30009e-06
     -2.3903e-05    -2.45578e-05
     -1.2798e-05    -1.10598e-05
     -2.1654e-05    -2.90883e-05
    -0.000316105    -0.000367907
     -2.5722e-05    -2.57584e-05
     -1.0182e-05    -7.63243e-06
    -0.000201789    -0.000234326
    -0.000251261    -0.000266185
    -0.000143931    -0.000139894
     -1.3532e-05    -1.21864e-05
     -1.6695e-05    -1.36855e-05
     -3.8759e-05    -4.56299e-05
     -2.5544e-05    -2.02257e-05
       -9.44e-05    -0.000105458
      -9.282e-06    -9.80974e-06
     -4.6551e-05    -4.86351e-05
      -4.254e-05    -3.52098e-05
     -7.1767e-05    -6.49373e-05
     -2.3046e-05    -1.79727e-05
    -0.000118208    -0.000149726
       -8.06e-06    -5.88558e-06
    -0.000343207    -0.000324266
     -5.1234e-05    -4.65386e-05
     -6.6572e-05    -8.80848e-05
        -3.8e-06    -3.41463e-06
      -5.964e-06    -5.71705e-06
      -8.575e-05    -0.000109964
     -3.9319e-05    -3.39882e-05
     -9.6344e-05    -9.35138e-05
     -4.3159e-05    -3.57734e-05
      -4.958e-06    -3.93179e-06
     -2.1533e-05    -2.64811e-05
    -0.000142385    -0.000158206
     -2.1033e-05     -2.1515e-05
     -1.0134e-05    -1.00734e-05
     -0.00049633    -0.000430254
     -1.1879e-05    -1.18687e-05
    -0.000200283    -0.000263034
     -0.00030967    -0.000302128
     -1.5867e-05    -1.27705e-05
     -1.5846e-05    -1.21828e-05
    -0.000192111    -0.000210178
     -7.0639e-05    -0.000115764
     -3.1406e-05    -3.52487e-05
       -4.94e-05    -6.55684e-05
     -1.9713e-05    -1.62448e-05
     -1.4041e-05    -1.38353e-05
    -0.000192498    -0.000212042
    -0.000207461    -0.000198322
    -0.000226751    -0.000285831
      -3.451e-06    -2.95352e-06
    -0.000116501    -0.000110263
     -1.8627e-05    -1.44904e-05
    -0.000411347    -0.000361345
      -3.102e-06     -4.3191e-06
      -5.724e-06    -4.90516e-06
     -6.3843e-05    -5.89946e-05
     -4.5707e-05     -3.8817e-05
     -1.1175e-05    -8.37107e-06
    -0.000379184     -0.00036038
     -5.6119e-05    -5.77077e-05
    -0.000208456    -0.000206031
     -4.8391e-05    -4.46944e-05
    -0.000105279    -0.000127915
    -0.000166952    -0.000173747
     -0.00025533    -0.000301072
     -1.2812e-05    -9.74897e-06
      -1.998e-06    -2.64807e-06
     -2.5101e-05    -2.62727e-05
      -5.163e-06    -4.82092e-06
     -1.8664e-05    -1.80988e-05
      -2.689e-05    -2.24753e-05
     -7.0742e-05     -6.5094e-05
     -6.1385e-05    -5.29027e-05
       -7.51e-06    -6.95895e-06
     -7.0234e-05    -8.67899e-05
    -0.000562178    -0.000535786
      -8.684e-05    -0.000117343
    -0.000252165    -0.000232208
      -3.213e-05    -3.18181e-05
    -0.000464687     -0.00043617
     -3.0786e-05    -3.23507e-05
     -1.3307e-05    -1.14384e-05
      -8.435e-06    -6.20594e-06
    -0.000213305    -0.000202833
      -2.793e-05    -2.28305e-05
     -2.8747e-05    -3.86678e-05
      -7.129e-06    -5.05743e-06
     -1.1383e-05     -9.6047e-06
     -1.5008e-05    -1.48281e-05
     -2.6105e-05     -2.4979e-05
    -0.000256118    -0.000257065
     -1.5954e-05    -1.21857e-05
     -4.2309e-05    -5.20023e-05
    -0.000281743    -0.000292456
     -0.00022225    -0.000212119
      -6.065e-05    -8.55986e-05
    -0.000191233    -0.000179517
      -3.911e-06    -3.22852e-06
      -1.952e-06    -2.50165e-06
    -0.000162186    -0.000193417
    -0.000181774    -0.000236282
      -3.324e-05    -3.10557e-05
      -8.309e-06    -1.17814e-05
    -0.000277756    -0.000265548
    -0.000413352     -0.00040514
      -3.595e-06    -3.46716e-06
    -0.000256072    -0.000312484
     -2.3953e-05    -2.38742e-05
    -0.000147304     -0.00015315
       -6.79e-06    -5.86442e-06
      -1.199e-05    -9.13533e-06
    -0.000182988    -0.000249814
     -2.8425e-05    -3.17079e-05
     -1.4881e-05    -1.87835e-05
     -9.8662e-05    -8.78146e-05
    -0.000107866    -0.000162589
    -0.000124444    -0.000118557
    -0.000391986    -0.000359252
      -8.995e-06    -8.74673e-06
      -7.751e-06    -9.82067e-06
       -7.94e-06    -9.27246e-06
     -1.9474e-05    -1.48061e-05
     -1.8381e-05    -2.18365e-05
     -1.0322e-05    -7.90649e-06
     -5.5831e-05    -4.71127e-05
     -7.5249e-05    -7.83533e-05
    -0.000290715    -0.000317224
     -5.3311e-05    -5.79726e-05
      -2.983e-06    -3.56823e-06
      -9.182e-06    -6.40928e-06
      -8.386e-06    -6.88437e-06
      -7.307e-06    -7.68627e-06
     -1.0848e-05    -9.54232e-06
    -0.000114293    -0.000104744
     -3.3302e-05     -6.1831e-05
     -6.3439e-05    -6.91001e-05
     -6.2208e-05    -7.42146e-05
    -0.000286326    -0.000339298
    -0.000568417    -0.000532818
     -0.00020363    -0.000213508
      -1.108e-05    -1.51719e-05
