QM Energy	FF Energy
    -0.000783513    -0.000825343
     -0.00756382     -0.00994619
    -0.000665496    -0.000682676
     -0.00464979      -0.0061089
    -0.000767183    -0.000824683
     -0.00231986     -0.00289333
     -0.00125623     -0.00137812
     -0.00110324     -0.00116602
     -0.00816018      -0.0105694
     -0.00527211     -0.00705556
    -0.000638598    -0.000655186
      -0.0022144     -0.00247321
     -0.00189466     -0.00213618
    -0.000569338    -0.000582997
    -0.000745778    -0.000770659
    -0.000734953    -0.000763464
    -0.000482026    -0.000482255
     -0.00454092     -0.00567688
    -0.000691487    -0.000706632
     -0.00138666     -0.00155647
    -0.000562009    -0.000574397
     -0.00213895     -0.00269646
     -0.00251949     -0.00313617
     -0.00183508     -0.00203322
     -0.00119191     -0.00128097
     -0.00104479     -0.00113768
    -0.000788974    -0.000823298
     -0.00360328     -0.00469272
     -0.00737608     -0.00945822
     -0.00340757     -0.00397623
     -0.00246377     -0.00280015
    -0.000725717    -0.000768037
     -0.00140126      -0.0015226
     -0.00374433     -0.00458333
    -0.000616671     -0.00063621
     -0.00069757    -0.000722867
     -0.00110271     -0.00116183
     -0.00112029     -0.00124772
    -0.000781468    -0.000811262
     -0.00861057      -0.0110936
     -0.00471871     -0.00581269
     -0.00123848     -0.00131238
     -0.00168469     -0.00182848
     -0.00143668     -0.00155667
     -0.00305654     -0.00366046
     -0.00322952       -0.003884
     -0.00479507     -0.00597282
     -0.00660758     -0.00800332
     -0.00156305     -0.00183071
      -0.0027935     -0.00332719
      -0.0034516     -0.00425571
    -0.000757375    -0.000784951
     -0.00159039     -0.00176421
    -0.000974897     -0.00104077
     -0.00202857      -0.0022481
      -0.0070202     -0.00891323
      -0.0014701     -0.00162858
    -0.000498037    -0.000500662
     -0.00505567     -0.00632209
     -0.00496751     -0.00634265
     -0.00328718     -0.00410527
     -0.00110523     -0.00119289
       -0.001053     -0.00113248
     -0.00216017     -0.00246477
    -0.000981474     -0.00108213
     -0.00318211     -0.00383258
     -0.00112827     -0.00119955
      -0.0021345     -0.00246538
     -0.00119452     -0.00136439
     -0.00178134     -0.00211581
    -0.000870907    -0.000949069
     -0.00414086     -0.00505206
    -0.000512198    -0.000517075
     -0.00384326      -0.0051012
     -0.00148337     -0.00170792
     -0.00324944     -0.00383261
    -0.000584904    -0.000600399
    -0.000829855    -0.000863784
     -0.00352459     -0.00421903
     -0.00133655     -0.00152558
     -0.00276014     -0.00334912
     -0.00128426     -0.00146507
    -0.000659178    -0.000675612
     -0.00183697     -0.00204071
     -0.00346955     -0.00428241
     -0.00154734     -0.00170622
     -0.00120984     -0.00127977
     -0.00535264     -0.00719403
     -0.00122358     -0.00130597
     -0.00619238     -0.00762568
     -0.00465842      -0.0060587
    -0.000900427    -0.000967012
    -0.000970215     -0.00104377
     -0.00346268     -0.00434342
     -0.00426041     -0.00508827
     -0.00204555     -0.00229511
     -0.00277482     -0.00321106
     -0.00100081     -0.00108836
     -0.00118854     -0.00128773
     -0.00452896     -0.00570658
     -0.00228212     -0.00298239
     -0.00708903     -0.00869515
    -0.000530151    -0.000539574
     -0.00253774     -0.00313839
     -0.00075375    -0.000802709
     -0.00490453     -0.00647634
     -0.00080496    -0.000836268
    -0.000733744    -0.000760619
     -0.00200457     -0.00235266
     -0.00137154     -0.00158474
     -0.00062736    -0.000648829
       -0.005498     -0.00721265
     -0.00231187     -0.00272123
     -0.00412192     -0.00525432
     -0.00177778     -0.00204973
     -0.00336673     -0.00405361
      -0.0039137     -0.00485008
     -0.00585891     -0.00740902
    -0.000953717      -0.0010152
    -0.000632936    -0.000651403
     -0.00157924     -0.00175733
    -0.000865568     -0.00089279
     -0.00129915     -0.00142278
     -0.00115098     -0.00127585
     -0.00221348     -0.00263424
     -0.00134497      -0.0015773
    -0.000742016    -0.000776154
     -0.00311699     -0.00369024
     -0.00707571     -0.00937815
      -0.0039937     -0.00475669
     -0.00336792     -0.00440503
     -0.00165646     -0.00186814
     -0.00510318     -0.00680048
     -0.00183258     -0.00206202
    -0.000988611     -0.00105385
    -0.000652653    -0.000675534
     -0.00266636     -0.00346356
     -0.00127925     -0.00142637
     -0.00238462     -0.00270494
    -0.000573518    -0.000587915
    -0.000888743    -0.000939518
     -0.00131135     -0.00141212
     -0.00163613     -0.00182624
     -0.00481253     -0.00608487
    -0.000827469    -0.000886931
     -0.00242079      -0.0027798
     -0.00482062     -0.00617555
     -0.00231951     -0.00305268
      -0.0034676     -0.00406497
      -0.0037233      -0.0046737
    -0.000669959    -0.000688801
    -0.000599348    -0.000614626
     -0.00442432     -0.00543142
     -0.00515539     -0.00639939
     -0.00170284     -0.00192386
     -0.00130481     -0.00139593
     -0.00377347     -0.00493363
     -0.00431863     -0.00577323
