QM Energy	FF Energy
     -2.5975e-05    -2.03638e-05
     -0.00146537     -0.00150281
      -1.439e-05    -1.05666e-05
    -0.000793975    -0.000827374
     -3.9407e-05    -3.35837e-05
    -0.000282127    -0.000271803
     -5.5284e-05    -4.38734e-05
     -2.4928e-05    -1.80546e-05
     -0.00134514     -0.00141988
     -0.00107918     -0.00109793
      -6.541e-06    -4.49975e-06
    -0.000109078     -8.2175e-05
    -0.000106702    -9.16869e-05
      -8.757e-06    -6.07728e-06
        -9.2e-06    -6.43604e-06
     -2.1866e-05    -1.72097e-05
     -1.4111e-05    -1.07346e-05
    -0.000562266    -0.000559637
      -1.251e-05    -9.00594e-06
     -8.0114e-05    -7.03346e-05
     -1.5631e-05    -1.19219e-05
    -0.000283482    -0.000284874
    -0.000295151    -0.000277518
     -7.8844e-05    -6.54427e-05
     -4.1935e-05    -3.27666e-05
     -4.2608e-05    -3.42978e-05
     -1.6361e-05    -1.20541e-05
    -0.000591481    -0.000614769
     -0.00116268     -0.00122743
    -0.000247426    -0.000208215
    -0.000151804    -0.000127083
     -2.8615e-05    -2.32176e-05
     -5.3837e-05    -4.16848e-05
    -0.000424951    -0.000401158
     -1.4549e-05    -1.08672e-05
     -1.0391e-05    -7.18188e-06
     -2.0044e-05    -1.41936e-05
     -6.1859e-05    -5.32064e-05
     -1.2812e-05    -8.97691e-06
      -0.0012687     -0.00152227
    -0.000561451    -0.000504089
     -2.4603e-05    -1.73894e-05
     -5.8601e-05    -4.43096e-05
     -4.7879e-05    -3.51961e-05
    -0.000280493    -0.000246174
    -0.000315783     -0.00028639
    -0.000616291    -0.000608762
    -0.000702432    -0.000608849
    -0.000125342    -0.000113641
    -0.000235063    -0.000211734
     -0.00038898    -0.000366993
     -1.2427e-05    -8.86275e-06
     -7.5507e-05    -6.01311e-05
      -3.135e-05    -2.45775e-05
     -9.4476e-05     -7.2909e-05
    -0.000939616     -0.00100697
     -7.1073e-05    -6.04503e-05
     -1.5222e-05     -1.1678e-05
    -0.000648552    -0.000581615
    -0.000708653    -0.000674072
    -0.000391641    -0.000358687
     -3.8427e-05    -3.02762e-05
     -3.9738e-05    -3.17044e-05
    -0.000130637    -0.000100032
     -5.2225e-05    -4.47491e-05
    -0.000308137    -0.000272665
     -3.1004e-05    -2.40789e-05
    -0.000144761    -0.000124791
     -8.4512e-05    -7.61087e-05
    -0.000157526    -0.000145342
     -4.4006e-05    -3.72737e-05
     -0.00043722    -0.000391584
      -1.353e-05    -1.02094e-05
    -0.000717133    -0.000726762
    -0.000109827    -0.000101136
    -0.000269026     -0.00022313
      -8.664e-06     -6.0492e-06
     -1.6924e-05    -1.22534e-05
    -0.000328128    -0.000269801
     -8.8215e-05    -7.82577e-05
    -0.000272119    -0.000243832
     -8.7864e-05    -7.81273e-05
     -1.1845e-05    -8.48676e-06
     -8.5937e-05     -6.7573e-05
     -0.00041105    -0.000394525
     -6.9223e-05    -5.72181e-05
     -3.5935e-05    -2.74953e-05
     -0.00103378     -0.00108173
     -3.9271e-05    -3.06776e-05
     -0.00074385    -0.000665941
    -0.000757526    -0.000764848
     -3.3213e-05    -2.61096e-05
      -3.758e-05    -3.02321e-05
    -0.000466131    -0.000472782
    -0.000370852     -0.00032553
    -0.000115419    -9.87042e-05
    -0.000195651    -0.000166819
     -4.4333e-05    -3.69974e-05
     -4.2036e-05    -3.29703e-05
    -0.000576255     -0.00055706
    -0.000376354    -0.000393866
    -0.000836544    -0.000742308
      -7.222e-06    -4.96312e-06
    -0.000289311    -0.000274791
     -3.2869e-05    -2.72054e-05
    -0.000889314    -0.000854375
     -1.0734e-05    -7.40894e-06
     -1.4527e-05     -1.0768e-05
    -0.000159982    -0.000142621
    -0.000100388    -8.97622e-05
     -2.0024e-05     -1.5722e-05
    -0.000913739    -0.000929789
    -0.000178953    -0.000158964
    -0.000564259    -0.000542983
    -0.000119495    -9.69121e-05
    -0.000333198    -0.000311164
    -0.000473563    -0.000423593
    -0.000801136    -0.000763106
     -3.1583e-05    -2.45666e-05
      -5.681e-06    -3.79781e-06
     -7.4747e-05     -5.7371e-05
     -1.6772e-05    -1.21447e-05
     -5.2031e-05     -4.1212e-05
     -5.8071e-05    -4.78766e-05
    -0.000190911    -0.000168638
    -0.000115801    -0.000108263
     -1.5923e-05    -1.13673e-05
    -0.000262755    -0.000239525
     -0.00125104     -0.00134942
    -0.000358227    -0.000310295
    -0.000547271    -0.000550986
      -9.314e-05    -8.05022e-05
     -0.00101068     -0.00105414
    -0.000100036    -8.49927e-05
      -3.362e-05    -2.73867e-05
     -1.6648e-05    -1.24218e-05
    -0.000423692    -0.000433267
     -6.8904e-05    -5.83868e-05
    -0.000133899     -0.00011023
     -1.4066e-05    -1.05166e-05
     -2.6426e-05    -2.03773e-05
     -4.8135e-05    -3.85151e-05
     -8.3357e-05    -6.85854e-05
    -0.000680391    -0.000621256
     -3.3288e-05    -2.70689e-05
    -0.000158443    -0.000125385
    -0.000728279    -0.000737657
    -0.000398561    -0.000419166
    -0.000271028    -0.000232683
     -0.00048418    -0.000409536
     -1.0911e-05    -8.00733e-06
       -5.39e-06     -3.5897e-06
    -0.000517683    -0.000468773
    -0.000627571    -0.000603794
     -9.7355e-05    -8.09486e-05
     -3.4144e-05    -2.49376e-05
    -0.000634833    -0.000631819
    -0.000858922    -0.000927402
       -8.27e-06    -5.72895e-06
     -0.00076112    -0.000798946
     -7.2019e-05    -5.79392e-05
    -0.000428069    -0.000378919
      -1.701e-05    -1.28259e-05
       -2.62e-05    -2.03911e-05
    -0.000739082    -0.000690129
    -0.000105891    -8.82989e-05
     -5.4137e-05     -4.0438e-05
    -0.000228269    -0.000212311
    -0.000503929    -0.000403008
    -0.000331742    -0.000310114
    -0.000892379    -0.000883524
      -3.127e-05    -2.37204e-05
     -3.3438e-05    -2.52055e-05
     -3.0162e-05    -2.21518e-05
