QM Energy	FF Energy
    -0.000783513    -0.000816068
     -0.00756382     -0.00946238
    -0.000665496    -0.000678003
     -0.00464979      -0.0058123
    -0.000767183     -0.00080855
     -0.00231986     -0.00278457
     -0.00125623     -0.00135961
     -0.00110324      -0.0011593
     -0.00816018      -0.0100896
     -0.00527211     -0.00668659
    -0.000638598    -0.000653572
      -0.0022144     -0.00244305
     -0.00189466      -0.0020985
    -0.000569338    -0.000580496
    -0.000745778    -0.000768347
    -0.000734953    -0.000755459
    -0.000482026     -0.00047688
     -0.00454092     -0.00546316
    -0.000691487    -0.000702812
     -0.00138666     -0.00152574
    -0.000562009    -0.000568671
     -0.00213895     -0.00258019
     -0.00251949     -0.00302488
     -0.00183508     -0.00200711
     -0.00119191     -0.00126714
     -0.00104479     -0.00112284
    -0.000788974     -0.00081829
     -0.00360328      -0.0044658
     -0.00737608     -0.00905207
     -0.00340757     -0.00389856
     -0.00246377     -0.00274937
    -0.000725717     -0.00075706
     -0.00140126     -0.00150584
     -0.00374433     -0.00443424
    -0.000616671     -0.00063127
     -0.00069757     -0.00072022
     -0.00110271     -0.00115704
     -0.00112029     -0.00122396
    -0.000781468    -0.000807868
     -0.00861057      -0.0105854
     -0.00471871     -0.00563231
     -0.00123848     -0.00130671
     -0.00168469     -0.00181192
     -0.00143668     -0.00154349
     -0.00305654     -0.00356706
     -0.00322952     -0.00377337
     -0.00479507     -0.00575467
     -0.00660758     -0.00779771
     -0.00156305     -0.00178196
      -0.0027935     -0.00324313
      -0.0034516     -0.00411291
    -0.000757375    -0.000781464
     -0.00159039     -0.00173973
    -0.000974897     -0.00103013
     -0.00202857     -0.00222031
      -0.0070202      -0.0085597
      -0.0014701     -0.00160287
    -0.000498037    -0.000494829
     -0.00505567      -0.0061105
     -0.00496751     -0.00609606
     -0.00328718     -0.00396743
     -0.00110523     -0.00118016
       -0.001053     -0.00111862
     -0.00216017     -0.00242745
    -0.000981474     -0.00106169
     -0.00318211     -0.00372897
     -0.00112827     -0.00118969
      -0.0021345     -0.00241515
     -0.00119452      -0.0013302
     -0.00178134     -0.00205444
    -0.000870907    -0.000931744
     -0.00414086     -0.00490491
    -0.000512198     -0.00051208
     -0.00384326     -0.00484237
     -0.00148337     -0.00166359
     -0.00324944     -0.00374759
    -0.000584904    -0.000597941
    -0.000829855     -0.00085883
     -0.00352459     -0.00411877
     -0.00133655     -0.00149128
     -0.00276014     -0.00325173
     -0.00128426     -0.00143039
    -0.000659178    -0.000672035
     -0.00183697     -0.00201434
     -0.00346955     -0.00413322
     -0.00154734      -0.0016823
     -0.00120984     -0.00126837
     -0.00535264     -0.00681408
     -0.00122358     -0.00129318
     -0.00619238     -0.00739626
     -0.00465842     -0.00578591
    -0.000900427    -0.000955588
    -0.000970215     -0.00103037
     -0.00346268     -0.00416541
     -0.00426041     -0.00496873
     -0.00204555     -0.00225398
     -0.00277482     -0.00314628
     -0.00100081     -0.00107168
     -0.00118854     -0.00127413
     -0.00452896     -0.00549588
     -0.00228212     -0.00282564
     -0.00708903     -0.00844806
    -0.000530151    -0.000537536
     -0.00253774     -0.00302898
     -0.00075375    -0.000789761
     -0.00490453     -0.00617781
     -0.00080496    -0.000833736
    -0.000733744    -0.000755987
     -0.00200457     -0.00229325
     -0.00137154     -0.00154561
     -0.00062736    -0.000641275
       -0.005498     -0.00687869
     -0.00231187     -0.00265686
     -0.00412192      -0.0050489
     -0.00177778     -0.00201118
     -0.00336673     -0.00393401
      -0.0039137     -0.00469484
     -0.00585891      -0.0071344
    -0.000953717     -0.00100445
    -0.000632936    -0.000650166
     -0.00157924     -0.00173502
    -0.000865568    -0.000887847
     -0.00129915     -0.00140586
     -0.00115098     -0.00125511
     -0.00221348     -0.00256534
     -0.00134497     -0.00152927
    -0.000742016     -0.00077169
     -0.00311699     -0.00359377
     -0.00707571     -0.00890556
      -0.0039937     -0.00464291
     -0.00336792     -0.00419774
     -0.00165646     -0.00183418
     -0.00510318     -0.00644272
     -0.00183258     -0.00202689
    -0.000988611     -0.00104165
    -0.000652653    -0.000669962
     -0.00266636     -0.00329559
     -0.00127925     -0.00140089
     -0.00238462     -0.00266217
    -0.000573518    -0.000583023
    -0.000888743    -0.000930667
     -0.00131135     -0.00139591
     -0.00163613     -0.00179768
     -0.00481253     -0.00586513
    -0.000827469    -0.000874519
     -0.00242079     -0.00273186
     -0.00482062     -0.00591334
     -0.00231951     -0.00288698
      -0.0034676     -0.00397766
      -0.0037233     -0.00452589
    -0.000669959     -0.00068539
    -0.000599348    -0.000613426
     -0.00442432     -0.00526218
     -0.00515539     -0.00617912
     -0.00170284     -0.00189008
     -0.00130481     -0.00138687
     -0.00377347     -0.00470462
     -0.00431863      -0.0054499
    -0.000609397     -0.00062473
     -0.00536088     -0.00654148
     -0.00146516     -0.00161068
     -0.00359826     -0.00432744
