QM Energy	FF Energy
    -0.000269052    -0.000223283
    -0.000140581    -0.000119219
     -2.2689e-05    -1.48113e-05
     -0.00039741    -0.000357528
      -0.0011022     -0.00103328
    -0.000148351    -0.000117001
     -2.5645e-05    -1.76132e-05
    -0.000118978    -9.20175e-05
    -0.000303228    -0.000251714
    -0.000102529    -7.83854e-05
     -6.2227e-05    -4.60996e-05
     -1.6462e-05    -1.07084e-05
    -0.000702871    -0.000586733
    -0.000247515     -0.00021915
     -2.6124e-05     -1.8341e-05
    -0.000754325    -0.000744211
     -3.8614e-05    -2.88453e-05
     -0.00119781     -0.00110743
    -0.000341895    -0.000300507
     -0.00111437     -0.00107552
     -4.4558e-05    -3.14443e-05
    -0.000121025    -9.13563e-05
    -0.000729128    -0.000706572
     -2.1912e-05    -1.53258e-05
     -0.00105478     -0.00108858
     -0.00161733      -0.0016181
     -6.1323e-05    -4.49623e-05
    -0.000507431    -0.000460899
      -0.0003582    -0.000296416
    -0.000322559     -0.00028715
     -0.00090094     -0.00089524
     -5.3416e-05    -3.82839e-05
    -0.000968938     -0.00094039
    -0.000363734    -0.000322705
    -0.000623974    -0.000585468
    -0.000136462    -0.000101679
     -3.7734e-05    -2.84719e-05
    -0.000837912     -0.00081059
     -1.3465e-05    -8.49003e-06
     -0.00109553     -0.00103266
    -0.000595861    -0.000584404
      -3.557e-05    -2.23521e-05
     -4.7029e-05    -3.15566e-05
     -3.7853e-05    -2.68005e-05
      -8.002e-05    -6.15161e-05
    -0.000815276    -0.000804197
    -0.000178095    -0.000140384
     -7.7466e-05    -5.37392e-05
     -8.6811e-05     -6.5833e-05
     -3.9605e-05    -2.82619e-05
     -0.00134537     -0.00142083
     -2.4355e-05    -1.53571e-05
    -0.000970825    -0.000954304
    -0.000638817    -0.000553121
    -0.000108178    -8.64491e-05
     -0.00185958     -0.00208499
    -0.000336397    -0.000285106
     -4.9037e-05    -3.55945e-05
    -0.000203948    -0.000178785
    -0.000151753    -0.000126503
    -0.000707169    -0.000658622
      -2.313e-05    -1.53186e-05
    -0.000599696    -0.000541027
     -3.7938e-05    -2.53625e-05
    -0.000942663    -0.000908795
     -5.7111e-05    -3.81847e-05
     -3.9675e-05    -2.58445e-05
     -0.00139008     -0.00140561
     -1.6414e-05    -1.02595e-05
     -2.9371e-05     -1.9214e-05
    -0.000165825    -0.000143332
     -5.5536e-05     -4.0098e-05
    -0.000319031    -0.000260685
    -0.000688532    -0.000586472
     -7.8584e-05     -5.8819e-05
     -4.8618e-05    -3.29024e-05
      -0.0001017    -7.58336e-05
     -0.00140735     -0.00142825
    -0.000974728    -0.000920345
     -3.3142e-05    -2.25959e-05
     -5.9536e-05    -4.19331e-05
     -8.0724e-05    -5.59381e-05
    -0.000194689     -0.00016279
    -0.000118901    -8.84233e-05
    -0.000445743     -0.00039848
     -0.00167685     -0.00175788
     -7.6432e-05    -5.67078e-05
     -7.2604e-05    -5.41409e-05
     -0.00050911    -0.000479242
     -7.5425e-05     -5.4558e-05
    -0.000203389    -0.000177964
     -0.00101548     -0.00105728
     -6.1858e-05    -4.44266e-05
    -0.000184389    -0.000145112
    -0.000671911    -0.000631099
     -0.00101933     -0.00101821
      -4.848e-05    -3.55439e-05
     -4.1057e-05    -2.66323e-05
    -0.000140845    -0.000109919
     -5.6897e-05    -4.15982e-05
    -0.000418574    -0.000392635
     -4.0307e-05    -2.60991e-05
     -0.00096977    -0.000940163
      -3.696e-05    -2.57759e-05
    -0.000685843    -0.000643099
    -0.000413703     -0.00038985
    -0.000476721    -0.000426023
     -2.6907e-05    -1.76707e-05
     -4.0344e-05    -2.87013e-05
    -0.000330218    -0.000271931
    -0.000497179    -0.000453877
    -0.000608888    -0.000585316
     -0.00098483    -0.000935166
     -2.2706e-05      -1.567e-05
    -0.000368765    -0.000318513
    -0.000247264    -0.000215328
     -1.6973e-05    -1.13878e-05
     -0.00024372    -0.000209688
    -0.000299306    -0.000250163
    -0.000822123    -0.000775747
    -0.000192936    -0.000170831
    -0.000462669    -0.000424479
     -3.0368e-05    -1.91157e-05
    -0.000104043    -7.56557e-05
    -0.000431599    -0.000382992
    -0.000514827    -0.000487468
     -5.1821e-05    -3.90815e-05
     -1.9219e-05    -1.05232e-05
     -8.1299e-05    -6.01455e-05
     -7.2923e-05    -5.32471e-05
     -5.3854e-05    -3.98758e-05
    -0.000219114     -0.00016782
    -0.000250311    -0.000205001
    -0.000372851    -0.000325732
    -0.000541747    -0.000532211
    -0.000175378    -0.000141047
     -1.2238e-05    -7.63932e-06
    -0.000228725    -0.000195456
     -5.7722e-05    -3.92683e-05
    -0.000206702    -0.000182126
     -4.2669e-05    -3.11935e-05
     -4.3888e-05     -3.3314e-05
      -0.0010146    -0.000948818
     -5.1413e-05    -3.86134e-05
     -2.0108e-05    -1.27499e-05
    -0.000962889    -0.000841276
     -1.2527e-05    -8.33947e-06
     -3.4076e-05    -2.30697e-05
    -0.000685212    -0.000621291
     -0.00105846     -0.00107314
     -0.00197741     -0.00231375
    -0.000990972    -0.000933333
    -0.000215075    -0.000176167
    -0.000429351      -0.0003568
     -1.6781e-05    -1.07033e-05
     -0.00026793    -0.000230647
    -0.000175578    -0.000141509
    -0.000340602    -0.000280781
    -0.000674289    -0.000655412
    -0.000633825    -0.000587061
     -0.00154616     -0.00162611
     -0.00106489     -0.00106774
     -0.00105647     -0.00101636
     -2.4506e-05    -1.60509e-05
    -0.000474138    -0.000393446
     -2.7364e-05     -1.8509e-05
    -0.000492612    -0.000469626
      -4.859e-05    -3.01058e-05
     -2.4325e-05    -1.66466e-05
     -4.7319e-05    -3.37669e-05
      -3.411e-05    -2.16531e-05
    -0.000357627    -0.000307105
     -1.3018e-05    -7.77593e-06
     -5.9396e-05    -4.49719e-05
    -0.000938089    -0.000946062
      -2.767e-05    -1.81664e-05
     -2.4871e-05    -1.69446e-05
      -2.614e-05    -1.76317e-05
      -1.846e-05    -1.18289e-05
    -0.000257432    -0.000202943
     -6.3447e-05    -4.52877e-05
     -0.00140542     -0.00132746
    -0.000281983    -0.000249476
     -4.1509e-05    -2.91682e-05
    -0.000120579    -0.000101774
    -0.000172953    -0.000132247
    -0.000805425    -0.000772287
    -0.000121002    -0.000100043
     -0.00147691     -0.00155803
    -0.000117312    -9.67251e-05
     -6.2089e-05    -4.66921e-05
     -4.1143e-05    -2.88138e-05
    -0.000134245     -0.00010846
    -0.000770818    -0.000757193
     -4.7669e-05    -3.33644e-05
    -0.000150356    -0.000118122
    -0.000362207    -0.000335315
     -0.00165263     -0.00172679
    -0.000172373    -0.000142652
    -0.000633372    -0.000606023
     -0.00051297    -0.000451595
    -0.000656966    -0.000562021
    -0.000195291    -0.000144438
    -0.000559424    -0.000499064
    -0.000625764    -0.000620234
     -8.3693e-05    -6.27234e-05
