QM Energy	FF Energy
     -0.00356303     -0.00397266
     -0.00275423     -0.00303255
     -0.00105857     -0.00105034
     -0.00531878     -0.00608183
     -0.00641376     -0.00767862
     -0.00313406     -0.00336019
     -0.00141465     -0.00144277
     -0.00292911     -0.00311729
     -0.00408585     -0.00458263
     -0.00280193     -0.00298064
     -0.00181816     -0.00187645
     -0.00125235     -0.00123342
     -0.00539225     -0.00632466
     -0.00364086     -0.00411349
     -0.00139636     -0.00140725
     -0.00535273       -0.006347
     -0.00203791     -0.00215049
      -0.0106108      -0.0127543
     -0.00407341     -0.00461448
      -0.0101677       -0.012091
     -0.00157483     -0.00158289
     -0.00285715     -0.00303793
     -0.00472437     -0.00560559
     -0.00145611      -0.0014937
     -0.00749498      -0.0091392
      -0.0113209      -0.0141368
     -0.00171805     -0.00173728
     -0.00493954     -0.00561714
     -0.00463649      -0.0052322
     -0.00500755     -0.00584749
     -0.00760814     -0.00928166
     -0.00150509     -0.00149534
     -0.00630438     -0.00765606
     -0.00437663     -0.00502992
      -0.0048153     -0.00559472
     -0.00288145     -0.00305854
     -0.00170719     -0.00177722
     -0.00597171     -0.00707702
    -0.000954323    -0.000916794
     -0.00857181      -0.0101569
     -0.00452213     -0.00520594
      -0.0016849     -0.00168282
     -0.00167413     -0.00168035
        -0.00154     -0.00156179
     -0.00240009     -0.00251971
     -0.00535075     -0.00628424
     -0.00316588     -0.00341503
     -0.00221785     -0.00227351
     -0.00177815     -0.00181554
     -0.00166811     -0.00168567
      -0.0104961      -0.0126638
     -0.00132352     -0.00129697
     -0.00640956     -0.00757308
     -0.00519874     -0.00603563
     -0.00245698     -0.00264473
      -0.0143388       -0.017453
     -0.00418674     -0.00470854
     -0.00194163     -0.00201356
     -0.00260543     -0.00286838
     -0.00346343     -0.00381636
     -0.00590724      -0.0070083
     -0.00112634     -0.00112838
     -0.00501579     -0.00583718
     -0.00202843     -0.00205684
      -0.0088947      -0.0106648
     -0.00180886     -0.00185068
     -0.00143404     -0.00141214
      -0.0089658      -0.0110907
     -0.00114358     -0.00114365
     -0.00133591     -0.00130373
     -0.00222521      -0.0024125
     -0.00200132     -0.00207526
     -0.00428899     -0.00472327
     -0.00563565     -0.00663171
     -0.00223341     -0.00234598
     -0.00161321     -0.00164704
     -0.00214919     -0.00222299
     -0.00910034      -0.0112294
     -0.00907346      -0.0106068
     -0.00159632      -0.0015923
     -0.00200864     -0.00204185
     -0.00249063     -0.00254378
     -0.00363584     -0.00405243
     -0.00227066     -0.00237159
     -0.00649608     -0.00757344
      -0.0125054      -0.0157631
     -0.00209791     -0.00216524
     -0.00210691     -0.00217854
     -0.00482775     -0.00554685
     -0.00255565     -0.00264949
     -0.00349712     -0.00388869
     -0.00809183      -0.0100343
     -0.00183532      -0.0018849
     -0.00306377      -0.0032396
     -0.00723054     -0.00855498
     -0.00581559     -0.00690872
     -0.00181724       -0.001863
     -0.00173425     -0.00175003
     -0.00316939     -0.00345449
     -0.00180567     -0.00186232
     -0.00393499     -0.00453641
     -0.00209329     -0.00212917
     -0.00859716      -0.0104012
     -0.00138441     -0.00138447
      -0.0071803     -0.00858646
     -0.00350563     -0.00397934
     -0.00567275     -0.00656928
     -0.00149724     -0.00149459
     -0.00193787     -0.00203073
     -0.00485739     -0.00546321
      -0.0041489     -0.00470119
     -0.00527318     -0.00618837
      -0.0075162     -0.00913214
     -0.00137294      -0.0013889
     -0.00406332     -0.00450424
     -0.00381085      -0.0042724
     -0.00123904     -0.00123603
     -0.00284457      -0.0030711
     -0.00367302     -0.00413267
     -0.00554147     -0.00650232
      -0.0022111     -0.00241261
     -0.00542124     -0.00634079
      -0.0014147       -0.001406
     -0.00231039     -0.00239579
     -0.00450657     -0.00512948
     -0.00449462     -0.00526828
      -0.0017862     -0.00185192
     -0.00140316     -0.00137002
     -0.00271225     -0.00289947
     -0.00198244     -0.00204957
     -0.00169772     -0.00174194
     -0.00331399     -0.00361006
     -0.00339964     -0.00379968
     -0.00506912     -0.00577063
     -0.00356817     -0.00412731
     -0.00328607     -0.00358204
     -0.00117508     -0.00115003
     -0.00288853     -0.00313624
      -0.0020199     -0.00206291
     -0.00245082     -0.00262531
     -0.00216441      -0.0022526
     -0.00232961     -0.00249068
     -0.00697656     -0.00823074
      -0.0020334     -0.00211562
     -0.00105017     -0.00100745
     -0.00808304     -0.00959978
     -0.00124993     -0.00125926
     -0.00116987     -0.00114807
     -0.00631329     -0.00740999
     -0.00894228      -0.0107882
      -0.0154387      -0.0190754
     -0.00607884     -0.00724766
     -0.00295312     -0.00324226
     -0.00522525     -0.00592186
     -0.00119332     -0.00122273
     -0.00442894     -0.00503437
     -0.00247379      -0.0026353
     -0.00439347     -0.00486345
     -0.00490073     -0.00576138
     -0.00765236     -0.00913091
      -0.0105025      -0.0129901
     -0.00830424      -0.0102305
     -0.00821428      -0.0100483
     -0.00105896       -0.001015
