QM Energy	FF Energy
    -0.000783513    -0.000755237
     -0.00756382      -0.0071148
    -0.000665496    -0.000643276
     -0.00464979     -0.00443734
    -0.000767183    -0.000717344
     -0.00231986     -0.00225415
     -0.00125623     -0.00123761
     -0.00110324     -0.00110278
     -0.00816018     -0.00771014
     -0.00527211     -0.00499755
    -0.000638598    -0.000637423
      -0.0022144     -0.00222353
     -0.00189466     -0.00187098
    -0.000569338    -0.000559754
    -0.000745778    -0.000746005
    -0.000734953    -0.000703524
    -0.000482026    -0.000442596
     -0.00454092     -0.00437875
    -0.000691487    -0.000672293
     -0.00138666     -0.00135221
    -0.000562009    -0.000531236
     -0.00213895     -0.00204062
     -0.00251949     -0.00246041
     -0.00183508     -0.00182755
     -0.00119191     -0.00117108
     -0.00104479     -0.00102788
    -0.000788974    -0.000780025
     -0.00360328     -0.00343878
     -0.00737608     -0.00702924
     -0.00340757     -0.00339914
     -0.00246377     -0.00243171
    -0.000725717      -0.0006905
     -0.00140126     -0.00138813
     -0.00374433     -0.00366594
    -0.000616671    -0.000596774
     -0.00069757    -0.000696039
     -0.00110271     -0.00111142
     -0.00112029     -0.00108714
    -0.000781468    -0.000777802
     -0.00861057     -0.00808026
     -0.00471871      -0.0046362
     -0.00123848     -0.00125189
     -0.00168469     -0.00168538
     -0.00143668     -0.00144083
     -0.00305654     -0.00303681
     -0.00322952     -0.00316981
     -0.00479507     -0.00465456
     -0.00660758     -0.00651656
     -0.00156305     -0.00152154
      -0.0027935     -0.00276561
      -0.0034516     -0.00336757
    -0.000757375    -0.000752064
     -0.00159039     -0.00157711
    -0.000974897    -0.000958368
     -0.00202857      -0.0020221
      -0.0070202     -0.00673512
      -0.0014701     -0.00144735
    -0.000498037    -0.000457949
     -0.00505567     -0.00494979
     -0.00496751     -0.00482637
     -0.00328718      -0.0032389
     -0.00110523     -0.00109345
       -0.001053     -0.00102774
     -0.00216017     -0.00217391
    -0.000981474    -0.000944596
     -0.00318211       -0.003151
     -0.00112827     -0.00111761
      -0.0021345     -0.00211866
     -0.00119452     -0.00114695
     -0.00178134     -0.00173449
    -0.000870907    -0.000831955
     -0.00414086     -0.00407777
    -0.000512198    -0.000479379
     -0.00384326     -0.00367291
     -0.00148337     -0.00143003
     -0.00324944     -0.00322806
    -0.000584904    -0.000577272
    -0.000829855    -0.000818904
     -0.00352459     -0.00351134
     -0.00133655     -0.00130227
     -0.00276014     -0.00271743
     -0.00128426     -0.00124023
    -0.000659178    -0.000643483
     -0.00183697     -0.00183235
     -0.00346955      -0.0033789
     -0.00154734     -0.00152649
     -0.00120984     -0.00118447
     -0.00535264     -0.00506988
     -0.00122358     -0.00120397
     -0.00619238     -0.00607813
     -0.00465842     -0.00448002
    -0.000900427    -0.000880835
    -0.000970215    -0.000944324
     -0.00346268     -0.00333055
     -0.00426041     -0.00423198
     -0.00204555     -0.00200053
     -0.00277482     -0.00275236
     -0.00100081     -0.00097181
     -0.00118854     -0.00118104
     -0.00452896     -0.00440306
     -0.00228212     -0.00213969
     -0.00708903     -0.00696452
    -0.000530151     -0.00052016
     -0.00253774     -0.00247773
     -0.00075375    -0.000713517
     -0.00490453     -0.00473381
     -0.00080496     -0.00080842
    -0.000733744    -0.000721399
     -0.00200457     -0.00196393
     -0.00137154     -0.00133381
     -0.00062736    -0.000593592
       -0.005498     -0.00525955
     -0.00231187     -0.00228814
     -0.00412192     -0.00400595
     -0.00177778     -0.00177308
     -0.00336673     -0.00329786
      -0.0039137     -0.00386023
     -0.00585891     -0.00568037
    -0.000953717    -0.000930905
    -0.000632936    -0.000636512
     -0.00157924     -0.00158003
    -0.000865568    -0.000847569
     -0.00129915     -0.00129272
     -0.00115098     -0.00112884
     -0.00221348     -0.00218108
     -0.00134497     -0.00128451
    -0.000742016    -0.000735385
     -0.00311699     -0.00304786
     -0.00707571     -0.00665713
      -0.0039937       -0.003963
     -0.00336792     -0.00323532
     -0.00165646     -0.00163117
     -0.00510318      -0.0048249
     -0.00183258     -0.00181006
    -0.000988611    -0.000963017
    -0.000652653    -0.000630806
     -0.00266636     -0.00253894
     -0.00127925      -0.0012489
     -0.00238462     -0.00237828
    -0.000573518    -0.000549524
    -0.000888743     -0.00086983
     -0.00131135     -0.00128743
     -0.00163613     -0.00161439
     -0.00481253     -0.00471428
    -0.000827469    -0.000798294
     -0.00242079     -0.00241737
     -0.00482062     -0.00464817
     -0.00231951      -0.0021682
      -0.0034676     -0.00344332
      -0.0037233     -0.00370272
    -0.000669959    -0.000658352
    -0.000599348    -0.000600399
     -0.00442432     -0.00434706
     -0.00515539     -0.00501634
     -0.00170284     -0.00168006
     -0.00130481     -0.00131138
     -0.00377347     -0.00363509
     -0.00431863     -0.00404949
    -0.000609397    -0.000605111
     -0.00536088     -0.00510545
     -0.00146516     -0.00145769
     -0.00359826     -0.00355502
    -0.000773705    -0.000757419
    -0.000805308    -0.000783782
     -0.00691402     -0.00680203
     -0.00198245     -0.00194358
