QM Energy	FF Energy
     -0.00356303     -0.00346877
     -0.00275423     -0.00274363
     -0.00105857     -0.00100476
     -0.00531878     -0.00532025
     -0.00641376      -0.0060561
     -0.00313406     -0.00306143
     -0.00141465     -0.00138673
     -0.00292911     -0.00286732
     -0.00408585     -0.00401461
     -0.00280193     -0.00276789
     -0.00181816     -0.00175088
     -0.00125235     -0.00119589
     -0.00539225     -0.00521975
     -0.00364086     -0.00361589
     -0.00139636     -0.00134846
     -0.00535273     -0.00518192
     -0.00203791     -0.00206117
      -0.0106108      -0.0106039
     -0.00407341     -0.00399853
      -0.0101677     -0.00997652
     -0.00157483     -0.00149318
     -0.00285715     -0.00279388
     -0.00472437     -0.00443831
     -0.00145611     -0.00144359
     -0.00749498       -0.007405
      -0.0113209      -0.0113446
     -0.00171805     -0.00161298
     -0.00493954     -0.00469399
     -0.00463649      -0.0045909
     -0.00500755     -0.00519265
     -0.00760814     -0.00764312
     -0.00150509      -0.0013906
     -0.00630438     -0.00607854
     -0.00437663     -0.00435595
      -0.0048153     -0.00456128
     -0.00288145     -0.00279473
     -0.00170719     -0.00169148
     -0.00597171     -0.00573901
    -0.000954323     -0.00088778
     -0.00857181     -0.00822217
     -0.00452213     -0.00422062
      -0.0016849      -0.0016123
     -0.00167413     -0.00158645
        -0.00154      -0.0014812
     -0.00240009     -0.00234621
     -0.00535075     -0.00504843
     -0.00316588     -0.00306345
     -0.00221785     -0.00212136
     -0.00177815     -0.00165131
     -0.00166811     -0.00160032
      -0.0104961      -0.0101781
     -0.00132352     -0.00124696
     -0.00640956     -0.00600045
     -0.00519874     -0.00497463
     -0.00245698     -0.00243274
      -0.0143388      -0.0138673
     -0.00418674     -0.00409267
     -0.00194163       -0.001908
     -0.00260543       -0.002496
     -0.00346343     -0.00348611
     -0.00590724     -0.00578195
     -0.00112634     -0.00108108
     -0.00501579      -0.0048214
     -0.00202843     -0.00197506
      -0.0088947      -0.0088794
     -0.00180886     -0.00173833
     -0.00143404     -0.00133231
      -0.0089658     -0.00879693
     -0.00114358     -0.00110984
     -0.00133591     -0.00124512
     -0.00222521     -0.00210233
     -0.00200132     -0.00195966
     -0.00428899     -0.00412002
     -0.00563565     -0.00550374
     -0.00223341     -0.00218862
     -0.00161321       -0.001552
     -0.00214919      -0.0020222
     -0.00910034     -0.00893275
     -0.00907346      -0.0088288
     -0.00159632      -0.0015219
     -0.00200864     -0.00191957
     -0.00249063     -0.00238501
     -0.00363584     -0.00365058
     -0.00227066     -0.00214485
     -0.00649608      -0.0066799
      -0.0125054      -0.0127608
     -0.00209791     -0.00201666
     -0.00210691     -0.00202992
     -0.00482775     -0.00465787
     -0.00255565     -0.00249491
     -0.00349712     -0.00346675
     -0.00809183     -0.00821144
     -0.00183532     -0.00176071
     -0.00306377     -0.00289122
     -0.00723054     -0.00731816
     -0.00581559     -0.00533125
     -0.00181724     -0.00175672
     -0.00173425      -0.0016691
     -0.00316939     -0.00317583
     -0.00180567     -0.00174446
     -0.00393499      -0.0038122
     -0.00209329     -0.00204424
     -0.00859716     -0.00862696
     -0.00138441     -0.00130935
      -0.0071803     -0.00729774
     -0.00350563     -0.00328135
     -0.00567275     -0.00564767
     -0.00149724     -0.00143772
     -0.00193787     -0.00194131
     -0.00485739     -0.00482567
      -0.0041489     -0.00386609
     -0.00527318        -0.00516
      -0.0075162     -0.00745793
     -0.00137294     -0.00133779
     -0.00406332        -0.00382
     -0.00381085     -0.00377317
     -0.00123904     -0.00119741
     -0.00284457     -0.00263671
     -0.00367302      -0.0035875
     -0.00554147     -0.00514996
      -0.0022111     -0.00206075
     -0.00542124     -0.00546874
      -0.0014147     -0.00134667
     -0.00231039     -0.00219528
     -0.00450657     -0.00433727
     -0.00449462     -0.00442802
      -0.0017862     -0.00173951
     -0.00140316     -0.00133271
     -0.00271225     -0.00272362
     -0.00198244     -0.00190394
     -0.00169772     -0.00163155
     -0.00331399     -0.00320907
     -0.00339964     -0.00334003
     -0.00506912     -0.00505741
     -0.00356817     -0.00326065
     -0.00328607     -0.00323435
     -0.00117508     -0.00112292
     -0.00288853     -0.00272884
      -0.0020199      -0.0019479
     -0.00245082     -0.00224946
     -0.00216441     -0.00215425
     -0.00232961     -0.00238579
     -0.00697656     -0.00655374
      -0.0020334     -0.00200269
     -0.00105017    -0.000965747
     -0.00808304      -0.0079572
     -0.00124993     -0.00123009
     -0.00116987     -0.00108177
     -0.00631329     -0.00621268
     -0.00894228     -0.00880623
      -0.0154387       -0.015171
     -0.00607884     -0.00574079
     -0.00295312      -0.0028426
     -0.00522525     -0.00516388
     -0.00119332     -0.00118782
     -0.00442894     -0.00449403
     -0.00247379      -0.0023199
     -0.00439347      -0.0042383
     -0.00490073     -0.00470683
     -0.00765236     -0.00788864
      -0.0105025      -0.0103426
     -0.00830424     -0.00830868
     -0.00821428     -0.00816906
     -0.00105896    -0.000965874
     -0.00459891     -0.00449402
     -0.00116433     -0.00107475
     -0.00464291     -0.00454945
     -0.00203015     -0.00196667
     -0.00154629     -0.00151193
     -0.00125856       -0.001162
     -0.00147211     -0.00135188
     -0.00513775     -0.00522655
     -0.00118753      -0.0011346
     -0.00239559     -0.00241745
     -0.00658738     -0.00642071
      -0.0010545    -0.000966769
     -0.00140741     -0.00135598
     -0.00137924     -0.00133486
     -0.00104509    -0.000969895
     -0.00397361     -0.00381181
     -0.00217776     -0.00212866
      -0.0105789      -0.0106409
      -0.0043886     -0.00436208
     -0.00205118     -0.00205772
     -0.00269568      -0.0026995
     -0.00253791     -0.00240628
     -0.00772825     -0.00779676
     -0.00163236     -0.00146284
     -0.00962009     -0.00945453
     -0.00286469     -0.00287492
     -0.00129627     -0.00116656
     -0.00167648     -0.00163031
     -0.00223028     -0.00210761
     -0.00485177     -0.00456651
     -0.00209608     -0.00205412
     -0.00322935     -0.00322153
      -0.0049633     -0.00501082
      -0.0124094      -0.0122571
     -0.00287198     -0.00282558
     -0.00644229     -0.00649095
     -0.00570909     -0.00564765
     -0.00726994     -0.00738774
     -0.00411974     -0.00406095
     -0.00485659     -0.00467197
     -0.00367324     -0.00328841
     -0.00187924     -0.00177353
     -0.00609915     -0.00615546
     -0.00409708     -0.00403093
     -0.00294079     -0.00287335
     -0.00152412     -0.00145474
      -0.0015471      -0.0014816
     -0.00267276     -0.00263062
     -0.00368788     -0.00371634
      -0.0011844     -0.00113693
     -0.00294443     -0.00288145
     -0.00191528     -0.00185815
     -0.00383224     -0.00381757
      -0.0031413     -0.00301593
     -0.00156016     -0.00151376
     -0.00146446     -0.00137615
    -0.000867589     -0.00079088
     -0.00168499     -0.00159788
     -0.00187268     -0.00176042
     -0.00166067     -0.00160882
     -0.00269854     -0.00266618
     -0.00400226     -0.00396868
     -0.00238455     -0.00234459
     -0.00707573     -0.00713954
     -0.00443005     -0.00453692
     -0.00132818     -0.00125235
     -0.00176359     -0.00170567
     -0.00288156     -0.00279691
     -0.00364104     -0.00363764
     -0.00151984     -0.00151099
