QM Energy	FF Energy
     -6.2501e-05    -9.95868e-05
     -4.9051e-05    -5.78459e-05
      -9.744e-06    -9.86567e-06
    -0.000123464    -0.000154395
    -0.000422217    -0.000379982
     -4.2046e-05    -6.11808e-05
      -8.505e-06    -1.18716e-05
     -3.3399e-05     -5.0751e-05
     -9.6457e-05    -0.000113954
     -2.5926e-05    -4.29986e-05
     -2.4393e-05    -2.73617e-05
      -5.735e-06    -8.81143e-06
    -0.000217101    -0.000241556
      -8.428e-05    -9.78955e-05
      -9.096e-06    -1.29474e-05
    -0.000325759    -0.000268288
     -1.4831e-05    -1.82491e-05
    -0.000321142    -0.000431892
    -0.000146971    -0.000135204
    -0.000258377    -0.000429247
      -2.175e-05    -2.07451e-05
     -3.4336e-05    -5.04442e-05
    -0.000285104    -0.000259023
      -7.349e-06    -1.05042e-05
    -0.000454049    -0.000386315
    -0.000659796    -0.000572372
     -1.9126e-05    -2.60883e-05
    -0.000129354    -0.000186938
    -0.000104252    -0.000133509
    -0.000102239    -0.000121283
    -0.000321467     -0.00032515
     -2.7715e-05     -2.4767e-05
     -0.00038241    -0.000340946
    -0.000110855    -0.000132474
    -0.000225579    -0.000235538
     -2.8322e-05    -5.57022e-05
     -1.4161e-05    -1.70483e-05
     -0.00030148    -0.000285152
      -4.596e-06    -6.36685e-06
    -0.000278293    -0.000392299
    -0.000232981    -0.000226132
     -1.0078e-05    -1.49989e-05
     -1.1696e-05    -2.33535e-05
     -1.4777e-05    -1.73176e-05
     -2.4675e-05    -3.52548e-05
    -0.000381346    -0.000305958
     -4.0445e-05    -7.07192e-05
     -2.5855e-05    -3.20895e-05
     -3.3531e-05    -3.46002e-05
     -1.4851e-05     -1.7746e-05
    -0.000461865     -0.00050154
      -1.171e-05    -1.16111e-05
    -0.000317115    -0.000344098
    -0.000169036    -0.000226523
     -4.3155e-05    -4.44622e-05
      -0.0007236    -0.000751946
     -9.3553e-05     -0.00012416
     -1.4538e-05    -2.04754e-05
      -9.483e-05    -8.47673e-05
     -5.0065e-05    -6.39628e-05
    -0.000228217    -0.000251414
      -9.423e-06    -1.06253e-05
     -0.00020071    -0.000217591
      -9.974e-06    -1.70324e-05
    -0.000297566     -0.00035054
     -2.6253e-05    -2.50205e-05
     -1.8836e-05     -1.8407e-05
    -0.000587555    -0.000482982
      -6.251e-06    -8.48396e-06
      -9.885e-06    -1.27506e-05
     -7.5778e-05    -6.95435e-05
     -2.4589e-05    -2.44456e-05
     -9.2351e-05    -0.000127002
    -0.000218285    -0.000247655
     -2.6542e-05    -3.35768e-05
     -1.7146e-05    -2.08056e-05
     -2.7019e-05    -4.26344e-05
    -0.000612995    -0.000526002
    -0.000238751     -0.00037109
      -7.292e-06    -1.72199e-05
     -1.4753e-05    -2.54713e-05
     -2.9976e-05    -3.37646e-05
     -6.8786e-05    -8.41643e-05
     -3.2831e-05    -4.98922e-05
    -0.000103681    -0.000162831
    -0.000678311    -0.000637721
     -2.9888e-05     -3.1666e-05
     -2.6143e-05    -3.12504e-05
    -0.000214075    -0.000208291
      -2.786e-05     -3.2704e-05
     -6.5098e-05    -8.26252e-05
    -0.000425906    -0.000366054
     -2.1497e-05    -2.84363e-05
     -7.9932e-05    -7.77985e-05
    -0.000212809    -0.000250126
    -0.000423492    -0.000371863
     -1.6923e-05    -2.27655e-05
     -1.1537e-05    -1.68773e-05
     -4.3954e-05    -5.49763e-05
     -1.8624e-05    -2.36193e-05
    -0.000169036    -0.000161064
     -1.4154e-05    -1.86008e-05
    -0.000293349    -0.000347749
     -1.9537e-05     -1.7874e-05
    -0.000193997    -0.000245998
    -0.000190832    -0.000165341
    -0.000122499    -0.000175025
      -8.031e-06    -1.24167e-05
     -1.6757e-05    -1.91108e-05
     -5.1434e-05    -0.000125446
    -0.000166334    -0.000185346
    -0.000232888    -0.000224562
    -0.000367478    -0.000336997
       -9.59e-06    -1.10444e-05
    -0.000142242    -0.000149303
     -7.5949e-05    -9.62726e-05
      -6.347e-06    -9.15594e-06
     -8.3116e-05    -9.49646e-05
     -7.9651e-05    -0.000113238
    -0.000264634    -0.000285952
    -0.000101538    -8.54003e-05
    -0.000183573    -0.000181118
       -9.82e-06     -1.2702e-05
     -2.9719e-05    -4.36832e-05
     -9.7127e-05    -0.000158099
    -0.000226208    -0.000191991
     -2.1003e-05    -2.35145e-05
       -7.77e-06    -9.53624e-06
     -2.4359e-05    -3.58724e-05
     -1.9624e-05    -3.00673e-05
     -2.5571e-05    -2.53857e-05
     -4.4032e-05    -8.10663e-05
     -7.3746e-05    -9.11909e-05
      -9.867e-05    -0.000142211
    -0.000264415    -0.000215543
     -4.3823e-05    -6.94306e-05
      -4.608e-06    -6.95692e-06
     -8.6852e-05    -8.78195e-05
     -1.7839e-05    -2.45482e-05
     -9.2559e-05    -8.57842e-05
       -9.63e-06    -1.84834e-05
     -1.5608e-05    -2.07078e-05
    -0.000307438     -0.00036908
     -1.6059e-05    -2.17836e-05
      -7.048e-06    -9.45244e-06
    -0.000230512    -0.000338438
       -4.78e-06    -7.21558e-06
     -1.7385e-05    -1.53934e-05
    -0.000227405    -0.000254729
    -0.000326754    -0.000381789
     -0.00110436     -0.00077418
     -0.00038255    -0.000352472
     -5.9507e-05    -8.11711e-05
     -9.6409e-05     -0.00015114
      -8.592e-06    -7.93196e-06
     -9.2251e-05    -0.000106944
     -5.9867e-05    -6.75866e-05
     -7.8549e-05    -0.000129223
    -0.000297549    -0.000249435
    -0.000170909    -0.000227983
     -0.00063345    -0.000569406
    -0.000422511    -0.000398791
    -0.000381331     -0.00037778
     -1.1555e-05    -1.18239e-05
    -0.000145657    -0.000175557
     -1.0002e-05    -1.22791e-05
    -0.000202625     -0.00018573
     -1.4281e-05    -2.00157e-05
      -9.959e-06     -1.1329e-05
     -2.2509e-05    -2.03662e-05
     -1.4313e-05    -1.65296e-05
     -9.2221e-05    -0.000136574
      -4.874e-06    -6.35433e-06
     -2.3884e-05    -2.66298e-05
    -0.000405308    -0.000341758
     -1.2015e-05    -1.21834e-05
      -7.753e-06    -1.10772e-05
       -9.99e-06     -1.1779e-05
      -6.312e-06    -8.55336e-06
     -7.8707e-05     -0.00010668
     -2.6872e-05    -2.89056e-05
    -0.000524032    -0.000483277
      -7.589e-05    -0.000109613
     -1.2632e-05    -1.98723e-05
     -4.8554e-05    -5.17163e-05
      -5.337e-05    -6.57535e-05
    -0.000236331     -0.00028802
     -6.1081e-05    -5.26117e-05
    -0.000654541    -0.000513481
      -4.704e-05    -5.13716e-05
      -2.837e-05    -2.65319e-05
     -2.0569e-05    -2.01379e-05
     -5.3382e-05    -5.32673e-05
    -0.000334984    -0.000276631
     -1.3339e-05    -2.16263e-05
     -3.9121e-05    -6.07471e-05
    -0.000148768    -0.000147863
    -0.000634471     -0.00060942
     -5.0413e-05    -6.73154e-05
    -0.000219403    -0.000233621
    -0.000156019     -0.00019206
    -0.000204024    -0.000238277
     -3.9513e-05    -7.87879e-05
    -0.000159074    -0.000201904
    -0.000287279    -0.000239844
     -3.7995e-05    -3.63051e-05
    -0.000100578    -0.000172653
     -4.6498e-05    -8.91469e-05
     -5.8007e-05    -6.70694e-05
     -1.1647e-05      -1.435e-05
     -1.4584e-05    -1.88414e-05
          -3e-05    -3.92498e-05
     -7.6657e-05    -9.10041e-05
      -5.189e-06     -7.2918e-06
     -3.2774e-05    -4.42519e-05
     -2.1928e-05    -2.53975e-05
     -8.0894e-05     -0.00010476
     -7.2427e-05    -9.41714e-05
     -1.6614e-05    -1.84982e-05
     -1.1799e-05    -1.39159e-05
      -9.305e-06    -9.13215e-06
     -2.0688e-05    -2.16562e-05
     -1.7156e-05    -2.81244e-05
     -1.0496e-05    -1.92343e-05
     -3.7206e-05    -4.60681e-05
     -6.5855e-05    -8.61756e-05
     -1.9883e-05    -3.03353e-05
    -0.000290281    -0.000283938
      -9.871e-05     -0.00011441
      -7.033e-06    -1.07728e-05
          -7e-06    -1.20281e-05
     -6.1785e-05     -6.9621e-05
    -0.000112273    -0.000104438
      -5.769e-06    -9.44823e-06
     -1.6566e-05    -2.17784e-05
       -1.82e-05    -2.62176e-05
    -0.000150101    -0.000154144
     -2.9121e-05    -3.62257e-05
    -0.000770271    -0.000758964
    -0.000184071    -0.000172927
     -1.3922e-05    -2.11279e-05
    -0.000144433    -0.000125344
     -1.8176e-05    -1.98212e-05
      -8.068e-06    -9.74824e-06
     -2.8983e-05    -4.14808e-05
     -9.1938e-05    -0.000155872
     -0.00012466    -0.000199779
    -0.000343888    -0.000330908
     -5.2335e-05    -6.18444e-05
     -1.7482e-05    -1.97793e-05
      -4.035e-05    -5.20385e-05
    -0.000164946     -0.00017612
    -0.000102222    -0.000120447
     -6.3561e-05    -6.59515e-05
     -4.1975e-05    -4.56301e-05
    -0.000132242    -0.000134734
     -4.7633e-05    -8.05724e-05
      -9.142e-06    -1.27069e-05
     -0.00016643    -0.000279715
      -9.479e-06    -1.22613e-05
     -1.3953e-05    -2.79555e-05
      -9.611e-06    -1.08073e-05
     -3.4084e-05    -3.76609e-05
     -4.6849e-05    -8.07056e-05
     -1.3167e-05    -1.53809e-05
      -1.944e-05    -1.79493e-05
     -1.7118e-05    -1.59606e-05
     -3.0567e-05     -4.1732e-05
     -8.0072e-05    -9.85111e-05
     -4.3612e-05     -4.7095e-05
      -2.645e-05    -2.51541e-05
    -0.000413549    -0.000323035
    -0.000297425    -0.000303951
    -0.000370364    -0.000306361
    -0.000143971    -0.000189342
     -6.6701e-05     -6.2159e-05
     -2.7597e-05    -2.37741e-05
     -3.6847e-05    -3.79302e-05
      -7.823e-06    -7.84943e-06
    -0.000378157    -0.000319202
     -3.9213e-05    -4.38259e-05
     -2.3536e-05     -3.9387e-05
     -1.0751e-05    -1.29199e-05
      -3.093e-05    -6.10815e-05
     -5.5466e-05    -7.04763e-05
     -9.8853e-05    -0.000180798
     -3.2581e-05    -5.66454e-05
     -2.9972e-05    -3.46967e-05
     -5.7793e-05    -5.34848e-05
     -6.8249e-05    -9.04222e-05
    -0.000270764    -0.000387684
      -9.673e-06    -1.50158e-05
     -1.6548e-05    -2.26888e-05
     -8.5866e-05    -0.000119399
    -0.000686983    -0.000568791
     -2.0077e-05    -3.38504e-05
     -0.00011306     -0.00010864
       -5.18e-05    -6.31573e-05
    -0.000961857    -0.000733822
      -8.249e-06    -1.25812e-05
      -8.902e-06    -1.50273e-05
     -2.8759e-05    -3.13576e-05
     -1.5386e-05     -1.4198e-05
      -9.186e-06    -1.18054e-05
      -7.959e-06    -8.60019e-06
     -2.0922e-05     -2.5412e-05
    -0.000116357    -0.000118931
     -2.7581e-05    -2.83738e-05
      -2.874e-05     -2.4986e-05
     -2.8041e-05    -3.47338e-05
     -3.5639e-05    -5.05084e-05
    -0.000109434    -9.48218e-05
      -5.464e-06    -7.52587e-06
     -0.00023402    -0.000224098
     -0.00014716    -0.000174981
     -1.3788e-05    -1.89392e-05
     -6.9593e-05    -6.66803e-05
     -3.0501e-05    -3.74353e-05
      -3.814e-05     -6.0378e-05
     -0.00010107    -0.000154723
     -1.3545e-05    -1.35551e-05
     -1.0735e-05    -1.33465e-05
      -3.246e-05    -3.61227e-05
      -2.345e-05    -2.45236e-05
     -3.7422e-05    -4.47215e-05
     -5.1774e-05    -7.06293e-05
    -0.000104266    -0.000122156
    -0.000120816    -0.000198989
     -1.5733e-05    -1.84638e-05
     -4.1187e-05     -5.7832e-05
     -7.5392e-05    -9.02112e-05
     -1.5957e-05    -1.66302e-05
    -0.000315977    -0.000372483
    -0.000193028    -0.000247051
     -6.3215e-05     -6.7087e-05
     -2.0003e-05    -1.89702e-05
    -0.000187436    -0.000246886
      -8.141e-06      -8.571e-06
    -0.000242282    -0.000250547
    -0.000198671    -0.000277889
    -0.000210805    -0.000194003
    -0.000232459    -0.000299393
     -5.0137e-05    -5.48934e-05
     -0.00044969    -0.000397314
      -7.262e-06    -9.39248e-06
     -2.4413e-05    -5.08907e-05
    -0.000367611    -0.000394631
      -2.509e-05    -3.20477e-05
     -4.9246e-05    -7.48418e-05
    -0.000358957    -0.000404837
    -0.000251352    -0.000260867
    -0.000146619    -0.000128918
     -0.00040793    -0.000388686
    -0.000146496    -0.000198857
     -9.3365e-05    -0.000109845
     -6.4065e-05     -6.6083e-05
    -0.000199807    -0.000237138
     -9.1403e-05    -0.000133279
    -0.000268085    -0.000246997
    -0.000500803    -0.000493306
    -0.000181586    -0.000210472
    -0.000163165    -0.000222194
      -9.486e-06    -1.29389e-05
     -2.1605e-05    -2.00247e-05
     -1.0778e-05    -1.32468e-05
     -4.9035e-05     -5.9629e-05
    -0.000134173    -0.000166775
    -0.000165022    -0.000242702
     -3.1583e-05    -2.79394e-05
     -2.5024e-05     -4.3368e-05
       -6.47e-06    -7.98052e-06
     -3.5089e-05     -6.0032e-05
    -0.000200285    -0.000186478
    -0.000308546    -0.000272208
    -0.000440122    -0.000385773
     -5.1724e-05    -6.04121e-05
      -1.901e-05    -2.40182e-05
     -5.2211e-05    -6.35243e-05
     -7.7369e-05    -8.60018e-05
     -1.3698e-05    -1.72577e-05
    -0.000128939    -0.000152955
       -9.37e-06    -1.17548e-05
     -9.0706e-05    -0.000107089
     -8.9877e-05    -0.000128897
    -0.000311359    -0.000323629
     -2.8564e-05    -2.99127e-05
     -0.00043384     -0.00039872
      -8.798e-06    -1.60352e-05
     -4.8931e-05     -6.8114e-05
     -0.00014418     -0.00021652
      -6.121e-05    -6.21296e-05
    -0.000129315    -0.000115689
     -6.0065e-05    -7.64586e-05
     -2.8407e-05    -3.58823e-05
     -1.9044e-05    -2.50957e-05
     -1.0981e-05    -1.32926e-05
     -5.2437e-05    -8.81235e-05
     -2.2264e-05    -2.70889e-05
     -1.7145e-05    -2.01994e-05
      -1.586e-05    -2.78758e-05
      -5.973e-06    -8.44555e-06
    -0.000105617    -0.000106234
    -0.000683525    -0.000573525
     -1.1395e-05    -2.33161e-05
     -5.2459e-05    -5.54435e-05
     -0.00012811    -0.000199778
     -2.2994e-05    -2.04586e-05
     -1.5835e-05    -1.38846e-05
    -0.000481366     -0.00039613
    -0.000125331    -0.000138267
     -1.6199e-05    -1.66855e-05
     -4.0863e-05    -3.88966e-05
    -0.000114988    -0.000132376
     -9.2377e-05    -7.79184e-05
    -0.000146188    -0.000170264
      -4.812e-05    -5.80676e-05
     -4.5884e-05    -6.45216e-05
    -0.000222336    -0.000217629
      -6.817e-06    -1.23959e-05
     -4.3086e-05     -4.9112e-05
     -5.5661e-05     -6.9436e-05
      -8.786e-06    -8.99818e-06
     -6.1006e-05    -8.44822e-05
     -1.3896e-05    -1.35775e-05
      -5.545e-05    -5.87618e-05
      -1.112e-05    -1.27215e-05
    -0.000137014    -0.000146918
     -6.9056e-05    -8.78812e-05
      -7.865e-05    -8.03506e-05
     -1.1925e-05    -1.14692e-05
     -1.3175e-05    -1.53253e-05
      -2.484e-05     -2.3464e-05
    -0.000136105     -0.00015533
