QM Energy	FF Energy
     -3.6432e-05    -6.18874e-06
     -5.5568e-05    -8.57326e-06
     -8.6554e-05    -1.18972e-05
     -4.4831e-05    -6.80044e-06
    -0.000396425    -4.76554e-05
    -0.000774445    -0.000105173
     -3.5858e-05    -5.72263e-06
    -0.000260222    -3.73448e-05
    -0.000136277    -2.03085e-05
    -0.000193526    -2.61856e-05
     -3.8198e-05    -5.62792e-06
     -6.4406e-05     -1.0595e-05
      -0.0011081    -0.000160864
    -0.000311006    -4.32261e-05
    -0.000301064     -4.7231e-05
     -2.6735e-05    -4.64053e-06
    -0.000152811    -2.35948e-05
    -0.000140203    -1.89858e-05
    -0.000147531    -1.80901e-05
     -3.9771e-05    -5.44965e-06
    -0.000108922    -1.59625e-05
     -0.00055798     -8.1742e-05
     -0.00109147    -0.000136608
    -0.000384148     -5.0686e-05
     -0.00130691     -0.00017898
     -8.8684e-05    -1.28463e-05
    -0.000392816    -5.37126e-05
    -0.000921777    -0.000112023
     -6.5222e-05    -1.02669e-05
     -0.00117195    -0.000142303
     -0.00127817    -0.000176811
        -5.5e-05    -7.44746e-06
    -0.000171905    -2.27407e-05
     -7.2317e-05    -1.25517e-05
    -0.000667528    -8.99835e-05
    -0.000562428    -7.56859e-05
     -3.4902e-05    -5.47174e-06
     -0.00104182    -0.000132935
    -0.000566105    -7.13843e-05
      -0.0003602    -4.68465e-05
     -0.00127877    -0.000176818
     -3.7768e-05    -5.87865e-06
    -0.000624678    -8.11564e-05
     -3.8812e-05    -6.98706e-06
    -0.000284798    -3.62315e-05
     -3.0597e-05    -4.43943e-06
     -1.5476e-05      -2.332e-06
    -0.000206423    -2.93936e-05
    -0.000739386    -9.46748e-05
     -8.0876e-05    -1.08651e-05
     -3.7098e-05    -4.85752e-06
     -3.4779e-05    -5.09061e-06
     -4.1275e-05    -6.16717e-06
    -0.000320695    -4.41652e-05
     -0.00113825    -0.000141536
      -1.975e-05    -3.18138e-06
    -0.000500783    -7.23726e-05
    -0.000951583    -0.000123607
     -1.9135e-05    -2.64369e-06
    -0.000652557    -9.87663e-05
     -0.00118198    -0.000157147
     -6.9576e-05    -8.60048e-06
     -8.9834e-05    -1.49288e-05
    -0.000140703    -1.95672e-05
     -1.8709e-05    -2.95742e-06
     -6.7002e-05    -1.01908e-05
     -4.7085e-05    -7.87155e-06
     -0.00114104    -0.000154104
     -1.8556e-05    -3.50356e-06
      -2.371e-05    -3.36688e-06
     -5.6674e-05     -7.4529e-06
     -1.1757e-05    -2.11061e-06
     -0.00089295    -0.000116029
    -0.000499336      -7.279e-05
     -0.00036469    -5.45234e-05
    -0.000717098    -0.000107174
    -0.000191718     -2.8453e-05
    -0.000160791    -2.25938e-05
     -3.1212e-05    -4.94679e-06
    -0.000532942    -7.08341e-05
    -0.000421227    -6.14597e-05
     -0.00018088    -2.46652e-05
      -8.337e-05    -1.29627e-05
      -8.536e-05    -1.25713e-05
     -4.4709e-05    -7.17272e-06
     -0.00049443    -6.49082e-05
     -0.00079186    -0.000112704
     -2.5221e-05    -3.69755e-06
     -6.3418e-05    -7.97841e-06
    -0.000439308    -5.55623e-05
    -0.000128374    -1.64066e-05
     -6.0283e-05    -7.94947e-06
     -1.7358e-05    -2.82765e-06
    -0.000208149    -2.74536e-05
    -0.000294509    -4.08902e-05
    -0.000133666     -2.0852e-05
    -0.000197844    -3.09452e-05
    -0.000453916    -5.96208e-05
     -3.8887e-05    -4.93892e-06
     -3.3924e-05    -4.90623e-06
