QM Energy	FF Energy
     -0.00177576     -0.00170865
     -0.00270356     -0.00273368
     -0.00242655     -0.00224195
     -0.00180327     -0.00173263
     -0.00466261     -0.00449892
     -0.00799922     -0.00771827
     -0.00166569     -0.00162308
     -0.00476781     -0.00475917
     -0.00300029     -0.00293934
     -0.00370635     -0.00347346
     -0.00155631     -0.00144109
     -0.00210272     -0.00200793
      -0.0104966      -0.0105469
     -0.00411443     -0.00401917
     -0.00587888     -0.00603581
     -0.00194262     -0.00189548
     -0.00355587      -0.0035141
     -0.00313042     -0.00298048
     -0.00289384     -0.00282442
     -0.00112049    -0.000994346
     -0.00267595     -0.00258456
     -0.00758596     -0.00760806
     -0.00762215     -0.00716813
     -0.00447055     -0.00425572
      -0.0103362      -0.0101238
     -0.00240796     -0.00225246
     -0.00426204     -0.00416322
      -0.0070289     -0.00669443
     -0.00239074     -0.00233087
     -0.00827024     -0.00787546
     -0.00870133      -0.0084721
     -0.00161082     -0.00153249
     -0.00256181      -0.0023494
     -0.00269419     -0.00269453
     -0.00632437     -0.00626185
     -0.00715994     -0.00701122
     -0.00149057     -0.00140479
     -0.00840132     -0.00821221
     -0.00520241     -0.00491834
     -0.00441672     -0.00426196
     -0.00968542      -0.0094056
     -0.00175572     -0.00163802
     -0.00604167     -0.00583693
     -0.00215547     -0.00212448
     -0.00329461     -0.00309252
      -0.0015241     -0.00141756
     -0.00107429    -0.000992238
      -0.0036536     -0.00360963
     -0.00762985     -0.00742221
     -0.00159233     -0.00144029
     -0.00124557     -0.00114801
     -0.00171253     -0.00158886
     -0.00218972     -0.00220804
     -0.00383756     -0.00375532
     -0.00848319     -0.00829635
     -0.00117397      -0.0010608
     -0.00658575      -0.0065436
     -0.00654469     -0.00604424
     -0.00101824    -0.000897854
     -0.00922017     -0.00940538
     -0.00698014     -0.00648796
     -0.00189253        -0.00176
     -0.00312324      -0.0031284
     -0.00283434      -0.0026904
     -0.00104124    -0.000943438
     -0.00203232     -0.00192219
     -0.00199806      -0.0019516
      -0.0086072     -0.00818883
     -0.00163138     -0.00161505
     -0.00143234     -0.00137354
     -0.00199865     -0.00190554
     -0.00114946     -0.00109589
     -0.00657283     -0.00617703
     -0.00740424     -0.00749121
      -0.0055931     -0.00566595
     -0.00866587     -0.00882517
     -0.00365888     -0.00359082
     -0.00258001     -0.00241348
     -0.00161542     -0.00154394
     -0.00446217     -0.00412641
     -0.00718172     -0.00731547
     -0.00272423      -0.0025126
     -0.00296504      -0.0029274
     -0.00209953     -0.00193617
     -0.00172721     -0.00165868
     -0.00494444     -0.00474805
     -0.00829496     -0.00828085
     -0.00162105     -0.00149535
     -0.00220548     -0.00204752
      -0.0052923     -0.00519585
     -0.00236907     -0.00224113
     -0.00155247     -0.00140982
      -0.0011704     -0.00110655
     -0.00388961     -0.00375028
     -0.00406201     -0.00392396
