QM Energy	FF Energy
     -0.00024087     -0.00212432
    -0.000256357     -0.00300761
    -0.000382054     -0.00416106
    -0.000266743     -0.00236668
     -0.00146303      -0.0167589
     -0.00433226      -0.0360595
    -0.000152826     -0.00199073
     -0.00116507      -0.0128094
    -0.000504127      -0.0071768
    -0.000880643     -0.00897913
    -0.000237365     -0.00197478
    -0.000376917     -0.00362981
     -0.00560855      -0.0552585
     -0.00158808      -0.0146276
     -0.00144935      -0.0162157
    -0.000162286     -0.00158927
    -0.000899148     -0.00793275
    -0.000674233     -0.00656331
     -0.00046456     -0.00650659
     -0.00012536     -0.00195338
    -0.000559906     -0.00543783
     -0.00289072        -0.02796
     -0.00471144      -0.0471674
     -0.00160286      -0.0177745
     -0.00722672      -0.0602992
     -0.00052951     -0.00448243
     -0.00167261       -0.018483
     -0.00382251      -0.0387332
    -0.000386952     -0.00352457
     -0.00429656      -0.0492201
     -0.00595874      -0.0577304
    -0.000184892     -0.00267531
    -0.000645166     -0.00792369
    -0.000453933     -0.00426907
      -0.0027063      -0.0312845
     -0.00269223      -0.0257663
     -0.00016266     -0.00190172
     -0.00473736      -0.0454717
     -0.00244492      -0.0244663
     -0.00154867      -0.0162171
      -0.0065242      -0.0602756
    -0.000224185     -0.00202252
     -0.00287366      -0.0278703
    -0.000282874      -0.0024111
     -0.00105682      -0.0126961
    -0.000164748     -0.00157278
     -9.9014e-05    -0.000804132
     -0.00104846      -0.0100216
     -0.00313655      -0.0331711
    -0.000266238      -0.0038602
     -0.00010469     -0.00176131
    -0.000171741     -0.00177636
    -0.000167927     -0.00216349
     -0.00131541      -0.0152821
     -0.00430432      -0.0486825
     -0.00014722      -0.0010936
     -0.00230929       -0.024457
     -0.00483865      -0.0418144
     -5.0184e-05    -0.000931865
     -0.00371864      -0.0336074
     -0.00535398      -0.0501891
    -0.000238287     -0.00307599
    -0.000515734     -0.00508916
    -0.000730975     -0.00667584
    -0.000111785     -0.00102636
    -0.000343324     -0.00350438
    -0.000305834     -0.00271563
     -0.00557372      -0.0527085
    -0.000119954     -0.00120007
     -9.2529e-05     -0.00119177
    -0.000263255      -0.0026454
     -6.6337e-05    -0.000709133
     -0.00371769      -0.0377915
     -0.00274472      -0.0248479
     -0.00188805      -0.0185257
     -0.00393199      -0.0364251
     -0.00102681     -0.00978833
    -0.000838867     -0.00769498
    -0.000184321     -0.00168108
     -0.00256825      -0.0240061
     -0.00226944      -0.0209857
    -0.000864029     -0.00850791
    -0.000350939     -0.00449975
    -0.000440747      -0.0043534
     -0.00029161     -0.00248664
     -0.00215788      -0.0217592
      -0.0036645      -0.0388128
    -0.000150223     -0.00127359
      -0.0002448     -0.00285702
     -0.00160806       -0.019783
    -0.000445857      -0.0058254
    -0.000231781     -0.00281046
     -0.00011409      -0.0010011
    -0.000766433     -0.00970033
     -0.00146601       -0.014006
    -0.000820623     -0.00718559
     -0.00106628      -0.0106217
     -0.00215674      -0.0207154
     -0.00012895     -0.00176698
    -0.000139869     -0.00170074
     -0.00030034     -0.00283774
    -0.000538714      -0.0044192
     -0.00375821      -0.0423516
     -0.00130943      -0.0130823
    -0.000639006     -0.00585964
     -0.00247199      -0.0281622
    -0.000355184     -0.00444081
     -0.00163665      -0.0182582
     -0.00043878     -0.00467104
     -0.00182429      -0.0182253
    -0.000669886      -0.0073786
     -0.00305311      -0.0287053
    -0.000584894     -0.00990549
     -0.00477809      -0.0404448
    -0.000232364     -0.00212157
    -0.000216366     -0.00221648
     -0.00108761      -0.0107155
    -0.000295153     -0.00217945
    -0.000379233     -0.00329081
    -0.000173585     -0.00133247
     -0.00658314      -0.0556982
    -0.000433765     -0.00501623
    -0.000194643     -0.00211718
    -0.000380998     -0.00344906
    -0.000167522     -0.00143602
     -0.00120231      -0.0163345
    -0.000643111     -0.00676684
      -0.0013858      -0.0113519
    -0.000186177      -0.0014519
    -0.000179388     -0.00178211
    -0.000647422     -0.00553135
     -0.00019948     -0.00160762
    -0.000340128     -0.00313608
     -0.00178896      -0.0175715
     -0.00363037      -0.0315585
    -0.000313911     -0.00377065
     -0.00129255      -0.0148409
     -0.00150836      -0.0137767
    -0.000781566       -0.010656
     -0.00013862     -0.00156453
     -0.00150473      -0.0136205
     -0.00497499      -0.0401825
    -0.000431199     -0.00480903
     -0.00259394      -0.0253724
     -0.00206583      -0.0319921
     -0.00210396      -0.0192922
    -0.000289638     -0.00237535
      -0.0013168      -0.0131535
     -0.00156372      -0.0139802
    -0.000189608     -0.00226368
     -0.00480446      -0.0495279
     -0.00055372     -0.00587099
     -0.00043049     -0.00490312
    -0.000702686      -0.0063998
    -0.000202784     -0.00245064
     -0.00019251     -0.00166229
     -0.00268536      -0.0278798
      -0.0018786      -0.0173003
     -0.00401571      -0.0533279
      -0.0026532      -0.0265865
    -0.000829247      -0.0109572
    -0.000231256     -0.00243133
      -0.0021247      -0.0233435
     -0.00017515     -0.00176655
     -0.00105593      -0.0111694
     -0.00040701     -0.00417754
     -0.00148328      -0.0182352
      -0.0019433      -0.0268599
     -7.6954e-05    -0.000919447
     -0.00372451      -0.0375674
    -0.000440786     -0.00400562
     -0.00281694      -0.0276559
     -0.00492831      -0.0477805
    -0.000486039     -0.00566939
    -0.000120778     -0.00153618
     -0.00219268      -0.0232523
    -0.000809535     -0.00785434
    -0.000374855      -0.0036665
     -0.00189509      -0.0171763
     -0.00274362      -0.0292168
    -0.000727562     -0.00689473
      -0.0018218       -0.016717
    -0.000106353     -0.00146706
     -0.00550313      -0.0464542
     -0.00113733      -0.0183038
     -0.00143698       -0.013454
    -0.000116355      -0.0015015
     -0.00548487      -0.0595549
    -0.000171779     -0.00149304
    -0.000956313     -0.00848465
     -0.00262655      -0.0271605
    -0.000887168      -0.0119004
    -0.000541772     -0.00440884
    -0.000212542      -0.0017225
    -0.000130628    -0.000990693
    -0.000722348     -0.00645185
      -0.0021019      -0.0205042
    -0.000694655      -0.0067732
      -0.0012033      -0.0128711
     -0.00363985      -0.0381579
     -0.00209686      -0.0206097
     -0.00302101      -0.0302881
    -0.000251318     -0.00215836
     -0.00164852       -0.017787
    -0.000448799     -0.00439644
    -0.000203947     -0.00177008
     -0.00420792      -0.0382489
     -0.00209184      -0.0223645
    -0.000913552      -0.0100093
      -0.0067594       -0.068704
     -0.00856107      -0.0822353
     -0.00525993      -0.0548083
     -0.00022713     -0.00185479
    -0.000585863     -0.00614131
    -0.000995665     -0.00970753
    -0.000955275     -0.00949787
     -0.00039938     -0.00511585
    -0.000138768     -0.00110511
     -0.00222898      -0.0218379
      -0.0013624       -0.014388
    -0.000157287      -0.0014675
     -0.00176535      -0.0212697
      -0.0020718      -0.0182743
     -0.00511807      -0.0414053
     -0.00749172      -0.0602201
     -0.00100467     -0.00945723
    -0.000264367     -0.00220689
    -0.000321373     -0.00260176
    -0.000619754     -0.00798203
    -0.000281519     -0.00234539
    -0.000102963    -0.000983597
     -0.00292532      -0.0285375
    -0.000755736     -0.00720678
     -0.00166744      -0.0150618
    -0.000786326      -0.0074345
      -0.0016797      -0.0156117
    -0.000541693     -0.00489792
    -0.000243137     -0.00260332
     -0.00790055      -0.0667007
      -0.0016924      -0.0257445
     -0.00465415      -0.0470554
     -0.00141205      -0.0123675
     -0.00337129      -0.0334571
    -0.000384757     -0.00445154
     -0.00472721      -0.0518685
    -0.000174046     -0.00149167
     -0.00021143     -0.00184731
    -0.000107954    -0.000876574
    -0.000121534     -0.00122636
    -0.000312204      -0.0033781
     -0.00232296      -0.0263702
     -0.00237564      -0.0225921
    -0.000203823     -0.00209755
     -0.00409939      -0.0392244
      -0.0045708      -0.0427836
    -0.000182719     -0.00147497
     -0.00160588      -0.0174671
     -0.00466567       -0.047557
     -0.00197636      -0.0232471
      -0.0040784      -0.0365692
    -0.000202221      -0.0019466
     -0.00777363      -0.0691529
     -0.00176804       -0.016839
    -0.000146043     -0.00221503
     -0.00545191       -0.047975
     -0.00674512      -0.0681138
     -0.00249518      -0.0231606
      -9.286e-05     -0.00103846
      -0.0076155      -0.0672404
    -0.000619057     -0.00613281
      -0.0058077      -0.0495377
     -0.00194168      -0.0190528
     -0.00282279      -0.0256268
    -0.000185832     -0.00176739
      -0.0060374      -0.0491513
    -0.000303974     -0.00422157
    -0.000641273     -0.00677287
    -0.000903104      -0.0116005
    -0.000591153     -0.00588844
     -0.00224127      -0.0326081
    -0.000324591     -0.00337698
    -0.000346958     -0.00339104
    -0.000956274     -0.00836508
     -0.00386697      -0.0410761
      -0.0005896     -0.00706058
     -0.00226043      -0.0286158
    -0.000552604     -0.00494046
    -0.000163705     -0.00205213
     -0.00396261      -0.0450858
     -0.00026742     -0.00209655
    -0.000413085     -0.00441867
    -0.000705859     -0.00632813
    -0.000363772     -0.00426668
       -8.75e-05     -0.00148627
     -0.00113523      -0.0118016
    -0.000137961     -0.00140087
    -0.000601769     -0.00570623
      -0.0062585        -0.06704
      -0.0032942       -0.034022
     -7.0626e-05    -0.000904064
     -0.00799383      -0.0707285
       -0.006921      -0.0613602
    -0.000873891      -0.0102156
     -0.00176493      -0.0155164
     -0.00618399        -0.06851
     -0.00109525     -0.00964332
    -0.000107539     -0.00104911
     -0.00763337      -0.0693153
    -0.000501467     -0.00657849
     -0.00253152      -0.0309121
     -8.9559e-05    -0.000779815
     -0.00148041      -0.0182069
     -0.00018354     -0.00179402
      -0.0013874      -0.0167948
     -0.00118586     -0.00981945
     -0.00589129      -0.0513068
    -0.000353797      -0.0036131
    -0.000994973      -0.0120897
    -0.000547026     -0.00592045
     -0.00200085      -0.0216301
     -0.00203762      -0.0167331
     -0.00273866      -0.0259895
     -0.00340489      -0.0338226
     -0.00227337      -0.0254663
     -0.00067238     -0.00761366
     -0.00229213      -0.0235575
    -0.000111145    -0.000786305
     -0.00424115       -0.041674
     -0.00109372      -0.0111385
     -0.00892251      -0.0865271
     -0.00654742      -0.0735889
     -0.00265568      -0.0232493
    -0.000569291     -0.00509791
    -0.000572871     -0.00544693
    -0.000553001     -0.00490103
    -0.000139603     -0.00116545
    -0.000149143     -0.00134297
     -0.00650558      -0.0591565
     -9.5936e-05    -0.000829458
     -0.00126584      -0.0170543
     -0.00874795      -0.0823581
    -0.000480549      -0.0057018
     -0.00144093      -0.0156648
    -0.000266534     -0.00243463
     -0.00147307      -0.0132872
     -0.00384711      -0.0415974
    -0.000845994     -0.00712672
     -0.00192012      -0.0172503
    -0.000181701     -0.00168403
