QM Energy	FF Energy
      -1.239e-05    -1.84735e-05
     -2.4624e-05     -2.6078e-05
     -3.0537e-05    -3.85185e-05
     -1.5957e-05    -2.07267e-05
    -0.000151678    -0.000146865
    -0.000157504    -0.000300562
     -1.5731e-05    -1.78122e-05
     -9.1992e-05     -0.00010757
     -6.0418e-05    -6.43091e-05
     -5.3697e-05    -7.95387e-05
     -1.1173e-05    -1.70051e-05
     -2.2587e-05    -3.06786e-05
    -0.000388095    -0.000435959
     -8.2057e-05    -0.000120239
    -0.000104039     -0.00012964
      -8.078e-06    -1.32542e-05
     -3.0257e-05    -6.60858e-05
     -4.0285e-05    -5.78279e-05
      -6.743e-05    -5.99103e-05
     -2.0776e-05    -1.92845e-05
       -3.73e-05    -4.72727e-05
    -0.000160475    -0.000221437
    -0.000377819    -0.000400402
    -0.000143036    -0.000154641
    -0.000447726    -0.000460301
     -2.2322e-05    -3.88356e-05
    -0.000143153    -0.000152432
    -0.000332105    -0.000324665
     -1.5981e-05    -2.86919e-05
    -0.000472659    -0.000418869
    -0.000561794    -0.000467478
     -2.7601e-05    -2.58014e-05
     -5.5997e-05    -7.15219e-05
     -2.3859e-05    -3.45687e-05
    -0.000255535    -0.000259273
    -0.000158811     -0.00021545
      -1.468e-05    -1.71723e-05
    -0.000361349    -0.000365238
    -0.000193424    -0.000208177
    -0.000119387    -0.000138764
    -0.000481294     -0.00047703
      -8.643e-06    -1.86359e-05
    -0.000191019    -0.000231803
     -1.3459e-05    -1.94235e-05
    -0.000117665    -0.000114286
     -1.3411e-05    -1.44323e-05
      -5.944e-06    -7.32639e-06
     -5.5905e-05    -8.19857e-05
    -0.000251897    -0.000277802
     -3.5823e-05    -3.64405e-05
     -2.0578e-05    -1.78526e-05
       -1.36e-05    -1.65138e-05
     -1.8958e-05     -1.9176e-05
    -0.000122841     -0.00012926
    -0.000470475    -0.000407848
      -7.593e-06    -1.06745e-05
    -0.000153533    -0.000204323
    -0.000308057    -0.000345497
     -1.0353e-05    -9.74967e-06
      -0.0001548    -0.000251756
    -0.000468682    -0.000424262
     -3.2963e-05    -2.85002e-05
     -2.8466e-05     -4.1293e-05
     -4.7471e-05    -5.84955e-05
      -6.454e-06    -9.21382e-06
     -1.7137e-05    -3.04307e-05
     -1.6658e-05    -2.26618e-05
    -0.000385239     -0.00042626
      -5.257e-06    -9.64191e-06
     -1.0978e-05    -1.10674e-05
     -2.3568e-05    -2.34182e-05
      -3.572e-06     -6.6411e-06
     -0.00032331    -0.000333817
     -0.00012883    -0.000192359
    -0.000112716    -0.000146047
    -0.000194477    -0.000272743
     -4.9072e-05    -7.82159e-05
     -4.6422e-05    -6.56444e-05
      -9.982e-06    -1.54943e-05
    -0.000165397    -0.000203177
    -0.000106759    -0.000161247
     -4.8577e-05    -7.34048e-05
     -3.5015e-05    -3.96933e-05
     -2.0487e-05    -3.78039e-05
     -1.3448e-05    -2.04319e-05
    -0.000150992    -0.000187578
    -0.000265663    -0.000311901
     -1.1117e-05    -1.23693e-05
     -2.8467e-05    -2.66511e-05
    -0.000176065     -0.00017249
     -5.5196e-05    -5.30975e-05
       -2.82e-05    -2.64973e-05
      -6.843e-06    -8.54573e-06
     -8.3654e-05    -8.75435e-05
     -7.0094e-05    -0.000115932
     -2.1691e-05    -5.57391e-05
     -6.1542e-05    -8.37444e-05
    -0.000117202    -0.000175722
     -1.9609e-05    -1.68297e-05
     -1.6628e-05    -1.67657e-05
     -1.8751e-05    -2.39547e-05
     -1.4036e-05    -3.59423e-05
    -0.000373255    -0.000347951
     -9.6447e-05    -0.000116139
     -3.7373e-05    -4.93434e-05
    -0.000204135    -0.000229963
     -4.2526e-05    -4.07032e-05
    -0.000111503    -0.000143876
      -3.023e-05    -3.82927e-05
    -0.000103649    -0.000141692
     -4.7402e-05    -5.99228e-05
    -0.000231807    -0.000241742
    -0.000106395    -9.63729e-05
    -0.000231992    -0.000330529
      -8.297e-06    -1.73084e-05
     -2.0445e-05    -2.02675e-05
     -5.5736e-05    -8.47101e-05
     -1.6771e-05    -1.99012e-05
     -2.2007e-05    -2.80239e-05
      -8.501e-06    -1.31742e-05
    -0.000372663    -0.000438749
     -3.7899e-05    -4.55168e-05
     -1.7717e-05    -1.84103e-05
     -2.4685e-05     -3.0066e-05
      -7.835e-06    -1.25869e-05
     -0.00016738    -0.000151621
     -4.2046e-05    -5.45668e-05
     -2.9007e-05      -8.898e-05
      -8.557e-06     -1.2892e-05
     -1.5012e-05    -1.68409e-05
     -3.0567e-05    -4.69951e-05
     -1.1271e-05    -1.40697e-05
     -1.9445e-05    -2.87499e-05
    -0.000100635    -0.000147834
    -0.000205986    -0.000265045
     -2.9087e-05    -3.30479e-05
    -0.000125364    -0.000126187
     -8.8789e-05    -0.000121015
    -0.000109873    -9.95124e-05
      -9.112e-06    -1.26992e-05
     -7.8759e-05    -0.000115759
    -0.000186704     -0.00031351
     -3.3411e-05    -4.20403e-05
    -0.000157263    -0.000211001
    -0.000390337    -0.000303237
    -0.000129303    -0.000168085
      -8.136e-06    -2.17674e-05
     -7.1968e-05    -0.000105778
     -6.2776e-05     -0.00011083
     -1.3289e-05    -1.93376e-05
    -0.000427105    -0.000391732
     -3.3593e-05    -4.70338e-05
     -3.4472e-05    -4.11262e-05
     -3.7004e-05    -5.30158e-05
     -2.0288e-05    -2.12258e-05
      -9.771e-06    -1.38461e-05
     -0.00021736    -0.000238037
    -0.000100336    -0.000144968
    -0.000466545      -0.0004534
    -0.000153247     -0.00022312
     -9.4955e-05    -0.000100835
     -1.6564e-05    -2.07984e-05
    -0.000177037    -0.000197805
       -9.63e-06    -1.45138e-05
     -8.2078e-05    -9.74176e-05
     -2.8455e-05    -3.52845e-05
      -0.0001589    -0.000153938
    -0.000275348    -0.000249118
      -6.549e-06    -9.27128e-06
    -0.000322735    -0.000322371
     -1.6487e-05    -3.14963e-05
    -0.000185056    -0.000235052
    -0.000308949    -0.000377871
     -4.5465e-05    -5.06628e-05
     -1.4591e-05    -1.48578e-05
    -0.000178944    -0.000199919
     -4.9381e-05    -6.74982e-05
     -2.0529e-05    -3.04562e-05
     -8.9357e-05    -0.000138463
    -0.000271975    -0.000252446
     -3.5142e-05    -5.77301e-05
    -0.000114251    -0.000143473
     -1.2161e-05    -1.38753e-05
    -0.000331938    -0.000364347
    -0.000200434     -0.00017648
     -7.8896e-05    -0.000112822
     -1.4192e-05    -1.43654e-05
    -0.000477349    -0.000499355
     -1.0151e-05    -1.29242e-05
     -4.8562e-05    -7.32436e-05
    -0.000177185    -0.000220314
    -0.000116335    -0.000111669
     -1.1504e-05    -3.61045e-05
      -8.802e-06     -1.4701e-05
      -7.885e-06    -9.31368e-06
     -3.5808e-05    -5.39984e-05
    -0.000147827    -0.000172622
     -3.8163e-05    -5.71256e-05
      -7.912e-05    -0.000107301
    -0.000238221    -0.000297621
    -0.000109498     -0.00017066
    -0.000214018    -0.000248072
     -1.4598e-05    -1.83904e-05
     -0.00011602    -0.000141652
     -3.3938e-05     -4.0328e-05
     -1.1153e-05    -1.54297e-05
    -0.000249633    -0.000307521
    -0.000145675    -0.000180748
     -5.7557e-05    -7.89327e-05
    -0.000548224    -0.000548906
    -0.000743969    -0.000636441
    -0.000450911    -0.000430846
     -1.2407e-05    -1.58916e-05
     -4.6633e-05     -5.2481e-05
     -5.8515e-05    -7.85947e-05
     -5.7233e-05    -7.62768e-05
     -4.0935e-05    -4.71286e-05
      -7.647e-06    -1.06053e-05
    -0.000140534    -0.000186734
     -8.6899e-05    -0.000119506
      -6.399e-06    -1.32969e-05
    -0.000185999    -0.000187629
    -0.000109331    -0.000153052
     -0.00021331    -0.000336901
    -0.000375674    -0.000487004
     -4.6744e-05    -7.77275e-05
     -1.1782e-05    -1.86049e-05
     -1.7528e-05    -2.30339e-05
     -7.3187e-05    -7.12192e-05
     -1.5334e-05     -2.0137e-05
      -6.084e-06    -9.18192e-06
     -0.00017841    -0.000230552
      -5.065e-05    -6.38986e-05
     -8.2871e-05    -0.000120775
     -4.1563e-05    -6.21222e-05
     -8.2581e-05    -0.000122336
     -2.3831e-05      -4.185e-05
     -1.6708e-05    -2.26206e-05
    -0.000447025    -0.000520128
    -0.000298185    -0.000241061
    -0.000416894    -0.000401599
     -5.6526e-05    -9.93815e-05
    -0.000200665    -0.000279618
     -3.2113e-05    -3.76596e-05
    -0.000399041     -0.00042032
      -8.084e-06    -1.46057e-05
      -9.493e-06    -1.66989e-05
       -6.49e-06     -7.6486e-06
      -8.051e-06    -1.09141e-05
      -2.233e-05    -2.92335e-05
    -0.000204592    -0.000216062
    -0.000129349    -0.000176817
     -1.2345e-05    -1.80025e-05
    -0.000320915     -0.00032206
    -0.000332166     -0.00036434
      -7.537e-06    -1.33115e-05
    -0.000132444     -0.00014791
     -0.00036113    -0.000361797
    -0.000211727    -0.000199687
    -0.000221521    -0.000289114
      -9.554e-06    -1.63949e-05
    -0.000623776    -0.000543267
    -0.000110183    -0.000134781
     -2.3381e-05    -2.12779e-05
    -0.000330116    -0.000402053
    -0.000558708    -0.000533726
    -0.000145265     -0.00018734
      -6.663e-06    -9.56488e-06
    -0.000632739    -0.000541635
     -3.2799e-05    -5.10072e-05
    -0.000323547    -0.000397178
    -0.000149346    -0.000162813
     -0.00013678    -0.000204095
      -1.011e-05     -1.4435e-05
    -0.000355672    -0.000392886
     -4.4855e-05    -3.99388e-05
     -5.4466e-05    -5.98725e-05
    -0.000102525    -0.000106915
     -4.4117e-05    -5.30881e-05
    -0.000381251    -0.000302784
     -2.1439e-05    -2.94627e-05
     -1.6228e-05     -2.9193e-05
     -4.8491e-05     -7.1441e-05
     -0.00028211    -0.000321017
     -5.6312e-05    -6.15969e-05
    -0.000290213    -0.000251542
     -2.2889e-05    -4.14298e-05
     -1.9695e-05    -1.90103e-05
    -0.000406382     -0.00038691
       -1.42e-05    -1.84195e-05
     -2.8574e-05    -3.62821e-05
      -4.308e-05    -5.39891e-05
     -3.7874e-05     -3.7653e-05
     -1.6469e-05    -1.48063e-05
     -7.9407e-05    -0.000102593
      -8.976e-06    -1.20703e-05
     -3.5728e-05    -4.80218e-05
    -0.000605381    -0.000520578
    -0.000310634    -0.000289728
      -8.815e-06    -8.77778e-06
    -0.000598596    -0.000542169
    -0.000610117    -0.000526798
     -7.1715e-05    -8.69791e-05
     -8.7824e-05    -0.000129546
    -0.000615346    -0.000576934
     -6.6402e-05    -8.25348e-05
      -4.636e-06    -9.10049e-06
    -0.000557022    -0.000552193
      -5.529e-05    -5.82336e-05
    -0.000287033    -0.000269476
      -5.766e-06    -7.45624e-06
      -0.0001773    -0.000162884
     -1.3365e-05    -1.59083e-05
    -0.000149013    -0.000148313
     -4.3771e-05    -8.30778e-05
    -0.000433214    -0.000425181
     -1.8845e-05    -2.89029e-05
     -9.2156e-05    -0.000102533
     -3.8399e-05    -5.10023e-05
    -0.000156376    -0.000185092
     -5.5847e-05    -0.000135036
    -0.000184979    -0.000212696
    -0.000253431    -0.000289744
    -0.000222504    -0.000224989
     -5.8305e-05    -6.71228e-05
    -0.000166777    -0.000207151
      -4.748e-06    -7.76406e-06
    -0.000307149    -0.000336307
      -8.758e-05    -9.82838e-05
    -0.000830325    -0.000728837
    -0.000680052     -0.00060407
    -0.000142397    -0.000193642
     -2.5192e-05    -4.51226e-05
     -3.8075e-05    -4.84327e-05
     -3.4577e-05     -4.3421e-05
       -6.39e-06    -9.37267e-06
      -7.509e-06    -1.17492e-05
    -0.000477535    -0.000470956
       -5.82e-06    -7.77593e-06
    -0.000183735     -0.00015686
    -0.000536096    -0.000612819
     -5.0689e-05    -5.25251e-05
    -0.000120103    -0.000134133
     -1.6542e-05    -2.09127e-05
     -6.8867e-05    -0.000111256
    -0.000340753    -0.000340178
     -3.2576e-05    -5.99144e-05
     -6.7411e-05    -0.000137934
     -1.2664e-05    -1.47264e-05
     -2.8776e-05    -4.08529e-05
     -1.1258e-05    -2.68638e-05
      -9.907e-06    -1.29691e-05
     -6.8286e-05    -7.64877e-05
