QM Energy	FF Energy
     -4.6571e-05    -5.79761e-05
     -0.00143181     -0.00136927
     -2.4247e-05    -3.27655e-05
     -3.8774e-05    -4.63224e-05
    -0.000505145    -0.000507439
     -3.2808e-05    -4.27744e-05
      -7.063e-05    -8.64011e-05
      -7.855e-05    -0.000101199
    -0.000273666    -0.000310627
    -0.000139786    -0.000156976
     -4.3681e-05     -5.5279e-05
     -8.5294e-05    -0.000103751
    -0.000688224    -0.000732773
     -3.7692e-05     -4.9202e-05
     -1.2463e-05     -1.5472e-05
     -0.00022734    -0.000257374
    -0.000510008    -0.000531059
    -0.000199172    -0.000226718
    -0.000594873    -0.000592345
    -0.000161156    -0.000175533
     -2.7208e-05     -3.3757e-05
    -0.000523184    -0.000528301
    -0.000293901    -0.000298069
    -0.000890189    -0.000818992
     -6.2524e-05    -8.29786e-05
     -2.3122e-05    -3.36114e-05
     -1.9097e-05     -2.5881e-05
    -0.000852843    -0.000845125
    -0.000965395    -0.000961979
      -1.505e-05     -2.2504e-05
    -0.000244199    -0.000271669
     -0.00133722     -0.00126382
     -0.00090182    -0.000854996
    -0.000125894    -0.000141212
    -0.000898848    -0.000926088
     -4.7054e-05    -5.63288e-05
     -2.0859e-05    -2.53858e-05
     -6.5577e-05    -7.67037e-05
     -2.3987e-05    -2.82587e-05
    -0.000822356    -0.000800407
    -0.000744636    -0.000755173
     -6.8949e-05    -7.58877e-05
    -0.000327804    -0.000369972
    -0.000228913     -0.00026141
     -1.0428e-05    -1.30076e-05
    -0.000665434    -0.000667504
     -3.8163e-05    -5.47354e-05
    -0.000863242    -0.000841534
    -0.000463322     -0.00050064
    -0.000612116    -0.000595084
    -0.000562828    -0.000537316
     -0.00129933     -0.00130168
     -3.8088e-05    -4.47264e-05
    -0.000644202    -0.000635036
     -0.00117081     -0.00124155
     -0.00169413     -0.00181651
    -0.000629428    -0.000639785
    -0.000148982    -0.000164705
     -2.2072e-05    -2.84518e-05
    -0.000323312    -0.000339802
    -0.000191004    -0.000227365
    -0.000120397    -0.000143487
     -8.0274e-05     -9.9846e-05
     -0.00036321    -0.000396542
    -0.000110073    -0.000122064
     -0.00146837     -0.00144172
      -0.0012197      -0.0012257
    -0.000702838    -0.000653671
    -0.000133076    -0.000150765
    -0.000475696    -0.000506025
     -0.00041087     -0.00041179
     -0.00146035     -0.00142733
      -4.827e-05    -5.87238e-05
    -0.000182346     -0.00019826
    -0.000110572    -0.000123976
      -0.0017943     -0.00176026
    -0.000134465    -0.000151502
     -2.2108e-05    -2.74573e-05
     -4.7852e-05    -5.61681e-05
     -4.6011e-05    -5.77188e-05
    -0.000798401    -0.000799481
    -0.000265862    -0.000278218
    -0.000237968     -0.00026379
     -3.1148e-05    -3.81494e-05
    -0.000120063    -0.000131685
    -0.000250218    -0.000284571
     -7.1462e-05    -7.56686e-05
    -0.000111548    -0.000133351
     -6.3058e-05    -7.02185e-05
    -0.000393641    -0.000434856
    -0.000151192     -0.00016764
     -2.5187e-05    -3.16451e-05
     -6.2476e-05    -7.05887e-05
    -0.000229241    -0.000245359
    -0.000276518    -0.000297215
    -0.000150362    -0.000161464
    -0.000331176    -0.000354033
     -2.2871e-05    -2.83949e-05
    -0.000219045    -0.000233557
    -0.000519226    -0.000499836
     -4.2352e-05    -5.10177e-05
     -2.5118e-05    -3.05057e-05
    -0.000303791    -0.000320571
     -4.3938e-05    -5.54996e-05
     -6.1122e-05    -7.64671e-05
     -3.1255e-05    -3.77511e-05
      -1.791e-05    -2.23544e-05
    -0.000493893    -0.000488944
    -0.000530151     -0.00054886
      -4.572e-05    -5.89745e-05
     -1.2214e-05    -1.72106e-05
