QM Energy	FF Energy
     -0.00166835      -0.0016309
     -0.00766856     -0.00705334
     -0.00125085      -0.0012264
     -0.00117596     -0.00110702
     -0.00342472     -0.00320874
     -0.00152491      -0.0015104
     -0.00195178     -0.00190715
     -0.00230337     -0.00237633
     -0.00376606     -0.00376861
     -0.00273943     -0.00269158
     -0.00194506     -0.00193436
     -0.00245923     -0.00243249
     -0.00625463     -0.00621974
     -0.00170159     -0.00170635
    -0.000792979    -0.000744207
     -0.00289095     -0.00286984
      -0.0039469     -0.00383882
     -0.00336014      -0.0033819
     -0.00334836      -0.0030114
     -0.00265028     -0.00250707
    -0.000824736    -0.000758871
     -0.00347988      -0.0032124
     -0.00305774     -0.00292058
     -0.00550053     -0.00512433
     -0.00203923     -0.00204783
     -0.00142114     -0.00145851
     -0.00117217     -0.00114846
     -0.00558407     -0.00541171
     -0.00633042     -0.00609228
     -0.00126771     -0.00127732
     -0.00360019     -0.00361036
     -0.00891766     -0.00866172
     -0.00616079     -0.00579922
      -0.0020884     -0.00199324
     -0.00747932     -0.00724098
     -0.00133733     -0.00128817
    -0.000997497    -0.000957641
     -0.00151041     -0.00144708
     -0.00130822     -0.00123915
     -0.00401721     -0.00361226
     -0.00508752     -0.00492137
     -0.00179635     -0.00169371
     -0.00414759     -0.00420646
     -0.00307041     -0.00307179
    -0.000692454     -0.00064143
     -0.00434056     -0.00409698
      -0.0019419     -0.00198017
     -0.00492984     -0.00454531
     -0.00511211     -0.00513001
      -0.0044961     -0.00419291
     -0.00406821      -0.0037535
     -0.00830171     -0.00774186
     -0.00140507      -0.0013582
     -0.00522848      -0.0048789
      -0.0102843      -0.0103966
      -0.0125282      -0.0123619
     -0.00457966     -0.00432893
     -0.00204172     -0.00195998
    -0.000959768    -0.000928499
     -0.00351856     -0.00346262
     -0.00315906     -0.00321932
     -0.00247405      -0.0025068
     -0.00189832     -0.00188196
     -0.00444577     -0.00434684
     -0.00191488     -0.00177924
      -0.0104119      -0.0102096
     -0.00968082     -0.00972858
     -0.00523075     -0.00488383
     -0.00214837     -0.00211369
      -0.0048239     -0.00473506
     -0.00366895      -0.0035121
      -0.0089307     -0.00870742
     -0.00137418      -0.0013093
     -0.00218779      -0.0020715
     -0.00186263     -0.00176901
       -0.010206     -0.00955732
     -0.00172672     -0.00161675
     -0.00110197     -0.00103618
     -0.00127957      -0.0011966
     -0.00173926     -0.00172586
     -0.00676434     -0.00677569
     -0.00360217     -0.00357651
     -0.00310001     -0.00306311
     -0.00113314     -0.00108077
     -0.00188598     -0.00175813
     -0.00352286     -0.00356934
     -0.00219431     -0.00209819
     -0.00228198     -0.00228649
     -0.00160143     -0.00155123
     -0.00475748     -0.00485513
     -0.00212198     -0.00204498
     -0.00103748    -0.000997609
     -0.00197797     -0.00190149
     -0.00314135     -0.00309493
     -0.00417101     -0.00415577
     -0.00213088     -0.00203531
     -0.00320854      -0.0031377
     -0.00106341    -0.000988294
     -0.00284351     -0.00279735
      -0.0043513     -0.00418085
     -0.00151347     -0.00148265
     -0.00100277    -0.000926528
     -0.00440174     -0.00441405
     -0.00153513     -0.00152083
     -0.00158435     -0.00157171
    -0.000901754    -0.000813118
    -0.000841966    -0.000785354
     -0.00462024     -0.00461049
     -0.00605558     -0.00616067
     -0.00159409     -0.00160817
     -0.00105589     -0.00103069
    -0.000759544    -0.000684157
    -0.000879385    -0.000846121
     -0.00145532     -0.00139345
     -0.00136177     -0.00133544
     -0.00184113     -0.00180407
     -0.00237814     -0.00243637
     -0.00457906     -0.00442903
     -0.00183082     -0.00173915
     -0.00254495     -0.00242475
    -0.000860282    -0.000784252
     -0.00153439      -0.0015275
     -0.00320936      -0.0031025
     -0.00134455     -0.00129401
     -0.00280076     -0.00278536
     -0.00731058     -0.00694416
     -0.00220827      -0.0022035
     -0.00551477     -0.00507551
     -0.00162006     -0.00158339
     -0.00226555     -0.00209277
     -0.00153412      -0.0014928
    -0.000983603    -0.000969466
     -0.00171238     -0.00166506
     -0.00250268     -0.00231628
     -0.00179527     -0.00188047
     -0.00113061     -0.00109039
     -0.00151155     -0.00147147
       -0.004735     -0.00475389
     -0.00159127     -0.00150864
     -0.00280863     -0.00275587
     -0.00206426     -0.00201233
     -0.00239177     -0.00236333
     -0.00243976     -0.00245124
      -0.0011389        -0.00108
     -0.00448624     -0.00434865
     -0.00139952      -0.0013767
        -0.00153     -0.00154151
     -0.00106323     -0.00103887
     -0.00138477     -0.00135083
     -0.00185529     -0.00174845
     -0.00135581     -0.00134244
     -0.00324782     -0.00318848
     -0.00820673     -0.00819116
      -0.0013683     -0.00126123
     -0.00556641     -0.00559795
     -0.00214033      -0.0020102
     -0.00102681    -0.000996828
     -0.00305111     -0.00300505
     -0.00196727     -0.00195623
     -0.00377426     -0.00375406
     -0.00097108    -0.000896395
     -0.00118528     -0.00108271
     -0.00234518     -0.00229614
     -0.00404782     -0.00371372
     -0.00131511     -0.00129647
     -0.00209684     -0.00196122
     -0.00257134     -0.00260159
     -0.00116506     -0.00112899
     -0.00212326     -0.00201748
    -0.000867152    -0.000833654
     -0.00167839     -0.00170139
     -0.00292505     -0.00274114
     -0.00541005     -0.00528887
     -0.00129357     -0.00120533
     -0.00357937      -0.0035373
     -0.00304377     -0.00296761
     -0.00124549     -0.00114421
     -0.00261601     -0.00247591
     -0.00103358      -0.0010009
     -0.00554181     -0.00550624
     -0.00173764     -0.00171358
     -0.00478345     -0.00476675
      -0.0040644     -0.00376952
     -0.00146779     -0.00142296
       -0.007363     -0.00717219
     -0.00262901     -0.00247071
      -0.0042884     -0.00397731
     -0.00728222     -0.00702179
     -0.00202132     -0.00198218
     -0.00705925     -0.00690759
     -0.00378465     -0.00347555
     -0.00223266      -0.0021613
     -0.00308825     -0.00277515
     -0.00109443     -0.00105706
     -0.00226199     -0.00230482
      -0.0060049     -0.00553583
     -0.00209506     -0.00204872
     -0.00368994     -0.00359565
     -0.00169596     -0.00166312
     -0.00308048     -0.00295307
     -0.00215662     -0.00204308
     -0.00109531     -0.00100766
     -0.00398489     -0.00382631
     -0.00179655     -0.00176121
     -0.00191086     -0.00178905
     -0.00119767     -0.00118805
     -0.00087496    -0.000859295
     -0.00986072     -0.00951373
     -0.00767198     -0.00753483
     -0.00128774     -0.00125783
     -0.00437944     -0.00410625
     -0.00255865     -0.00245268
