QM Energy	FF Energy
    -0.000208142     -0.00263761
     -0.00683648       -0.063148
    -0.000178424     -0.00156338
    -0.000224688     -0.00207739
     -0.00146016       -0.021776
    -0.000132982     -0.00191863
    -0.000337446     -0.00391412
    -0.000441495     -0.00478131
    -0.000883495      -0.0136626
    -0.000763168     -0.00734983
    -0.000272761     -0.00269773
    -0.000444024     -0.00487594
      -0.0029793      -0.0333508
    -0.000162175     -0.00224349
     -9.2163e-05     -0.00073309
    -0.000819679      -0.0114001
     -0.00166885      -0.0234483
     -0.00104497      -0.0107994
     -0.00149812      -0.0250784
    -0.000882438     -0.00811616
       -4.85e-05     -0.00138365
      -0.0015484      -0.0227325
     -0.00126651      -0.0134539
     -0.00332576      -0.0370056
    -0.000262655     -0.00369334
    -0.000132556     -0.00156742
    -0.000122451     -0.00121961
     -0.00267002      -0.0372603
     -0.00356354      -0.0439199
     -9.1207e-05     -0.00107046
     -0.00129164      -0.0129959
      -0.0067524      -0.0610441
     -0.00449431      -0.0399358
    -0.000466008     -0.00618477
     -0.00400117      -0.0428823
    -0.000212956     -0.00248155
    -0.000142621     -0.00121569
    -0.000264511     -0.00335092
    -0.000144083      -0.0013912
     -0.00211845      -0.0340937
     -0.00229776      -0.0334556
     -0.00038553     -0.00359475
     -0.00146631      -0.0172345
      -0.0008639      -0.0117834
     -6.5027e-05    -0.000599704
     -0.00184335      -0.0287185
    -0.000234639      -0.0026098
     -0.00263374      -0.0365446
     -0.00207858      -0.0228929
     -0.00223998      -0.0264697
     -0.00250756      -0.0244352
     -0.00731461      -0.0613434
    -0.000223763      -0.0021341
     -0.00319291      -0.0293806
     -0.00609099      -0.0601119
     -0.00882908      -0.0865666
     -0.00191953      -0.0278924
    -0.000590789     -0.00723151
    -0.000108931     -0.00125463
     -0.00147545      -0.0157117
    -0.000585287      -0.0100211
    -0.000503003     -0.00645786
    -0.000375932     -0.00454448
     -0.00159701      -0.0180656
      -0.0005125     -0.00544386
     -0.00794277      -0.0707011
      -0.0063804      -0.0603259
     -0.00350153      -0.0307676
    -0.000451777     -0.00655682
     -0.00190495      -0.0230759
