QM Energy	FF Energy
     -1.5085e-05    -3.74826e-06
    -0.000646115      -8.081e-05
      -9.009e-06    -2.30291e-06
     -1.4734e-05    -2.59801e-06
    -0.000236158    -3.08672e-05
     -1.1859e-05     -2.1678e-06
     -2.4433e-05    -4.63317e-06
     -2.7387e-05    -4.76122e-06
    -0.000116019    -1.68198e-05
     -3.2517e-05    -7.89825e-06
     -1.1368e-05    -5.32378e-06
     -2.6975e-05    -8.25169e-06
     -0.00025996    -4.15897e-05
     -1.1688e-05    -2.30889e-06
       -4.77e-06    -1.72428e-06
     -9.8532e-05    -1.41002e-05
    -0.000229996    -3.29162e-05
      -5.979e-05    -1.29911e-05
    -0.000296796    -4.04474e-05
     -3.5544e-05    -9.85189e-06
     -1.5613e-05    -2.97461e-06
    -0.000236341    -3.22081e-05
    -0.000102265    -1.83169e-05
    -0.000348336    -6.56441e-05
     -2.6975e-05    -4.49395e-06
      -9.194e-06    -1.62151e-06
      -6.925e-06    -2.18834e-06
    -0.000392246    -5.11994e-05
     -0.00044461    -6.87796e-05
      -5.325e-06    -1.42874e-06
     -7.5451e-05    -1.63559e-05
    -0.000539507    -8.45485e-05
    -0.000308419    -5.77871e-05
     -4.7164e-05    -8.25414e-06
    -0.000299387     -5.2163e-05
     -1.9061e-05    -2.82142e-06
      -8.432e-06    -3.20264e-06
     -2.7097e-05    -4.47182e-06
      -5.404e-06    -4.74406e-06
    -0.000415422     -5.5311e-05
    -0.000353816    -5.52694e-05
     -1.5782e-05    -6.85121e-06
    -0.000119549    -1.83869e-05
     -9.4621e-05    -1.64442e-05
      -4.861e-06    -1.80694e-06
    -0.000315161    -4.30494e-05
      -1.244e-05     -2.7653e-06
    -0.000401294    -5.65798e-05
    -0.000173456    -2.85854e-05
    -0.000220609    -3.74845e-05
    -0.000185823    -3.18155e-05
    -0.000520506     -7.2073e-05
     -1.1719e-05    -4.64761e-06
    -0.000180447    -3.93544e-05
    -0.000430877    -6.24293e-05
    -0.000674042    -0.000107786
    -0.000280051    -3.82983e-05
     -6.1725e-05     -9.0714e-06
       -9.89e-06    -1.53305e-06
    -0.000112304    -2.07445e-05
     -8.4657e-05    -1.34364e-05
     -4.6069e-05    -6.54489e-06
     -3.0003e-05    -4.65666e-06
      -0.0001162    -2.06636e-05
     -3.4944e-05    -6.88877e-06
    -0.000617622    -9.27261e-05
    -0.000507773    -7.66972e-05
    -0.000198104    -5.22793e-05
     -5.8913e-05     -9.0724e-06
    -0.000179906    -3.20726e-05
    -0.000150184    -2.54911e-05
    -0.000737035    -8.70358e-05
     -2.1757e-05    -3.56519e-06
      -7.734e-05    -1.16026e-05
      -4.313e-05     -7.1405e-06
    -0.000886347    -0.000116638
     -6.8277e-05    -1.07056e-05
      -5.855e-06    -2.31715e-06
     -1.7721e-05    -3.30559e-06
     -1.5585e-05    -4.88568e-06
    -0.000298993    -4.86778e-05
     -8.3348e-05    -1.63789e-05
    -0.000100903    -1.40849e-05
     -1.3191e-05    -2.59703e-06
     -4.3056e-05    -8.01158e-06
     -9.7196e-05    -1.49676e-05
     -1.2486e-05    -1.10783e-05
     -3.9245e-05    -6.71356e-06
     -2.2032e-05     -7.6924e-06
    -0.000145693    -2.17798e-05
     -6.6394e-05     -9.5953e-06
     -1.0637e-05    -2.02146e-06
     -1.0799e-05    -6.57981e-06
     -6.5166e-05    -1.29863e-05
     -6.2205e-05    -1.66855e-05
     -5.7876e-05    -1.15918e-05
    -0.000147901    -2.05111e-05
      -7.326e-06    -1.92412e-06
     -7.7193e-05    -1.38904e-05
    -0.000184331    -3.98016e-05
     -1.5448e-05    -4.76341e-06
       -9.44e-06    -2.33073e-06
     -6.5155e-05    -1.95818e-05
     -1.7385e-05    -2.82684e-06
     -3.0575e-05    -5.29005e-06
     -1.5345e-05      -2.636e-06
      -7.785e-06    -1.59182e-06
