QM Energy	FF Energy
     -3.6432e-05     -5.3904e-05
     -5.5568e-05    -7.91806e-05
     -8.6554e-05    -0.000107986
     -4.4831e-05    -5.98435e-05
    -0.000396425    -0.000384953
    -0.000774445    -0.000793631
     -3.5858e-05    -5.26401e-05
    -0.000260222    -0.000305542
    -0.000136277    -0.000175067
    -0.000193526    -0.000218532
     -3.8198e-05    -5.03995e-05
     -6.4406e-05    -9.07877e-05
      -0.0011081     -0.00117234
    -0.000311006    -0.000328927
    -0.000301064    -0.000378407
     -2.6735e-05    -4.26647e-05
    -0.000152811    -0.000185187
    -0.000140203    -0.000161865
    -0.000147531    -0.000158466
     -3.9771e-05    -5.18531e-05
    -0.000108922    -0.000134254
     -0.00055798    -0.000620977
     -0.00109147    -0.000993758
    -0.000384148    -0.000411886
     -0.00130691     -0.00125207
     -8.8684e-05    -0.000110993
    -0.000392816    -0.000411922
    -0.000921777    -0.000828776
     -6.5222e-05    -8.78511e-05
     -0.00117195     -0.00105744
     -0.00127817     -0.00120307
        -5.5e-05    -6.93864e-05
    -0.000171905    -0.000188926
     -7.2317e-05    -0.000104925
    -0.000667528    -0.000677026
    -0.000562428    -0.000595273
     -3.4902e-05    -4.99739e-05
     -0.00104182    -0.000954301
    -0.000566105    -0.000549466
      -0.0003602    -0.000373332
     -0.00127877     -0.00125167
     -3.7768e-05    -5.28686e-05
    -0.000624678    -0.000616278
     -3.8812e-05     -6.1633e-05
    -0.000284798    -0.000293657
     -3.0597e-05    -4.28473e-05
     -1.5476e-05    -2.22767e-05
    -0.000206423    -0.000232596
    -0.000739386    -0.000738589
     -8.0876e-05    -9.73091e-05
     -3.7098e-05    -4.73557e-05
     -3.4779e-05    -4.83766e-05
     -4.1275e-05    -5.74194e-05
    -0.000320695    -0.000344395
     -0.00113825     -0.00103422
      -1.975e-05    -2.85827e-05
    -0.000500783    -0.000555613
    -0.000951583    -0.000888837
     -1.9135e-05    -2.71972e-05
    -0.000652557    -0.000736358
     -0.00118198     -0.00105746
     -6.9576e-05    -7.89475e-05
     -8.9834e-05    -0.000126989
    -0.000140703    -0.000161953
     -1.8709e-05    -2.78985e-05
     -6.7002e-05    -8.73293e-05
     -4.7085e-05     -6.8082e-05
     -0.00114104     -0.00111614
     -1.8556e-05    -3.21945e-05
      -2.371e-05    -3.28834e-05
     -5.6674e-05    -6.87498e-05
     -1.1757e-05    -1.96452e-05
     -0.00089295    -0.000827515
    -0.000499336    -0.000556006
     -0.00036469    -0.000418816
    -0.000717098    -0.000783792
    -0.000191718    -0.000228008
    -0.000160791    -0.000182459
     -3.1212e-05    -4.36249e-05
    -0.000532942    -0.000532323
    -0.000421227    -0.000476212
     -0.00018088    -0.000199176
      -8.337e-05    -0.000115768
      -8.536e-05    -0.000106979
     -4.4709e-05    -6.27214e-05
     -0.00049443     -0.00048343
     -0.00079186        -0.00085
     -2.5221e-05    -3.57478e-05
     -6.3418e-05    -7.67396e-05
    -0.000439308    -0.000451643
    -0.000128374    -0.000142349
     -6.0283e-05    -7.22456e-05
     -1.7358e-05    -2.67765e-05
    -0.000208149    -0.000237918
    -0.000294509    -0.000321883
    -0.000133666    -0.000169631
    -0.000197844    -0.000249968
    -0.000453916    -0.000459311
     -3.8887e-05    -4.73757e-05
     -3.3924e-05    -4.64961e-05
     -5.2221e-05    -7.34816e-05
     -7.8641e-05    -0.000109793
    -0.000939427    -0.000900827
    -0.000290065    -0.000320126
    -0.000119075     -0.00014546
    -0.000569736    -0.000637524
     -9.3243e-05    -0.000110973
    -0.000343023    -0.000422688
     -8.3378e-05    -0.000116281
    -0.000347614    -0.000411366
     -0.00014235    -0.000179347
    -0.000653674    -0.000627167
    -0.000216608    -0.000232501
    -0.000874384    -0.000892113
     -3.6095e-05    -5.40054e-05
     -4.7285e-05    -5.74716e-05
    -0.000196508    -0.000252279
     -4.4325e-05    -5.86003e-05
     -6.3884e-05    -8.18281e-05
     -2.3521e-05    -3.36262e-05
     -0.00124129     -0.00117287
    -0.000110055    -0.000125253
     -4.1082e-05    -5.58088e-05
     -7.1458e-05    -8.69712e-05
     -2.2274e-05    -3.79144e-05
    -0.000374804    -0.000368167
    -0.000124789     -0.00016163
    -0.000224668    -0.000263122
     -2.8563e-05     -3.8892e-05
     -3.5189e-05    -4.86452e-05
    -0.000104465    -0.000137617
     -2.9912e-05    -4.20176e-05
     -6.0797e-05    -7.81849e-05
    -0.000368756    -0.000415074
    -0.000737411    -0.000679961
     -7.4877e-05    -9.52065e-05
     -0.00032495    -0.000340919
    -0.000301939     -0.00031089
    -0.000248005    -0.000253541
     -2.6157e-05    -4.20849e-05
    -0.000286728    -0.000320735
    -0.000844057    -0.000861529
     -9.1533e-05    -0.000118088
    -0.000561801    -0.000560953
    -0.000804604    -0.000691981
    -0.000462053    -0.000434257
     -4.3386e-05    -5.90801e-05
    -0.000256042    -0.000301773
    -0.000279261    -0.000317598
       -4.36e-05     -5.9974e-05
     -0.00107401     -0.00104014
     -0.00010881    -0.000147698
     -8.9839e-05    -0.000120287
    -0.000121442    -0.000158017
     -4.6703e-05    -6.38564e-05
     -2.9046e-05    -4.36475e-05
    -0.000635362    -0.000628072
    -0.000364151     -0.00040121
     -0.00113554     -0.00117661
    -0.000606502    -0.000592481
    -0.000248227    -0.000255555
     -4.6266e-05    -6.36807e-05
    -0.000522279    -0.000532496
     -3.0904e-05    -4.66595e-05
    -0.000243546    -0.000259573
      -7.969e-05     -0.00010254
    -0.000397835    -0.000414947
    -0.000627538    -0.000594434
     -1.7096e-05    -2.52482e-05
    -0.000870957    -0.000804994
     -7.3715e-05    -9.84458e-05
     -0.00063968    -0.000609654
    -0.000997603      -0.0010412
    -0.000117891     -0.00013898
     -2.9106e-05    -4.19425e-05
    -0.000515809    -0.000521477
    -0.000157196    -0.000194638
     -6.9957e-05    -9.24116e-05
    -0.000361243    -0.000384217
    -0.000704401    -0.000633627
    -0.000132571    -0.000164775
    -0.000373358    -0.000378912
     -2.7267e-05    -4.00928e-05
     -0.00104682    -0.000987474
    -0.000413663    -0.000412771
    -0.000274927      -0.0003071
     -3.0027e-05    -4.03846e-05
     -0.00132238     -0.00129319
     -2.8784e-05    -3.95998e-05
    -0.000179109    -0.000202679
    -0.000585486     -0.00060284
     -0.00026501    -0.000275328
     -8.0985e-05    -0.000106553
     -2.8483e-05    -4.43199e-05
     -1.7941e-05    -2.66247e-05
    -0.000129564    -0.000160636
    -0.000474884    -0.000460066
    -0.000124782    -0.000166666
    -0.000261913    -0.000295288
    -0.000735011    -0.000837654
    -0.000421176    -0.000467142
    -0.000649856    -0.000681069
     -3.8633e-05    -5.48137e-05
    -0.000352503    -0.000411423
     -9.1041e-05    -0.000107855
     -3.2411e-05    -4.57177e-05
    -0.000835292    -0.000832116
    -0.000452175    -0.000500904
    -0.000173373    -0.000241605
     -0.00144908     -0.00143409
     -0.00172687     -0.00171693
     -0.00109972     -0.00113961
     -3.3193e-05    -4.94769e-05
    -0.000128748    -0.000150357
    -0.000192358    -0.000224984
    -0.000192586    -0.000222821
    -0.000109129    -0.000127042
     -2.0545e-05    -2.91014e-05
    -0.000497892    -0.000492244
    -0.000301179    -0.000331795
     -2.4095e-05    -3.82275e-05
    -0.000489292    -0.000489105
    -0.000424161    -0.000406154
    -0.000870818    -0.000913348
     -0.00127304     -0.00128714
    -0.000178004    -0.000223576
     -4.2045e-05    -5.77287e-05
     -5.3557e-05    -6.95333e-05
    -0.000170905    -0.000195997
     -4.4578e-05    -5.95644e-05
     -1.6952e-05    -2.69057e-05
    -0.000591329    -0.000642737
    -0.000160455    -0.000171333
    -0.000322754    -0.000343601
    -0.000151378    -0.000175985
    -0.000324072    -0.000349319
     -9.4766e-05    -0.000119919
     -4.5975e-05    -6.73685e-05
     -0.00143553     -0.00142043
     -0.00063351    -0.000569221
     -0.00109304     -0.00101896
    -0.000247516    -0.000284673
    -0.000696865     -0.00075264
     -8.1259e-05    -0.000114869
     -0.00112014     -0.00111108
     -2.6835e-05    -3.80321e-05
     -3.1833e-05    -4.69614e-05
     -1.5509e-05    -2.38273e-05
     -2.3526e-05    -3.28681e-05
     -6.1202e-05    -8.65961e-05
    -0.000554708    -0.000586995
    -0.000458277    -0.000506712
     -3.5724e-05    -5.40655e-05
    -0.000864643     -0.00083685
     -0.00101725    -0.000942928
     -2.7995e-05    -3.93457e-05
    -0.000379787    -0.000409545
    -0.000957851     -0.00101908
    -0.000539499    -0.000523204
    -0.000798339    -0.000793741
     -3.2326e-05     -5.0023e-05
     -0.00151498     -0.00143733
    -0.000362312    -0.000378309
     -4.5914e-05    -5.80305e-05
     -0.00104059     -0.00105511
     -0.00141681     -0.00144362
    -0.000512894    -0.000504957
     -1.7294e-05    -2.83653e-05
     -0.00144538     -0.00138432
    -0.000109081    -0.000150966
     -0.00106708     -0.00106366
     -0.00042923    -0.000425357
     -0.00052161    -0.000572686
     -3.2238e-05     -4.6196e-05
      -0.0010847     -0.00103086
     -9.4727e-05    -0.000105923
    -0.000142815    -0.000171299
    -0.000253113    -0.000281338
    -0.000127891    -0.000147428
    -0.000812539    -0.000700546
     -6.0236e-05    -8.68303e-05
     -5.8787e-05    -8.50705e-05
    -0.000185285    -0.000194636
    -0.000818715     -0.00090116
    -0.000141486    -0.000178336
    -0.000689988    -0.000624219
     -9.4399e-05    -0.000119399
     -4.2178e-05     -5.4206e-05
     -0.00101622    -0.000951918
     -4.0422e-05    -5.41825e-05
      -7.934e-05    -0.000110499
    -0.000136052    -0.000152425
     -9.1045e-05    -0.000106627
     -3.0797e-05    -4.08949e-05
    -0.000241955    -0.000276177
     -2.5661e-05    -3.80948e-05
    -0.000112384    -0.000136122
     -0.00140081     -0.00140954
    -0.000818553    -0.000734817
     -1.7631e-05    -2.55603e-05
     -0.00145889      -0.0014675
     -0.00142437     -0.00128854
    -0.000208061    -0.000241361
    -0.000339984    -0.000348809
     -0.00153779     -0.00145501
    -0.000215115    -0.000228256
     -1.8618e-05    -2.91343e-05
      -0.0014926     -0.00145519
    -0.000136545    -0.000158715
    -0.000691975    -0.000681032
     -1.4103e-05    -2.13264e-05
    -0.000445341    -0.000413256
     -3.1921e-05    -4.86151e-05
    -0.000372806     -0.00039344
    -0.000202241     -0.00023318
     -0.00115601     -0.00108252
     -6.6732e-05    -9.10078e-05
    -0.000240368     -0.00027974
    -0.000115254    -0.000149872
    -0.000482812    -0.000501937
     -0.00036769    -0.000382709
     -0.00057376    -0.000574132
    -0.000811926    -0.000734377
    -0.000587006    -0.000558298
    -0.000159189    -0.000182218
    -0.000527124    -0.000540006
     -1.4653e-05    -2.09831e-05
    -0.000901155    -0.000884863
    -0.000240534    -0.000265617
     -0.00194028     -0.00180621
     -0.00161523     -0.00156238
    -0.000516002    -0.000515865
    -0.000101081    -0.000122669
    -0.000117625    -0.000131893
    -0.000106386    -0.000125134
     -1.7374e-05    -3.09365e-05
     -2.2856e-05    -3.61148e-05
     -0.00129559      -0.0012497
      -1.414e-05    -2.24782e-05
     -0.00041722    -0.000392143
     -0.00158201     -0.00171544
    -0.000124724     -0.00013925
     -0.00033833    -0.000357281
