QM Energy	FF Energy
     -3.6432e-05    -4.56274e-05
     -5.5568e-05    -6.86455e-05
     -8.6554e-05    -9.69649e-05
     -4.4831e-05     -5.2732e-05
    -0.000396425    -0.000385435
    -0.000774445    -0.000763399
     -3.5858e-05     -4.5932e-05
    -0.000260222     -0.00028699
    -0.000136277    -0.000164883
    -0.000193526    -0.000202736
     -3.8198e-05    -4.36532e-05
     -6.4406e-05     -7.9761e-05
      -0.0011081     -0.00115952
    -0.000311006    -0.000312471
    -0.000301064    -0.000353737
     -2.6735e-05     -3.4876e-05
    -0.000152811    -0.000163829
    -0.000140203    -0.000147998
    -0.000147531    -0.000153188
     -3.9771e-05    -4.73716e-05
    -0.000108922    -0.000122288
     -0.00055798    -0.000594541
     -0.00109147     -0.00102187
    -0.000384148    -0.000404618
     -0.00130691       -0.001236
     -8.8684e-05    -9.91404e-05
    -0.000392816    -0.000409227
    -0.000921777    -0.000851145
     -6.5222e-05    -7.66545e-05
     -0.00117195     -0.00110522
     -0.00127817     -0.00121828
        -5.5e-05    -6.41031e-05
    -0.000171905    -0.000181658
     -7.2317e-05    -9.11588e-05
    -0.000667528    -0.000686815
    -0.000562428    -0.000572553
     -3.4902e-05    -4.36715e-05
     -0.00104182    -0.000969135
    -0.000566105    -0.000548889
      -0.0003602    -0.000364112
     -0.00127877     -0.00127177
     -3.7768e-05    -4.44288e-05
    -0.000624678    -0.000612054
     -3.8812e-05    -5.18153e-05
    -0.000284798    -0.000292719
     -3.0597e-05    -3.65542e-05
     -1.5476e-05    -1.84338e-05
    -0.000206423    -0.000216966
    -0.000739386    -0.000739221
     -8.0876e-05    -9.18229e-05
     -3.7098e-05    -4.29012e-05
     -3.4779e-05    -4.14599e-05
     -4.1275e-05    -5.00711e-05
    -0.000320695    -0.000340031
     -0.00113825     -0.00107054
      -1.975e-05    -2.36295e-05
    -0.000500783    -0.000533294
    -0.000951583    -0.000896705
     -1.9135e-05     -2.3247e-05
    -0.000652557    -0.000694693
     -0.00118198     -0.00107661
     -6.9576e-05    -7.35075e-05
     -8.9834e-05    -0.000111291
    -0.000140703    -0.000150662
     -1.8709e-05     -2.3464e-05
     -6.7002e-05    -7.72566e-05
     -4.7085e-05    -5.88197e-05
     -0.00114104     -0.00112998
     -1.8556e-05    -2.59244e-05
      -2.371e-05    -2.82581e-05
     -5.6674e-05    -6.16252e-05
     -1.1757e-05    -1.55017e-05
     -0.00089295    -0.000834613
    -0.000499336    -0.000523898
     -0.00036469    -0.000396432
    -0.000717098    -0.000748861
    -0.000191718    -0.000211845
    -0.000160791    -0.000170539
     -3.1212e-05    -3.66385e-05
    -0.000532942    -0.000529809
    -0.000421227    -0.000444287
     -0.00018088    -0.000188799
      -8.337e-05     -0.00010351
      -8.536e-05    -9.64891e-05
     -4.4709e-05    -5.45682e-05
     -0.00049443    -0.000474169
     -0.00079186    -0.000841249
     -2.5221e-05    -2.95497e-05
     -6.3418e-05     -6.8224e-05
    -0.000439308    -0.000450825
    -0.000128374    -0.000136634
     -6.0283e-05    -6.68148e-05
     -1.7358e-05    -2.24344e-05
    -0.000208149    -0.000225782
    -0.000294509    -0.000305827
    -0.000133666    -0.000152208
    -0.000197844    -0.000228597
    -0.000453916    -0.000452523
     -3.8887e-05    -4.25691e-05
     -3.3924e-05    -4.06331e-05
     -5.2221e-05    -6.34309e-05
     -7.8641e-05    -9.37913e-05
    -0.000939427    -0.000924427
    -0.000290065    -0.000300458
    -0.000119075    -0.000131428
    -0.000569736    -0.000616672
     -9.3243e-05    -0.000104007
    -0.000343023    -0.000395535
     -8.3378e-05    -0.000103133
    -0.000347614    -0.000386799
     -0.00014235    -0.000163377
    -0.000653674    -0.000632536
    -0.000216608    -0.000234568
    -0.000874384     -0.00086223
     -3.6095e-05     -4.5645e-05
     -4.7285e-05    -5.21199e-05
    -0.000196508     -0.00023037
     -4.4325e-05     -4.9678e-05
     -6.3884e-05    -7.38509e-05
     -2.3521e-05    -2.79529e-05
     -0.00124129     -0.00117536
    -0.000110055    -0.000116649
     -4.1082e-05    -4.93632e-05
     -7.1458e-05    -7.82585e-05
     -2.2274e-05    -3.05914e-05
    -0.000374804    -0.000379196
    -0.000124789    -0.000148518
    -0.000224668    -0.000239752
     -2.8563e-05    -3.25968e-05
     -3.5189e-05    -4.15086e-05
    -0.000104465    -0.000121489
     -2.9912e-05    -3.61213e-05
     -6.0797e-05    -6.84648e-05
    -0.000368756    -0.000390655
    -0.000737411    -0.000659506
     -7.4877e-05    -8.65979e-05
     -0.00032495    -0.000334247
    -0.000301939    -0.000291471
    -0.000248005    -0.000251665
     -2.6157e-05    -3.48292e-05
    -0.000286728    -0.000299635
    -0.000844057    -0.000840911
     -9.1533e-05    -0.000108075
    -0.000561801    -0.000557193
    -0.000804604    -0.000747323
    -0.000462053     -0.00042121
     -4.3386e-05    -4.97061e-05
    -0.000256042    -0.000283685
    -0.000279261    -0.000291738
       -4.36e-05    -5.15224e-05
     -0.00107401     -0.00105327
     -0.00010881     -0.00012908
     -8.9839e-05    -0.000110409
    -0.000121442    -0.000140732
     -4.6703e-05    -5.60603e-05
     -2.9046e-05    -3.63385e-05
    -0.000635362    -0.000626567
    -0.000364151    -0.000380523
     -0.00113554     -0.00119556
    -0.000606502    -0.000590311
    -0.000248227    -0.000254024
     -4.6266e-05    -5.53962e-05
    -0.000522279    -0.000525906
     -3.0904e-05    -3.91633e-05
    -0.000243546    -0.000253753
      -7.969e-05    -9.33041e-05
    -0.000397835    -0.000409572
    -0.000627538    -0.000620167
